DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,4510,4539.7,4469.45,4468.6,4516,4524.15,4518.11,4990.05,3005.55,185797,839451088.65,23024,ABB
2024-02-15,EQ,4575,4587.9,4460.65,4558.4,4472.05,4468.6,4485.05,4990.05,3005.55,286311,1284119058.15,32654,ABB
2024-02-14,EQ,4441.85,4621.1,4427.85,4464.85,4563.95,4558.4,4556.34,4990.05,3005.55,371445,1692430976.9,45540,ABB
2024-02-13,EQ,4448,4485.35,4375.8,4428.4,4460,4464.85,4446.97,4990.05,3005.55,290402,1291409018.7,38975,ABB
2024-02-12,EQ,4484.9,4552.3,4400,4489.45,4440,4428.4,4474.52,4990.05,3005.55,149594,669362063.25,17673,ABB
2024-02-09,EQ,4464,4501.45,4412.7,4450.4,4482,4489.45,4461.9,4990.05,2782.1,203496,907978889.05,20066,ABB
2024-02-08,EQ,4610,4610,4440.1,4575.1,4452,4450.4,4510.69,4990.05,2782.1,132187,596254523.4,20030,ABB
2024-02-07,EQ,4434.55,4629.3,4434.5,4403,4565,4575.1,4554.35,4990.05,2782.1,281178,1280581921.95,39522,ABB
2024-02-06,EQ,4378,4423.6,4362.05,4368.2,4410,4403,4401.44,4990.05,2782.1,177927,783135723.25,26918,ABB
2024-02-05,EQ,4500,4538.5,4343.75,4480.45,4358,4368.2,4428.92,4990.05,2782.1,290961,1288641726.2,44409,ABB
2024-02-02,EQ,4546.05,4594.95,4463,4546.05,4485,4480.45,4503.5,4990.05,2752.05,315504,1420871697.25,41980,ABB
2024-02-01,EQ,4692,4698,4340.3,4671.6,4520,4546.05,4493.28,4990.05,2752.05,825760,3710372199.55,124995,ABB
2024-01-31,EQ,4749,4762.75,4631,4729.75,4660,4671.6,4667.92,4990.05,2752.05,292837,1366938421.6,46162,ABB
2024-01-30,EQ,4825,4860,4715.95,4791.55,4726.95,4729.75,4790.62,4990.05,2752.05,152802,732015735.9,25194,ABB
2024-01-29,EQ,4751,4807.15,4715.4,4739.3,4790,4791.55,4764.63,4990.05,2752.05,87854,418591830.9,16058,ABB
2024-01-25,EQ,4768,4794.95,4665,4731.25,4734.95,4739.3,4709.81,4990.05,2752.05,114581,539654284.4,15367,ABB
2024-01-24,EQ,4764.95,4814.9,4613.8,4770.55,4735.25,4731.25,4725.77,4990.05,2752.05,293735,1388124856.7,38449,ABB
2024-01-23,EQ,4750.95,4897,4735.9,4750.95,4769.9,4770.55,4830.68,4990.05,2752.05,348426,1683134549.6,43736,ABB
2024-01-20,EQ,4845,4845,4730,4820.45,4780,4750.95,4790.02,4990.05,2752.05,49467,236948043.25,7636,ABB
2024-01-19,EQ,4738.45,4844.1,4738.45,4710.35,4830,4820.45,4815.14,4990.05,2752.05,132723,639079289.4,22825,ABB
2024-01-18,EQ,4765,4797.4,4665,4773.05,4722.4,4710.35,4726.34,4990.05,2752.05,151382,715482761.55,22434,ABB
2024-01-17,EQ,4798,4863.7,4731.4,4809.3,4775,4773.05,4802.61,4990.05,2752.05,163852,786917300.6,24610,ABB
2024-01-16,EQ,4770,4842.3,4750.05,4752.9,4805.1,4809.3,4799.33,4990.05,2752.05,192280,922815495.45,28880,ABB
2024-01-15,EQ,4809,4809,4725,4783.95,4761,4752.9,4758.06,4990.05,2752.05,104057,495109350.1,12696,ABB
2024-01-12,EQ,4909.9,4909.9,4771.65,4871.85,4785,4783.95,4803.71,4990.05,2752.05,145377,698349535.65,22773,ABB
2024-01-11,EQ,4947.95,4990.05,4860,4935.7,4879,4871.85,4916.86,4990.05,2752.05,87455,430004403.2,13937,ABB
2024-01-10,EQ,4929.95,4957.6,4873.45,4920.4,4947,4935.7,4918.92,4973.65,2752.05,241276,1186817507.15,33821,ABB
2024-01-09,EQ,4784,4973.65,4780,4752.95,4926,4920.4,4917.64,4973.65,2752.05,571239,2809146320.85,65596,ABB
2024-01-08,EQ,4856,4856,4740,4832.35,4747.8,4752.95,4777.82,4957,2752.05,60882,290883221,11470,ABB
2024-01-05,EQ,4855.95,4900,4802,4824.75,4817.15,4832.35,4848.87,4957,2662.5,118877,576419600.1,18959,ABB
2024-01-04,EQ,4818.9,4866,4770.05,4775.55,4836,4824.75,4831.17,4957,2662.5,266936,1289612977,29151,ABB
2024-01-03,EQ,4714,4829.9,4699.1,4701.6,4779.95,4775.55,4784.06,4957,2662.5,291954,1396726863.5,37142,ABB
2024-01-02,EQ,4699.95,4713,4600,4682.2,4702.95,4701.6,4661.04,4957,2662.5,178550,832229078.45,21379,ABB
2024-01-01,EQ,4674.85,4715,4653.8,4674.85,4668,4682.2,4683.19,4957,2662.5,84544,395935611.7,12510,ABB
2023-12-29,EQ,4669,4688,4618.6,4642.95,4671,4674.85,4657.38,4957,2640,147991,689249658.55,16903,ABB
2023-12-28,EQ,4746.7,4765.4,4622,4733.6,4635.3,4642.95,4662.21,4957,2640,478064,2228837138.85,37955,ABB
2023-12-27,EQ,4799.95,4822.9,4724,4771.35,4741,4733.6,4769.81,4957,2640,165313,788510955.25,22571,ABB
2023-12-26,EQ,4771.35,4824,4747.25,4759,4778.05,4771.35,4781.44,4957,2640,121004,578573281.65,17228,ABB
2023-12-22,EQ,4723,4765,4686.1,4684.5,4753,4759,4735.44,4957,2640,155535,736526028.4,22442,ABB
2023-12-21,EQ,4599.2,4705.45,4529.1,4614.35,4682,4684.5,4645.24,4957,2640,191984,891811193.4,25758,ABB
2023-12-20,EQ,4854,4895,4562.15,4838.95,4592.4,4614.35,4746.49,4957,2640,347680,1650259703.5,47654,ABB
2023-12-19,EQ,4922,4925.6,4800.05,4888.4,4840,4838.95,4842.82,4957,2640,223298,1081392436.05,21764,ABB
2023-12-18,EQ,4834,4957,4781.85,4835.1,4883,4888.4,4887.29,4957,2640,356079,1740263062.65,42040,ABB
2023-12-15,EQ,4806.05,4929.55,4763.6,4792.4,4824.95,4835.1,4844.08,4929.55,2640,371899,1801507513.7,43157,ABB
2023-12-14,EQ,4801.4,4834.95,4734.7,4767.35,4815,4792.4,4794.76,4885.45,2640,150017,719295224.65,24697,ABB
2023-12-13,EQ,4730.95,4777.3,4675.05,4721.3,4769,4767.35,4729.76,4885.45,2640,166968,789717813.3,29688,ABB
2023-12-12,EQ,4798.1,4819.75,4690.05,4786.85,4707.85,4721.3,4728.93,4885.45,2640,201663,953650467.35,28631,ABB
2023-12-11,EQ,4778,4833.5,4760.05,4746.8,4787,4786.85,4795.42,4885.45,2640,148181,710589601.6,18776,ABB
2023-12-08,EQ,4789.9,4843.35,4684.45,4744.8,4749,4746.8,4774.92,4885.45,2640,231897,1107290718.1,26082,ABB
2023-12-07,EQ,4750.05,4790.25,4699.55,4738.4,4760,4744.8,4736.04,4885.45,2640,177991,842972084.15,26589,ABB
2023-12-06,EQ,4855,4885.45,4721.75,4846.6,4750,4738.4,4810.63,4885.45,2640,248801,1196888512.8,36331,ABB
2023-12-05,EQ,4662.7,4865.05,4591.65,4630.75,4855,4846.6,4752.69,4865.05,2640,860640,4090352097.85,79053,ABB
2023-12-04,EQ,4419.75,4683,4419.1,4387.25,4639,4630.75,4602.6,4683,2640,798523,3675284115.9,92465,ABB
2023-12-01,EQ,4449,4449,4375.8,4419.75,4380,4387.25,4405.22,4678,2640,150704,663884142.95,21855,ABB
2023-11-30,EQ,4256,4465,4234.1,4244.05,4449,4419.75,4377.77,4678,2640,558962,2447007262.7,33396,ABB
2023-11-29,EQ,4263.25,4274.2,4231.65,4255.25,4248.85,4244.05,4257.51,4678,2640,78223,333035259.9,13013,ABB
2023-11-28,EQ,4289,4289,4195.55,4262.35,4236,4255.25,4233.66,4678,2640,184551,781326496.95,29876,ABB
2023-11-24,EQ,4265,4276.45,4224,4260.55,4253,4262.35,4254.38,4678,2640,116246,494554395.05,17151,ABB
2023-11-23,EQ,4250,4279.95,4220,4234.4,4252.15,4260.55,4254.71,4678,2640,82762,352128532.55,12779,ABB
2023-11-22,EQ,4360.1,4375.65,4220.3,4345.3,4235,4234.4,4265.55,4678,2640,176385,752379555,22390,ABB
2023-11-21,EQ,4393.95,4429.9,4335.05,4347,4344.85,4345.3,4368.95,4678,2640,345900,1511220579.8,37036,ABB
2023-11-20,EQ,4316,4365.35,4295,4285.05,4350,4347,4338.35,4678,2640,243547,1056593121.65,28189,ABB
2023-11-17,EQ,4242,4298,4215.75,4232.75,4289,4285.05,4272.56,4678,2640,121481,519034310.75,17433,ABB
2023-11-16,EQ,4285,4286.9,4210.05,4258.8,4230,4232.75,4230.15,4678,2640,130755,553113622.25,18763,ABB
2023-11-15,EQ,4292.7,4304.95,4252,4262.75,4261.7,4258.8,4267.94,4678,2640,95758,408689233.85,16307,ABB
2023-11-13,EQ,4235.9,4307.85,4202.55,4235.15,4252.85,4262.75,4266.99,4678,2640,157036,670070672.75,21106,ABB
2023-11-12,EQ,4265.95,4284.4,4207.65,4239.3,4234.9,4235.15,4244.79,4678,2640,31594,134109801.2,3855,ABB
2023-11-10,EQ,4328,4382.95,4223,4310.5,4250,4239.3,4306.25,4678,2640,640836,2759599001.8,66083,ABB
