DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,3214,3252.3,3192.65,3193.8,3223.2,3223.6,3221.58,3277.95,1103.75,2193673,7067100536.9,84990,ADANIENT
2024-02-15,EQ,3219.85,3252.75,3184.05,3207.2,3190.4,3193.8,3214.66,3277.95,1103.75,2035204,6542484814.65,90530,ADANIENT
2024-02-14,EQ,3184,3255.25,3169.85,3178.45,3202,3207.2,3212.71,3277.95,1103.75,1741264,5594182379.7,101676,ADANIENT
2024-02-13,EQ,3180,3194,3092.05,3169.75,3180,3178.45,3142.91,3277.95,1103.75,1225207,3850709760.9,73578,ADANIENT
2024-02-12,EQ,3229,3241.95,3160,3215.2,3166,3169.75,3193.32,3277.95,1103.75,1083138,3458803688,64420,ADANIENT
2024-02-09,EQ,3184.45,3224.95,3121.2,3168.6,3215,3215.2,3182.28,3277.95,1103.75,1572789,5005053690.5,92034,ADANIENT
2024-02-08,EQ,3245.6,3245.6,3146.1,3229.85,3179,3168.6,3186.56,3277.95,1103.75,1679004,5350239514.35,126898,ADANIENT
2024-02-07,EQ,3220.05,3277.95,3210,3203.75,3233,3229.85,3242.51,3277.95,1103.75,2095911,6796002063.65,122378,ADANIENT
2024-02-06,EQ,3183.9,3228.2,3160,3173.45,3200.65,3203.75,3197.81,3236.95,1103.75,2078891,6647905451.95,148672,ADANIENT
2024-02-05,EQ,3170,3229.4,3151.45,3157.45,3175.25,3173.45,3192.8,3236.95,1103.75,2191195,6996049793.7,132489,ADANIENT
2024-02-02,EQ,3184.95,3208.5,3140,3153.5,3157,3157.45,3173.2,3236.95,1017.45,2708695,8595221638.95,123968,ADANIENT
2024-02-01,EQ,3156.9,3236.95,3083.05,3142,3154.85,3153.5,3162.65,3236.95,1017.45,4686595,14822076397.2,211723,ADANIENT
2024-01-31,EQ,3092.75,3151.7,3072.4,3091.1,3138,3142,3116.94,3199,1017.45,2671051,8325510841.4,115716,ADANIENT
2024-01-30,EQ,3081,3129.9,3020.9,3064.65,3096,3091.1,3090.43,3199,1017.45,3115506,9628239019.2,152019,ADANIENT
2024-01-29,EQ,2929,3092.7,2923.05,2893.6,3061,3064.65,3044.27,3199,1017.45,4402976,13403837889,276784,ADANIENT
2024-01-25,EQ,2903.45,2926.35,2804.4,2903.45,2903,2893.6,2860.14,3508,1017.45,2601969,7441988265.3,135262,ADANIENT
2024-01-24,EQ,2901,2929.1,2871.25,2896.55,2908,2903.45,2891.63,3508,1017.45,5807940,16794441913.65,160772,ADANIENT
2024-01-23,EQ,3014.95,3014.95,2885.5,2987.9,2900.35,2896.55,2945.88,3508,1017.45,1827002,5382124760.65,101673,ADANIENT
2024-01-20,EQ,2930,3015.85,2890.5,2915.65,2987.85,2987.9,2939.51,3739.95,1017.45,1878793,5522730668.25,83748,ADANIENT
2024-01-19,EQ,2945.35,2949.45,2903.05,2918.9,2915.3,2915.65,2926.36,3739.95,1017.45,2014096,5893978244.3,88297,ADANIENT
2024-01-18,EQ,2975.55,2985,2885.1,2971.05,2925.05,2918.9,2923.25,3739.95,1017.45,2552342,7461140978.65,137932,ADANIENT
2024-01-17,EQ,3033,3045,2946.3,3056.5,2978,2971.05,2994.68,3739.95,1017.45,2897218,8676248061.65,116205,ADANIENT
2024-01-16,EQ,3095,3104.5,3035,3089.5,3059,3056.5,3066.6,3739.95,1017.45,2515564,7714232714,81017,ADANIENT
2024-01-15,EQ,3127,3130,3067.45,3104.1,3091.3,3089.5,3095.46,3739.95,1017.45,1407007,4355339346.3,66077,ADANIENT
