DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1910.05,1930.75,1891.65,1900.75,1900,1904.75,1911.15,1990,439.1,1701073,3251006116.65,67622,ADANIGREEN
2024-02-15,EQ,1868,1959.7,1857.15,1852.25,1899,1900.75,1906.76,1990,439.1,3184514,6072092530.15,115451,ADANIGREEN
2024-02-14,EQ,1813,1882.95,1796.4,1815.55,1853.8,1852.25,1852.26,1990,439.1,2627140,4866137586.75,96474,ADANIGREEN
2024-02-13,EQ,1853,1861.5,1734.3,1842.6,1820,1815.55,1796.85,1990,439.1,1771092,3182378472.4,94666,ADANIGREEN
2024-02-12,EQ,1888.05,1908,1830,1880.7,1852,1842.6,1872.11,1990,439.1,2383164,4461552701.6,95101,ADANIGREEN
2024-02-09,EQ,1836.9,1918,1805.55,1827.95,1880.85,1880.7,1865.53,1990,439.1,3159808,5894731414.25,138637,ADANIGREEN
2024-02-08,EQ,1884.1,1918,1820,1866,1830,1827.95,1849.84,1990,439.1,1698528,3142003459.85,85830,ADANIGREEN
2024-02-07,EQ,1749.5,1990,1746,1721.65,1872,1866,1876.61,1990,439.1,8925796,16750198612.85,333710,ADANIGREEN
2024-02-06,EQ,1668.65,1744.95,1653,1668.65,1718,1721.65,1715.81,1762.05,439.1,1975868,3390221413.1,97818,ADANIGREEN
2024-02-05,EQ,1684,1698,1651.6,1674.25,1667,1668.65,1666.22,1762.05,439.1,1070961,1784455152.35,47131,ADANIGREEN
2024-02-02,EQ,1681.9,1698.95,1663.85,1665.95,1672,1674.25,1683.76,1762.05,439.1,946215,1593196454.75,43214,ADANIGREEN
2024-02-01,EQ,1689,1706,1655.65,1669.45,1665,1665.95,1680.29,1762.05,439.1,1735338,2915878958.95,68291,ADANIGREEN
2024-01-31,EQ,1680,1694.9,1665.05,1679.45,1672,1669.45,1675.52,1762.05,439.1,802666,1344881348.15,39671,ADANIGREEN
2024-01-30,EQ,1720,1722,1674,1715.5,1680,1679.45,1691.43,1762.05,439.1,992518,1678777508.2,44752,ADANIGREEN
2024-01-29,EQ,1684.95,1750,1673.45,1664.8,1712.6,1715.5,1723.89,1762.05,439.1,3435566,5922544948.8,121847,ADANIGREEN
2024-01-25,EQ,1647,1677,1636.05,1641.35,1663,1664.8,1657.85,2009.05,439.1,1088872,1805184125.05,47968,ADANIGREEN
2024-01-24,EQ,1687.95,1687.95,1629,1680.9,1631,1641.35,1648.33,2009.05,439.1,9489231,15641380475.85,78119,ADANIGREEN
2024-01-23,EQ,1740,1745,1632,1678.3,1677,1680.9,1680.36,2009.05,439.1,1594674,2679630157.8,75441,ADANIGREEN
2024-01-20,EQ,1580,1700,1575.4,1570.75,1674.5,1678.3,1651.86,2185,439.1,1094274,1807583466.2,50006,ADANIGREEN
2024-01-19,EQ,1610,1619.15,1562.75,1588.25,1569.2,1570.75,1585.48,2185,439.1,796187,1262337361.95,29805,ADANIGREEN
2024-01-18,EQ,1615,1629,1565.65,1615,1599,1588.25,1593.16,2185,439.1,994211,1583941662.8,56962,ADANIGREEN
2024-01-17,EQ,1653,1656.95,1605.1,1666.8,1613.9,1615,1630.64,2185,439.1,1151828,1878212274.2,60882,ADANIGREEN
2024-01-16,EQ,1693.5,1693.8,1660,1694.8,1665.8,1666.8,1677.6,2185,439.1,961314,1612696161.05,48073,ADANIGREEN
2024-01-15,EQ,1725,1727.1,1685,1710.7,1690.8,1694.8,1701.05,2185,439.1,687285,1169106682,30904,ADANIGREEN
2024-01-12,EQ,1725.6,1746.1,1705.1,1714.15,1711,1710.7,1723.92,2185,439.1,620508,1069704033.15,31514,ADANIGREEN
2024-01-11,EQ,1739,1762.05,1702,1723.25,1713.55,1714.15,1730.18,2185,439.1,985473,1705044046.35,41524,ADANIGREEN
2024-01-10,EQ,1704,1755,1691,1683.4,1724.75,1723.25,1729.31,2185,439.1,2417233,4180134723.75,84338,ADANIGREEN
2024-01-09,EQ,1698.05,1725,1679.05,1680.05,1684,1683.4,1699.09,2185,439.1,939531,1596347994.55,41457,ADANIGREEN
2024-01-08,EQ,1685.3,1714,1665,1674,1681.3,1680.05,1689.68,2185,439.1,1137776,1922472518.3,40438,ADANIGREEN
2024-01-05,EQ,1695,1700,1660,1692.5,1673.5,1674,1685.43,2185,439.1,871729,1469236635.35,39133,ADANIGREEN
2024-01-04,EQ,1706.55,1723,1675.05,1697.25,1691,1692.5,1696.28,2185,439.1,1492988,2532521342.5,63771,ADANIGREEN
2024-01-03,EQ,1699,1747.4,1610,1603.55,1699,1697.25,1697.81,2185,439.1,8064214,13691501504.05,265338,ADANIGREEN
2024-01-02,EQ,1598.8,1616,1565.7,1598.4,1600.4,1603.55,1596.31,2185,439.1,1031651,1646834767.75,37614,ADANIGREEN
2024-01-01,EQ,1598,1620,1585,1597,1595,1598.4,1604.08,2185,439.1,912757,1464138001.7,37778,ADANIGREEN
2023-12-29,EQ,1570,1616.5,1545,1561,1603,1597,1580.88,2185,439.1,1160954,1835333236.55,48894,ADANIGREEN
2023-12-28,EQ,1605.1,1608.4,1555,1601.1,1563.35,1561,1579.89,2185,439.1,1156469,1827091479.65,55227,ADANIGREEN
2023-12-27,EQ,1644,1657.95,1570.05,1600.2,1597,1601.1,1619.31,2185,439.1,2120712,3434087116.7,86463,ADANIGREEN
2023-12-26,EQ,1555,1632,1551.55,1533.1,1617.05,1600.2,1586.48,2185,439.1,2810862,4459370576.9,85679,ADANIGREEN
2023-12-22,EQ,1543,1546,1500,1519.55,1527.85,1533.1,1525.81,2185,439.1,1062643,1621387984.9,40193,ADANIGREEN
2023-12-21,EQ,1390.05,1549,1390.05,1452.15,1526.9,1519.55,1482.25,2185,439.1,2134995,3164604985.45,88705,ADANIGREEN
2023-12-20,EQ,1539.75,1569.4,1385,1531.8,1452,1452.15,1504.8,2185,439.1,2233664,3361219144.15,87440,ADANIGREEN
2023-12-19,EQ,1530.5,1555,1506,1524.65,1535,1531.8,1531.53,2185,439.1,965109,1478093044.8,42269,ADANIGREEN
2023-12-18,EQ,1518.95,1544.85,1500.25,1526.65,1529,1524.65,1526.46,2185,439.1,1077675,1645031556.9,45049,ADANIGREEN
2023-12-15,EQ,1527.65,1541,1501.4,1508.3,1517,1526.65,1528.49,2185,439.1,1698622,2596328558.75,74399,ADANIGREEN
2023-12-14,EQ,1435.95,1535,1435.95,1427.7,1504,1508.3,1499.52,2185,439.1,3437936,5155245698.7,136068,ADANIGREEN
2023-12-13,EQ,1459,1459.95,1375,1463.9,1426,1427.7,1412.38,2185,439.1,2826807,3992515871.5,120268,ADANIGREEN
2023-12-12,EQ,1532.85,1539.9,1453.5,1530,1461.9,1463.9,1494.91,2185,439.1,2007520,3001067034.05,92210,ADANIGREEN
2023-12-11,EQ,1554.4,1579,1475,1550.3,1532.85,1530,1523.56,2185,439.1,2705685,4122266167.75,116481,ADANIGREEN
2023-12-08,EQ,1645,1668.8,1495,1624.15,1556,1550.3,1562.14,2185,439.1,5410307,8451656448.7,270689,ADANIGREEN
2023-12-07,EQ,1580,1700,1565,1563.45,1631,1624.15,1626.27,2185,439.1,10884637,17701409006.8,331961,ADANIGREEN
2023-12-06,EQ,1474.5,1608,1463.25,1348.5,1575,1563.45,1550.95,2185,439.1,19688066,30535181757.05,524586,ADANIGREEN
2023-12-05,EQ,1126,1348.5,1096.1,1123.75,1348.5,1348.5,1271.32,2185,439.1,16961888,21564003920.9,430457,ADANIGREEN
2023-12-04,EQ,1160,1184,1092.55,1026.5,1124,1123.75,1120.84,2185,439.1,5999345,6724321217.55,158574,ADANIGREEN
2023-12-01,EQ,1042,1045,1020,1028.8,1021.95,1026.5,1032.94,2185,439.1,1181792,1220716326.3,42780,ADANIGREEN
