DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,573.2,590.65,573.05,572.25,584.5,585.1,582.52,590.65,324.3,9619487,5603541835.65,89818,AMBUJACEM
2024-02-15,EQ,573.9,574.8,568.85,570.9,570.8,572.25,571.6,587.2,324.3,1240706,709182279.95,31714,AMBUJACEM
2024-02-14,EQ,560.15,573.35,559.65,568.25,570,570.9,569.11,587.2,324.3,2094616,1192074906.8,32739,AMBUJACEM
2024-02-13,EQ,566.35,570,552.5,563.5,565.85,568.25,562.22,587.2,324.3,2529788,1422292521.5,55568,AMBUJACEM
2024-02-12,EQ,582.1,587.2,560.25,576.2,562,563.5,573.83,587.2,324.3,3475737,1994476215.35,70915,AMBUJACEM
2024-02-09,EQ,564.7,582.25,552.55,563.35,576.6,576.2,572.24,586.45,324.3,6956624,3980829110.7,95072,AMBUJACEM
2024-02-08,EQ,570,571.25,559.65,568.2,562,563.35,565.97,586.45,324.3,2089376,1182523815.9,41304,AMBUJACEM
2024-02-07,EQ,570,575.95,564.3,566.6,568,568.2,570.5,586.45,324.3,2248160,1282573284.85,42018,AMBUJACEM
2024-02-06,EQ,558.95,568,549.95,555,566.5,566.6,560.47,586.45,324.3,2969565,1664346231.8,44637,AMBUJACEM
2024-02-05,EQ,560,563.15,551,557.4,555.05,555,558.24,586.45,324.3,2366641,1321146430.35,47386,AMBUJACEM
2024-02-02,EQ,570.65,572.25,554.55,565.05,557.25,557.4,562.7,586.45,315.3,3263916,1836619651.35,55210,AMBUJACEM
2024-02-01,EQ,568,569.8,554.05,560.3,564.9,565.05,563.22,586.45,315.3,6228014,3507727529.3,104237,AMBUJACEM
2024-01-31,EQ,573.4,586.45,547,570.85,559,560.3,564.39,586.45,315.3,13741694,7755664964.1,207069,AMBUJACEM
2024-01-30,EQ,574.2,583.95,568.05,574.1,574.5,570.85,577.06,583.95,315.3,4572466,2638566378.45,97886,AMBUJACEM
2024-01-29,EQ,570.9,578.9,562.8,560.15,573.55,574.1,572.62,578.9,315.3,7828638,4482851846.8,122789,AMBUJACEM
2024-01-25,EQ,530,566,526.35,527.45,565.05,560.15,548.93,566,315.3,8019238,4402003628.25,105030,AMBUJACEM
2024-01-24,EQ,525.05,531,514.5,525.05,528,527.45,522.77,557.9,315.3,3893697,2035514198.3,59177,AMBUJACEM
2024-01-23,EQ,543.8,543.8,517.05,540.75,524.7,525.05,529.52,557.9,315.3,2682760,1420568288.45,80294,AMBUJACEM
2024-01-20,EQ,538,546,532.1,537.1,540,540.75,540.61,557.9,315.3,2579032,1394261052.25,32500,AMBUJACEM
2024-01-19,EQ,526.85,538,525.25,524.15,537,537.1,533.38,557.9,315.3,2661086,1419377066.4,51084,AMBUJACEM
2024-01-18,EQ,522.65,526.95,509,520.55,524.95,524.15,520.85,557.9,315.3,2084710,1085827265.4,44360,AMBUJACEM
2024-01-17,EQ,528,539.35,518.25,528.7,523,520.55,527.6,557.9,315.3,6229815,3286846335.1,79488,AMBUJACEM
2024-01-16,EQ,533.8,534.95,525,531.45,527.65,528.7,529.7,557.9,315.3,2732941,1447630493.75,58226,AMBUJACEM
