DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-15,EQ,2980,3024.5,2967.45,2976.4,3017.85,3016.55,2997.93,3568,2700.1,1068730,3203975021.3,96818,ASIANPAINT
2024-02-14,EQ,2969.9,2980.8,2936.05,2971.6,2974,2976.4,2953.41,3568,2700.1,750339,2216062148.85,79621,ASIANPAINT
2024-02-13,EQ,2964.95,2981.25,2945.7,2953.8,2972.05,2971.6,2967.53,3568,2700.1,717118,2128069980.5,60920,ASIANPAINT
2024-02-12,EQ,2951.65,2964.95,2920.05,2951.65,2959,2953.8,2943.98,3568,2700.1,614469,1808984058.55,58111,ASIANPAINT
2024-02-09,EQ,2930,2959,2910.55,2929.6,2955.95,2951.65,2938.62,3568,2700.1,1144765,3364027574.45,104927,ASIANPAINT
2024-02-08,EQ,2999.75,2999.75,2919.8,2981.15,2932,2929.6,2942.95,3568,2700.1,1633654,4807756583.6,138167,ASIANPAINT
2024-02-07,EQ,2957,3002.95,2936.05,2930.95,2985,2981.15,2967.2,3568,2700.1,1134012,3364843397.4,94761,ASIANPAINT
2024-02-06,EQ,2931,2947,2902.65,2917.35,2946,2930.95,2925.04,3568,2700.1,1471312,4303648767.45,105344,ASIANPAINT
2024-02-05,EQ,2950,2965,2912,2936.3,2915.75,2917.35,2939.08,3568,2700.1,923435,2714053455.5,98327,ASIANPAINT
2024-02-02,EQ,2950,2962.35,2924.05,2929.35,2936.35,2936.3,2943.51,3568,2694,1881911,5539425205.4,171522,ASIANPAINT
2024-02-01,EQ,2961,2972.85,2919.95,2957.85,2926.1,2929.35,2933.01,3568,2694,3006472,8818024560.35,141696,ASIANPAINT
2024-01-31,EQ,2966,2971.9,2948.05,2954.1,2964,2957.85,2955.88,3568,2694,1771244,5235584031.15,120914,ASIANPAINT
2024-01-30,EQ,2990,3005,2951.05,2976.05,2959,2954.1,2973.7,3568,2694,1273188,3786074346.25,69876,ASIANPAINT
2024-01-29,EQ,2940.05,2988.45,2940.05,2949.2,2978,2976.05,2971.57,3568,2694,1862723,5535215219.5,106094,ASIANPAINT
2024-01-25,EQ,3010.05,3016,2942.3,2999.45,2949.1,2949.2,2961.59,3568,2685.85,2001961,5928987578.85,165587,ASIANPAINT
2024-01-24,EQ,3055,3055,2976.1,3054.7,3001.95,2999.45,2999.09,3568,2685.85,2665932,7995380686.9,191460,ASIANPAINT
2024-01-23,EQ,3087.55,3109,3021.55,3138.8,3073.95,3054.7,3061.31,3568,2685.85,2365225,7240683404.7,177182,ASIANPAINT
2024-01-20,EQ,3179.9,3189.2,3130.35,3165.85,3142.85,3138.8,3156.45,3568,2685.85,275937,870982603.55,30633,ASIANPAINT
2024-01-19,EQ,3177.8,3201.55,3148.6,3163.85,3166,3165.85,3171.07,3568,2685.85,936201,2968757419.35,107564,ASIANPAINT
2024-01-18,EQ,3257.95,3257.95,3048.6,3242.3,3173,3163.85,3147.43,3568,2685.85,1979174,6229311861.1,188313,ASIANPAINT
2024-01-17,EQ,3294.1,3304.35,3193.05,3296.9,3249.7,3242.3,3264.05,3568,2685.85,2239241,7308999438.65,146143,ASIANPAINT
2024-01-16,EQ,3274.95,3320,3273.9,3273.9,3302.75,3296.9,3300.41,3568,2685.85,748215,2469416279.5,90527,ASIANPAINT
2024-01-15,EQ,3282.2,3287.2,3258.6,3277.8,3280,3273.9,3268.89,3568,2685.85,728116,2380131693.25,71432,ASIANPAINT
2024-01-12,EQ,3294.95,3294.95,3244,3288.2,3287.25,3277.8,3265.68,3568,2685.85,673004,2197818060.5,87373,ASIANPAINT
2024-01-11,EQ,3286.85,3309.2,3270.7,3286.85,3285,3288.2,3285.11,3568,2685.85,537469,1765643934.3,74706,ASIANPAINT
2024-01-10,EQ,3292,3293,3258.2,3267.5,3285,3286.85,3276.23,3568,2685.85,691087,2264157869.2,59565,ASIANPAINT
2024-01-09,EQ,3310,3315,3262.25,3298.4,3272.25,3267.5,3288.37,3568,2685.85,670704,2205522435.2,58748,ASIANPAINT
2024-01-08,EQ,3355,3376.5,3294.85,3355.55,3301,3298.4,3322.1,3568,2685.85,545884,1813483826.75,62730,ASIANPAINT
2024-01-05,EQ,3379.95,3380.4,3348,3379.95,3352,3355.55,3364.27,3568,2685.85,416956,1402751510.35,68006,ASIANPAINT
2024-01-04,EQ,3372,3401.25,3363.8,3373.6,3375.35,3379.95,3385.28,3568,2685.85,777127,2630794902.25,73687,ASIANPAINT
2024-01-03,EQ,3391.35,3399,3365,3391.35,3374.95,3373.6,3384.56,3568,2685.85,379131,1283191878.95,45139,ASIANPAINT
2024-01-02,EQ,3396,3398.9,3345,3396.1,3390,3391.35,3375.92,3568,2685.85,552394,1864837635.55,58169,ASIANPAINT
2024-01-01,EQ,3403,3411.8,3389.15,3402.4,3390,3396.1,3397.12,3568,2685.85,283951,964615249.85,41365,ASIANPAINT
2023-12-29,EQ,3410,3422.95,3383.9,3397.25,3394.75,3402.4,3401.15,3568,2685.85,615676,2094008563.4,67005,ASIANPAINT
2023-12-28,EQ,3405,3419.95,3373.05,3404.45,3399.5,3397.25,3392.66,3568,2685.85,779250,2643732575.2,84398,ASIANPAINT
2023-12-27,EQ,3381.05,3409.95,3354,3383.35,3400,3404.45,3376.34,3568,2685.85,837182,2826614984.65,87270,ASIANPAINT
2023-12-26,EQ,3349.95,3391.9,3345.2,3341.3,3383,3383.35,3370.47,3568,2685.85,600190,2022925133.05,49808,ASIANPAINT
2023-12-22,EQ,3309.9,3350.8,3287,3302.95,3345,3341.3,3331.17,3568,2685.85,930563,3099863702.2,99092,ASIANPAINT
2023-12-21,EQ,3280,3320,3271.85,3297.15,3305.65,3302.95,3296.07,3568,2685.85,1585879,5227175386.6,83813,ASIANPAINT
2023-12-20,EQ,3336.05,3359.95,3282.65,3336.05,3288,3297.15,3327.79,3568,2685.85,979762,3260440870.2,81014,ASIANPAINT
2023-12-19,EQ,3335.95,3353.9,3300.15,3332.05,3335,3336.05,3329.54,3568,2685.85,780448,2598531549.85,62835,ASIANPAINT
2023-12-18,EQ,3313,3335.8,3296,3313.9,3335,3332.05,3322.04,3568,2685.85,911936,3029490833.8,67398,ASIANPAINT
2023-12-15,EQ,3250,3326.35,3242,3241.35,3312.65,3313.9,3288.17,3568,2685.85,1631687,5365262123.4,104245,ASIANPAINT
2023-12-14,EQ,3255,3258.6,3218,3243.65,3245.75,3241.35,3237.43,3568,2685.85,923107,2988496890.3,95724,ASIANPAINT
2023-12-13,EQ,3240,3254.95,3190.3,3224.75,3237.5,3243.65,3221.45,3568,2685.85,1052079,3389223419.7,82462,ASIANPAINT
2023-12-12,EQ,3228,3257.05,3210,3233,3213,3224.75,3231.72,3568,2685.85,1019030,3293219184.2,103825,ASIANPAINT
2023-12-11,EQ,3230,3245,3185.5,3232,3240.15,3233,3210.75,3568,2685.85,910426,2923149196.6,74020,ASIANPAINT
2023-12-08,EQ,3255,3269.8,3227.8,3251.8,3229,3232,3241.09,3568,2685.85,895852,2903535270.85,127121,ASIANPAINT
2023-12-07,EQ,3284,3299.95,3246.85,3252.55,3252,3251.8,3267.33,3568,2685.85,1071725,3501675559.25,118189,ASIANPAINT
2023-12-06,EQ,3265,3289,3232.95,3226.25,3250,3252.55,3266.13,3568,2685.85,1229158,4014589483.95,84535,ASIANPAINT
2023-12-05,EQ,3197,3247.65,3180,3194.55,3220.2,3226.25,3217.52,3568,2685.85,1005550,3235377814.6,75863,ASIANPAINT
2023-12-04,EQ,3190,3204.45,3166.5,3173.4,3196,3194.55,3186.39,3568,2685.85,1018189,3244352091.95,78512,ASIANPAINT
2023-12-01,EQ,3146.95,3190.6,3140.25,3119.9,3172,3173.4,3169.94,3568,2685.85,960196,3043767709.25,69376,ASIANPAINT
2023-11-30,EQ,3148.35,3153.95,3108.35,3148.35,3125.2,3119.9,3124.04,3568,2685.85,1793116,5601766269.5,77072,ASIANPAINT
2023-11-29,EQ,3148.35,3170,3142,3148.35,3149.55,3148.35,3158.69,3568,2685.85,620725,1960680377.4,61685,ASIANPAINT
2023-11-28,EQ,3141.15,3160,3136.15,3136.15,3145.4,3148.35,3150.01,3568,2685.85,647883,2040837993.45,84580,ASIANPAINT
2023-11-24,EQ,3118,3139.8,3111,3122.95,3130.2,3136.15,3126.55,3568,2685.85,756329,2364699220.4,49189,ASIANPAINT
2023-11-23,EQ,3148,3171.4,3115.15,3133,3119.7,3122.95,3139.03,3568,2685.85,792460,2487557657.05,65778,ASIANPAINT
2023-11-22,EQ,3140,3157,3121.2,3133.25,3130.3,3133,3139.35,3568,2685.85,489889,1537931540.4,47598,ASIANPAINT
2023-11-21,EQ,3156.9,3156.9,3127,3140.35,3134.7,3133.25,3135.93,3568,2685.85,409069,1282813126.2,50458,ASIANPAINT
2023-11-20,EQ,3168.9,3171.9,3132,3168.9,3140,3140.35,3146.59,3568,2685.85,406431,1278869993.5,50256,ASIANPAINT
2023-11-17,EQ,3150,3228.25,3145.65,3130.3,3167,3168.9,3196.91,3568,2685.85,1430175,4572143138.9,111559,ASIANPAINT
2023-11-16,EQ,3119,3140.9,3097.6,3116.2,3131.1,3130.3,3125.99,3568,2685.85,675454,2111463858.05,70056,ASIANPAINT
2023-11-15,EQ,3085.7,3118.85,3078.7,3085.6,3115.8,3116.2,3101.22,3568,2685.85,700017,2170906897.2,64696,ASIANPAINT
2023-11-13,EQ,3098,3098,3065,3098.15,3083,3085.6,3079.6,3568,2685.85,405941,1250134113.5,38458,ASIANPAINT
2023-11-12,EQ,3099.95,3100,3090,3076.45,3099.5,3098.15,3097.92,3568,2685.85,85178,263874727.45,14342,ASIANPAINT
2023-11-10,EQ,3070,3085,3040.1,3080.2,3080,3076.45,3063.01,3568,2685.85,364232,1115647633.35,40004,ASIANPAINT
2023-11-09,EQ,3100,3111.4,3074.05,3095.25,3080,3080.2,3092.43,3568,2685.85,849702,2627643628.1,69891,ASIANPAINT
2023-11-08,EQ,3058,3098.95,3046.2,3033.35,3098,3095.25,3081.68,3568,2685.85,783400,2414188986.5,62335,ASIANPAINT
2023-11-07,EQ,3029.3,3038.95,3002.2,3029.3,3038,3033.35,3022.8,3568,2685.85,757998,2291279142.5,58294,ASIANPAINT
2023-11-06,EQ,2998,3034.05,2983.85,2977.85,3029.7,3029.3,3014.43,3568,2685.85,620959,1871838596.55,62963,ASIANPAINT
2023-11-03,EQ,2957,2982.9,2942,2955.4,2978.2,2977.85,2969.9,3568,2685.85,715997,2126441016.75,70256,ASIANPAINT
2023-11-02,EQ,2961.05,2962,2934,2934.55,2955.1,2955.4,2948.93,3568,2685.85,900125,2654401760.7,94444,ASIANPAINT
2023-11-01,EQ,2997.95,3008.9,2930,2995.7,2938,2934.55,2954.56,3568,2685.85,1029990,3043165462.15,118913,ASIANPAINT
2023-10-31,EQ,2969,3012.75,2966,2967.1,2999,2995.7,2994.91,3568,2685.85,1152306,3451054390.8,95564,ASIANPAINT
2023-10-30,EQ,2974,2991.95,2939.1,2955.15,2973,2967.1,2966.44,3568,2685.85,878885,2607159628.5,74109,ASIANPAINT
2023-10-27,EQ,2932.8,2974.65,2931,2960.3,2959,2955.15,2954.69,3568,2685.85,1708185,5047160433.3,156670,ASIANPAINT
2023-10-26,EQ,3051.1,3055,2940,3060.8,2951,2960.3,2985.38,3568,2685.85,1834111,5475510150.55,161772,ASIANPAINT
2023-10-25,EQ,3093.4,3108,3052,3072,3061.1,3060.8,3081.66,3568,2685.85,669290,2062523283.25,68987,ASIANPAINT
2023-10-23,EQ,3096.05,3108.9,3064,3105.85,3068,3072,3090.96,3568,2685.85,374476,1157490160.85,55331,ASIANPAINT
2023-10-20,EQ,3092.5,3115.1,3064.55,3101.8,3105,3105.85,3098.44,3568,2685.85,711434,2204334814.9,89613,ASIANPAINT
2023-10-19,EQ,3087.7,3110.9,3076.1,3096.45,3101,3101.8,3095.68,3568,2685.85,568124,1758727731.4,73872,ASIANPAINT
2023-10-18,EQ,3110,3115.2,3090,3113.55,3095.25,3096.45,3104.55,3568,2685.85,481985,1496344917.95,60993,ASIANPAINT
2023-10-17,EQ,3137,3137,3091.8,3112.05,3116.9,3113.55,3110.94,3568,2685.85,792640,2465856469.75,68035,ASIANPAINT
2023-10-16,EQ,3124,3128,3096.1,3148.8,3112,3112.05,3113.39,3568,2685.85,853011,2655758018.2,89855,ASIANPAINT
2023-10-13,EQ,3150,3172,3128.25,3159.1,3148,3148.8,3147.26,3568,2685.85,854688,2689927266.85,110722,ASIANPAINT
2023-10-12,EQ,3186,3188.5,3150.05,3163.9,3162,3159.1,3159.03,3568,2685.85,992531,3135431725.45,103482,ASIANPAINT
2023-10-11,EQ,3169,3185,3152.05,3151.5,3164,3163.9,3167.68,3568,2685.85,1025317,3247876025.65,89674,ASIANPAINT
2023-10-10,EQ,3150,3164.9,3140.05,3152.8,3152.95,3151.5,3150.31,3568,2685.85,847367,2669464652.25,78153,ASIANPAINT
2023-10-09,EQ,3140.05,3163,3132.7,3195.75,3152,3152.8,3152.84,3568,2685.85,700012,2207025609.45,67617,ASIANPAINT
2023-10-06,EQ,3214.75,3217,3190,3206.25,3197,3195.75,3200.44,3568,2685.85,814257,2605977189.8,63803,ASIANPAINT
2023-10-05,EQ,3210,3232.1,3174.3,3169.9,3202,3206.25,3200.15,3568,2685.85,1002610,3208506367,83570,ASIANPAINT
2023-10-04,EQ,3164.95,3189,3151.35,3166.85,3169.1,3169.9,3171.84,3568,2685.85,892584,2831132462.65,80714,ASIANPAINT
2023-10-03,EQ,3166.1,3227.8,3162,3161.05,3167.5,3166.85,3188.43,3568,2685.85,1219145,3887155363.7,90310,ASIANPAINT
