DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1012.95,1019.1,1003,1007.45,1006.3,1006.2,1010.55,1259.4,522,910442,920045862.2,31709,ATGL
2024-02-15,EQ,1012,1033.95,1005.75,1010.5,1007,1007.45,1014.95,1259.4,522,1426683,1448016599.4,41338,ATGL
2024-02-14,EQ,983,1027.3,983,1007.8,1010,1010.5,1011.16,1259.4,522,2923474,2956095829.5,73901,ATGL
2024-02-13,EQ,1035,1036.95,986.5,1025.25,1009,1007.8,1006.06,1259.4,522,3440888,3461746733.55,86555,ATGL
2024-02-12,EQ,1033.7,1061.9,1014,1023.75,1032,1025.25,1038.25,1259.4,522,4800285,4983902391.9,126048,ATGL
2024-02-09,EQ,1029,1049.6,1003.2,1023.1,1025,1023.75,1021.25,1541.25,522,3710884,3789723136.75,90392,ATGL
2024-02-08,EQ,1059,1065,1016,1040.05,1025,1023.1,1028.15,1541.25,522,3714348,3818891050.05,88654,ATGL
2024-02-07,EQ,1008.9,1072.2,1001.05,994.95,1038.5,1040.05,1043.57,1541.25,522,6750686,7044805853.75,174134,ATGL
2024-02-06,EQ,1005,1018.55,988,989.05,994.9,994.95,998.38,1541.25,522,1229019,1227030706.25,34059,ATGL
2024-02-05,EQ,1003,1007,985,999.25,990.9,989.05,996.17,1541.25,522,2482752,2473236691.25,60011,ATGL
2024-02-02,EQ,1006.05,1014.15,996,1004.1,998,999.25,1007.16,2538,522,2348536,2365357575.7,47016,ATGL
2024-02-01,EQ,1018.3,1029.7,999.15,1012.35,1000,1004.1,1009.25,2538,522,2855495,2881910483.05,68192,ATGL
2024-01-31,EQ,1030,1035.7,1006.3,1028.15,1010,1012.35,1020.36,2538,522,2672010,2726417973.1,58401,ATGL
2024-01-30,EQ,1040,1050,1018.3,1035.7,1027,1028.15,1034.42,2538,522,2709758,2803037522.8,60331,ATGL
2024-01-29,EQ,1010,1053,1005.05,1002.95,1034.3,1035.7,1034.1,2538,522,1816753,1878704181.3,54187,ATGL
2024-01-25,EQ,1002.2,1016.9,995.2,1002.2,1003.4,1002.95,1003.6,4000,522,824946,827916039.7,29935,ATGL
2024-01-24,EQ,990,1018,982,996.35,1002,1002.2,1000.73,4000,522,1122020,1122839345.55,39841,ATGL
2024-01-23,EQ,1060,1068,990.1,1048.1,996,996.35,1017.58,4000,522,1670762,1700127816.3,61958,ATGL
2024-01-20,EQ,995.25,1059.85,980.5,990.5,1049,1048.1,1023.77,4000,522,2604323,2666218125.45,77596,ATGL
2024-01-19,EQ,1000,1007.95,986.05,983.1,991.95,990.5,995.87,4000,522,852306,848782970.05,32422,ATGL
2024-01-18,EQ,1006.9,1014.7,972.45,1004.1,989,983.1,987.83,4000,522,1849733,1827225233.4,67191,ATGL
