DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,8185.85,8455.45,8137.1,8123.05,8344,8325.05,8351.05,8455.45,3625.6,938756,7839602654.35,125517,BAJAJ-AUTO
2024-02-15,EQ,8120.6,8156.85,8045.3,8083.3,8097,8123.05,8112.89,8156.85,3625.6,394525,3200737004.55,61985,BAJAJ-AUTO
2024-02-14,EQ,7899,8136.85,7880,7917.4,8120.2,8083.3,8006.46,8136.85,3625.6,513900,4114518368,69582,BAJAJ-AUTO
2024-02-13,EQ,7830,7935.15,7811.95,7829.95,7913,7917.4,7887.24,7935.15,3625.6,258767,2040958332.4,44520,BAJAJ-AUTO
2024-02-12,EQ,7775,7874.2,7766.05,7784.85,7824.95,7829.95,7826.21,7874.2,3625.6,219911,1721070209.55,44553,BAJAJ-AUTO
2024-02-09,EQ,7778.8,7790.5,7669,7757.25,7780,7784.85,7746.85,7838,3625.6,173555,1344503945.7,36821,BAJAJ-AUTO
2024-02-08,EQ,7729,7783.45,7668.15,7701.9,7759,7757.25,7739.21,7838,3625.6,282537,2186614189.7,60810,BAJAJ-AUTO
2024-02-07,EQ,7745,7777.8,7665.6,7720.4,7710,7701.9,7705.71,7838,3625.6,159783,1231242027.4,37432,BAJAJ-AUTO
2024-02-06,EQ,7675,7747.7,7670.6,7658.25,7729,7720.4,7718.86,7838,3625.6,131992,1018827817.4,30889,BAJAJ-AUTO
2024-02-05,EQ,7800,7838,7633.5,7738.2,7664.55,7658.25,7734.25,7838,3625.6,252401,1952131501,44838,BAJAJ-AUTO
2024-02-02,EQ,7675,7797.5,7665.6,7655.75,7750,7738.2,7744.07,7797.5,3625.6,197720,1531157204.9,41091,BAJAJ-AUTO
2024-02-01,EQ,7680,7765,7636.35,7667.55,7655,7655.75,7705.24,7765,3625.6,394564,3040209128.9,70092,BAJAJ-AUTO
2024-01-31,EQ,7566.4,7686,7515.1,7566.4,7667.8,7667.55,7622.37,7686,3625.6,336874,2567778947.7,50688,BAJAJ-AUTO
2024-01-30,EQ,7574.9,7660,7543.65,7548.8,7555,7566.4,7596.46,7660,3625.6,266287,2022838923.15,37823,BAJAJ-AUTO
