DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,8825.9,8925,8620.2,8769.1,8850,8784.75,8795.1,8925,5770,38842,341619120.05,9986,BAJAJHLDNG
2024-02-15,EQ,8764.4,8825,8680.85,8764.4,8730,8769.1,8760.15,8878.95,5770,17982,157525033.8,4817,BAJAJHLDNG
2024-02-14,EQ,8700.15,8878.95,8651,8761.8,8761,8764.4,8772.42,8878.95,5770,16425,144086987.7,7164,BAJAJHLDNG
2024-02-13,EQ,8619.6,8790,8571.55,8619.6,8755,8761.8,8716.02,8790,5770,16594,144633661.5,6619,BAJAJHLDNG
2024-02-12,EQ,8634,8700.9,8519.65,8634.05,8541,8619.6,8614.24,8784.1,5770,11036,95066788.9,4720,BAJAJHLDNG
2024-02-09,EQ,8684.25,8784.1,8510,8674.05,8608,8634.05,8657.19,8784.1,5770,27292,236272071.8,11855,BAJAJHLDNG
2024-02-08,EQ,8700,8724.9,8575,8611.85,8658,8674.05,8679.87,8724.9,5770,38780,336605264.15,11165,BAJAJHLDNG
2024-02-07,EQ,8524,8719,8452,8452.45,8605,8611.85,8607.84,8719,5770,48763,419744193.25,12323,BAJAJHLDNG
2024-02-06,EQ,8342.8,8479.5,8283.55,8330.35,8451.55,8452.45,8389.72,8568,5770,19163,160772212.2,4656,BAJAJHLDNG
2024-02-05,EQ,8468.8,8520,8307.9,8461.45,8310,8330.35,8418.24,8568,5770,18949,159517217.4,5961,BAJAJHLDNG
2024-02-02,EQ,8341.9,8485,8271.05,8341.9,8452,8461.45,8389.73,8568,5770,16462,138111679.15,5853,BAJAJHLDNG
2024-02-01,EQ,8457,8457,8251.3,8366.3,8305,8341.9,8309.13,8568,5770,21348,177383252.1,7914,BAJAJHLDNG
2024-01-31,EQ,8251.65,8393.55,8211,8251.65,8351,8366.3,8307.16,8568,5770,35250,292827279.4,10878,BAJAJHLDNG
2024-01-30,EQ,8255,8327.9,8202.15,8246.55,8251,8251.65,8252.61,8568,5770,34625,285746723.9,8471,BAJAJHLDNG
2024-01-29,EQ,8192.05,8380,8177.55,8194.7,8229.1,8246.55,8283.1,8568,5770,32525,269407949.3,13463,BAJAJHLDNG
2024-01-25,EQ,8224.1,8224.9,8130,8190.95,8160,8194.7,8170.19,8568,5570,14926,121948291,4346,BAJAJHLDNG
2024-01-24,EQ,8199.85,8230.9,8001,8122.2,8170,8190.95,8125.09,8568,5570,21964,178459399,8410,BAJAJHLDNG
2024-01-23,EQ,8400,8400,8007.55,8261.55,8051,8122.2,8236.78,8568,5570,38548,317511255.1,11697,BAJAJHLDNG
2024-01-20,EQ,8472.85,8568,8213.45,8472.8,8262,8261.55,8318.27,8568,5560.15,32340,269012989.05,10178,BAJAJHLDNG
2024-01-19,EQ,8003.5,8500,8003.5,7999.35,8450,8472.8,8359.99,8500,5560.15,135675,1134241550.6,25995,BAJAJHLDNG
2024-01-18,EQ,8139.8,8139.8,7890,8098.75,8000,7999.35,7985.74,8373.85,5560.15,33821,270085842,10885,BAJAJHLDNG
2024-01-17,EQ,8149.95,8150,8058.15,8177.35,8140,8098.75,8098.62,8373.85,5560.15,21311,172589637.45,5211,BAJAJHLDNG
2024-01-16,EQ,8200,8209,8140.75,8222.8,8180.05,8177.35,8175.58,8373.85,5560.15,14829,121235665.75,5251,BAJAJHLDNG
2024-01-15,EQ,8090,8250,8081.8,8051.55,8199.8,8222.8,8203.49,8373.85,5560.15,33759,276941701.2,7736,BAJAJHLDNG
2024-01-12,EQ,8078,8117.95,8025,8041.15,8074.5,8051.55,8069.98,8373.85,5560.15,9367,75591534.6,3371,BAJAJHLDNG
2024-01-11,EQ,8032.7,8108.95,8005.25,8031.95,8048.65,8041.15,8069.04,8373.85,5560.15,19415,156660506.7,4531,BAJAJHLDNG
2024-01-10,EQ,8088,8136.6,7990,8008.35,8014,8031.95,8042.86,8373.85,5560.15,21386,172004655.65,7402,BAJAJHLDNG
2024-01-09,EQ,8279.95,8312.95,7965,8045.8,8044,8008.35,8111.9,8373.85,5560.15,38473,312089219.75,10803,BAJAJHLDNG
2024-01-08,EQ,8070,8128.3,8018,8066.1,8059,8045.8,8057.27,8373.85,5560.15,11458,92320152.7,3602,BAJAJHLDNG
2024-01-05,EQ,8252,8275,8020,8209.95,8074.35,8066.1,8138.78,8373.85,5560.15,26527,215897458.8,6659,BAJAJHLDNG
2024-01-04,EQ,8080,8246,7968.05,8103.4,8200,8209.95,8147.3,8373.85,5560.15,46150,375997843.2,11419,BAJAJHLDNG
2024-01-03,EQ,7829.95,8220.55,7711.2,7817.75,7950,8103.4,8028.33,8373.85,5560.15,86219,692194740.95,17654,BAJAJHLDNG
2024-01-02,EQ,7810,7848.95,7756.05,7763.65,7819.2,7817.75,7804.98,8373.85,5560.15,30786,240284180,9096,BAJAJHLDNG
2024-01-01,EQ,7710,7799,7700,7674.6,7750,7763.65,7757.18,8373.85,5560.15,17080,132492650,3918,BAJAJHLDNG
2023-12-29,EQ,7749.9,7819.85,7620,7713.25,7698,7674.6,7739.35,8373.85,5560.15,52509,406385712.45,14354,BAJAJHLDNG
2023-12-28,EQ,7968.95,8188.45,7676.8,7921.35,7715,7713.25,7897.89,8373.85,5560.15,87310,689564457.2,24730,BAJAJHLDNG
2023-12-27,EQ,7898.95,7980,7830.1,7891.4,7923,7921.35,7934.58,8373.85,5560.15,11177,88684832.8,3638,BAJAJHLDNG
2023-12-26,EQ,7877,7955,7835,7837.6,7895,7891.4,7886.72,8373.85,5560.15,19122,150809893.15,4818,BAJAJHLDNG
2023-12-22,EQ,7745,7873.2,7745,7742.95,7835,7837.6,7838.32,8373.85,5560.15,17659,138416813.3,5164,BAJAJHLDNG
2023-12-21,EQ,7777,7805,7660,7869.65,7743.15,7742.95,7741.96,8373.85,5560.15,29668,229688617.3,8612,BAJAJHLDNG
2023-12-20,EQ,7860,7914.25,7812,7827.35,7851,7869.65,7860.92,8373.85,5560.15,27757,218195504.05,6320,BAJAJHLDNG
2023-12-19,EQ,7940,7940,7800,7894.6,7812,7827.35,7836.74,8373.85,5560.15,54892,430174581.75,7564,BAJAJHLDNG
2023-12-18,EQ,8039.85,8039.85,7870.15,7969.8,7884.9,7894.6,7944.06,8373.85,5560.15,39141,310938634.5,9868,BAJAJHLDNG
2023-12-15,EQ,8325.55,8370,7883.75,8325.6,7946,7969.8,8051.42,8373.85,5560.15,75533,608147781.45,16916,BAJAJHLDNG
2023-12-14,EQ,8233.1,8350,8160.1,8233.1,8330,8325.6,8275.15,8373.85,5560.15,41327,341987287.7,11804,BAJAJHLDNG
2023-12-13,EQ,7849.85,8366.65,7823.25,7838,8250,8233.1,8122.92,8373.85,5560.15,53366,433487639.65,12726,BAJAJHLDNG
2023-12-12,EQ,7900.5,7900.5,7755.6,7818.1,7862.7,7838,7816,8373.85,5560.15,26619,208054222.35,6719,BAJAJHLDNG
2023-12-11,EQ,7984.25,8039,7770,7984.25,7808.5,7818.1,7816.74,8373.85,5560.15,64180,501678343.35,9757,BAJAJHLDNG
2023-12-08,EQ,8080.4,8080.4,7920,8080.4,7980.8,7984.25,7968.92,8373.85,5560.15,27621,220109611.65,8262,BAJAJHLDNG
2023-12-07,EQ,7870,8373.85,7800,7879,8010,8080.4,8149.1,8373.85,5560.15,151760,1236706805.85,34232,BAJAJHLDNG
2023-12-06,EQ,7780,7950,7720,7709.25,7880,7879,7856.13,7974.25,5560.15,43794,344051367.05,8616,BAJAJHLDNG
2023-12-05,EQ,7897,7897,7629.65,7849.95,7715,7709.25,7711.89,7974.25,5560.15,65891,508144369.55,10873,BAJAJHLDNG
2023-12-04,EQ,7396.65,7974.25,7357.05,7332.9,7825,7849.95,7749.02,7974.25,5560.15,157847,1223160098,34094,BAJAJHLDNG
2023-12-01,EQ,7406.95,7439.95,7260.55,7356.1,7320,7332.9,7317.57,7640,5560.15,30157,220675900.45,7685,BAJAJHLDNG
2023-11-30,EQ,7371.25,7400,7210,7309.35,7380,7356.1,7324.44,7640,5560.15,57191,418891801.3,16171,BAJAJHLDNG
2023-11-29,EQ,7325,7444.85,7244.55,7320.7,7343,7309.35,7330.89,7640,5560.15,17133,125600066.95,3925,BAJAJHLDNG
2023-11-28,EQ,7420.1,7480,7300,7438.85,7327.25,7320.7,7354.18,7640,5560.15,19597,144119786.05,4971,BAJAJHLDNG
2023-11-24,EQ,7423.6,7488.8,7399,7423.6,7439.1,7438.85,7439.23,7640,5560.15,14344,106708381.85,4214,BAJAJHLDNG
2023-11-23,EQ,7420.9,7440,7329.95,7377.3,7437,7423.6,7400.27,7640,5560.15,15089,111662673.6,3012,BAJAJHLDNG
2023-11-22,EQ,7359,7470,7330.4,7346,7368,7377.3,7399.05,7640,5560.15,27197,201231949.3,6355,BAJAJHLDNG
2023-11-21,EQ,7320,7355,7234.05,7272,7320,7346,7314.9,7640,5560.15,11430,83609250.7,3115,BAJAJHLDNG
2023-11-20,EQ,7347.8,7357.7,7243.6,7347.8,7299.95,7272,7281.4,7640,5560.15,12074,87915624.3,4186,BAJAJHLDNG
