DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,276.1,280.75,274.55,275.7,275.4,275.65,277.99,280.75,153.15,20666587,5745146812.65,129288,BANKBARODA
2024-02-15,EQ,269.9,277,269.05,267.8,275.1,275.7,274.07,277,153.15,32254489,8839907379.05,158913,BANKBARODA
2024-02-14,EQ,255.1,271,252.35,259.6,269.85,267.8,261.63,271,153.15,30063655,7865515154.4,176381,BANKBARODA
2024-02-13,EQ,254.7,260.5,249.2,254.7,258.7,259.6,255.66,267.4,153.15,18922366,4837691093.75,134941,BANKBARODA
2024-02-12,EQ,266.1,267.4,253.05,263.5,254.4,254.7,260.41,267.4,153.15,26620786,6932203945.75,141605,BANKBARODA
2024-02-09,EQ,253.35,266.5,247.5,253.1,265.85,263.5,258.1,266.5,153.15,46201039,11924365925,213471,BANKBARODA
2024-02-08,EQ,248,256.3,247.05,244.65,253.5,253.1,252.31,262.5,153.15,33645402,8488972469.8,189246,BANKBARODA
2024-02-07,EQ,252.9,252.9,242.65,250.3,246.5,244.65,246.95,262.5,153.15,55656306,13744136893.85,354213,BANKBARODA
2024-02-06,EQ,258,258.3,246.2,257.45,251.4,250.3,250.27,262.5,153.15,17506394,4381370542.2,110796,BANKBARODA
2024-02-05,EQ,257.65,262.5,255.75,255.25,257.3,257.45,259.52,262.5,153.15,21283536,5523584094.5,158127,BANKBARODA
2024-02-02,EQ,259.3,261,254.5,255.95,255,255.25,257.92,261,146.5,29946219,7723763025,155168,BANKBARODA
2024-02-01,EQ,250,257.45,243,247.6,256.5,255.95,250.98,257.45,146.5,43749140,10979968357.15,212145,BANKBARODA
2024-01-31,EQ,238.9,250,232.05,237.45,248.2,247.6,243.21,250,146.5,63750711,15504625368.05,265308,BANKBARODA
2024-01-30,EQ,235,242.4,233.8,234.25,237.35,237.45,238.44,242.4,146.5,22612702,5391740084,116301,BANKBARODA
2024-01-29,EQ,227.65,235.75,227.65,227.05,234.4,234.25,233.15,240.1,146.5,20641625,4812508254.55,112034,BANKBARODA
2024-01-25,EQ,228,231.35,223.3,228.65,227.2,227.05,226.72,240.1,146.5,20473287,4641751311.2,128734,BANKBARODA
2024-01-24,EQ,223,229,219.65,222.4,228.25,228.65,225.99,240.1,146.5,36236660,8189046193.8,114276,BANKBARODA
2024-01-23,EQ,234,235.75,221.45,232.5,223.3,222.4,225.34,240.1,146.5,36926359,8321084182.3,161383,BANKBARODA
2024-01-20,EQ,230.7,233.5,228,230.65,233.3,232.5,231.19,240.1,146.5,10482470,2423482992.55,65494,BANKBARODA
2024-01-19,EQ,229.55,231.5,228.5,227.7,230.7,230.65,229.97,240.1,146.5,9445978,2172324317.4,66105,BANKBARODA
2024-01-18,EQ,224.95,230.2,222,225.5,228.5,227.7,226.87,240.1,146.5,16224153,3680821242.25,110866,BANKBARODA
2024-01-17,EQ,229,233.2,224.55,231.25,225.85,225.5,228.68,240.1,146.5,34099113,7797809436.1,175832,BANKBARODA
2024-01-16,EQ,231.1,234.25,229.4,231.1,231.5,231.25,232.14,240.1,146.5,13977706,3244752070.15,72571,BANKBARODA
2024-01-15,EQ,230.7,233.25,228.65,229.9,231.2,231.1,230.68,240.1,146.5,12678381,2924629742,90306,BANKBARODA
