DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,189,190.4,186.85,185.95,187.9,188.3,188.56,195.5,89.65,29843059,5627224593.85,145647,BEL
2024-02-15,EQ,183,186.3,182.6,181.6,186,185.95,185.02,195.5,89.65,17335763,3207482959.95,117872,BEL
2024-02-14,EQ,177.25,182.15,175.3,176.6,182,181.6,179.66,195.5,89.65,23449380,4213007649.9,141263,BEL
2024-02-13,EQ,174.75,176.9,171.75,174.65,176.5,176.6,175.16,195.5,89.65,13961795,2445594583.75,106409,BEL
2024-02-12,EQ,181.25,183.1,173.65,180.65,175,174.65,177.76,195.5,89.65,19640568,3491385009.55,126308,BEL
2024-02-09,EQ,185.5,185.7,176.5,184.8,180.9,180.65,179.92,195.5,89.65,21081134,3792908785.9,145309,BEL
2024-02-08,EQ,182.2,187.1,181.75,181.7,185.3,184.8,185.09,195.5,89.65,29094709,5385099237.95,138849,BEL
2024-02-07,EQ,184.15,184.15,179.65,183.1,181.85,181.7,181.76,195.5,89.65,14192151,2579614063.55,120875,BEL
2024-02-06,EQ,182.4,183.55,180.7,181.55,183.35,183.1,182.57,195.5,89.65,12134363,2215410520.9,100644,BEL
2024-02-05,EQ,187,187,178.8,184.6,181.5,181.55,183.54,195.5,89.65,23880364,4383077502.2,175569,BEL
2024-02-02,EQ,185,187.75,183.85,183.4,184.5,184.6,185.32,195.5,87,27710061,5135224537.2,180434,BEL
2024-02-01,EQ,187.7,188.4,181.55,185.9,183.5,183.4,184.18,195.5,87,27835431,5126786835.9,176726,BEL
2024-01-31,EQ,188.2,189.1,184.85,187.9,186.25,185.9,186.13,195.5,87,23757415,4421939520.65,169976,BEL
2024-01-30,EQ,192,192.35,187,190.9,188,187.9,189.37,195.5,87,20894159,3956811960.3,151713,BEL
2024-01-29,EQ,190,193.7,187.55,189.7,191.7,190.9,190.93,195.5,87,28919512,5521595071.25,137760,BEL
2024-01-25,EQ,190.75,192,188.3,189.25,189.95,189.7,189.85,195.5,87,12592882,2390803337.1,128052,BEL
2024-01-24,EQ,186.8,190.2,184,187.1,189.4,189.25,188.14,195.5,87,14742783,2773716284.15,118101,BEL
2024-01-23,EQ,195.25,195.5,184.4,193.4,187.2,187.1,188.97,195.5,87,26628471,5031910850.7,157317,BEL
2024-01-20,EQ,193,195,190.7,191.85,193.45,193.4,193.3,195,87,12654436,2446112214.25,68956,BEL
2024-01-19,EQ,190,193.7,190,188.2,192,191.85,191.64,193.7,87,22303305,4274098237.3,147037,BEL
2024-01-18,EQ,185.65,189,180,185.65,189,188.2,185.47,190.25,87,24831623,4605571445.75,153298,BEL
2024-01-17,EQ,186.3,188.5,183.8,186.8,186.1,185.65,186.03,190.25,87,16350370,3041699550.25,106554,BEL
2024-01-16,EQ,188.9,190.25,185.1,188.65,186.5,186.8,187.87,190.25,87,16471601,3094449856.45,99112,BEL
2024-01-15,EQ,184.9,189.9,184.1,183.5,188.85,188.65,187.59,189.9,87,24570393,4609064269.65,136428,BEL
2024-01-12,EQ,185.35,185.5,183.1,184.35,183.75,183.5,183.95,188.65,87,8853157,1628547608.85,77326,BEL
2024-01-11,EQ,187,187.65,183.8,185.6,184.35,184.35,185.38,188.65,87,10942508,2028487273.55,66848,BEL
2024-01-10,EQ,184.4,186,182.05,184.65,186,185.6,184.15,188.65,87,8701594,1602410232.75,65221,BEL
2024-01-09,EQ,184.9,186.7,184.2,183.6,185,184.65,185.34,188.65,87,11550790,2140834759.4,63489,BEL
2024-01-08,EQ,186.75,187.5,183.2,185.95,184.75,183.6,184.67,188.65,87,11472441,2118640718.65,74094,BEL
2024-01-05,EQ,187.7,188.65,184.05,186.9,186.1,185.95,186.91,188.65,87,22023938,4116563974.3,98674,BEL
2024-01-04,EQ,182.5,187.65,182.5,182.35,187.2,186.9,185.53,187.65,87,25403124,4712944402.6,90977,BEL
2024-01-03,EQ,182.35,184.7,180.6,182.15,182.7,182.35,182.6,187,87,18738690,3421651530.7,76751,BEL
2024-01-02,EQ,186,186.2,179.75,184.95,182.45,182.15,181.85,187,87,22790965,4144484941.15,114946,BEL
2024-01-01,EQ,184.8,187,184.45,184.2,184.5,184.95,185.65,187,87,18008785,3343417730.3,120893,BEL
2023-12-29,EQ,182.95,185.2,181.1,182.7,183.5,184.2,183.35,185.2,87,19305150,3539665590.1,104107,BEL
2023-12-28,EQ,181.5,184.25,180.8,180.2,182.5,182.7,182.61,184.9,87,20453485,3734961405.55,119866,BEL
2023-12-27,EQ,184,184.9,179.1,181.95,180.7,180.2,181.93,184.9,87,26206240,4767664913.3,131493,BEL
2023-12-26,EQ,178,184.5,178,174.8,182.5,181.95,182.12,184.5,87,52736391,9604545840.75,297531,BEL
2023-12-22,EQ,171.95,175.25,169.4,170.65,174.55,174.8,172.89,176.3,87,19640046,3395642217.35,97612,BEL
2023-12-21,EQ,165,171.85,164.05,167.25,170.7,170.65,169.52,176.3,87,22646625,3839080279.3,124094,BEL
2023-12-20,EQ,173.75,176.3,166.15,173.05,166.95,167.25,172.31,176.3,87,24511237,4223604671.1,178215,BEL
2023-12-19,EQ,172.9,174.4,171.1,172.7,173.15,173.05,172.89,174.4,87,14732129,2547097668.2,97367,BEL
2023-12-18,EQ,171.75,174.35,169.45,169.05,172.35,172.7,172.17,174.35,87,35901409,6181312326.05,152206,BEL
2023-12-15,EQ,166,170.2,165.25,164,169.35,169.05,168.33,170.2,87,39766631,6694024639.3,154755,BEL
2023-12-14,EQ,163.1,164.35,162.6,162.85,164,164,163.5,164.35,87,13887946,2270734902.65,72030,BEL
2023-12-13,EQ,160.2,163.9,159.4,160.8,162.65,162.85,162.04,163.9,87,16804086,2722866313.2,82048,BEL
2023-12-12,EQ,162.45,162.8,160,161.25,160.75,160.8,161.28,163.25,87,16306341,2629882238.2,111589,BEL
2023-12-11,EQ,159.8,163.25,159.15,158.75,161.4,161.25,161.46,163.25,87,22941648,3704255517.05,107016,BEL
2023-12-08,EQ,161.35,162.35,157.3,160.35,158.7,158.75,159.18,162.35,87,22869782,3640305021.35,121662,BEL
2023-12-07,EQ,161.8,161.8,158.25,156.15,160.2,160.35,159.92,161.8,87,51346222,8211451709.05,175068,BEL
2023-12-06,EQ,152.6,157.15,151.85,152,156,156.15,155.17,157.5,87,26688698,4141300891.65,116051,BEL
2023-12-05,EQ,153.7,155.1,149.95,153.55,152.3,152,151.95,157.5,87,29109123,4423009463.05,117678,BEL
2023-12-04,EQ,152,157.5,151.6,147.45,153.75,153.55,154.42,157.5,87,51416976,7939753106.05,186200,BEL
2023-12-01,EQ,147.95,150.3,146.75,145.9,147.3,147.45,148.27,150.3,87,34466616,5110435564.8,128531,BEL
