DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,554,564.35,554,553.4,563.2,562.9,559.63,759,533.1,725200,405840064.05,20784,BERGEPAINT
2024-02-15,EQ,562.9,562.9,552,560.85,552.95,553.4,555.35,759,533.1,488382,271224148.15,16603,BERGEPAINT
2024-02-14,EQ,556.55,561.65,546.65,558.5,560.9,560.85,556.23,759,533.1,850727,473200478.55,24461,BERGEPAINT
2024-02-13,EQ,551.8,559.9,546.55,551,558.6,558.5,555.08,759,533.1,596957,331361023.1,21122,BERGEPAINT
2024-02-12,EQ,553.95,555.3,545.45,554,550.35,551,550.36,759,533.1,813053,447475841.9,17883,BERGEPAINT
2024-02-09,EQ,551.85,556.75,543.45,549,551.7,554,549.98,759,533.1,1075063,591262040.15,32892,BERGEPAINT
2024-02-08,EQ,555.8,559.5,546.7,555.8,549,549,554.38,759,533.1,1033571,572991355.65,27578,BERGEPAINT
2024-02-07,EQ,569,578.25,552,555.8,555,555.8,560.88,759,533.1,4449337,2495562824.1,75841,BERGEPAINT
2024-02-06,EQ,567.1,567.1,553.85,567.1,555.6,555.8,557.5,759,533.1,1071673,597456094.15,24543,BERGEPAINT
2024-02-05,EQ,574,574.9,564.6,569.55,565.5,567.1,570.65,759,533.1,732928,418242012.9,22617,BERGEPAINT
2024-02-02,EQ,568.3,571,561.45,565.5,570.65,569.55,567.13,759,527.15,996264,565013887.35,19344,BERGEPAINT
2024-02-01,EQ,565.55,567.45,562,565.15,564,565.5,564.77,759,527.15,640925,361976474.4,21178,BERGEPAINT
2024-01-31,EQ,562.1,567.1,558,561.8,564.8,565.15,563.29,759,527.15,554075,312103820.05,17454,BERGEPAINT
2024-01-30,EQ,563.2,566.7,558.3,559.85,559.75,561.8,563.52,759,527.15,592044,333629161.5,13139,BERGEPAINT
2024-01-29,EQ,552,563.9,551.1,554.7,562.7,559.85,557.21,759,527.15,595840,332008478.65,16071,BERGEPAINT
2024-01-25,EQ,563,563,552,562.55,554.8,554.7,558.14,759,527.15,1099198,613505027.95,25778,BERGEPAINT
2024-01-24,EQ,549.9,563.9,542.85,547,563,562.55,553.56,759,527.15,1093896,605536353.5,31308,BERGEPAINT
2024-01-23,EQ,575,575,542.55,575.4,548,547,553.45,759,527.15,1857284,1027920829.25,48345,BERGEPAINT
2024-01-20,EQ,582,584.2,574,579.35,574.5,575.4,578.33,759,527.15,184216,106538293.4,11235,BERGEPAINT
2024-01-19,EQ,581.55,585.15,576.75,576.35,579.65,579.35,581.48,759,527.15,978376,568902605.35,26165,BERGEPAINT
2024-01-18,EQ,592.8,594,567,595.15,576.55,576.35,575.36,759,527.15,1433666,824879160.65,39856,BERGEPAINT
2024-01-17,EQ,599,604.85,591.45,604.45,596.45,595.15,601.02,759,527.15,1134435,681813393.45,29482,BERGEPAINT
2024-01-16,EQ,602.75,607,598.7,602.75,603.15,604.45,603.1,759,527.15,897327,541177673.45,24267,BERGEPAINT
2024-01-15,EQ,598.35,605.8,596.25,595.8,603.75,602.75,601.38,759,527.15,700739,421411417.95,22560,BERGEPAINT
2024-01-12,EQ,593.85,596.8,587.5,593.65,596.5,595.8,593.9,759,527.15,537422,319173082,20993,BERGEPAINT
2024-01-11,EQ,595.8,596,589,592.65,593,593.65,592.49,759,527.15,355149,210423896,14213,BERGEPAINT
2024-01-10,EQ,587.95,594.05,582.65,587.9,591.9,592.65,590.31,759,527.15,935943,552492859.1,20725,BERGEPAINT
2024-01-09,EQ,583.25,590,581.25,578.85,586,587.9,586.48,759,527.15,655120,384212090.65,14493,BERGEPAINT
2024-01-08,EQ,595,596.9,578.05,596.35,579.75,578.85,585.52,759,527.15,581798,340654389.8,22225,BERGEPAINT
2024-01-05,EQ,599.15,603.9,593.15,598.45,596.2,596.35,599.16,759,527.15,465157,278702194.15,15572,BERGEPAINT
2024-01-04,EQ,598.45,601.3,591.6,598.15,598.45,598.45,596.06,759,527.15,639813,381364482.2,21280,BERGEPAINT
2024-01-03,EQ,606.95,606.95,595.15,604.35,598,598.15,601.77,759,527.15,334537,201314483.65,15662,BERGEPAINT
2024-01-02,EQ,603,605.5,592.75,603.85,601.9,604.35,599.7,759,527.15,613442,367881409.75,23870,BERGEPAINT
2024-01-01,EQ,607.5,609,600.05,604.65,602.15,603.85,606.42,759,527.15,631961,383236569.15,20671,BERGEPAINT
