DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1124,1127.05,1116.85,1120.7,1121,1120,1120.89,1200.65,735.8,3091952,3465748298.65,132114,BHARTIARTL
2024-02-15,EQ,1122.3,1131.45,1109.4,1115.85,1122.1,1120.7,1121.38,1200.65,735.8,5056712,5670509397.4,192351,BHARTIARTL
2024-02-14,EQ,1110,1121.15,1104.7,1117.85,1117.6,1115.85,1112.11,1200.65,735.8,4653070,5174723672.8,108715,BHARTIARTL
2024-02-13,EQ,1111,1125,1103.8,1118.7,1119,1117.85,1116.94,1200.65,735.8,3211554,3587098590.05,149505,BHARTIARTL
2024-02-12,EQ,1122.9,1129,1111.3,1120.25,1116.7,1118.7,1120.39,1200.65,735.8,3887976,4356056101.75,93059,BHARTIARTL
2024-02-09,EQ,1145.95,1145.95,1116.25,1142.15,1120,1120.25,1123.44,1200.65,735.8,4203171,4721992051.85,169133,BHARTIARTL
2024-02-08,EQ,1144.4,1146.5,1116.2,1134.3,1139,1142.15,1131.28,1200.65,735.8,6519392,7375227019.3,225017,BHARTIARTL
2024-02-07,EQ,1138.8,1148.25,1131.8,1134.05,1135.9,1134.3,1136.42,1200.65,735.8,2770694,3148670425.9,183000,BHARTIARTL
2024-02-06,EQ,1125,1156.1,1123,1113.55,1135.9,1134.05,1142.84,1200.65,735.8,9863065,11271927153.2,261815,BHARTIARTL
2024-02-05,EQ,1154.35,1159.65,1110,1150.8,1113.6,1113.55,1122.43,1200.65,735.8,7809331,8765407819.3,164903,BHARTIARTL
2024-02-02,EQ,1155,1175.2,1145.3,1151.2,1152.8,1150.8,1158.05,1200.65,735.8,4969983,5755472240.85,200851,BHARTIARTL
2024-02-01,EQ,1165.05,1170.2,1148.95,1170.7,1151.2,1151.2,1157.57,1200.65,735.8,3606209,4174439923.3,184014,BHARTIARTL
2024-01-31,EQ,1159,1175.05,1146.2,1158.65,1171.75,1170.7,1164.2,1200.65,735.8,5981966,6964183630.25,177869,BHARTIARTL
2024-01-30,EQ,1162.15,1180.85,1154.55,1162.15,1159.85,1158.65,1168.93,1200.65,735.8,3902023,4561179260.6,197291,BHARTIARTL
2024-01-29,EQ,1158,1169.75,1158,1160.55,1161.5,1162.15,1162.51,1200.65,735.8,4015858,4668486847.95,244718,BHARTIARTL
2024-01-25,EQ,1186,1200.65,1157.05,1189.95,1159.75,1160.55,1176.91,1200.65,735.8,11424697,13445874004.9,174574,BHARTIARTL
2024-01-24,EQ,1140.1,1194,1140.1,1158,1192,1189.95,1172.54,1194,735.8,9546592,11193789334.5,371065,BHARTIARTL
2024-01-23,EQ,1145,1172.55,1135,1123.75,1157.1,1158,1156.03,1172.55,735.8,18194595,21033408926.9,349268,BHARTIARTL
2024-01-20,EQ,1128.05,1139.25,1118.75,1125,1127,1123.75,1129.39,1139.25,735.8,1919442,2167802608.05,53534,BHARTIARTL
2024-01-19,EQ,1091,1136.35,1089.8,1087.05,1123,1125,1120.26,1136.35,735.8,11753391,13166873417.1,340793,BHARTIARTL
2024-01-18,EQ,1075.2,1096,1075.2,1085.25,1083.95,1087.05,1088.47,1117,735.8,4407330,4797225597.5,224580,BHARTIARTL
2024-01-17,EQ,1092,1108.95,1078.8,1095.9,1081.1,1085.25,1090.81,1117,735.8,4568700,4983594125.45,170889,BHARTIARTL
2024-01-16,EQ,1107,1117,1093,1102.4,1097.35,1095.9,1101.81,1117,735.8,5025540,5537180631.6,155477,BHARTIARTL
2024-01-15,EQ,1078.05,1104.7,1074.55,1076.35,1100,1102.4,1090.04,1104.7,735.8,3312897,3611185184.6,141776,BHARTIARTL
2024-01-12,EQ,1058.1,1078.55,1051.6,1062.85,1076.6,1076.35,1068.68,1078.55,735.8,3394013,3627101303.6,133364,BHARTIARTL
2024-01-11,EQ,1065.75,1073.9,1057.35,1062.7,1060,1062.85,1065.35,1073.9,735.8,2604325,2774512302.45,122741,BHARTIARTL
2024-01-10,EQ,1066.95,1073.3,1055.3,1064.5,1064,1062.7,1062.44,1073.3,735.8,3111573,3305853664.1,122378,BHARTIARTL
2024-01-09,EQ,1057,1067.9,1048.05,1049.05,1064.15,1064.5,1059.42,1067.9,735.8,3371125,3571438585.85,98744,BHARTIARTL
2024-01-08,EQ,1050,1059,1045.25,1046.6,1046.75,1049.05,1052.62,1063.65,735.8,4489695,4725925719.3,124451,BHARTIARTL
2024-01-05,EQ,1053.8,1063.65,1038.95,1047.9,1045,1046.6,1048.15,1063.65,735.8,4008221,4201227600.8,206826,BHARTIARTL
2024-01-04,EQ,1035.25,1058.8,1027.55,1035.2,1058.65,1047.9,1040.16,1058.8,735.8,4664043,4851374068.6,115646,BHARTIARTL
2024-01-03,EQ,1031.95,1037,1021.35,1021.7,1034.65,1035.2,1031.21,1045.95,735.8,3604276,3716765576.8,130745,BHARTIARTL
