DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,27920.05,28635.85,27800,27955.1,28230.25,28329.05,28277.02,28635.85,16973.2,48546,1372736300.85,18490,BOSCHLTD
2024-02-15,EQ,27399.6,28400,27350.3,27399.55,27920.05,27955.1,27833.37,28400,16973.2,89838,2500494604,30380,BOSCHLTD
2024-02-14,EQ,26650,27502,25608.7,26300.75,27355,27399.55,26943.73,27502,16973.2,152203,4100916733.3,50962,BOSCHLTD
2024-02-13,EQ,25290,27300,25118.3,25237.9,27000,26300.75,25967.8,27300,16973.2,85754,2226842484,16145,BOSCHLTD
2024-02-12,EQ,25388.05,25659.95,25107.2,25457.15,25250,25237.9,25403.5,25659.95,16973.2,36672,931597126.1,11500,BOSCHLTD
2024-02-09,EQ,25299,25519,24750,25299.05,25440,25457.15,25204.9,25519,16973.2,23943,603480876.65,8231,BOSCHLTD
2024-02-08,EQ,25222.95,25386.25,24910.05,25223.15,25372.9,25299.05,25200.54,25386.25,16973.2,21046,530370574.1,7256,BOSCHLTD
2024-02-07,EQ,24890,25300,24789.7,24891.45,25227.5,25223.15,25090.2,25300,16973.2,20225,507449388.3,7616,BOSCHLTD
2024-02-06,EQ,24100,24955.6,24011.9,24163.1,24900,24891.45,24597.34,24955.6,16973.2,19634,482944190.7,7384,BOSCHLTD
2024-02-05,EQ,24180,24360,23751,23956.75,24241,24163.1,24180.32,24360,16973.2,14936,361157301.75,6940,BOSCHLTD
2024-02-02,EQ,23848,24272.7,23705.35,23679.7,23916,23956.75,24034.11,24272.7,16545,24154,580519837,9499,BOSCHLTD
2024-02-01,EQ,23600,23850,23589.25,23568.15,23600,23679.7,23682.92,24172.05,16545,18754,444149510.4,6411,BOSCHLTD
2024-01-31,EQ,23870,24050,23500,23875.4,23530.8,23568.15,23742.8,24172.05,16545,31087,738092575.85,10841,BOSCHLTD
2024-01-30,EQ,23248,24172.05,23199.75,23248.8,23900,23875.4,23860.42,24172.05,16545,37640,898106293.2,13187,BOSCHLTD
2024-01-29,EQ,22800.95,23348.7,22775.05,22779.3,23150,23248.8,23087.98,23568.95,16545,64222,1482756298.05,9846,BOSCHLTD
