DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,588.1,589.8,576.3,587.05,585,585.85,583.53,594.7,268.8,9037719,5273806036.6,107182,CANBK
2024-02-15,EQ,569.05,594.7,567.6,566.45,585.5,587.05,584.51,594.7,268.8,16040567,9375844135.3,154444,CANBK
2024-02-14,EQ,545,568.95,543,552.2,566.75,566.45,557.95,579.9,268.8,8214118,4583059557.55,93822,CANBK
2024-02-13,EQ,548,554.75,534.6,545.75,552,552.2,547.87,579.9,268.8,8923300,4888848650.75,103330,CANBK
2024-02-12,EQ,574,575,541.4,571,545.8,545.75,557.54,579.9,268.8,10242724,5710713473.35,111843,CANBK
2024-02-09,EQ,573,576,548.25,569.25,571,571,563.36,579.9,268.8,15269130,8601983392.85,143113,CANBK
2024-02-08,EQ,565,579.9,557.05,552.15,570.1,569.25,568.75,579.9,268.8,23256838,13227238443.9,192311,CANBK
2024-02-07,EQ,531.1,560.5,530,521.45,558.9,552.15,546.23,560.5,268.8,18728266,10229986352.75,189155,CANBK
2024-02-06,EQ,521.95,522.85,514.35,520.25,522,521.45,518.65,527.45,268.8,5144575,2668209671.15,56424,CANBK
2024-02-05,EQ,518.7,527.45,511.45,514.35,520.75,520.25,521.12,527.45,268.8,8228172,4287877625.3,82076,CANBK
2024-02-02,EQ,507,522.3,506.5,501.5,514.3,514.35,515.67,522.3,268.8,14018869,7229127422.2,141120,CANBK
2024-02-01,EQ,483,505,479.35,482,503.65,501.5,494.23,505,268.8,15487108,7654225284.8,164218,CANBK
2024-01-31,EQ,478.55,485,471.85,477.35,480.9,482,479.55,485,268.8,6643283,3185811865,60357,CANBK
2024-01-30,EQ,475.1,484.8,472.05,474.55,478,477.35,478.62,484.9,268.8,6019338,2880966979.85,57812,CANBK
2024-01-29,EQ,469.9,480,468.1,465.3,475,474.55,475.05,484.9,268.8,8802489,4181652277.8,83407,CANBK
2024-01-25,EQ,455.1,469.45,453.4,454.3,466.25,465.3,464.42,484.9,268.8,12355761,5738260787.5,103245,CANBK
2024-01-24,EQ,458.8,459.65,443,455.9,455.1,454.3,453.04,484.9,268.8,20807636,9426671478.5,147195,CANBK
2024-01-23,EQ,482.4,484.9,450.25,477,456,455.9,461.77,484.9,268.8,13555912,6259667076.8,98588,CANBK
2024-01-20,EQ,468.75,482.2,464.35,466.65,478.1,477,473.35,482.2,268.8,5187720,2455583467.45,51886,CANBK
2024-01-19,EQ,461,467.85,459.8,458.25,467,466.65,464.26,471.35,268.8,6451009,2994957972.05,47801,CANBK
2024-01-18,EQ,455.8,460.5,441.5,456.8,458.8,458.25,454.26,471.35,268.8,6984884,3172967962.5,62605,CANBK
2024-01-17,EQ,456.05,466,452.6,464.95,458,456.8,460.55,471.35,268.8,6733674,3101166398.05,72704,CANBK
2024-01-16,EQ,464.65,471.35,461.2,465.4,464.65,464.95,466.63,471.35,268.8,5208291,2430362674.2,45242,CANBK
2024-01-15,EQ,465.75,468.35,462.4,462.25,465.3,465.4,465.34,469.25,268.8,3470549,1614998280.15,39524,CANBK
2024-01-12,EQ,456,466,452.9,454.5,463.1,462.25,461.77,469.25,268.8,9041865,4175281259.2,68113,CANBK
2024-01-11,EQ,451.4,457.7,450.25,448.75,454,454.5,452.89,469.25,268.8,4349511,1969848595.55,48152,CANBK
2024-01-10,EQ,451.1,452.5,443.05,450.4,449,448.75,447.22,469.25,268.8,5328213,2382872886.3,66569,CANBK
2024-01-09,EQ,453.9,459,449.2,450.5,450.5,450.4,454.29,469.25,268.8,5632708,2558900680.9,66870,CANBK
2024-01-08,EQ,461.5,463,449.15,461.95,451,450.5,455.56,469.25,268.8,5801166,2642756395.2,62587,CANBK
2024-01-05,EQ,468,469.25,455.85,465.3,461.3,461.95,462.27,469.25,268.8,6910476,3194503662.5,70737,CANBK
2024-01-04,EQ,462.3,466.8,457,458.25,465.75,465.3,462.39,466.8,268.8,8796821,4067563847.05,72943,CANBK
2024-01-03,EQ,450,462.75,444.35,443.95,459.5,458.25,455.69,462.75,268.8,19401080,8840971941.1,159676,CANBK
2024-01-02,EQ,441.85,450.5,440.2,442.4,444.55,443.95,445.56,454.7,268.8,6633634,2955655410.55,60043,CANBK
2024-01-01,EQ,440.5,445.9,438,437.5,440.85,442.4,442.92,454.7,268.8,4340269,1922377604.15,37817,CANBK
2023-12-29,EQ,442,442,435.95,441.1,436.95,437.5,438.3,454.7,268.8,4172955,1828988191.65,35568,CANBK
2023-12-28,EQ,441,446.7,439.4,432.5,439.85,441.1,442.45,454.7,268.8,14230016,6296075367,92703,CANBK
2023-12-27,EQ,426.9,435.25,426.5,425.4,432.25,432.5,431.79,454.7,268.8,5269888,2275472947.45,40570,CANBK
2023-12-26,EQ,428,430.6,424.6,426.05,425.4,425.4,427.65,454.7,268.8,3498287,1496046371.75,27919,CANBK
2023-12-22,EQ,435,435.45,423.1,431.95,427.2,426.05,429.21,454.7,268.8,5469650,2347605032.95,42735,CANBK
2023-12-21,EQ,423,432.95,413.45,425.95,431.8,431.95,423.73,454.7,268.8,7752149,3284854943.9,57106,CANBK
2023-12-20,EQ,448.45,450.3,424,445.95,425.3,425.95,436.88,454.7,268.8,7808602,3411383456.8,64308,CANBK
2023-12-19,EQ,443.95,449.9,439.3,441.8,445.8,445.95,445.72,454.7,268.8,6952918,3099037630,52996,CANBK
2023-12-18,EQ,449.2,450.95,440.75,449.15,441.4,441.8,445.09,454.7,268.8,6302607,2805248874.7,56152,CANBK
2023-12-15,EQ,451,452.85,441.1,448.2,448.5,449.15,447.31,454.7,268.8,11049526,4942566550.65,61230,CANBK
2023-12-14,EQ,453.5,454.7,447,449.25,449.5,448.2,450.96,454.7,268.8,4360785,1966558777.8,48516,CANBK
2023-12-13,EQ,446,452.7,444.5,444.55,448.15,449.25,449,452.7,268.8,6602455,2964496046.75,74449,CANBK
2023-12-12,EQ,448.4,449.55,442.2,446.7,443.1,444.55,446.11,449.55,268.8,5113481,2281170714.45,44778,CANBK
2023-12-11,EQ,440,449.5,438.35,438.55,445,446.7,445.69,449.5,268.8,7034375,3135121294.95,64363,CANBK
2023-12-08,EQ,436.6,441,430.25,435.6,438.65,438.55,435.88,441.3,268.8,8015793,3493956787.5,52717,CANBK
2023-12-07,EQ,436.45,439.15,429.85,437.45,436.45,435.6,435.15,441.3,268.8,5740979,2498197861.8,46619,CANBK
2023-12-06,EQ,434.55,441.3,428.7,434.55,436.7,437.45,433.18,441.3,268.8,7841840,3396917401.8,64887,CANBK
2023-12-05,EQ,427.95,437.4,425.85,426.95,434.15,434.55,432.22,437.4,268.8,9696939,4191201986.8,77815,CANBK
2023-12-04,EQ,419.5,429,418.55,410.3,428,426.95,425.37,429,268.8,11068052,4708049344.6,87492,CANBK
2023-12-01,EQ,405.5,419.05,405,403.05,410.5,410.3,412.5,419.05,268.8,9940229,4100369343.5,63300,CANBK
2023-11-30,EQ,402,406.4,400.2,402.75,404.4,403.05,402.71,411,268.8,7898329,3180757153.3,51772,CANBK
2023-11-29,EQ,398.85,404.7,397.1,396.1,401.75,402.75,401.34,411,268.8,5498966,2206972072.85,41728,CANBK
2023-11-28,EQ,390,399.5,390,389.8,395.4,396.1,395.29,411,268.8,4626113,1828656594.85,42018,CANBK
2023-11-24,EQ,394.4,395.8,389,393.25,389.7,389.8,392.02,411,268.8,2615380,1025277073,25616,CANBK
2023-11-23,EQ,395.8,397.25,392.6,394.65,393.9,393.25,394.6,411,268.8,2596514,1024595774.7,26327,CANBK
2023-11-22,EQ,397.95,401.2,391.8,397.2,394.8,394.65,395.75,411,268.8,3138570,1242076375,30189,CANBK
2023-11-21,EQ,400.15,402.85,394.1,399.15,397,397.2,397.3,411,268.8,3970392,1577437971.35,34882,CANBK
2023-11-20,EQ,399.4,404.95,397.1,397.8,399.05,399.15,401.4,411,268.8,4411488,1770772756.9,36492,CANBK
2023-11-17,EQ,399,404.7,395.05,405.95,397.95,397.8,397.93,411,268.8,7797752,3102953154.6,73698,CANBK
2023-11-16,EQ,408,409.65,404.05,407.4,405.55,405.95,406.69,411,268.8,3499762,1423332909.1,39659,CANBK
2023-11-15,EQ,408,411,406.15,404.45,407.9,407.4,408.4,411,268.8,6863624,2803125267.3,55709,CANBK
2023-11-13,EQ,388.15,405.65,386.95,388.3,404.6,404.45,399.61,405.65,268.8,12386692,4949893462.75,89076,CANBK
2023-11-12,EQ,390.4,390.9,387.5,387.4,387.5,388.3,388.78,392.8,268.8,730703,284086065.45,10219,CANBK
2023-11-10,EQ,383,388.2,381,384,387.95,387.4,385.66,392.8,268.8,3213479,1239303449.45,34992,CANBK
2023-11-09,EQ,386,389.2,383.3,385,383.7,384,386.59,392.8,268.8,5132798,1984304877.4,39271,CANBK
2023-11-08,EQ,389,390.8,384.4,387.55,384.8,385,386.18,392.8,268.8,4464502,1724109908.55,38190,CANBK
2023-11-07,EQ,385,390.15,382.5,384.9,387.35,387.55,386.72,392.8,268.8,4751044,1837302321.75,39231,CANBK
2023-11-06,EQ,389,391.1,383.4,387.5,385.05,384.9,386.28,392.8,268.8,4339512,1676270717.95,45723,CANBK
2023-11-03,EQ,390.95,392.8,387,388.15,387.2,387.5,389.59,392.8,268.8,5032067,1960444227.25,31756,CANBK
2023-11-02,EQ,386.95,391.85,384.5,383.3,388,388.15,388.49,391.85,268.8,6292204,2444481551.1,48940,CANBK
2023-11-01,EQ,384.3,385.9,380,384.35,383.85,383.3,383.32,390.65,268.8,6438456,2467990272.15,44120,CANBK
2023-10-31,EQ,383.8,390.65,383.1,382.6,383.5,384.35,387.28,390.65,268.8,9887787,3829326007.55,64031,CANBK
2023-10-30,EQ,382,385.95,378,380.8,382.3,382.6,382.05,387.8,268.8,7619529,2911056244,53063,CANBK
2023-10-27,EQ,361.7,387.8,361.2,359.35,380.7,380.8,381.17,387.8,266.8,27201958,10368495421.1,172578,CANBK
2023-10-26,EQ,350.95,361.4,342.1,353.75,360,359.35,352.36,386.5,266.8,12237292,4311897206.2,92284,CANBK
2023-10-25,EQ,360,360.85,349.15,355.55,353.45,353.75,355.66,386.5,266.8,6278105,2232859047.6,49726,CANBK
2023-10-23,EQ,369.3,371.45,354,369.3,355.3,355.55,362.33,386.5,266.8,9497007,3441032071.15,53500,CANBK
2023-10-20,EQ,371.95,374.9,365.5,373.95,369,369.3,369.21,386.5,223,7621955,2814117699.55,45342,CANBK
2023-10-19,EQ,370,375.95,367.1,371.85,373.3,373.95,373.41,386.5,223,4828534,1803028214.75,34574,CANBK
2023-10-18,EQ,376.65,378.3,370.3,377.55,371.8,371.85,373.45,386.5,223,3632494,1356572385.25,33676,CANBK
2023-10-17,EQ,373.5,378.4,371.5,371.35,376.65,377.55,376.98,386.5,223,7101320,2677039620.2,48101,CANBK
2023-10-16,EQ,366,374.8,365,366.55,370.6,371.35,371.98,386.5,223,6301261,2343963155.5,48254,CANBK
2023-10-13,EQ,368.4,369.35,359.8,369.3,365.3,366.55,364.96,386.5,221,6481528,2365492986.45,41446,CANBK
