DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1131.75,1146.15,1123.9,1124.5,1142,1144,1136.36,1310,709.9,1011354,1149266681.45,45799,CHOLAFIN
2024-02-15,EQ,1132.8,1151.7,1120.55,1125.2,1124.85,1124.5,1134.67,1310,709.9,1815648,2060163022.45,58676,CHOLAFIN
2024-02-14,EQ,1136.9,1136.9,1109.2,1141.7,1127.9,1125.2,1121.75,1310,709.9,775287,869678195.45,34812,CHOLAFIN
2024-02-13,EQ,1108,1150,1103,1101.55,1137.2,1141.7,1135.4,1310,709.9,3317561,3766775278.85,113546,CHOLAFIN
2024-02-12,EQ,1130,1133.95,1098,1122.3,1102,1101.55,1110.96,1310,709.9,850214,944554460.95,45694,CHOLAFIN
2024-02-09,EQ,1140.2,1140.2,1100.2,1133.45,1121.5,1122.3,1114.43,1310,709.9,2363941,2634448028.35,100271,CHOLAFIN
2024-02-08,EQ,1155.1,1162.65,1115.1,1159.8,1131.5,1133.45,1131.25,1310,709.9,3061436,3463236883.4,76650,CHOLAFIN
2024-02-07,EQ,1170,1172.75,1147.05,1157.05,1159.9,1159.8,1159.21,1310,709.9,2520205,2921441137.9,52518,CHOLAFIN
2024-02-06,EQ,1147.7,1164,1127.25,1136.35,1160,1157.05,1155.61,1310,709.9,2243173,2592231261.5,83765,CHOLAFIN
2024-02-05,EQ,1162,1171.75,1130.7,1160.85,1135,1136.35,1152.65,1310,709.9,1564033,1802785447.6,61951,CHOLAFIN
2024-02-02,EQ,1145.05,1175.85,1143.75,1145.05,1160,1160.85,1165.19,1310,696.75,1664980,1940018962.5,110967,CHOLAFIN
2024-02-01,EQ,1190,1193.15,1133.85,1184.15,1138,1145.05,1152.77,1310,696.75,2884912,3325629397.95,105301,CHOLAFIN
2024-01-31,EQ,1216,1222,1175.5,1214.05,1187,1184.15,1186.58,1310,696.75,2760030,3275008723.5,173283,CHOLAFIN
2024-01-30,EQ,1235.35,1277.85,1210.9,1230.8,1213.7,1214.05,1238.05,1310,696.75,3016003,3733968060.95,196362,CHOLAFIN
2024-01-29,EQ,1270,1271.35,1219.5,1244.7,1230,1230.8,1235.22,1310,696.75,2511468,3102215709.75,92535,CHOLAFIN
