DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-15,EQ,1425.35,1437.95,1412,1425.35,1424.95,1422.35,1418.45,1463.55,852,1402161,1988895114.1,79216,CIPLA
2024-02-14,EQ,1454.8,1454.8,1410.45,1457.75,1423.45,1425.35,1424.19,1463.55,852,1113254,1585488713.6,61809,CIPLA
2024-02-13,EQ,1439,1463.55,1430,1434.75,1453.2,1457.75,1452.12,1463.55,852,981536,1425303248.4,50012,CIPLA
2024-02-12,EQ,1440,1452.75,1425,1439.75,1430,1434.75,1437.13,1457.7,852,453460,651680002,32880,CIPLA
2024-02-09,EQ,1428.1,1447.55,1417.05,1420.2,1442,1439.75,1434.94,1457.7,852,1215784,1744572711.35,60109,CIPLA
2024-02-08,EQ,1448,1457.7,1417.65,1438.75,1424.3,1420.2,1431.21,1457.7,852,1447767,2072060500.55,95838,CIPLA
2024-02-07,EQ,1436,1444.5,1420.85,1425.45,1438,1438.75,1432.95,1447,852,890299,1275757476.9,62133,CIPLA
2024-02-06,EQ,1444.85,1445.9,1412.55,1433.9,1424,1425.45,1426.4,1447,852,979752,1397521907.55,58246,CIPLA
2024-02-05,EQ,1400.65,1447,1394.3,1392.65,1432.4,1433.9,1430.17,1447,852,2369316,3388530215.65,89771,CIPLA
2024-02-02,EQ,1387,1404.7,1385,1387.65,1391,1392.65,1394.15,1425,852,1161705,1619588366.55,67440,CIPLA
2024-02-01,EQ,1359.7,1394.85,1352.05,1351,1383.9,1387.65,1378.15,1425,852,2784507,3837478689.5,164672,CIPLA
2024-01-31,EQ,1317.1,1352.9,1312,1317.1,1352,1351,1344.29,1425,852,1723379,2316712691.55,80556,CIPLA
2024-01-30,EQ,1345,1352,1314.15,1336.85,1318,1317.1,1332.59,1425,852,1908926,2543807908.1,143698,CIPLA
2024-01-29,EQ,1365,1365,1325.3,1369.65,1341.55,1336.85,1336.72,1425,852,2480508,3315747531.8,102961,CIPLA
2024-01-25,EQ,1413.35,1413.45,1353.5,1417.35,1374.8,1369.65,1374.73,1425,852,1801468,2476530482.9,128656,CIPLA
2024-01-24,EQ,1409,1423.05,1394.85,1409,1413.6,1417.35,1411,1425,852,1808713,2552089769.2,148473,CIPLA
2024-01-23,EQ,1385,1425,1368.7,1316.25,1407.95,1409,1404.44,1425,852,7556815,10613076841.15,360841,CIPLA
2024-01-20,EQ,1335.65,1337.95,1307.05,1327.95,1313,1316.25,1322.97,1340,852,353704,467940814.9,28901,CIPLA
2024-01-19,EQ,1330.95,1330.95,1316.6,1322.95,1327,1327.95,1324.97,1340,852,1135846,1504966854.05,96557,CIPLA
2024-01-18,EQ,1285.05,1327.2,1267.9,1294,1320,1322.95,1306.9,1340,852,1723297,2252183372.65,101400,CIPLA
2024-01-17,EQ,1299.35,1312.9,1282.1,1302.35,1292,1294,1292.84,1340,852,2073596,2680833769.45,67478,CIPLA
2024-01-16,EQ,1313.15,1314.4,1298.25,1313.15,1301.45,1302.35,1306.24,1340,852,1030845,1346528368.6,46638,CIPLA
2024-01-15,EQ,1316,1327.75,1306.6,1308,1314.8,1313.15,1316.74,1340,852,762036,1003402582.35,53990,CIPLA
2024-01-12,EQ,1324.2,1325.65,1300.4,1325.65,1309.7,1308,1308.79,1340,852,2051301,2684728251.9,127646,CIPLA
2024-01-11,EQ,1339.85,1340,1323.05,1329.2,1326.8,1325.65,1332.3,1340,852,1097204,1461801827.95,52725,CIPLA
2024-01-10,EQ,1296,1331.5,1294.3,1289.35,1328.7,1329.2,1317.03,1331.5,852,3625567,4774968018.2,162840,CIPLA
2024-01-09,EQ,1284,1295,1273.4,1271.75,1291.5,1289.35,1286.96,1308,852,1133466,1458720454.95,59609,CIPLA
2024-01-08,EQ,1296.65,1297,1266.2,1286.9,1271,1271.75,1275.81,1308,852,740848,945181291.95,64071,CIPLA
2024-01-05,EQ,1300,1301.55,1276.15,1296.65,1287.15,1286.9,1285.19,1308,852,1013196,1302149975.15,61420,CIPLA
2024-01-04,EQ,1304,1308,1286.65,1300.15,1299.5,1296.65,1298.63,1308,852,1248143,1620873637.55,75334,CIPLA
2024-01-03,EQ,1291,1307,1274.05,1281.55,1301.55,1300.15,1294.32,1307,852,2357093,3050842592.75,87619,CIPLA
2024-01-02,EQ,1255.1,1285,1252.1,1251,1282.85,1281.55,1274.44,1285,852,2589484,3300133753.25,120479,CIPLA
2024-01-01,EQ,1252.45,1256.8,1246.7,1246.3,1250,1251,1251.3,1283.55,852,343584,429927015.25,28340,CIPLA
2023-12-29,EQ,1264,1267.6,1242.05,1260.8,1250,1246.3,1250.48,1283.55,852,1794218,2243641263.1,66140,CIPLA
2023-12-28,EQ,1239.75,1263.8,1239.75,1239.75,1262,1260.8,1251.95,1283.55,852,2592699,3245931730.05,74952,CIPLA
2023-12-27,EQ,1247,1250.35,1236.7,1244.95,1239.55,1239.75,1241.58,1283.55,852,2528609,3139476963.7,69321,CIPLA
2023-12-26,EQ,1240,1250,1231.85,1235.6,1246.95,1244.95,1244.09,1283.55,852,820163,1020359654.55,43628,CIPLA
2023-12-22,EQ,1230.05,1242.5,1221.65,1221.85,1240,1235.6,1233.46,1283.55,852,1969524,2429335481,93105,CIPLA
2023-12-21,EQ,1236.2,1236.2,1205.85,1236.2,1229,1221.85,1221.02,1283.55,852,1580136,1929373640.7,108954,CIPLA
2023-12-20,EQ,1239,1248,1231,1237.1,1238,1236.2,1238.33,1283.55,852,2484819,3077027075.4,80777,CIPLA
2023-12-19,EQ,1219.45,1240.15,1212.2,1216.8,1240,1237.1,1225.84,1283.55,852,1738507,2131132599.7,80065,CIPLA
2023-12-18,EQ,1205.6,1218.95,1192.1,1207.1,1215,1216.8,1213.17,1283.55,852,1995091,2420390106.15,76889,CIPLA
2023-12-15,EQ,1215,1217.6,1202.85,1204.65,1205.15,1207.1,1209.93,1283.55,852,1976112,2390958535.4,64673,CIPLA
2023-12-14,EQ,1219.05,1222.55,1201.1,1216.5,1205,1204.65,1208.47,1283.55,852,1809248,2186425633,67310,CIPLA
2023-12-13,EQ,1198.65,1217.95,1195.2,1198.65,1213,1216.5,1209.51,1283.55,852,1809563,2188676331.8,52220,CIPLA
