DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,482.4,487.6,477.5,476.85,479.55,480,481.76,487.6,207.6,14513583,6992134358.05,175331,COALINDIA
2024-02-15,EQ,469,481.25,467.55,466.35,477,476.85,475.82,481.25,207.6,18501875,8803568830.45,223845,COALINDIA
2024-02-14,EQ,451.65,468,443,452.35,467.4,466.35,458.89,468.6,207.6,18592696,8531962165.9,259795,COALINDIA
2024-02-13,EQ,443.8,457.85,434,432.8,453,452.35,447.8,468.6,207.6,35665854,15971321186.85,339669,COALINDIA
2024-02-12,EQ,457,457.45,430.05,456.2,434.3,432.8,438.52,468.6,207.6,19472346,8539035376.15,240171,COALINDIA
2024-02-09,EQ,462.2,463.8,435.65,459.2,454.75,456.2,448.86,468.6,207.6,17472069,7842597871.65,183472,COALINDIA
2024-02-08,EQ,454.8,468.6,450,452.65,461,459.2,459.95,468.6,207.6,18790158,8642625354.75,235740,COALINDIA
2024-02-07,EQ,454,460.55,447.8,448.65,454.35,452.65,454.69,460.55,207.6,14430152,6561207443.7,151277,COALINDIA
2024-02-06,EQ,444.8,451,437.25,440.25,447.2,448.65,442.93,451,207.6,13386526,5929317276.6,134044,COALINDIA
2024-02-05,EQ,423.25,450,417.1,419.8,441.3,440.25,436.95,450,207.6,31418925,13728452688.2,271278,COALINDIA
2024-02-02,EQ,410.8,422.9,409.65,406.7,417.3,419.8,417.3,422.9,207.6,25177075,10506360725.95,192430,COALINDIA
2024-02-01,EQ,408.8,411.9,402.5,406.15,406.8,406.7,406.38,415.8,207.6,8862155,3601422183.3,138826,COALINDIA
2024-01-31,EQ,405.05,409.15,400.4,402.55,406,406.15,405.67,415.8,207.6,23750822,9634901873.25,124780,COALINDIA
2024-01-30,EQ,415.75,415.8,401.6,412.8,403,402.55,407.53,415.8,207.6,14159072,5770269577.1,150546,COALINDIA
2024-01-29,EQ,392.9,414.7,391.5,389.4,413.55,412.8,405.13,414.7,207.6,27149058,10998953910.1,228719,COALINDIA
2024-01-25,EQ,386.8,391.7,385.35,382.6,389.8,389.4,388.82,404.8,207.6,13440949,5226123885,150387,COALINDIA
2024-01-24,EQ,379.8,387.8,374.25,375.3,385,382.6,380.97,404.8,207.6,22938994,8738973775.55,161892,COALINDIA
2024-01-23,EQ,403.5,404.8,373.65,398.8,376.55,375.3,385.89,404.8,207.6,16406737,6331167272.9,229682,COALINDIA
