DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,2597.8,2599,2550,2589.95,2591,2579.6,2575.56,2621.7,1438,100974,260064328.45,15341,COLPAL
2024-02-15,EQ,2600,2621.7,2575,2594.8,2586.05,2589.95,2598.01,2621.7,1438,273088,709484296.85,30559,COLPAL
2024-02-14,EQ,2535,2603.95,2535,2551.65,2600,2594.8,2577.52,2604.05,1438,199963,515408578.9,19270,COLPAL
2024-02-13,EQ,2518,2558.45,2507.65,2515.15,2541.85,2551.65,2534.08,2604.05,1438,159612,404469224.35,14001,COLPAL
2024-02-12,EQ,2534.15,2545,2503.55,2534.15,2520,2515.15,2521.98,2604.05,1438,88296,222680360.9,8145,COLPAL
2024-02-09,EQ,2498.3,2541.9,2488,2498.25,2531,2534.15,2519.23,2604.05,1438,114787,289174574.2,12149,COLPAL
2024-02-08,EQ,2551,2557.3,2490.85,2551.15,2505.05,2498.25,2513.27,2604.05,1438,134032,336858410.5,14059,COLPAL
2024-02-07,EQ,2570,2570,2517,2565.15,2550,2551.15,2542.92,2604.05,1438,156794,398715184.2,15622,COLPAL
2024-02-06,EQ,2534,2570.9,2521.85,2531.3,2562,2565.15,2554.58,2604.05,1438,144763,369808337.5,20853,COLPAL
2024-02-05,EQ,2540,2577.9,2520.15,2541.75,2531.8,2531.3,2548.21,2604.05,1438,229185,584010823.15,23562,COLPAL
2024-02-02,EQ,2503.4,2547.55,2495.25,2503.4,2545.75,2541.75,2533.5,2604.05,1434.6,249774,632801824.6,28421,COLPAL
2024-02-01,EQ,2569.1,2604.05,2487,2569.1,2505,2503.4,2540.28,2604.05,1434.6,432718,1099226753.1,46537,COLPAL
2024-01-31,EQ,2507,2580.9,2497.9,2490.5,2575,2569.1,2549.1,2580.9,1434.6,448037,1142092408.45,30111,COLPAL
