DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,545.1,547.85,541,544.2,544,544.5,544.55,597.1,503.65,839405,457098304.45,19214,DABUR
2024-02-15,EQ,545.95,547.35,540.9,544.3,544.75,544.2,543.64,597.1,503.65,1006711,547293168.45,31425,DABUR
2024-02-14,EQ,533.55,545.25,533.25,538.75,543.8,544.3,540.47,597.1,503.65,828939,448016699.45,29662,DABUR
2024-02-13,EQ,536.35,539.9,531.15,536.55,536.5,538.75,536.77,597.1,503.65,725665,389512100.3,40554,DABUR
2024-02-12,EQ,539.2,543.75,535.4,539.2,536.35,536.55,539.86,597.1,503.65,1454041,784974876.3,21859,DABUR
2024-02-09,EQ,534.9,540,528.65,533.95,537.75,539.2,535.1,597.1,503.65,1786915,956169605.15,30467,DABUR
2024-02-08,EQ,539.7,541,532,537.4,533.85,533.95,535.47,597.1,503.65,1488521,797061274.1,27387,DABUR
2024-02-07,EQ,533.15,538.45,530.65,532.7,538.2,537.4,534.82,597.1,503.65,1784199,954231175.2,49437,DABUR
2024-02-06,EQ,534.25,537.4,531.25,533.65,532.2,532.7,533.47,597.1,503.65,1247440,665477924.15,31191,DABUR
2024-02-05,EQ,543,544.8,532.3,544.65,533.9,533.65,537.8,597.1,503.65,1417520,762340193.5,40806,DABUR
2024-02-02,EQ,554.5,559,539.75,554.4,545,544.65,545.37,597.1,503.65,3318354,1809739696.15,78694,DABUR
2024-02-01,EQ,547,575.5,547,539.6,555,554.4,565.93,597.1,503.65,11117689,6291859023.05,189762,DABUR
2024-01-31,EQ,535.95,545.6,534,535.95,540.35,539.6,539.01,597.1,503.65,3475918,1873553727.5,49906,DABUR
2024-01-30,EQ,534.25,537.7,533.25,534.25,536.2,535.95,535.89,597.1,503.65,1603876,859494686.2,32204,DABUR
2024-01-29,EQ,515,535.95,515,531.6,534.5,534.25,532.34,597.1,503.65,1316110,700617455.45,34761,DABUR
2024-01-25,EQ,536.6,537.55,529.05,536.6,533,531.6,531.62,597.1,503.65,924085,491263994.45,20462,DABUR
2024-01-24,EQ,525.75,537.4,522.2,524.8,537.25,536.6,532.32,597.1,503.65,914551,486831276.5,25865,DABUR
2024-01-23,EQ,544.4,544.4,522.6,538.4,526.7,524.8,528.63,597.1,503.65,2256565,1192886433.25,54796,DABUR
2024-01-20,EQ,543,545.25,535.65,542.3,538,538.4,539.3,597.1,503.65,458895,247481601.75,13436,DABUR
2024-01-19,EQ,543.25,543.95,539.55,539.45,543,542.3,541.57,597.1,503.65,1965102,1064241513.3,68897,DABUR
2024-01-18,EQ,546.2,549.95,535.35,549.45,539.95,539.45,540.93,597.1,503.65,1520695,822596577.1,36862,DABUR
2024-01-17,EQ,557.85,557.85,546.1,558.8,550.1,549.45,551.18,597.1,503.65,2075918,1144209486.8,60816,DABUR
2024-01-16,EQ,556.15,561.9,552.95,554.15,558.6,558.8,558.89,597.1,503.65,2027207,1132985044.5,44246,DABUR
2024-01-15,EQ,551,557.5,548.25,549.7,553.75,554.15,553.22,597.1,503.65,1524201,843211848.2,37558,DABUR
2024-01-12,EQ,552,552.95,548,552,550,549.7,549.91,597.1,503.65,1029614,566193104.85,33346,DABUR
2024-01-11,EQ,549.6,556,548.45,547.35,550.8,552,552.17,597.1,503.65,2089001,1153478409.45,45109,DABUR
2024-01-10,EQ,548.85,551.4,542.3,547.85,549.5,547.35,546.81,597.1,503.65,1758621,961630426.55,44555,DABUR
2024-01-09,EQ,555,556,546.2,553.25,547.8,547.85,551.77,597.1,503.65,2107464,1162837996.45,61651,DABUR
2024-01-08,EQ,572.5,572.5,551,569.05,552.95,553.25,558.12,597.1,503.65,2152367,1201284392.65,67132,DABUR
2024-01-05,EQ,571,571.65,564.5,566.25,569.3,569.05,568.55,597.1,503.65,2834989,1611842997.75,47838,DABUR
2024-01-04,EQ,554.65,567.3,550.9,551.1,565.05,566.25,564.08,597.1,503.65,3064476,1728605532.7,44075,DABUR
2024-01-03,EQ,557,562.7,546.6,556.85,551,551.1,555.3,597.1,503.65,2733401,1517870958.05,51372,DABUR
2024-01-02,EQ,559.45,562.35,551.35,557.45,557,556.85,556.19,597.1,503.65,1201767,668414273.15,24011,DABUR
2024-01-01,EQ,560,563,555,557.2,557.75,557.45,559.15,597.1,503.65,1417550,792622212.45,27527,DABUR
2023-12-29,EQ,544.75,560,543.65,543.1,556.65,557.2,555.3,597.1,503.65,4120332,2288010419.05,77445,DABUR
2023-12-28,EQ,534.55,545.75,534.35,534.35,544.8,543.1,541.37,597.1,503.65,3512802,1901717848.85,49160,DABUR
2023-12-27,EQ,531,536.05,530.05,530.6,535.4,534.35,532.84,597.1,503.65,3308899,1763114114.6,53557,DABUR
2023-12-26,EQ,530,534.8,529,529.3,531,530.6,531.51,597.1,503.65,1655240,879780994.8,41958,DABUR
2023-12-22,EQ,531.95,532.65,526.5,530.25,529.2,529.3,529.83,597.1,503.65,3869597,2050231270.9,56649,DABUR
2023-12-21,EQ,533.25,534,527.05,534.95,530.25,530.25,530.98,597.1,503.65,6150231,3265652393.45,67334,DABUR
2023-12-20,EQ,550,551.4,532.3,548.2,535.5,534.95,540.34,597.1,503.65,3685894,1991639301.75,60442,DABUR
2023-12-19,EQ,541.45,551.5,539.7,540.5,548.05,548.2,545.89,597.1,503.65,2155547,1176682557.8,46484,DABUR
2023-12-18,EQ,539.7,543.05,537.3,539.7,542.5,540.5,539.81,597.1,503.65,2700975,1458010369.9,44133,DABUR
2023-12-15,EQ,547.95,548,537.25,547.45,540.65,539.7,542.29,604.85,503.65,2655593,1440098252.8,44052,DABUR
2023-12-14,EQ,548.7,549.7,544.6,547.55,547,547.45,547.11,604.85,503.65,2078199,1137005172.2,35453,DABUR
2023-12-13,EQ,547.55,549.35,543.1,549,547.1,547.55,545.52,604.85,503.65,1628806,888543935.9,64809,DABUR
2023-12-12,EQ,550.5,553.6,546.7,550.5,549.05,549,549.5,604.85,503.65,1418773,779614763.75,35719,DABUR
2023-12-11,EQ,548,551.35,545.05,547.5,551,550.5,548.96,604.85,503.65,1278433,701805995.65,39325,DABUR
2023-12-08,EQ,548.9,556.25,545.8,545.8,548.25,547.5,549.53,610.75,503.65,2453675,1348359544.8,44107,DABUR
2023-12-07,EQ,550.05,550.95,537.45,550.05,545.5,545.8,544.98,610.75,503.65,1150700,627106363.85,35271,DABUR
2023-12-06,EQ,554.75,554.9,549.3,552,550.8,550.05,550.98,610.75,503.65,1028497,566685278.6,33294,DABUR
2023-12-05,EQ,548.95,552.5,546.8,547,551.4,552,550.6,610.75,503.65,1748869,962932109.65,53257,DABUR
2023-12-04,EQ,544.9,548.9,541.7,541.15,547,547,545.74,610.75,503.65,2125643,1160045308.15,53604,DABUR
2023-12-01,EQ,540,544.4,537.7,538.05,542,541.15,540.4,610.75,503.65,1584387,856202389.15,43808,DABUR
2023-11-30,EQ,534.6,540.4,533,534.6,540.25,538.05,537.04,610.75,503.65,3167951,1701322189.95,39193,DABUR
2023-11-29,EQ,533.8,536.05,532,533.8,535.65,534.6,533.73,610.75,503.65,1815670,969083224.25,57452,DABUR
2023-11-28,EQ,536.5,537.35,531.05,537.35,534.3,533.8,534,610.75,503.65,2251292,1202192179.9,79189,DABUR
2023-11-24,EQ,542,542.1,536,540.35,536.5,537.35,538.01,610.75,503.65,440877,237198002.5,11801,DABUR
2023-11-23,EQ,541,542,535.25,541,538.15,540.35,538.99,610.75,503.65,800753,431598650.4,17663,DABUR
2023-11-22,EQ,540.7,541.95,537.55,540.85,541.95,541,539.85,610.75,503.65,680568,367401445.65,19111,DABUR
2023-11-21,EQ,545.65,545.65,539.25,543.2,540.2,540.85,542.15,610.75,503.65,1379849,748086221.3,33925,DABUR
2023-11-20,EQ,540.7,545.45,537.2,540.7,542.7,543.2,542.99,610.75,503.65,1910044,1037133722.3,36716,DABUR
2023-11-17,EQ,535.8,542.6,531.65,534.9,542,540.7,539.37,610.75,503.65,1512369,815722008.35,23111,DABUR
2023-11-16,EQ,532.25,535.4,526.2,526,534.4,534.9,532.63,610.75,503.65,1612231,858718844.4,41525,DABUR
2023-11-15,EQ,523.05,527.5,516.7,530.1,524.75,526,524.51,610.75,503.65,3398705,1782658656.75,63642,DABUR
2023-11-13,EQ,535.5,535.8,525.95,535.6,530.1,530.1,528.84,610.75,503.65,979880,518200575.6,39971,DABUR
2023-11-12,EQ,535,537.05,534,533.35,535.8,535.6,535.79,610.75,503.65,88683,47515675.25,4470,DABUR
2023-11-10,EQ,532.65,535,526.7,534.85,533.5,533.35,531.78,610.75,503.65,1361649,724100929.9,21412,DABUR
2023-11-09,EQ,540,540,533,539.25,534.25,534.85,534.77,610.75,503.65,1366713,730875963.25,18319,DABUR
2023-11-08,EQ,538.7,539.8,533.4,536.1,538.2,539.25,538.53,610.75,503.65,776461,418145972.35,28100,DABUR
2023-11-07,EQ,539,539.9,532.85,537.95,535.5,536.1,536.28,610.75,503.65,823342,441539310.55,37597,DABUR
2023-11-06,EQ,536.9,539.55,533.35,535.5,537.5,537.95,537.84,610.75,503.65,478913,257578868.3,15094,DABUR
2023-11-03,EQ,534.1,537.85,531.4,530.4,535.95,535.5,535.11,610.75,503.65,1337219,715560552.9,38224,DABUR
2023-11-02,EQ,519.75,533.5,517.35,517.1,532.9,530.4,524.64,610.75,503.65,1919439,1007006505.95,37088,DABUR
2023-11-01,EQ,530.5,532,516.2,528.9,517.3,517.1,521.47,610.75,503.65,2712123,1414288682,55121,DABUR
2023-10-31,EQ,524.6,531.05,522.25,523.45,528.8,528.9,527.38,610.75,503.65,1687120,889754439.35,40552,DABUR
2023-10-30,EQ,524.5,524.7,521.7,524.55,524.2,523.45,523.31,610.75,503.65,1711768,895784172.8,44834,DABUR
2023-10-27,EQ,510.9,525.85,509.05,508.45,524.5,524.55,522.32,610.75,503.65,2125985,1110453775.85,73168,DABUR
2023-10-26,EQ,517.9,517.9,504.1,517.9,511,508.45,511.04,610.75,503.65,2400780,1226889678.9,62349,DABUR
2023-10-25,EQ,517.3,525,516.3,521.35,519.75,517.9,520.38,610.75,503.65,2014418,1048257331.5,41258,DABUR
2023-10-23,EQ,524.8,526,518.65,524.8,519.1,521.35,523.05,610.75,503.65,1535943,803373303.9,32940,DABUR
2023-10-20,EQ,523,526.25,516,525.65,525,524.8,519.67,610.75,503.65,7600488,3949780375.35,79784,DABUR
2023-10-19,EQ,525,528.35,520.5,534,527.5,525.65,524.47,610.75,503.65,4093512,2146906644.9,66370,DABUR
2023-10-18,EQ,538.15,540.8,533.35,540.25,533.8,534,536.33,610.75,503.65,1251181,671048216.6,34029,DABUR
2023-10-17,EQ,537.1,543,536,536.95,540.2,540.25,540.07,610.75,503.65,2040439,1101989312.65,33390,DABUR
2023-10-16,EQ,538,538.95,534.55,538.85,536.65,536.95,537.09,610.75,503.65,1807237,970655636.9,30749,DABUR
2023-10-13,EQ,541.9,542.45,536.5,541,538.25,538.85,538.89,610.75,503.65,1607850,866459540.6,29323,DABUR
2023-10-12,EQ,545.45,546.2,538.8,543.75,541.45,541,541.06,610.75,503.65,903301,488736924.05,24670,DABUR
