DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,3708.7,3778.9,3708,3708.85,3732,3729.2,3744.36,4074.4,2730,625808,2343251049.65,40037,DIVISLAB
2024-02-15,EQ,3729.7,3745,3696.55,3719.65,3705,3708.85,3715.41,4074.4,2730,288401,1071526963.3,39321,DIVISLAB
2024-02-14,EQ,3690,3728.65,3632.05,3700.45,3724.25,3719.65,3677.92,4074.4,2730,452222,1663236455.4,38003,DIVISLAB
2024-02-13,EQ,3740.15,3832.8,3687,3740.15,3700,3700.45,3755.63,4074.4,2730,814115,3057511985.6,87474,DIVISLAB
2024-02-12,EQ,3650,3818.6,3645.7,3652.3,3735.5,3740.15,3763.44,4074.4,2730,1303179,4904442262.25,125052,DIVISLAB
2024-02-09,EQ,3697.5,3697.5,3613.5,3684.4,3655,3652.3,3648.82,4074.4,2730,415749,1516994753.25,47153,DIVISLAB
2024-02-08,EQ,3745.95,3765,3660.4,3731.8,3687.7,3684.4,3694.76,4074.4,2730,399402,1475696265.4,71578,DIVISLAB
2024-02-07,EQ,3739.95,3771,3702.2,3726.5,3739.9,3731.8,3733.89,4074.4,2730,226715,846528820.35,39414,DIVISLAB
2024-02-06,EQ,3698,3744.4,3689.9,3699.5,3729,3726.5,3727.63,4074.4,2730,276514,1030741761.45,38297,DIVISLAB
2024-02-05,EQ,3699.4,3742,3664.55,3699.4,3700,3699.5,3703.35,4074.4,2730,518516,1920247680.1,38439,DIVISLAB
2024-02-02,EQ,3665,3744.7,3665,3655.4,3700,3699.4,3706.62,4074.4,2730,423758,1570710640.9,53073,DIVISLAB
2024-02-01,EQ,3696,3696,3636.05,3670.6,3655,3655.4,3655.33,4074.4,2730,393645,1438902386.6,62675,DIVISLAB
2024-01-31,EQ,3585,3680.9,3560.05,3551.7,3658,3670.6,3630.82,4074.4,2730,840784,3052732141.45,86561,DIVISLAB
2024-01-30,EQ,3574.95,3619.35,3540.3,3570.6,3560,3551.7,3587.44,4074.4,2730,1052177,3774619746.85,75834,DIVISLAB
2024-01-29,EQ,3578,3586,3550.1,3578.9,3572,3570.6,3572.42,4074.4,2730,765970,2736369315.75,57414,DIVISLAB
2024-01-25,EQ,3644,3660,3547.25,3643.55,3555,3578.9,3585.16,4074.4,2730,407761,1461887243.3,62396,DIVISLAB
2024-01-24,EQ,3650,3671.95,3609,3615.35,3639.2,3643.55,3645.02,4074.4,2730,377660,1376577142.65,35939,DIVISLAB
2024-01-23,EQ,3700,3700,3585.85,3649.55,3621.95,3615.35,3629.9,4074.4,2730,387616,1407007450.25,48478,DIVISLAB
2024-01-20,EQ,3720,3727.65,3637.05,3693.8,3656,3649.55,3677.18,4074.4,2730,113402,416999244.8,16382,DIVISLAB
2024-01-19,EQ,3730,3733.35,3664.2,3700.2,3697,3693.8,3695.41,4074.4,2730,324763,1200133763.2,42822,DIVISLAB
2024-01-18,EQ,3728.8,3756.55,3585,3728.8,3705,3700.2,3666.59,4074.4,2730,651966,2390491061.9,77560,DIVISLAB
2024-01-17,EQ,3810.1,3819.9,3717.35,3814.5,3732,3728.8,3754.57,4074.4,2730,574671,2157640566.8,60689,DIVISLAB
2024-01-16,EQ,3909.6,3926.35,3800.4,3909.6,3827,3814.5,3840.78,4074.4,2730,483779,1858088480.5,63848,DIVISLAB
2024-01-15,EQ,3900,3943.95,3871.75,3883.95,3905.15,3909.6,3912.21,4074.4,2730,326872,1278790589.85,33733,DIVISLAB
2024-01-12,EQ,3911.95,3925.2,3860.5,3905.2,3891.4,3883.95,3886.41,4074.4,2730,291344,1132282176.25,28443,DIVISLAB
2024-01-11,EQ,3902.65,3942.9,3881.7,3902.65,3906,3905.2,3910.26,4074.4,2730,238212,931470041.2,28520,DIVISLAB
2024-01-10,EQ,3984.65,4016.9,3877.55,3984.65,3904.95,3902.65,3924.94,4074.4,2730,351976,1381485368.1,39318,DIVISLAB
2024-01-09,EQ,3948.95,4004,3920.6,3934.15,3986.2,3984.65,3955.67,4074.4,2730,468363,1852688584.65,34707,DIVISLAB
2024-01-08,EQ,3999,4025.35,3910.45,4014.75,3934,3934.15,3945.23,4074.4,2730,403753,1592897693.1,37659,DIVISLAB
2024-01-05,EQ,4052,4070.1,3980,4042.15,4002,4014.75,4017.21,4074.4,2730,313459,1259229913,39024,DIVISLAB
2024-01-04,EQ,4050,4074.4,3973.2,4030.6,4048.55,4042.15,4036.08,4074.4,2730,485788,1960681532.05,65237,DIVISLAB
2024-01-03,EQ,4050,4064.5,4012,4030,4021,4030.6,4033.25,4064.5,2730,452402,1824648602.95,40498,DIVISLAB
2024-01-02,EQ,3925,4052.1,3905.2,3915.9,4037,4030,4017.13,4052.1,2730,1386959,5571600858.05,113596,DIVISLAB
2024-01-01,EQ,3910,3939.95,3882.15,3903.9,3905,3915.9,3912.26,3952,2730,240126,939434163.2,27169,DIVISLAB
2023-12-29,EQ,3949,3949,3896.35,3939.95,3908.2,3903.9,3916.45,3952,2730,262845,1029418013.65,28205,DIVISLAB
2023-12-28,EQ,3900,3952,3861.35,3884.25,3940,3939.95,3905.13,3952,2730,668311,2609838683.2,68251,DIVISLAB
2023-12-27,EQ,3894,3917,3845.5,3863.5,3887.5,3884.25,3883.1,3934.7,2730,598775,2325106076.5,62418,DIVISLAB
2023-12-26,EQ,3699.05,3897,3694,3694.95,3863,3863.5,3824.51,3934.7,2730,1249185,4777517475.9,94640,DIVISLAB
2023-12-22,EQ,3650,3762.9,3643.95,3632.7,3699.05,3694.95,3713.67,3934.7,2730,898967,3338464639.4,80697,DIVISLAB
2023-12-21,EQ,3615,3649.8,3565.55,3620,3638.2,3632.7,3617.93,3934.7,2730,353261,1278075115.8,48905,DIVISLAB
2023-12-20,EQ,3752,3752,3604.8,3723.9,3614.1,3620,3685.35,3934.7,2730,346170,1275758276.65,44168,DIVISLAB
2023-12-19,EQ,3713,3739,3689.2,3713.05,3725.1,3723.9,3722.84,3934.7,2730,287231,1069315659.7,41581,DIVISLAB
2023-12-18,EQ,3690,3773.95,3687.25,3697.05,3710.45,3713.05,3733.5,3934.7,2730,457133,1706707144.6,58074,DIVISLAB
2023-12-15,EQ,3700,3720.3,3679.05,3683.2,3706,3697.05,3697.76,3934.7,2730,338280,1250879895.1,46274,DIVISLAB
2023-12-14,EQ,3663.9,3703.95,3641,3656,3680.05,3683.2,3678.14,3934.7,2730,448099,1648168629.7,70150,DIVISLAB
2023-12-13,EQ,3669.8,3676,3612,3647.6,3666.15,3656,3642.87,3934.7,2730,355453,1294868510.45,51986,DIVISLAB
2023-12-12,EQ,3670.5,3694.95,3631,3670.5,3651,3647.6,3663.02,3934.7,2730,188686,691160494.85,29738,DIVISLAB
2023-12-11,EQ,3679,3693.55,3641.75,3681.75,3668,3670.5,3667.81,3934.7,2730,247368,907299422.5,34446,DIVISLAB
2023-12-08,EQ,3739,3747.45,3662.4,3734.35,3680,3681.75,3687.54,3934.7,2730,455037,1677966934.1,50299,DIVISLAB
2023-12-07,EQ,3734.45,3772.9,3724,3734.45,3735,3734.35,3744.5,3934.7,2730,281509,1054110149.25,49962,DIVISLAB
2023-12-06,EQ,3762.85,3781.6,3716.35,3741.15,3738.55,3734.45,3742.66,3934.7,2730,298255,1116268149.85,39363,DIVISLAB
2023-12-05,EQ,3789.05,3810,3724.05,3798.1,3743.6,3741.15,3760.11,3934.7,2730,449862,1691531287.5,48437,DIVISLAB
2023-12-04,EQ,3810,3835.05,3790,3792.7,3800,3798.1,3806.91,3934.7,2730,318936,1214159338.8,34495,DIVISLAB
2023-12-01,EQ,3799,3819.7,3772,3788.7,3785.05,3792.7,3796.19,3934.7,2730,260031,987128181.45,27205,DIVISLAB
2023-11-30,EQ,3729.55,3809,3729.55,3729.75,3779.8,3788.7,3787.04,3934.7,2730,887438,3360758858.05,68042,DIVISLAB
2023-11-29,EQ,3761,3775.95,3720.95,3760.15,3729.85,3729.75,3749.11,3934.7,2730,329180,1234132266.7,40281,DIVISLAB
2023-11-28,EQ,3770,3786.35,3743.45,3764.8,3760.4,3760.15,3758.13,3934.7,2730,197926,743831371.35,24221,DIVISLAB
2023-11-24,EQ,3688.5,3778.95,3686.95,3688.5,3760,3764.8,3759.23,3934.7,2730,829615,3118715611.7,80104,DIVISLAB
2023-11-23,EQ,3705.55,3725,3640.1,3701.7,3695,3688.5,3674.65,3934.7,2730,252188,926703326.5,32263,DIVISLAB
2023-11-22,EQ,3710,3743.55,3685,3721.6,3705.1,3701.7,3712.12,3934.7,2730,317027,1176841388.85,27798,DIVISLAB
2023-11-21,EQ,3681.9,3734.3,3654,3672.95,3725,3721.6,3704.92,3934.7,2730,388729,1440209979.9,41988,DIVISLAB
2023-11-20,EQ,3609.95,3757,3604.1,3600.85,3672.5,3672.95,3702.76,3934.7,2730,1601236,5928996152.25,109075,DIVISLAB
2023-11-17,EQ,3550,3619,3550,3548.25,3600,3600.85,3598.59,3934.7,2730,297110,1069177211.85,37242,DIVISLAB
2023-11-16,EQ,3536.85,3570.4,3520,3536.85,3550,3548.25,3549.12,3934.7,2730,249987,887234461.1,45861,DIVISLAB
2023-11-15,EQ,3534.95,3540,3501.25,3510,3535,3536.85,3524.68,3934.7,2730,256472,903980542.2,36583,DIVISLAB
