DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,857,869.3,848.8,851.4,858.85,863.3,861.55,869.3,336.5,3451534,2973683523.2,68577,DLF
2024-02-15,EQ,848,857.95,842.5,843.8,852.4,851.4,849.77,857.95,336.5,3505476,2978847985.9,86704,DLF
2024-02-14,EQ,819,847.45,816.2,829.35,845.9,843.8,832.34,847.45,336.5,2710385,2255954960.85,70000,DLF
2024-02-13,EQ,810,831.95,799.05,807.6,830.5,829.35,817.84,840.9,336.5,3526880,2884416410.45,88804,DLF
2024-02-12,EQ,833,837.6,803.35,834.4,809.4,807.6,816.89,840.9,336.5,2814982,2299522690.15,66047,DLF
2024-02-09,EQ,830.85,837,810,830.85,833.1,834.4,827.38,840.9,336.5,4351187,3600099823.9,102759,DLF
2024-02-08,EQ,828.8,840.9,823.15,827.45,831.5,830.85,832.33,840.9,336.5,3355261,2792677336.25,58845,DLF
2024-02-07,EQ,806,838.3,806,797.35,824.95,827.45,829.25,838.3,336.5,10550511,8749056427.2,183184,DLF
2024-02-06,EQ,794,802,784.2,786.6,797,797.35,796,815.75,336.5,3996095,3180887276.85,61713,DLF
2024-02-05,EQ,784.9,806,783.2,791.45,787.5,786.6,795.29,815.75,336.5,3023829,2404806939.3,62545,DLF
2024-02-02,EQ,801.2,808.4,783.2,800.05,784.4,791.45,800.75,815.75,336.5,3474878,2782501021.05,68541,DLF
2024-02-01,EQ,802.55,808.75,791.05,802.6,796.8,800.05,800.42,815.75,336.5,5565773,4454957520.3,120449,DLF
2024-01-31,EQ,786.9,806.7,782.5,786.9,797,802.6,797.3,815.75,336.5,7997614,6376523394.25,173280,DLF
2024-01-30,EQ,770.5,798.7,767,767.35,783,786.9,782.87,815.75,336.5,10661351,8346462935.7,195253,DLF
2024-01-29,EQ,761,771.7,755.25,758.65,765.35,767.35,765.09,815.75,336.5,5504653,4211572783.25,121810,DLF
2024-01-25,EQ,776,776,749.3,747.4,758,758.65,758.9,815.75,336.5,9110800,6914211003.6,247099,DLF
2024-01-24,EQ,739.95,749,732.3,739.3,748,747.4,742.8,815.75,336.5,6963379,5172411752.45,132174,DLF
2024-01-23,EQ,790,791.9,733.95,777.05,743,739.3,751.77,815.75,336.5,19908675,14966675549.95,272597,DLF
2024-01-20,EQ,783.65,788.55,769,785.55,777,777.05,775.9,815.75,336.5,3960173,3072690561.3,60622,DLF
2024-01-19,EQ,780.7,788,777.7,775.45,785.2,785.55,783.52,815.75,336.5,3519988,2757970305.4,80997,DLF
2024-01-18,EQ,776,780.6,762.75,775.3,775,775.45,773.93,815.75,336.5,8727583,6754536235.5,158145,DLF
2024-01-17,EQ,780,790,771.05,786.85,777.1,775.3,778.82,815.75,336.5,6183356,4815727961.2,97419,DLF
2024-01-16,EQ,804.4,806.35,777.15,805.4,787.1,786.85,788.42,815.75,336.5,3800255,2996214975.4,75180,DLF
2024-01-15,EQ,802,815.75,798.5,800.55,804.4,805.4,805.85,815.75,336.5,4959825,3996887787.15,84385,DLF
2024-01-12,EQ,800,811.4,796.25,797.45,800.35,800.55,804.35,811.4,336.5,4158326,3344754402.95,87816,DLF
2024-01-11,EQ,797.5,804.9,794.35,796.05,798.2,797.45,799.89,804.9,336.5,5304485,4243011651.3,110132,DLF
2024-01-10,EQ,790.45,800.8,777.55,789.6,795.25,796.05,788.54,800.8,336.5,5169408,4076259867.6,85116,DLF
2024-01-09,EQ,772,793,762.5,759.3,790.25,789.6,779.97,793,336.5,9348457,7291544068.35,152757,DLF
2024-01-08,EQ,760.5,773.45,751.3,752.95,760.25,759.3,761.41,773.45,336.5,4448637,3387241130.45,84196,DLF
2024-01-05,EQ,760,770,747.85,761.4,754.1,752.95,759.16,770,336.5,5929704,4501609607.85,118711,DLF
2024-01-04,EQ,718,764.75,717.5,715.65,762.5,761.4,753.28,764.75,336.5,13312567,10028055222.05,228252,DLF
2024-01-03,EQ,715.25,720.85,706.7,713.85,715,715.65,714.99,731,336.5,1829817,1308297403.85,38564,DLF
2024-01-02,EQ,725.8,725.8,704.45,723.6,714,713.85,713.27,731,336.5,2394602,1708001235,45243,DLF
2024-01-01,EQ,727.2,731,721.45,726.4,722,723.6,725.75,731,336.5,1400824,1016649233.8,26541,DLF
2023-12-29,EQ,725.8,730,721.8,728.65,724,726.4,726.23,730,336.5,1995191,1448962399.9,36358,DLF
2023-12-28,EQ,721.9,729.9,715.1,720.45,728,728.65,725.37,729.9,336.5,5426028,3935880897.75,62899,DLF
2023-12-27,EQ,719,724.45,711.4,714.85,717,720.45,719.82,724.45,336.5,2233097,1607419359.6,37574,DLF
2023-12-26,EQ,719.55,722.2,711.65,715.95,714,714.85,716.26,722.2,336.5,2419374,1732893801.75,47554,DLF
2023-12-22,EQ,696,718.7,694.45,692.9,715.7,715.95,705.78,718.7,336.5,5899551,4163791075.65,91316,DLF
2023-12-21,EQ,680,694.9,670.2,675.35,694,692.9,683.16,709,336.5,5888251,4022614717.75,104868,DLF
2023-12-20,EQ,704,704,671.7,698.05,673,675.35,686.63,709,336.5,3091436,2122669379,66621,DLF
2023-12-19,EQ,699,702.1,691.95,697.1,697.15,698.05,697.95,709,336.5,1475227,1029631457.6,27093,DLF
2023-12-18,EQ,702.45,705.85,693.45,705.3,697.5,697.1,699.15,709,336.5,1906529,1332953082.15,40024,DLF
2023-12-15,EQ,700,709,695,699.5,704.4,705.3,703.25,709,336.5,4137143,2909457094.65,69524,DLF
2023-12-14,EQ,681.7,701.95,681.05,673.75,698.15,699.5,693.82,701.95,336.5,7464762,5179178435.05,112912,DLF
2023-12-13,EQ,666.8,675,664.2,662.6,672,673.75,670.37,677.4,336.5,3426758,2297188724.35,51759,DLF
2023-12-12,EQ,667.1,677.4,659.6,667.1,661.3,662.6,667.67,677.4,336.5,3998781,2669860451.6,80744,DLF
2023-12-11,EQ,654.45,673.6,653.3,649.9,665.9,667.1,667.47,673.6,336.5,5641806,3765756647.45,96274,DLF
2023-12-08,EQ,651,663.9,641.45,648.6,649.25,649.9,653.02,663.9,336.5,3937417,2571230703.15,67366,DLF
2023-12-07,EQ,653.1,654.55,647.3,652.95,649.6,648.6,650.01,660.6,336.5,1051759,683654697,26274,DLF
2023-12-06,EQ,650.95,660.6,650.1,650.1,654,652.95,655.17,660.6,336.5,3264809,2138990384.25,53910,DLF
2023-12-05,EQ,652.9,654.25,639.9,649.25,648.45,650.1,648.42,654.25,336.5,3417071,2215681047.3,47699,DLF
2023-12-04,EQ,639,652,632.8,629.25,649.15,649.25,645.21,652,336.5,4588495,2960532495.45,76497,DLF
2023-12-01,EQ,631.9,634.3,625.55,625.85,626.95,629.25,629.91,641.75,336.5,3438389,2165865232.25,34834,DLF
2023-11-30,EQ,637.65,637.95,623.2,637.65,626.5,625.85,626.29,641.75,336.5,14874927,9315964226.2,102290,DLF
2023-11-29,EQ,632.9,641.75,629.1,629.15,636.05,637.65,636.36,641.75,336.5,5851523,3723661594.5,76992,DLF
2023-11-28,EQ,625,631.8,619.25,629.35,627.25,629.15,626.59,641.2,336.5,4535901,2842144525.8,81984,DLF
2023-11-24,EQ,637.2,641.1,628.35,636.15,630.75,629.35,633.24,641.2,336.5,3963603,2509892401.75,42402,DLF
2023-11-23,EQ,634,640,633,632.55,636.15,636.15,636.15,641.2,336.5,2516687,1600977923.7,42271,DLF
2023-11-22,EQ,633.85,635.5,623.5,634.45,632.2,632.55,630.24,641.2,336.5,2762713,1741179921.9,58233,DLF
2023-11-21,EQ,627.1,641.2,627.1,626.25,633.35,634.45,634.86,641.2,336.5,6052465,3842461582.3,94001,DLF
2023-11-20,EQ,632,634.25,623.55,631.15,628.15,626.25,627.39,634.25,336.5,3290059,2064148178.7,55495,DLF
