DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,3698.6,3724.65,3665.1,3678.6,3690,3693.3,3689.26,4206,3292,726598,2680610243,30894,DMART
2024-02-15,EQ,3722.4,3729.95,3671.35,3722.4,3685,3678.6,3684.99,4206,3292,507420,1869839975.35,26272,DMART
2024-02-14,EQ,3700,3739,3691.05,3703.2,3711,3722.4,3709.7,4206,3292,257694,955967821.95,20867,DMART
2024-02-13,EQ,3685.05,3728,3660.9,3675.6,3700,3703.2,3702.36,4206,3292,294135,1088993408.2,31032,DMART
2024-02-12,EQ,3719.2,3734.95,3644.3,3719.2,3675,3675.6,3678.59,4206,3292,199148,732583085.05,24378,DMART
2024-02-09,EQ,3732.15,3758,3699,3731.05,3723,3719.2,3726.93,4206,3292,306425,1142023531.95,21085,DMART
2024-02-08,EQ,3718.95,3787.95,3715,3717.7,3729.9,3731.05,3750.72,4206,3292,261689,981521272.3,33232,DMART
2024-02-07,EQ,3759,3785,3703,3727.4,3716,3717.7,3722.21,4206,3292,173087,644265505.7,22707,DMART
2024-02-06,EQ,3730,3737.7,3702.05,3729.6,3737,3727.4,3719.67,4206,3292,148110,550920790.7,22162,DMART
2024-02-05,EQ,3785,3791.55,3720.05,3784.3,3729,3729.6,3742.71,4206,3292,216052,808620557.3,24647,DMART
2024-02-02,EQ,3808.2,3815,3770,3808.2,3771,3784.3,3789.87,4206,3292,186318,706121419.05,25854,DMART
2024-02-01,EQ,3810,3826.6,3772,3792.7,3792,3808.2,3802.95,4206,3292,188297,716083953.55,22581,DMART
2024-01-31,EQ,3680,3821.4,3652.75,3687.3,3810,3792.7,3737.71,4206,3292,353880,1322700337.45,42575,DMART
2024-01-30,EQ,3740,3772.85,3680,3749.4,3699,3687.3,3722.82,4206,3292,263265,980089118.4,25384,DMART
2024-01-29,EQ,3700,3764.2,3689,3734.25,3764.2,3749.4,3718.63,4206,3292,216522,805165861.85,30423,DMART
2024-01-25,EQ,3731,3750,3695.5,3727.75,3745,3734.25,3722.88,4206,3292,200269,745576877.15,20247,DMART
2024-01-24,EQ,3675.9,3748,3646.05,3675.9,3720,3727.75,3683.59,4206,3292,316651,1166411333.8,35707,DMART
2024-01-23,EQ,3675,3714,3651.05,3676.5,3672,3675.9,3671.32,4206,3292,299750,1100479058.05,38566,DMART
2024-01-20,EQ,3705,3719.9,3667,3731.7,3681,3676.5,3683.99,4206,3292,340503,1254410115.5,37186,DMART
2024-01-19,EQ,3762.95,3768.7,3704.5,3748.85,3745,3731.7,3725.25,4206,3292,565533,2106751916.5,48776,DMART
2024-01-18,EQ,3786.45,3790,3740,3786.45,3748,3748.85,3752.27,4206,3292,489754,1837689966,52535,DMART
2024-01-17,EQ,3750,3811.9,3750,3828.3,3782,3786.45,3798.42,4206,3292,516399,1961498708.9,37585,DMART
2024-01-16,EQ,3860,3865,3807,3858.25,3825.1,3828.3,3847.46,4206,3292,445672,1714705081.1,31482,DMART
2024-01-15,EQ,3924.95,3933,3851,3841,3855.05,3858.25,3871.77,4206,3292,505101,1955632982.35,38601,DMART
2024-01-12,EQ,3827.95,3848,3794.1,3821.35,3843,3841,3814.82,4206,3292,456627,1741949639.7,51041,DMART
2024-01-11,EQ,3845,3845,3805,3822,3827,3821.35,3820.72,4206,3292,213492,815693892.65,25489,DMART
2024-01-10,EQ,3818.9,3837.95,3792.35,3810.75,3823,3822,3812.31,4206,3292,338253,1289524775,45735,DMART
2024-01-09,EQ,3810.1,3850,3787,3804.4,3818.95,3810.75,3805.11,4206,3292,440688,1676864669.85,43380,DMART
2024-01-08,EQ,3893.95,3919.9,3791,3863.5,3814.5,3804.4,3835.04,4206,3292,692896,2657283724.35,54922,DMART
2024-01-05,EQ,3902,3940,3810,3897.85,3880,3863.5,3867.98,4206,3292,513823,1987455241.75,48459,DMART
2024-01-04,EQ,3965,3965,3888,3932.35,3903.95,3897.85,3906.3,4206,3292,754490,2947264163.8,68295,DMART
2024-01-03,EQ,4080,4080,3919.4,4103.35,3940,3932.35,3966.82,4206,3292,964470,3825882144.9,105162,DMART
2024-01-02,EQ,4070,4155,4006.25,4064.75,4091,4103.35,4068.07,4206,3292,843252,3430404309.45,43456,DMART
2024-01-01,EQ,4075,4080,4042.1,4082.65,4065,4064.75,4064.09,4206,3292,131614,534890999,18875,DMART
2023-12-29,EQ,4045.1,4098.9,3984.2,4044.65,4060,4082.65,4056.3,4207.95,3292,224994,912643430.7,26564,DMART
2023-12-28,EQ,4048.9,4058.4,4015,4027.45,4045,4044.65,4036.7,4207.95,3292,403866,1630284749.5,36020,DMART
