DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,185.4,185.65,181.75,184.25,182.4,182.6,183.81,186.5,93.15,19961823,3669257155.5,101879,GAIL
2024-02-15,EQ,177,186.5,175.65,176.25,183.9,184.25,182.63,186.5,93.15,43688826,7978745374.1,202437,GAIL
2024-02-14,EQ,169,176.75,167.25,170.35,176.35,176.25,173,186.5,93.15,15132347,2617849010.55,84123,GAIL
2024-02-13,EQ,169.3,172.3,166.35,168.8,170.45,170.35,169.35,186.5,93.15,13204257,2236169745.25,72423,GAIL
2024-02-12,EQ,173.1,174.7,167.5,173.1,168.6,168.8,170.44,186.5,93.15,18334992,3125097264.5,85619,GAIL
2024-02-09,EQ,179.9,180.1,168.15,179.7,173.1,173.1,172.13,186.5,92.2,36193339,6229917203.8,159699,GAIL
2024-02-08,EQ,180.95,182.2,178,178.95,180.1,179.7,180.25,186.5,92.2,19018617,3428016404.2,120077,GAIL
2024-02-07,EQ,182.75,185.4,178.25,181.55,179.2,178.95,181.45,186.5,92.2,31684715,5749155707.8,119835,GAIL
2024-02-06,EQ,178.5,183,175.7,181.6,181.25,181.55,179.66,186.5,92.2,33761541,6065695252.8,137338,GAIL
2024-02-05,EQ,180,186.5,177.95,177.9,182,181.6,182.59,186.5,92.2,57505480,10499691051.85,232583,GAIL
2024-02-02,EQ,175.9,180,175.1,173.7,178.5,177.9,177.61,180,91.05,41748419,7415044656.6,146288,GAIL
2024-02-01,EQ,174,175.5,171.3,172.6,173.6,173.7,173.35,177,91.05,31663125,5488729190.6,118153,GAIL
2024-01-31,EQ,173,174.5,170.35,172,172.7,172.6,172.45,177,91.05,29140358,5025399746.55,102560,GAIL
2024-01-30,EQ,175,177,171.5,171.75,171.95,172,174.11,177,91.05,57303068,9976870765.75,197263,GAIL
2024-01-29,EQ,167.95,174.7,165.5,165.4,172.5,171.75,170.01,174.7,91.05,58433818,9934201725.9,187100,GAIL
2024-01-25,EQ,166,167.15,164.55,164.55,165.7,165.4,165.72,171.8,91.05,16725897,2771772285.65,61597,GAIL
2024-01-24,EQ,158.7,165.1,156.2,157.2,164.85,164.55,161.6,171.8,91.05,18968981,3065436130.5,82880,GAIL
2024-01-23,EQ,168,168.3,155.75,166.45,157.95,157.2,161.94,171.8,91.05,30341132,4913561303.1,115774,GAIL
2024-01-20,EQ,170.25,171.8,165.5,168.3,166.15,166.45,168.61,171.8,91.05,26069183,4395399607.25,95175,GAIL
2024-01-19,EQ,165.05,169.2,164.4,163.55,168.95,168.3,167.45,169.35,91.05,21251240,3558514759.3,79806,GAIL
2024-01-18,EQ,164.1,165.15,157.75,164.1,163.8,163.55,162.37,169.35,91.05,20299367,3295931379.15,74132,GAIL
2024-01-17,EQ,165.5,169,163.6,166.9,164.65,164.1,166.27,169.35,91.05,31113706,5173198902.05,111281,GAIL
2024-01-16,EQ,165.35,168.2,162.85,165.2,166.65,166.9,165.9,169.35,91.05,33401828,5541481931.35,139124,GAIL
2024-01-15,EQ,163.7,166.8,161.5,162.4,165.1,165.2,164.55,169.35,91.05,26896883,4425967274.25,106446,GAIL
2024-01-12,EQ,160.8,164.85,159.4,159.05,162.3,162.4,163,169.35,91.05,31798366,5183082166.6,109663,GAIL
2024-01-11,EQ,159.8,161.1,155.85,160,159.05,159.05,158.32,169.35,91.05,37761286,5978428086.05,132790,GAIL
2024-01-10,EQ,160.9,161.4,157.7,161.05,160.15,160,159.43,169.35,91.05,21435177,3417431526.1,75520,GAIL
2024-01-09,EQ,161.9,162.75,159.7,160.7,161.3,161.05,160.97,169.35,91.05,21668343,3487985259.5,88248,GAIL
2024-01-08,EQ,165.35,165.35,160.3,163.65,160.6,160.7,162.46,169.35,91.05,16705187,2713939976.45,88159,GAIL
2024-01-05,EQ,166,167.1,161.9,163.15,163.6,163.65,164.5,169.35,91.05,36182162,5951805479.85,113376,GAIL
2024-01-04,EQ,162.3,165.7,162.25,162.15,162.9,163.15,163.86,169.35,91.05,16795469,2752138878.05,77763,GAIL
2024-01-03,EQ,164,164.4,160.75,164.05,161.8,162.15,162.44,169.35,91.05,22338899,3628720769.95,84613,GAIL
2024-01-02,EQ,167.1,167.6,158.1,166.2,163.8,164.05,162.7,169.35,91.05,40801901,6638661021.25,149063,GAIL
2024-01-01,EQ,163.7,169.35,162.65,162.1,166.8,166.2,166.79,169.35,91.05,40952729,6830404268.5,167834,GAIL
2023-12-29,EQ,159.75,164.3,158.05,157.1,162.2,162.1,161.81,164.3,90.65,57370272,9283034877.85,225654,GAIL
2023-12-28,EQ,152.45,158.85,151.65,151.85,157,157.1,155.94,158.85,90.65,37181228,5798162477.5,121710,GAIL
2023-12-27,EQ,154.95,155.4,150.75,154,152.1,151.85,152.93,157.7,90.65,15311946,2341684211.65,67796,GAIL
2023-12-26,EQ,152.45,157.7,151.4,151.5,154.4,154,154.8,157.7,90.65,44403657,6873781770.1,165744,GAIL
2023-12-22,EQ,142,153.15,141.1,140.7,151.2,151.5,149.72,153.15,90.65,84784192,12693908102.8,237969,GAIL
2023-12-21,EQ,135.15,141,134.85,137.75,141,140.7,139.22,149.15,90.65,16747435,2331505953.1,67691,GAIL
2023-12-20,EQ,145.5,148,136.45,144.4,137.45,137.75,142.81,149.15,90.65,24177947,3452916369.85,79045,GAIL
2023-12-19,EQ,146.1,146.85,142.85,145.05,144.7,144.4,144.53,149.15,90.65,16040169,2318302276.6,61856,GAIL
2023-12-18,EQ,146,147.5,144.5,145.85,145.1,145.05,145.91,149.15,90.65,10775891,1572288485.95,50714,GAIL
2023-12-15,EQ,147,149.15,145,145.55,145.8,145.85,147.36,149.15,90.2,28383880,4182779841.2,81952,GAIL
2023-12-14,EQ,142,147.4,141.65,141.05,146,145.55,144.77,147.4,90.2,38595458,5587534514.15,107962,GAIL
2023-12-13,EQ,139.05,142,138.5,138.75,140.85,141.05,140.48,145.1,90.2,17529522,2462540542.05,59466,GAIL
2023-12-12,EQ,141.05,141.6,138,141.05,138.8,138.75,139.58,145.1,90.2,9881478,1379282898,47410,GAIL
2023-12-11,EQ,140.05,143.1,139.75,140.35,140.8,141.05,141.42,145.1,90.2,11044633,1561913034.5,48572,GAIL
2023-12-08,EQ,142.85,144.8,137.35,142.05,140.2,140.35,141.18,145.1,90.2,18995777,2681833314.65,70561,GAIL
2023-12-07,EQ,140.6,143.7,140.05,140.6,142.2,142.05,142.05,145.1,90.2,18456707,2621742417.15,69830,GAIL
2023-12-06,EQ,141.15,142.6,138.8,140.35,141.05,140.6,140.44,145.1,90.2,18752200,2633543323.2,90394,GAIL
2023-12-05,EQ,142.85,143.4,139.5,141.9,140.6,140.35,141.21,145.1,90.2,25099887,3544255732.35,102469,GAIL
2023-12-04,EQ,139,145.1,138,136.05,141.85,141.9,142.28,145.1,90.2,66257632,9426942256,184573,GAIL
2023-12-01,EQ,134,137.35,132.35,131.9,136.3,136.05,135,137.35,90.2,53660727,7244256573.5,135577,GAIL
2023-11-30,EQ,125.85,134.2,125.3,125.9,131.9,131.9,131.86,134.2,90.2,82083861,10823329380.95,188735,GAIL
2023-11-29,EQ,125.2,127,125.2,125.3,125.85,125.9,126.03,132.45,90.2,17797816,2243099760.6,50349,GAIL
2023-11-28,EQ,124.55,126.45,123.65,124.5,125.5,125.3,125.06,132.45,90.2,19955790,2495659727.05,59572,GAIL
2023-11-24,EQ,125.1,125.7,123.9,124.95,124.3,124.5,124.97,132.45,89.5,7037545,879451345.25,28736,GAIL
2023-11-23,EQ,124.05,125.9,123.7,123.8,124.85,124.95,124.65,132.45,89.5,7039867,877504234.45,26405,GAIL
2023-11-22,EQ,125.05,125.45,122.9,124.95,123.85,123.8,124,132.45,89.5,7738964,959609219.3,34412,GAIL
2023-11-21,EQ,124.6,125.4,124.15,124.55,124.9,124.95,124.85,132.45,89.5,5289551,660423913.85,27811,GAIL
2023-11-20,EQ,125.65,126.45,124.15,126.25,124.25,124.55,125.14,132.45,89.5,5930799,742190162.15,26310,GAIL
2023-11-17,EQ,125.45,127.15,124.8,126.4,126.05,126.25,126.05,132.45,87.9,9122291,1149902239.45,35341,GAIL
2023-11-16,EQ,126.9,127.8,126.05,126.85,126.3,126.4,126.73,132.45,87.9,6392633,810133053.6,28173,GAIL
2023-11-15,EQ,127.3,129.05,126.55,126.05,127,126.85,127.72,132.45,87.9,14489745,1850605612.25,43701,GAIL
2023-11-13,EQ,126.5,127.3,125.35,126.4,126,126.05,126.47,132.45,87.9,5965121,754423986.9,24459,GAIL
2023-11-12,EQ,126,126.75,125.75,125.6,126.2,126.4,126.39,132.45,87.9,1638425,207085969.8,18002,GAIL
