DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1230,1245.8,1229.1,1231.8,1236.15,1241.35,1239.74,1314.3,894.2,803539,996182633.9,43026,GODREJCP
2024-02-15,EQ,1206.5,1234.95,1202.85,1200.6,1227.8,1231.8,1226.51,1314.3,894.2,996351,1222030065,63588,GODREJCP
2024-02-14,EQ,1175,1206.05,1175,1197.9,1205,1200.6,1195.92,1314.3,894.2,1451119,1735419314.6,44301,GODREJCP
2024-02-13,EQ,1198,1204.15,1191,1199.4,1198,1197.9,1198.53,1314.3,894.2,793689,951261972.05,34313,GODREJCP
2024-02-12,EQ,1228,1228,1195,1218.65,1195.95,1199.4,1204.12,1314.3,894.2,686352,826448435.6,42105,GODREJCP
2024-02-09,EQ,1217.15,1223.05,1198.55,1217.15,1221.8,1218.65,1209.9,1314.3,894.2,701591,848854756.4,40890,GODREJCP
2024-02-08,EQ,1244.15,1244.15,1214.4,1237.95,1217.5,1217.15,1225.66,1314.3,894.2,712653,873469320.85,28669,GODREJCP
2024-02-07,EQ,1249,1249.4,1234.75,1237.05,1237,1237.95,1239.9,1314.3,894.2,710759,881271430.85,68892,GODREJCP
2024-02-06,EQ,1217.05,1239.5,1210.5,1218.45,1236.8,1237.05,1228.71,1314.3,894.2,753495,925827499.15,49018,GODREJCP
2024-02-05,EQ,1241.05,1243,1208.6,1236.85,1215.35,1218.45,1218.65,1314.3,894.2,2290338,2791110922.7,73304,GODREJCP
2024-02-02,EQ,1257,1261.65,1233.2,1254.55,1240.95,1236.85,1244.64,1314.3,891.75,1527367,1901021780.6,65278,GODREJCP
2024-02-01,EQ,1212.05,1314.3,1210,1164.2,1259.95,1254.55,1271.51,1314.3,891.75,8781324,11165548790.3,287394,GODREJCP
2024-01-31,EQ,1175,1175,1150.15,1171.8,1162,1164.2,1162.66,1230,891.75,1918126,2230125901.8,61108,GODREJCP
2024-01-30,EQ,1180.15,1180.15,1154.9,1168.1,1165,1171.8,1166.43,1230,891.75,2259825,2635938503.5,52578,GODREJCP
2024-01-29,EQ,1165.8,1181,1156.75,1157.3,1166.2,1168.1,1167.94,1230,891.75,2800570,3270911123.4,47261,GODREJCP
2024-01-25,EQ,1163.35,1168.4,1120.25,1163.35,1166.9,1157.3,1154.86,1230,891.75,1713542,1978896031.5,42201,GODREJCP
2024-01-24,EQ,1137.45,1169,1125,1130.4,1167.25,1163.35,1152.45,1230,891.75,1406219,1620602296.95,57849,GODREJCP
2024-01-23,EQ,1144,1157.35,1124.85,1126.55,1128.45,1130.4,1138.96,1230,891.75,1998376,2276080303.3,92754,GODREJCP
2024-01-20,EQ,1155,1155,1116,1149.25,1118,1126.55,1133.7,1230,891.75,228455,258998529.65,15918,GODREJCP
2024-01-19,EQ,1115,1154.45,1113.5,1103.9,1148.4,1149.25,1141.23,1230,891.75,1538601,1755900164.45,83441,GODREJCP
2024-01-18,EQ,1099.8,1115.85,1075.6,1100.5,1109.1,1103.9,1100.53,1230,891.75,2486764,2736767620.85,110110,GODREJCP
2024-01-17,EQ,1101.6,1123.55,1096.3,1122.8,1100,1100.5,1109.31,1230,891.75,1949800,2162926048.15,60236,GODREJCP
2024-01-16,EQ,1134,1134.15,1117.4,1134,1123.45,1122.8,1124.68,1230,891.75,1682153,1891876955.95,71855,GODREJCP
2024-01-15,EQ,1145,1161.3,1130.3,1155.5,1133.95,1134,1139.71,1230,891.75,941288,1072796313.4,42133,GODREJCP
