DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1675,1677,1650.05,1662.55,1670,1667.45,1665.9,1696.5,1016.25,1776881,2960110318.5,111680,HCLTECH
2024-02-15,EQ,1678,1696.5,1650.1,1671.5,1665,1662.55,1666.16,1696.5,1016.25,2555162,4257299951.3,148684,HCLTECH
2024-02-14,EQ,1649.75,1676.9,1625.45,1665.6,1666,1671.5,1653.78,1685,1016.25,1386643,2293197365.15,105498,HCLTECH
2024-02-13,EQ,1675,1675,1648.6,1666.95,1665.5,1665.6,1660.27,1685,1016.25,3129897,5196481115.3,141353,HCLTECH
2024-02-12,EQ,1639,1685,1639,1630.6,1659.4,1666.95,1667.07,1685,1016.25,4885445,8144367155,150456,HCLTECH
2024-02-09,EQ,1640,1646.75,1614.65,1633.8,1624.9,1630.6,1628,1647.7,1016.25,3341297,5439629745.6,125491,HCLTECH
2024-02-08,EQ,1626,1647.7,1617.3,1615.35,1634.55,1633.8,1634.12,1647.7,1016.25,3496692,5714026846.2,190396,HCLTECH
2024-02-07,EQ,1628,1629.9,1598.95,1623.75,1614.95,1615.35,1616.19,1629.9,1016.25,3320199,5366075378.65,157339,HCLTECH
2024-02-06,EQ,1566,1627,1558.05,1555.35,1623.8,1623.75,1601.09,1627,1016.25,4988311,7986729089.3,152291,HCLTECH
2024-02-05,EQ,1584.95,1588.5,1551.45,1583.75,1555.1,1555.35,1572.02,1619.6,1016.25,1452864,2283926744.95,84055,HCLTECH
2024-02-02,EQ,1584.8,1613.9,1575,1577.4,1583.9,1583.75,1591.79,1619.6,1016.25,2337374,3720598643.55,152348,HCLTECH
2024-02-01,EQ,1576,1597,1566.35,1576,1578,1577.4,1578.89,1619.6,1016.25,2845408,4492583650.5,143248,HCLTECH
2024-01-31,EQ,1559.3,1581.3,1546.35,1559.3,1570.8,1576,1559.28,1619.6,1016.25,7025931,10955386297.95,159792,HCLTECH
2024-01-30,EQ,1580,1592.45,1555,1574.55,1559.8,1559.3,1575.56,1619.6,1016.25,1939386,3055616775.5,92025,HCLTECH
2024-01-29,EQ,1565,1588.6,1550.25,1550.25,1575,1574.55,1573.51,1619.6,1016.25,2521598,3967755881.6,96974,HCLTECH
2024-01-25,EQ,1570,1570,1536.75,1576.4,1549.5,1550.25,1548.19,1619.6,1016.25,2641656,4089783921.05,160140,HCLTECH
2024-01-24,EQ,1530.1,1581.2,1523.7,1523.65,1576.75,1576.4,1553.01,1619.6,1016.25,2136023,3317265702.65,108065,HCLTECH
2024-01-23,EQ,1558.9,1567.9,1517.05,1544,1522,1523.65,1542.66,1619.6,1016.25,3196630,4931305852.55,185210,HCLTECH
2024-01-20,EQ,1580,1580,1537.05,1567.95,1544,1544,1553.42,1619.6,1016.25,961332,1493352912.05,40281,HCLTECH
2024-01-19,EQ,1570,1590,1558.05,1567.55,1570.5,1567.95,1570.57,1619.6,1016.25,2374099,3728687187.75,142271,HCLTECH
2024-01-18,EQ,1577,1584.2,1537.05,1575.9,1569.95,1567.55,1565.24,1619.6,1016.25,3205598,5017518002.35,188018,HCLTECH
2024-01-17,EQ,1520,1585,1516.55,1555.45,1572.95,1575.9,1567.32,1619.6,1016.25,3846289,6028380135.15,190637,HCLTECH
2024-01-16,EQ,1587,1587,1538,1588.2,1555,1555.45,1552.95,1619.6,1016.25,4459799,6925845489.05,225742,HCLTECH
2024-01-15,EQ,1610,1619.6,1575.5,1540.8,1588,1588.2,1591.97,1619.6,1016.25,9712071,15461278232.3,267395,HCLTECH
2024-01-12,EQ,1505,1555,1498.5,1484.8,1553.9,1540.8,1528.08,1555,1016.25,5862043,8957682273.5,198262,HCLTECH
2024-01-11,EQ,1500,1500,1474,1492.1,1486,1484.8,1485.37,1509.9,1016.25,2271368,3373822859.3,123255,HCLTECH
2024-01-10,EQ,1474.9,1508,1466.05,1460.4,1490,1492.1,1489.22,1509.9,1016.25,4368914,6506283463.8,186456,HCLTECH
2024-01-09,EQ,1460.6,1480.95,1452.35,1447.9,1468.75,1460.4,1466.87,1509.9,1016.25,3119270,4575563612.9,121184,HCLTECH
2024-01-08,EQ,1435,1452.6,1430.55,1432.8,1439.9,1447.9,1444.18,1509.9,1016.25,2025264,2924845473.25,117018,HCLTECH
2024-01-05,EQ,1425,1438.85,1421.9,1419.95,1434.95,1432.8,1431.99,1509.9,1016.25,1776925,2544539928.15,137999,HCLTECH
2024-01-04,EQ,1437,1444.8,1417.15,1437.75,1420.5,1419.95,1424.37,1509.9,1016.25,3392241,4831790108.7,162397,HCLTECH
2024-01-03,EQ,1460,1465,1435.5,1469.55,1438,1437.75,1443.14,1509.9,1016.25,1651716,2383657451.05,118608,HCLTECH
2024-01-02,EQ,1484.05,1488.8,1461.35,1483.75,1470,1469.55,1470.3,1509.9,1016.25,1440888,2118539637.65,86286,HCLTECH
2024-01-01,EQ,1460,1495.75,1455.05,1466.1,1480,1483.75,1478.54,1509.9,1016.25,1222315,1807238199.8,75119,HCLTECH
2023-12-29,EQ,1473.95,1481.85,1457.55,1472.45,1468,1466.1,1466.79,1509.9,1016.25,1481617,2173224444.55,135316,HCLTECH
2023-12-28,EQ,1470.6,1482.7,1468.45,1472.05,1472,1472.45,1474.24,1509.9,1016.25,1928616,2843234182.15,112734,HCLTECH
2023-12-27,EQ,1465.45,1476,1457.55,1458.15,1470,1472.05,1468.79,1509.9,1016.25,1402329,2059720063.55,93058,HCLTECH
2023-12-26,EQ,1462.7,1467.35,1442.15,1462.7,1459.9,1458.15,1457.91,1509.9,1016.25,1363265,1987524001.7,95516,HCLTECH
2023-12-22,EQ,1431,1467.35,1423,1422.05,1459.2,1462.7,1444.47,1509.9,1011.5,2303438,3327243757.3,135386,HCLTECH
2023-12-21,EQ,1421.15,1447.05,1420.1,1439.95,1424,1422.05,1430.37,1509.9,1011.5,2841508,4064405014.5,133478,HCLTECH
2023-12-20,EQ,1485,1503.05,1435,1488.3,1437.95,1439.95,1470.95,1509.9,1011.5,4368383,6425677292.85,154976,HCLTECH
2023-12-19,EQ,1501.5,1504.65,1477.7,1504.3,1487,1488.3,1486.42,1509.9,1011.5,2590417,3850436795.45,158494,HCLTECH
2023-12-18,EQ,1489.85,1509.9,1481,1491.3,1503.05,1504.3,1500.49,1509.9,1011.5,3075527,4614798520.85,121001,HCLTECH
2023-12-15,EQ,1422,1497,1422,1414.6,1493.65,1491.3,1470.71,1497,1011.5,7374290,10845426561.75,300988,HCLTECH
2023-12-14,EQ,1391,1419.25,1382,1369.2,1413.5,1414.6,1411.44,1419.25,1011.5,5145574,7262686279.25,272921,HCLTECH
2023-12-13,EQ,1379.35,1382.8,1357.05,1375.3,1367.15,1369.2,1366.11,1387,1011.5,1896931,2591410834.05,179469,HCLTECH
2023-12-12,EQ,1377,1387,1370,1375.3,1372,1375.3,1379.93,1387,1011.5,2730422,3767783992.2,158776,HCLTECH
2023-12-11,EQ,1370.1,1383,1366.05,1364.1,1374.5,1375.3,1374.5,1383,1011.5,2824656,3882485251.65,149396,HCLTECH
2023-12-08,EQ,1333,1369.95,1329,1328,1365.9,1364.1,1356.8,1369.95,1011.5,4509751,6118808045.65,216667,HCLTECH
2023-12-07,EQ,1331,1337,1325.35,1329.55,1329,1328,1330.85,1350,1011.5,1985003,2641750209.6,164472,HCLTECH
2023-12-06,EQ,1325,1339.95,1319.55,1317.55,1329,1329.55,1327.03,1350,1011.5,2077245,2756566969.7,108479,HCLTECH
2023-12-05,EQ,1347,1347,1308.3,1337.95,1319.7,1317.55,1315.92,1350,1011.5,3932040,5174243989.8,155978,HCLTECH
2023-12-04,EQ,1350,1350,1331,1336.7,1335,1337.95,1338.79,1350,1011.5,1547057,2071180347.25,127005,HCLTECH
2023-12-01,EQ,1346,1349,1328,1340.9,1339,1336.7,1335.66,1349,1011.5,1854324,2476738543.6,146939,HCLTECH
2023-11-30,EQ,1337,1346.8,1329.7,1333.95,1340,1340.9,1338.5,1346.8,1011.5,4104385,5493721502.6,157597,HCLTECH
2023-11-29,EQ,1324,1338.8,1321.5,1316.65,1330.2,1333.95,1333.8,1338.8,1011.5,1835524,2448225586.45,131138,HCLTECH
2023-11-28,EQ,1309.15,1319.9,1295.3,1309.15,1319.9,1316.65,1306.17,1336,1011.5,2152951,2812111385.4,132967,HCLTECH
2023-11-24,EQ,1328.9,1332.65,1305.65,1329,1308.4,1309.15,1312.56,1336,1011.5,1795933,2357272781.35,81099,HCLTECH
2023-11-23,EQ,1333.95,1335.25,1325.7,1329.7,1328.1,1329,1330.21,1336,1011.5,1307344,1739038326.1,112663,HCLTECH
2023-11-22,EQ,1326.6,1335.75,1320.4,1326.6,1330,1329.7,1328.05,1336,1011.5,1535630,2039390224.1,93354,HCLTECH
2023-11-21,EQ,1335.6,1336,1321.8,1325.4,1326.05,1326.6,1327.78,1336,1011.5,1514256,2010603670.6,98808,HCLTECH
2023-11-20,EQ,1314.95,1331.7,1314,1309.15,1322.85,1325.4,1325.34,1331.7,1011.5,2831858,3753171398.75,165908,HCLTECH
2023-11-17,EQ,1313.4,1325.75,1306.4,1311.05,1308,1309.15,1315.72,1325.75,1011.5,2882039,3791946118.05,145369,HCLTECH
2023-11-16,EQ,1283.8,1317.95,1278,1276.65,1313,1311.05,1300.47,1317.95,1011.5,3936945,5119867315.85,191509,HCLTECH
2023-11-15,EQ,1275,1283,1268.4,1261,1278.2,1276.65,1275.67,1311.3,1011.5,2410620,3075144612.8,152539,HCLTECH
2023-11-13,EQ,1260,1263.6,1253.3,1260.2,1261,1261,1257.67,1311.3,1011.5,730991,919345878.1,75634,HCLTECH
2023-11-12,EQ,1265,1265.45,1256.35,1255.45,1260.1,1260.2,1260.36,1311.3,1011.5,132650,167187230.75,10864,HCLTECH
2023-11-10,EQ,1262.3,1271,1250.65,1267.5,1256,1255.45,1256.56,1311.3,1011.5,1469902,1847016185.9,80555,HCLTECH
2023-11-09,EQ,1267.65,1275.8,1261.8,1267.65,1267,1267.5,1269.05,1311.3,1011.5,1483749,1882956322.45,92394,HCLTECH
2023-11-08,EQ,1280,1280.8,1265.9,1273.95,1267.5,1267.65,1271.91,1311.3,1011.5,937671,1192633390.65,57290,HCLTECH
2023-11-07,EQ,1269,1277.7,1267.1,1269.7,1275,1273.95,1272.87,1311.3,1011.5,1385282,1763283816.9,86178,HCLTECH
2023-11-06,EQ,1276.25,1279.5,1265.15,1266.25,1269.4,1269.7,1270.01,1311.3,1011.5,1175823,1493304060.3,86769,HCLTECH
2023-11-03,EQ,1282.6,1287.3,1263,1273.4,1266,1266.25,1272.37,1311.3,1011.5,2052536,2611579530.4,116787,HCLTECH
2023-11-02,EQ,1266,1275,1265,1258.95,1273.5,1273.4,1271.47,1311.3,1011.5,1368604,1740136004.4,112504,HCLTECH
2023-11-01,EQ,1280,1285.95,1255.3,1276,1257.8,1258.95,1270.88,1311.3,1011.5,1572719,1998738737,104541,HCLTECH
2023-10-31,EQ,1272,1279.85,1256.7,1264.75,1275.5,1276,1272.06,1311.3,1011.5,2525870,3213053147.2,137978,HCLTECH
2023-10-30,EQ,1270,1274.8,1256,1268.7,1262.1,1264.75,1264.57,1311.3,1011.5,1158770,1465344795.8,94026,HCLTECH
2023-10-27,EQ,1237,1270,1233.45,1231.8,1267.5,1268.7,1258.1,1311.3,1011.5,2675348,3365845997.1,124996,HCLTECH
2023-10-26,EQ,1215,1238.2,1212.05,1229,1230.85,1231.8,1231.27,1311.3,1011.5,4617424,5685314389.85,274640,HCLTECH
2023-10-25,EQ,1231.2,1252.9,1225.3,1236.65,1230,1229,1236.54,1311.3,1011.5,1420065,1755965935.7,93077,HCLTECH
2023-10-23,EQ,1248,1260.5,1232.3,1258.6,1234.95,1236.65,1248.93,1311.3,1011.5,1646367,2056198621.1,95597,HCLTECH
2023-10-20,EQ,1252,1261.35,1245.45,1267.35,1257,1258.6,1255.92,1311.3,988,1625449,2041430193.2,113288,HCLTECH
2023-10-19,EQ,1266.8,1274.75,1264.9,1269.45,1265.7,1267.35,1269.73,1311.3,988,2279726,2894641255.5,129111,HCLTECH
2023-10-18,EQ,1278,1281.5,1267.4,1277.15,1271.35,1269.45,1275,1311.3,988,1743126,2222478701.6,111684,HCLTECH
2023-10-17,EQ,1278.9,1279,1271,1270.65,1276.7,1277.15,1276.34,1311.3,988,1687345,2153619351.9,84614,HCLTECH
2023-10-16,EQ,1263,1279.3,1260.3,1255.9,1272,1270.65,1271.83,1311.3,988,2527113,3214061610.45,114518,HCLTECH
2023-10-13,EQ,1211,1266.5,1208.55,1223.75,1257,1255.9,1250.82,1311.3,936,5740821,7180716441.15,182364,HCLTECH
2023-10-12,EQ,1245,1248.55,1215.15,1245.6,1223.4,1223.75,1228.1,1311.3,936,3921609,4816127996.75,167582,HCLTECH
2023-10-11,EQ,1266,1274.45,1241,1261.8,1241,1245.6,1259.09,1311.3,936,2186131,2752526426.15,112606,HCLTECH
2023-10-10,EQ,1255.55,1264.75,1248.2,1249.6,1260.05,1261.8,1257.63,1311.3,936,1532394,1927191227.75,112722,HCLTECH
2023-10-09,EQ,1236,1266.65,1231.15,1237.7,1249.3,1249.6,1254.97,1311.3,936,3430211,4304812960.15,133837,HCLTECH
2023-10-06,EQ,1252,1256,1230.1,1235.45,1235.8,1237.7,1242.85,1311.3,916,2497711,3104279274.2,107097,HCLTECH
2023-10-05,EQ,1249,1253.95,1227.8,1239.55,1235.4,1235.45,1237.05,1311.3,916,2995200,3705198852.9,165652,HCLTECH
2023-10-04,EQ,1234,1244.8,1225,1238.7,1241.8,1239.55,1234.83,1311.3,916,2253785,2783044030.4,106752,HCLTECH
2023-10-03,EQ,1232.5,1256.7,1222.7,1234.8,1239,1238.7,1244.1,1311.3,916,2162636,2690533738.35,135661,HCLTECH
2023-09-29,EQ,1235.1,1249.7,1227.25,1241.9,1237,1234.8,1237.55,1311.3,882,2338327,2893800905,112112,HCLTECH
2023-09-28,EQ,1261.1,1266,1238.55,1261.1,1248.35,1241.9,1248.21,1311.3,882,1807072,2255611176.1,126712,HCLTECH
2023-09-27,EQ,1258.5,1267.65,1253.3,1261.45,1261.1,1261.1,1260,1311.3,882,1670373,2104669090.55,90732,HCLTECH
2023-09-26,EQ,1264,1268.95,1257.1,1263.45,1261,1261.45,1260.77,1311.3,882,903152,1138669677.9,70275,HCLTECH
2023-09-25,EQ,1270,1280,1256.6,1273.7,1266.05,1263.45,1263.54,1311.3,882,1246703,1575262446.1,96705,HCLTECH
2023-09-22,EQ,1272.45,1283.6,1265.1,1278,1274.8,1273.7,1273.8,1311.3,882,1321467,1683287530.4,105323,HCLTECH
2023-09-21,EQ,1284,1285,1259.3,1293.4,1279.05,1278,1272.71,1311.3,882,3112700,3961551242.75,153306,HCLTECH
2023-09-20,EQ,1281.5,1304,1281.5,1305,1295.5,1293.4,1295.12,1311.3,882,2220756,2876136593.25,93995,HCLTECH
2023-09-18,EQ,1302,1311.3,1289.7,1304.6,1303,1305,1303.79,1311.3,882,2761885,3600908541.05,115143,HCLTECH
2023-09-15,EQ,1294,1310,1291.05,1283.6,1304.15,1304.6,1303.25,1310,882,4286280,5586105589.45,134461,HCLTECH
2023-09-14,EQ,1280.85,1290.7,1275.6,1275.25,1285,1283.6,1283.14,1291.75,882,2655172,3406957951.5,201055,HCLTECH
2023-09-13,EQ,1282,1282.4,1266.1,1282.4,1274,1275.25,1274.83,1291.75,882,2275523,2900895636.35,142696,HCLTECH
2023-09-12,EQ,1285,1291.75,1265.5,1281.55,1280,1282.4,1279.2,1291.75,882,2140769,2738467990.45,118421,HCLTECH
2023-09-11,EQ,1276.55,1284.3,1270.4,1262.05,1278.8,1281.55,1279.09,1284.3,882,2691836,3443089267.3,153639,HCLTECH
2023-09-08,EQ,1259,1269.55,1254.3,1254,1262,1262.05,1262.49,1269.55,882,2280777,2879448337.2,138497,HCLTECH
2023-09-07,EQ,1238,1257,1230.3,1235.85,1255,1254,1248.74,1257,882,2582004,3224250353.85,135132,HCLTECH
2023-09-06,EQ,1239.85,1242.4,1222.7,1235.55,1236,1235.85,1233.14,1242.4,882,1767709,2179839681.75,125649,HCLTECH
2023-09-05,EQ,1236.75,1241.7,1225.2,1232.5,1233.6,1235.55,1234.95,1241.7,882,2842400,3510216150.2,115240,HCLTECH
2023-09-04,EQ,1186,1235,1185,1185.8,1232,1232.5,1217.25,1235,882,4517935,5499434616.7,184099,HCLTECH
2023-09-01,EQ,1173,1188,1171.1,1172.15,1185.1,1185.8,1181.94,1202.6,882,1669640,1973416748.55,99889,HCLTECH
2023-08-31,EQ,1179.5,1188.1,1165.9,1170.5,1175,1172.15,1176.1,1202.6,882,4483967,5273612689.4,118762,HCLTECH
2023-08-30,EQ,1166,1175.15,1161.65,1157.55,1170,1170.5,1170.64,1202.6,882,1497356,1752864102.35,96719,HCLTECH
2023-08-29,EQ,1153.9,1163.3,1148.3,1146.45,1159,1157.55,1155.4,1202.6,882,1794652,2073544535.75,113850,HCLTECH
2023-08-28,EQ,1155,1159.7,1139.3,1153.95,1151,1146.45,1147.95,1202.6,882,2571967,2952500890.4,163195,HCLTECH
2023-08-25,EQ,1165,1170.8,1150,1171.25,1153,1153.95,1158.89,1202.6,882,2105159,2439650896.4,115977,HCLTECH
2023-08-24,EQ,1188.95,1189,1169,1182.5,1172.95,1171.25,1181.69,1202.6,882,2464221,2911936913.7,158164,HCLTECH
2023-08-23,EQ,1192.95,1195,1178.65,1179.5,1182.85,1182.5,1183.73,1202.6,882,2347850,2779228768.6,143492,HCLTECH
2023-08-22,EQ,1182,1187,1176.15,1179.25,1180,1179.5,1180.42,1202.6,882,1805887,2131708724.8,182300,HCLTECH
2023-08-21,EQ,1172.95,1188.9,1168.95,1173.7,1177.95,1179.25,1180.73,1202.6,882,1661946,1962305473.05,127751,HCLTECH
2023-08-18,EQ,1173,1177.85,1158.65,1176.7,1173,1173.7,1170.23,1202.6,882,3406088,3985911384.7,155879,HCLTECH
2023-08-17,EQ,1176.85,1180.95,1163.95,1177.15,1174.95,1176.7,1174.65,1202.6,882,2331256,2738408350.5,133531,HCLTECH
2023-08-16,EQ,1175.75,1186.25,1170.1,1171,1175.5,1177.15,1178.84,1202.6,882,2567226,3026354742.1,169058,HCLTECH
2023-08-14,EQ,1170.65,1177,1154,1171.45,1170,1171,1167.1,1202.6,882,1720940,2008502293.4,144674,HCLTECH
2023-08-11,EQ,1160,1186.95,1154.3,1134.3,1167.55,1171.45,1175.12,1202.6,882,7391806,8686245319.7,271731,HCLTECH
2023-08-10,EQ,1140,1144.8,1128.65,1144.15,1134.9,1134.3,1134.81,1202.6,882,1676669,1902705079.75,95658,HCLTECH
2023-08-09,EQ,1140.95,1146,1125,1141.35,1141.55,1144.15,1137.23,1202.6,882,1559337,1773320835.35,100961,HCLTECH
2023-08-08,EQ,1154.9,1156.9,1137,1150.8,1140,1141.35,1144.6,1202.6,882,1667697,1908843348.5,98052,HCLTECH
2023-08-07,EQ,1154.55,1155.75,1143.15,1144.35,1151,1150.8,1150.89,1202.6,882,1655404,1905194925.45,100770,HCLTECH
2023-08-04,EQ,1130.45,1152.35,1126,1125.5,1142.5,1144.35,1145.33,1202.6,882,3315303,3797127841.6,100505,HCLTECH
2023-08-03,EQ,1126,1135.55,1115.05,1130.9,1123.4,1125.5,1124.57,1202.6,882,1608187,1808517480.2,68064,HCLTECH
2023-08-02,EQ,1137,1137,1121.5,1138.5,1127,1130.9,1130.19,1202.6,882,2701150,3052813702.5,129632,HCLTECH
2023-08-01,EQ,1120,1142,1111.9,1116.7,1138,1138.5,1128.58,1202.6,882,2710536,3059043763.05,123102,HCLTECH
2023-07-31,EQ,1108,1119.5,1096,1103.55,1115.65,1116.7,1110.3,1202.6,882,2526624,2805306265.45,131400,HCLTECH
2023-07-28,EQ,1114.05,1118.5,1097.45,1117.35,1103.5,1103.55,1105.77,1202.6,882,2031899,2246811350.15,112848,HCLTECH
2023-07-27,EQ,1115,1122.7,1108.95,1115,1115.5,1117.35,1115.83,1202.6,882,1769815,1974810753.9,97529,HCLTECH
2023-07-26,EQ,1110.2,1120.85,1110.1,1111.55,1114,1115,1115.19,1202.6,882,1969964,2196889727.8,93653,HCLTECH
2023-07-25,EQ,1118.5,1119,1105.1,1112.9,1111.5,1111.55,1110.93,1202.6,882,2506726,2784790934.6,102668,HCLTECH
2023-07-24,EQ,1120,1127.7,1111,1115.45,1111.6,1112.9,1119.28,1202.6,882,2672505,2991284864.2,107857,HCLTECH
2023-07-21,EQ,1110,1139.9,1095,1155.8,1119.2,1115.45,1119.65,1202.6,882,5259150,5888381334,216222,HCLTECH
2023-07-20,EQ,1160,1162.8,1148,1169.05,1155.95,1155.8,1153.08,1202.6,882,1990001,2294634346.2,129618,HCLTECH
2023-07-19,EQ,1165,1174.9,1157,1167.2,1167.95,1169.05,1167.08,1202.6,882,2242397,2617063268.05,119933,HCLTECH
2023-07-18,EQ,1158.95,1170,1146.4,1153.75,1165.3,1167.2,1160.62,1202.6,882,2431478,2822019054.7,149220,HCLTECH
2023-07-17,EQ,1151.95,1172,1143.65,1150.95,1155.1,1153.75,1160.4,1202.6,882,3159479,3666266112.6,156864,HCLTECH
2023-07-14,EQ,1114.2,1157.1,1111.55,1108.8,1150,1150.95,1139.55,1202.6,877.35,6605038,7526743864.75,237301,HCLTECH
2023-07-13,EQ,1100,1124.4,1087.05,1110.55,1112,1108.8,1105.64,1202.6,877.35,12294227,13593022758.55,279876,HCLTECH
2023-07-12,EQ,1119.7,1124.5,1102.45,1114.9,1106.4,1110.55,1111.94,1202.6,877.35,3824027,4252101931.85,164847,HCLTECH
2023-07-11,EQ,1131.75,1131.75,1112,1124.5,1113.85,1114.9,1117.15,1202.6,877.35,4982603,5566301233.9,202781,HCLTECH
2023-07-10,EQ,1160,1161.9,1120,1157.6,1122,1124.5,1128.65,1202.6,877.35,3960400,4469893472.9,152578,HCLTECH
2023-07-07,EQ,1178.15,1182.95,1153.8,1180.65,1157.95,1157.6,1166.35,1202.6,877.35,2159585,2518822313.4,107426,HCLTECH
