DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-15,EQ,1385,1415.5,1384.35,1384.05,1414.65,1414.05,1402.53,1757.5,1363.55,20792472,29162128685.1,533782,HDFCBANK
2024-02-14,EQ,1376,1391.5,1363.55,1394.45,1384.95,1384.05,1373.2,1757.5,1363.55,45660405,62700916687.85,883690,HDFCBANK
2024-02-13,EQ,1391.95,1404.35,1384.35,1390,1391.95,1394.45,1394.82,1757.5,1380.25,28790497,40157678244.65,445958,HDFCBANK
2024-02-12,EQ,1399.65,1413.65,1383.35,1403.6,1392.4,1390,1394.91,1757.5,1380.25,17223906,24025725748.7,486804,HDFCBANK
2024-02-09,EQ,1392.15,1414.2,1387,1403.05,1408,1403.6,1402.42,1757.5,1380.25,28321062,39717943985.6,512854,HDFCBANK
2024-02-08,EQ,1429.85,1438.95,1400.5,1429.95,1407.25,1403.05,1415.51,1757.5,1380.25,34553062,48910244009.15,797559,HDFCBANK
2024-02-07,EQ,1453,1453.8,1426.65,1444.1,1430,1429.95,1435.86,1757.5,1380.25,27418543,39369092511.05,523984,HDFCBANK
2024-02-06,EQ,1445.55,1449.7,1432.6,1444.85,1443.55,1444.1,1442.11,1757.5,1380.25,20537870,29617940997.4,410774,HDFCBANK
2024-02-05,EQ,1446,1451.9,1434.05,1446.15,1443.05,1444.85,1442.08,1757.5,1380.25,19302523,27835769812.35,487034,HDFCBANK
2024-02-02,EQ,1475,1480.85,1442.05,1466.35,1445.9,1446.15,1461.81,1757.5,1380.25,22433877,32794141061.4,547098,HDFCBANK
2024-02-01,EQ,1465.05,1473.6,1456.05,1462.55,1466.5,1466.35,1465.35,1757.5,1380.25,16345370,23951731259.2,395148,HDFCBANK
2024-01-31,EQ,1439.5,1474.95,1436.8,1444.3,1462.65,1462.55,1462.25,1757.5,1380.25,32880520,48079551289.5,548526,HDFCBANK
2024-01-30,EQ,1454.55,1463.2,1440.9,1454.65,1444.7,1444.3,1447.91,1757.5,1380.25,20864384,30209849168.35,451375,HDFCBANK
2024-01-29,EQ,1448.05,1462.8,1445.8,1434.9,1456.8,1454.65,1454.14,1757.5,1380.25,32822749,47728790185.85,694082,HDFCBANK
2024-01-25,EQ,1452.5,1457.35,1419.4,1455.9,1440.7,1434.9,1434.16,1757.5,1380.25,49470926,70949159079.5,787699,HDFCBANK
2024-01-24,EQ,1380.25,1458.45,1380.25,1427.35,1456.3,1455.9,1435.74,1757.5,1380.25,43002202,61740125439,817417,HDFCBANK
2024-01-23,EQ,1465,1474.7,1425,1478.85,1430.95,1427.35,1442.66,1757.5,1425,57734701,83291508720.05,1415782,HDFCBANK
2024-01-20,EQ,1483.2,1495.7,1476,1470.65,1480.65,1478.85,1483.92,1757.5,1460.25,12920293,19172637247.3,403196,HDFCBANK
2024-01-19,EQ,1505.95,1510.25,1468.4,1486.15,1474.9,1470.65,1483.88,1757.5,1460.25,54800269,81316862185.55,1275220,HDFCBANK
2024-01-18,EQ,1494,1515,1480.05,1537.5,1490,1486.15,1495.03,1757.5,1460.25,80535465,120402678844.55,1582497,HDFCBANK
2024-01-17,EQ,1570,1596.8,1528.4,1679.15,1542.15,1537.5,1565.65,1757.5,1460.25,85072618,133193618859.55,2098772,HDFCBANK
2024-01-16,EQ,1673,1683.65,1658.1,1672.8,1678,1679.15,1672.44,1757.5,1460.25,12661250,21175143184.95,347404,HDFCBANK
2024-01-15,EQ,1647.7,1680.9,1643.6,1641.2,1679.7,1672.8,1666.61,1757.5,1460.25,14160178,23599525731.75,414759,HDFCBANK
2024-01-12,EQ,1652,1656,1633.6,1649,1643.95,1641.2,1645.1,1757.5,1460.25,9886776,16264760030.85,278690,HDFCBANK
2024-01-11,EQ,1660,1662.9,1643,1655.95,1649.3,1649,1653.3,1757.5,1460.25,9157005,15139271150.7,230772,HDFCBANK
2024-01-10,EQ,1643,1659.95,1641.4,1650.5,1656,1655.95,1653.21,1757.5,1460.25,8057912,13321422833.2,173498,HDFCBANK
2024-01-09,EQ,1667.15,1677.8,1646.75,1663.45,1650.95,1650.5,1660.84,1757.5,1460.25,12663444,21031958360.5,269602,HDFCBANK
2024-01-08,EQ,1678.5,1682.35,1660,1682.2,1662.9,1663.45,1671.84,1757.5,1460.25,8999235,15045304192.3,368430,HDFCBANK
2024-01-05,EQ,1687.15,1704.9,1668.1,1690.85,1679,1682.2,1679.44,1757.5,1460.25,15944735,26778251761.45,426162,HDFCBANK
2024-01-04,EQ,1678,1694.95,1670.7,1672.9,1690.85,1690.85,1681.98,1757.5,1460.25,13367028,22483129792.5,335934,HDFCBANK
2024-01-03,EQ,1702,1704.7,1668.95,1699.1,1674.6,1672.9,1681.27,1757.5,1460.25,14194881,23865412912.55,426015,HDFCBANK
2024-01-02,EQ,1698.8,1702.8,1688.7,1698.1,1697.5,1699.1,1697.43,1757.5,1460.25,14621046,24818149211.1,334886,HDFCBANK
2024-01-01,EQ,1706,1709.15,1692,1709.25,1692.9,1698.1,1701.52,1757.5,1460.25,7119843,12114568489.3,258349,HDFCBANK
2023-12-29,EQ,1697,1714.9,1696,1705.25,1708.65,1709.25,1707.51,1757.5,1460.25,12505713,21353650105.25,264143,HDFCBANK
2023-12-28,EQ,1709.3,1721.4,1702,1703.3,1708.85,1705.25,1711.26,1757.5,1460.25,22038235,37713047859,423062,HDFCBANK
2023-12-27,EQ,1681.5,1706.5,1678.6,1682.45,1702.1,1703.3,1695.87,1757.5,1460.25,13504539,22901880536.75,321373,HDFCBANK
2023-12-26,EQ,1673.25,1685.95,1668.55,1670.85,1684.1,1682.45,1678.46,1757.5,1460.25,9022928,15144582177.45,243596,HDFCBANK
2023-12-22,EQ,1683.6,1685.9,1667.1,1686.7,1668.7,1670.85,1675.74,1757.5,1460.25,24289425,40702711527.5,450284,HDFCBANK
2023-12-21,EQ,1657,1689.75,1650.25,1657,1685,1686.7,1672.87,1757.5,1460.25,18294620,30604491502.45,385913,HDFCBANK
2023-12-20,EQ,1658,1668.95,1644.45,1652.9,1644.75,1657,1662.23,1757.5,1460.25,17116260,28451245154.05,415287,HDFCBANK
2023-12-19,EQ,1650,1658.65,1644.05,1655.7,1650.5,1652.9,1651.23,1757.5,1460.25,12004223,19821702426.65,257002,HDFCBANK
2023-12-18,EQ,1660.7,1664.7,1650.95,1656.55,1652.5,1655.7,1657.78,1757.5,1460.25,9007377,14932277614.85,258215,HDFCBANK
2023-12-15,EQ,1650,1668,1646.6,1650.15,1656.05,1656.55,1655.35,1757.5,1460.25,69418565,114912065107.8,420832,HDFCBANK
2023-12-14,EQ,1646,1658.95,1645,1630.9,1650.45,1650.15,1651.03,1757.5,1460.25,17586183,29035347300.8,345239,HDFCBANK
2023-12-13,EQ,1632.45,1636,1615.1,1634.6,1633.8,1630.9,1628.14,1757.5,1460.25,14673457,23890410498.9,352315,HDFCBANK
2023-12-12,EQ,1654.2,1656.25,1631.85,1651,1634.45,1634.6,1645.41,1757.5,1460.25,18290738,30095821186.8,386854,HDFCBANK
2023-12-11,EQ,1650.05,1663.7,1647,1653.2,1650,1651,1653,1757.5,1460.25,11593810,19164609234.9,376768,HDFCBANK
2023-12-08,EQ,1630.45,1655,1630.45,1630.45,1653,1653.2,1648.92,1757.5,1460.25,16864019,27807418190.95,372167,HDFCBANK
2023-12-07,EQ,1625,1634,1616.2,1627.8,1630.5,1630.45,1628.48,1757.5,1460.25,10225193,16651513307.4,219921,HDFCBANK
2023-12-06,EQ,1638.45,1638.45,1616.65,1623.7,1626.3,1627.8,1627.41,1757.5,1460.25,19306530,31419573681.05,340998,HDFCBANK
2023-12-05,EQ,1636.5,1639,1616.5,1609.4,1622,1623.7,1626.07,1757.5,1460.25,26115410,42465536275.85,397106,HDFCBANK
2023-12-04,EQ,1588,1612,1573.65,1555.4,1609.15,1609.4,1592.26,1757.5,1460.25,25331228,40333820531.2,441679,HDFCBANK
2023-12-01,EQ,1557.9,1565.75,1552.1,1558.8,1552.35,1555.4,1559.16,1757.5,1460.25,11076768,17270479586.7,299721,HDFCBANK
2023-11-30,EQ,1569.15,1572.45,1542.15,1559.15,1556.6,1558.8,1555.55,1757.5,1460.25,34745720,54048690749.35,352886,HDFCBANK
2023-11-29,EQ,1533.9,1563,1533,1528.65,1560.3,1559.15,1547.46,1757.5,1460.25,17021244,26339738845.55,314977,HDFCBANK
2023-11-28,EQ,1535.2,1537.25,1525.8,1532.1,1530.95,1528.65,1531.88,1757.5,1460.25,14244669,21821167498.85,254566,HDFCBANK
2023-11-24,EQ,1521.2,1533.15,1519.85,1521.3,1531.4,1532.1,1529.01,1757.5,1460.25,8234596,12590757692.8,191494,HDFCBANK
2023-11-23,EQ,1508.5,1523.85,1508.5,1512.55,1521.7,1521.3,1519.21,1757.5,1460.25,6523110,9909995976.95,170796,HDFCBANK
2023-11-22,EQ,1520,1520,1503.55,1517.95,1512.9,1512.55,1513.24,1757.5,1460.25,14561825,22035595098.85,261084,HDFCBANK
2023-11-21,EQ,1519,1522,1512.1,1505.2,1518.25,1517.95,1517.79,1757.5,1460.25,12479986,18941939824.75,291918,HDFCBANK
2023-11-20,EQ,1513,1513,1501.55,1505.1,1505.9,1505.2,1505.46,1757.5,1460.25,9665726,14551379677.65,200480,HDFCBANK
2023-11-17,EQ,1490,1507.5,1489,1508.35,1505,1505.1,1502.48,1757.5,1460.25,11850937,17805835559.3,298602,HDFCBANK
2023-11-16,EQ,1509.7,1519,1503.75,1504.4,1508,1508.35,1511.01,1757.5,1460.25,14856919,22449002896.9,270257,HDFCBANK
2023-11-15,EQ,1504.1,1510.95,1500.55,1488.8,1504.8,1504.4,1505.7,1757.5,1460.25,20622730,31051566881.5,331586,HDFCBANK
2023-11-13,EQ,1492.1,1495.95,1485.9,1500,1489,1488.8,1490.72,1757.5,1460.25,10302957,15358848457.45,318892,HDFCBANK
2023-11-12,EQ,1500,1502,1496.15,1491.5,1499,1500,1499.5,1757.5,1460.25,1975463,2962207492.65,85801,HDFCBANK
2023-11-10,EQ,1480.1,1496,1480.05,1485.65,1495,1491.5,1486.67,1757.5,1460.25,7007593,10417971067.75,181055,HDFCBANK
2023-11-09,EQ,1486,1492.6,1483.5,1491.55,1486.5,1485.65,1487.69,1757.5,1460.25,11058370,16451404289.6,281527,HDFCBANK
2023-11-08,EQ,1483.95,1493.45,1481,1487.25,1491.8,1491.55,1489.03,1757.5,1460.25,15699773,23377406572.3,499216,HDFCBANK
2023-11-07,EQ,1494,1494,1477.2,1494.5,1490,1487.25,1484.48,1757.5,1460.25,20976424,31139051244.05,585794,HDFCBANK
2023-11-06,EQ,1498,1498,1483,1483.75,1493.8,1494.5,1488.25,1757.5,1460.25,12796865,19044945751.7,386836,HDFCBANK
2023-11-03,EQ,1488,1491.4,1481.65,1476.75,1484.5,1483.75,1487.25,1757.5,1460.25,9047670,13456152900.7,226806,HDFCBANK
2023-11-02,EQ,1485,1490.5,1467.15,1474.5,1478.7,1476.75,1472.27,1757.5,1460.25,22612577,33291873290.7,260964,HDFCBANK
2023-11-01,EQ,1462.25,1477.45,1462.25,1476.5,1477,1474.5,1469.2,1757.5,1460.25,16938733,24886425534.8,340052,HDFCBANK
2023-10-31,EQ,1504,1504,1474,1485.1,1475,1476.5,1482.03,1757.5,1460.25,16317412,24182840370.9,422644,HDFCBANK
