DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-15,EQ,512.7,518.5,507.6,507.8,513,513.2,513.28,620.5,381,13303658,6828550995.5,221700,HINDALCO
2024-02-14,EQ,515,516.9,503.15,510.1,508.4,507.8,508.33,620.5,381,16634538,8455822664.75,281070,HINDALCO
2024-02-13,EQ,539,540,496.35,582.45,509.45,510.1,508.08,620.5,381,46100123,23422370482.6,565677,HINDALCO
2024-02-12,EQ,591.9,601.8,579.75,591.3,583.9,582.45,589.32,620.5,381,4595403,2708173033.75,94933,HINDALCO
2024-02-09,EQ,601,602,576.3,601.3,592.4,591.3,587.44,620.5,381,5105348,2999092455.45,118623,HINDALCO
2024-02-08,EQ,592,608.95,587.85,592.25,602.5,601.3,602.49,620.5,381,11844758,7136296299.75,222170,HINDALCO
2024-02-07,EQ,590.4,602.15,584.65,584.9,587.4,592.25,592.73,620.5,381,9415146,5580631103.25,134429,HINDALCO
2024-02-06,EQ,578.6,587.75,569.25,579.9,585.75,584.9,576.37,620.5,381,4099573,2362852353.25,80025,HINDALCO
2024-02-05,EQ,583.5,590.9,576.05,583.5,579.9,579.9,585.42,620.5,381,4801118,2810684893.35,73622,HINDALCO
2024-02-02,EQ,577,589,573.1,571.25,584,583.5,579.91,620.5,381,7145858,4143932747.65,117811,HINDALCO
2024-02-01,EQ,578,581.8,570.3,579.35,571.4,571.25,574.98,620.5,381,3509803,2018052441.45,104452,HINDALCO
2024-01-31,EQ,569.2,580.6,568.25,569.25,579.45,579.35,576.46,620.5,381,5644545,3253850810.8,81221,HINDALCO
2024-01-30,EQ,569.95,584.3,567.25,567.9,569.5,569.25,577.28,620.5,381,7968815,4600232130.8,91995,HINDALCO
2024-01-29,EQ,568,571.95,562,567.2,569.2,567.9,567.21,620.5,381,5126212,2907655476.85,79234,HINDALCO
2024-01-25,EQ,566.5,570,558.4,565.15,567.7,567.2,564.3,620.5,381,5366990,3028577164.75,88536,HINDALCO
2024-01-24,EQ,550,566.8,547,541.4,566.75,565.15,562.12,620.5,381,8619429,4845159264.35,184843,HINDALCO
2024-01-23,EQ,558,561.8,537.6,561.05,541.3,541.4,549.47,620.5,381,7867972,4323245387,114459,HINDALCO
2024-01-20,EQ,561,566.75,558.35,557.1,560.4,561.05,562.23,620.5,381,1502352,844663565.65,27138,HINDALCO
2024-01-19,EQ,556.5,561,554.5,554.9,557,557.1,557.38,620.5,381,4451789,2481325083.9,131783,HINDALCO
