DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1654.8,1662.95,1638.5,1649.55,1645.5,1645.4,1646.01,1662.95,1049.05,783069,1288941678.2,21018,ICICIGI
2024-02-15,EQ,1639.6,1659.7,1616,1639.6,1649,1649.55,1631.81,1659.7,1049.05,329883,538306909.4,28082,ICICIGI
2024-02-14,EQ,1600,1645,1600,1630.65,1645,1639.6,1625.78,1659.55,1049.05,238109,387111721.15,22700,ICICIGI
2024-02-13,EQ,1614.95,1647.1,1604.3,1615.3,1619.95,1630.65,1632.65,1659.55,1049.05,669899,1093710562.7,60637,ICICIGI
2024-02-12,EQ,1650,1659.55,1611.55,1638.4,1615.05,1615.3,1633.78,1659.55,1049.05,644401,1052811870.45,42429,ICICIGI
2024-02-09,EQ,1620.6,1644.2,1607.1,1620.7,1635.45,1638.4,1627.2,1644.2,1049.05,626195,1018942404.25,33656,ICICIGI
2024-02-08,EQ,1624.6,1640.45,1612,1624.6,1621.25,1620.7,1628.1,1640.45,1049.05,831036,1353008312.8,49065,ICICIGI
2024-02-07,EQ,1599.9,1627.1,1595.15,1590.95,1626.6,1624.6,1617.45,1627.1,1049.05,1029393,1664988587.75,60370,ICICIGI
2024-02-06,EQ,1522,1595.4,1519.1,1518.6,1590.6,1590.95,1563.81,1595.4,1049.05,1019177,1593796473.4,72957,ICICIGI
2024-02-05,EQ,1500,1521.3,1500,1499.05,1521,1518.6,1513.77,1524,1049.05,379612,574645194.6,26529,ICICIGI
2024-02-02,EQ,1524,1524,1492.3,1512.35,1496,1499.05,1502,1524,1049.05,335712,504239783.4,31758,ICICIGI
2024-02-01,EQ,1498.55,1517.5,1494.1,1497.1,1512.4,1512.35,1508.65,1520.5,1049.05,339207,511745390.45,21388,ICICIGI
2024-01-31,EQ,1499.7,1505,1489.85,1499.7,1504.75,1497.1,1497.62,1520.5,1049.05,506409,758406085.05,38466,ICICIGI
2024-01-30,EQ,1492.8,1520.5,1484.9,1488.85,1498.05,1499.7,1503.21,1520.5,1049.05,805250,1210461993.3,65016,ICICIGI
2024-01-29,EQ,1482.2,1495.85,1468.8,1482.2,1493.9,1488.85,1485.63,1513,1049.05,374957,557046997.4,35860,ICICIGI
2024-01-25,EQ,1508.5,1509.95,1476.05,1508.5,1489.75,1482.2,1485.47,1513,1049.05,324540,482093526.4,24441,ICICIGI
2024-01-24,EQ,1475,1513,1472.25,1479.2,1507.45,1508.5,1498.52,1513,1049.05,594375,890682855.95,33893,ICICIGI
2024-01-23,EQ,1490,1499.75,1450.6,1473.15,1474.3,1479.2,1477.72,1502,1049.05,1546007,2284560245.5,103230,ICICIGI
2024-01-20,EQ,1490,1490,1456.2,1486.95,1475,1473.15,1470.56,1502,1049.05,177982,261734010.1,12195,ICICIGI
2024-01-19,EQ,1454.95,1502,1434.9,1440.05,1484,1486.95,1476.68,1502,1049.05,1134043,1674616777.55,55530,ICICIGI
2024-01-18,EQ,1454,1462.15,1423,1454.45,1438.2,1440.05,1443.14,1492,1049.05,503202,726189022.35,36322,ICICIGI
2024-01-17,EQ,1410.05,1476,1410.05,1374.2,1452,1454.45,1448.61,1492,1049.05,5235862,7584723885.65,191467,ICICIGI
2024-01-16,EQ,1372.8,1383.2,1353.5,1372.8,1370,1374.2,1373.59,1492,1049.05,1288819,1770312588.05,89503,ICICIGI
2024-01-15,EQ,1411,1417.15,1370.7,1394.1,1375.2,1372.8,1390.17,1492,1049.05,781961,1087061656.75,42968,ICICIGI
2024-01-12,EQ,1391.05,1396.85,1381,1393.25,1395.95,1394.1,1392.97,1492,1049.05,446952,622591431.7,22565,ICICIGI
2024-01-11,EQ,1388,1398.75,1385.3,1388.05,1388.05,1393.25,1393.57,1492,1049.05,302118,421022415.1,23007,ICICIGI
2024-01-10,EQ,1395,1395,1377.4,1395,1390.55,1388.05,1391.67,1492,1049.05,639538,890028147.5,17976,ICICIGI
2024-01-09,EQ,1396.55,1420,1384,1395.65,1400,1395,1400.49,1492,1049.05,855991,1198807921.05,62035,ICICIGI
2024-01-08,EQ,1395,1405.75,1379,1395.6,1394.9,1395.65,1395.47,1492,1049.05,659991,920996363.45,56036,ICICIGI
2024-01-05,EQ,1394.8,1398.55,1385.4,1393.2,1395.25,1395.6,1393.23,1492,1049.05,296418,412979413.25,29217,ICICIGI
2024-01-04,EQ,1380.05,1398,1375,1378,1394.05,1393.2,1388.19,1492,1049.05,581309,806965327.15,26563,ICICIGI
2024-01-03,EQ,1417.05,1419.4,1373.7,1419.4,1383,1378,1384.54,1492,1049.05,701759,971613363.5,34044,ICICIGI
2024-01-02,EQ,1443,1448.95,1415.55,1437.2,1418.2,1419.4,1425.38,1492,1049.05,491395,700424182.25,54973,ICICIGI
2024-01-01,EQ,1429,1443.4,1420,1420.1,1440,1437.2,1431.64,1492,1049.05,156358,223848135.85,13291,ICICIGI
2023-12-29,EQ,1427.95,1427.95,1410.05,1437,1425,1420.1,1419.87,1492,1049.05,289414,410930515.35,21900,ICICIGI
2023-12-28,EQ,1429,1441,1416.3,1415,1437.95,1437,1428.57,1492,1049.05,239294,341847254.95,20108,ICICIGI
2023-12-27,EQ,1419.8,1432,1410.65,1416.1,1416.15,1415,1418.37,1492,1049.05,326744,463443721.75,22950,ICICIGI
2023-12-26,EQ,1423,1439.35,1403,1422.6,1415.85,1416.1,1415.41,1492,1049.05,398150,563543509.05,41121,ICICIGI
2023-12-22,EQ,1413.1,1428.2,1405.75,1405.75,1416.2,1422.6,1418.08,1492,1049.05,230698,327148547.55,18140,ICICIGI
2023-12-21,EQ,1412,1415,1386.8,1413.2,1408.65,1405.75,1403.24,1492,1049.05,234544,329121303.4,21940,ICICIGI
2023-12-20,EQ,1445.2,1453.65,1408.1,1442.05,1410.05,1413.2,1432.37,1492,1049.05,409956,587209547.4,29152,ICICIGI
2023-12-19,EQ,1449.35,1451.9,1435.55,1449.35,1444,1442.05,1441.59,1492,1049.05,561481,809423185.5,61542,ICICIGI
2023-12-18,EQ,1443.05,1463.7,1432.85,1451.65,1448,1449.35,1452.71,1492,1049.05,459786,667937971.5,33020,ICICIGI
2023-12-15,EQ,1470.55,1472.95,1447.75,1462.95,1450,1451.65,1453.37,1492,1049.05,423327,615249260.9,33554,ICICIGI
2023-12-14,EQ,1465,1467,1446,1453.4,1465,1462.95,1457.96,1492,1049.05,655313,955421084.65,31268,ICICIGI
2023-12-13,EQ,1454,1455.5,1428.95,1455.35,1452,1453.4,1445.38,1492,1049.05,386336,558402807.55,29612,ICICIGI
2023-12-12,EQ,1462.3,1473.55,1448,1447,1455,1455.35,1457.19,1492,1049.05,765001,1114752528.5,70000,ICICIGI
2023-12-11,EQ,1441.1,1458.8,1441.1,1449.4,1448,1447,1447.19,1492,1049.05,472341,683565632.75,34930,ICICIGI
2023-12-08,EQ,1454.15,1455.1,1440.05,1449.45,1447.25,1449.4,1446.89,1492,1049.05,287248,415616433.35,24940,ICICIGI
2023-12-07,EQ,1439.05,1454.15,1439.05,1445.7,1443.65,1449.45,1448.67,1492,1049.05,225090,326080054,24181,ICICIGI
2023-12-06,EQ,1468.95,1470.8,1439.65,1466.35,1448.15,1445.7,1448.84,1492,1049.05,313506,454220847.65,29807,ICICIGI
2023-12-05,EQ,1470.95,1487.45,1454,1470.9,1464,1466.35,1469.86,1492,1049.05,677843,996337287.6,72510,ICICIGI
2023-12-04,EQ,1464.9,1480.3,1444.6,1457.65,1471.25,1470.9,1459.27,1492,1049.05,589575,860350821.7,35760,ICICIGI
2023-12-01,EQ,1492,1492,1449.55,1480,1456,1457.65,1460.84,1492,1049.05,454189,663496261.95,22385,ICICIGI
2023-11-30,EQ,1436.25,1490,1436.25,1440.6,1486.45,1480,1473.54,1490,1049.05,1003720,1479021298.75,44845,ICICIGI
2023-11-29,EQ,1455.9,1456.55,1432.45,1450.1,1441,1440.6,1442.29,1485,1049.05,851718,1228423223,67726,ICICIGI
2023-11-28,EQ,1440,1457.85,1433.05,1438.5,1447.5,1450.1,1446.45,1485,1049.05,1106120,1599946044.7,61685,ICICIGI
2023-11-24,EQ,1434.4,1450,1426.6,1439,1434,1438.5,1438.51,1485,1049.05,701500,1009114411,22382,ICICIGI
2023-11-23,EQ,1448.7,1477.15,1435.85,1449.1,1435.85,1439,1448.04,1485,1049.05,499224,722893928.85,25716,ICICIGI
2023-11-22,EQ,1470,1474.85,1438.85,1464.75,1450,1449.1,1453.6,1485,1049.05,206343,299940981.55,15203,ICICIGI
2023-11-21,EQ,1449,1485,1448.45,1446.1,1464.5,1464.75,1470.56,1485,1049.05,757349,1113726211.5,48502,ICICIGI
2023-11-20,EQ,1446.15,1451.25,1420,1446.15,1448.75,1446.1,1441.14,1484.1,1049.05,717176,1033547770.55,40344,ICICIGI
2023-11-17,EQ,1403.8,1484.1,1401,1399.6,1441.15,1446.15,1457.07,1484.1,1049.05,2327051,3390665861.25,103650,ICICIGI
2023-11-16,EQ,1399.9,1407,1392.15,1395.55,1397.1,1399.6,1401.24,1423.3,1049.05,439134,615332467.95,26913,ICICIGI
2023-11-15,EQ,1373.95,1403,1360.2,1359.1,1393.2,1395.55,1389.24,1423.3,1049.05,627341,871528926.6,60898,ICICIGI
2023-11-13,EQ,1361.65,1364.95,1336,1361.65,1352.45,1359.1,1354.84,1423.3,1049.05,675464,915147809.75,62023,ICICIGI
2023-11-12,EQ,1352.25,1374.4,1349.05,1352.25,1360,1361.65,1362.22,1423.3,1049.05,53856,73363796.95,3065,ICICIGI
2023-11-10,EQ,1350,1362.45,1344,1357.2,1355.35,1352.25,1350.81,1423.3,1049.05,285344,385445857.2,23915,ICICIGI
2023-11-09,EQ,1367.05,1369.4,1354,1368,1358.85,1357.2,1359.68,1423.3,1049.05,179012,243399666.35,15464,ICICIGI
2023-11-08,EQ,1379.6,1384.9,1361.25,1379.6,1367,1368,1367.73,1423.3,1049.05,290849,397802374,19828,ICICIGI
2023-11-07,EQ,1375,1390.15,1357.5,1375.85,1380.85,1379.6,1372.03,1423.3,1049.05,611603,839135950.8,65374,ICICIGI
2023-11-06,EQ,1363,1384.65,1352.5,1362.7,1373.25,1375.85,1365.8,1423.3,1049.05,418854,572071573,26122,ICICIGI
2023-11-03,EQ,1377.75,1377.75,1360,1370.9,1364.15,1362.7,1363.25,1423.3,1049.05,131204,178864269.7,12762,ICICIGI
2023-11-02,EQ,1361.1,1378.65,1355,1357.8,1366.15,1370.9,1368.9,1423.3,1049.05,349810,478854197.4,23780,ICICIGI
2023-11-01,EQ,1373.55,1385.4,1354.8,1373.8,1360,1357.8,1366.99,1423.3,1049.05,197008,269308838.6,17873,ICICIGI
2023-10-31,EQ,1354.5,1384.8,1352,1354.5,1379.15,1373.8,1368.8,1423.3,1049.05,519546,711153552.75,50170,ICICIGI
2023-10-30,EQ,1352.5,1358.7,1332.25,1357.35,1353.95,1354.5,1347.35,1423.3,1049.05,222640,299974322.85,26710,ICICIGI
2023-10-27,EQ,1355,1367.45,1350.25,1355.65,1355,1357.35,1362.2,1423.3,1049.05,347173,472919957.05,25477,ICICIGI
2023-10-26,EQ,1362.35,1374.6,1345.4,1378.3,1360,1355.65,1357.87,1423.3,1049.05,368083,499809977.75,24876,ICICIGI
2023-10-25,EQ,1399.1,1410.25,1371.05,1399.05,1378,1378.3,1391.24,1423.3,1049.05,511978,712286057.9,43113,ICICIGI
2023-10-23,EQ,1388.15,1419.4,1379.55,1388.15,1394.95,1399.05,1404.23,1423.3,1049.05,1275080,1790501842.85,88432,ICICIGI
2023-10-20,EQ,1371.65,1398,1359.75,1371.7,1388.5,1388.15,1384.14,1423.3,1049.05,496087,686655638.75,38372,ICICIGI
2023-10-19,EQ,1370.8,1408.45,1361.75,1358.55,1375,1371.7,1376.58,1423.3,1049.05,1120954,1543087173.15,55842,ICICIGI
