DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,509.6,516,505.6,505.1,511,512.05,511.65,615.6,380.7,973728,498209655.95,35208,ICICIPRULI
2024-02-15,EQ,508.15,511.1,503.6,508.8,505.6,505.1,506.66,615.6,380.7,2299680,1165145242.7,25431,ICICIPRULI
2024-02-14,EQ,507.95,510,502,511.9,507.6,508.8,506.41,615.6,380.7,1200533,607963282.55,32327,ICICIPRULI
2024-02-13,EQ,504.45,513.8,497.3,504.45,511,511.9,510.67,615.6,380.7,2357148,1203734542.85,84939,ICICIPRULI
2024-02-12,EQ,521.45,521.6,502.55,521.45,505,504.45,507.56,615.6,380.7,1076797,546542276.2,21570,ICICIPRULI
2024-02-09,EQ,520.5,522.95,510.5,520.5,520.5,521.45,518.03,615.6,380.7,1022445,529654382.65,39983,ICICIPRULI
2024-02-08,EQ,532,533.7,518.65,530.45,521.05,520.5,526.64,615.6,380.7,1481895,780420602.3,34713,ICICIPRULI
2024-02-07,EQ,528.5,533.8,525.4,526,530.2,530.45,530.02,615.6,380.7,1003712,531991877.1,27382,ICICIPRULI
2024-02-06,EQ,505,528.35,502.5,504.8,526.8,526,520.72,615.6,380.7,2301593,1198476432,67891,ICICIPRULI
2024-02-05,EQ,507,509.25,502.1,506.5,505.7,504.8,505.2,615.6,380.7,1097731,554568883.25,26360,ICICIPRULI
2024-02-02,EQ,521,521,503.4,515.9,506.7,506.5,510.22,615.6,380.7,2401695,1225392574.8,45562,ICICIPRULI
2024-02-01,EQ,504.1,517.15,500,503.25,514.45,515.9,510.44,615.6,380.7,2109644,1076848054.45,42916,ICICIPRULI
2024-01-31,EQ,497.45,506.3,494.15,495.6,502.9,503.25,502.87,615.6,380.7,1416063,712094977.1,30409,ICICIPRULI
2024-01-30,EQ,493.95,499.7,492.5,491.6,497,495.6,495.93,615.6,380.7,3256246,1614881137.65,59132,ICICIPRULI
2024-01-29,EQ,486.3,494.3,483,486.3,492,491.6,491.55,615.6,380.7,5223917,2567820173.35,32142,ICICIPRULI
2024-01-25,EQ,491.3,491.3,482.95,488.55,486.75,486.3,486.49,615.6,380.7,1646588,801046315.05,15453,ICICIPRULI
2024-01-24,EQ,480,490.65,480,479.45,489.7,488.55,485.45,615.6,380.7,3536528,1716798444.75,37839,ICICIPRULI
2024-01-23,EQ,496,497.15,475.2,491.3,480,479.45,483.06,615.6,380.7,3281838,1585314499.3,101786,ICICIPRULI
2024-01-20,EQ,498.4,498.8,485.6,494.6,491.5,491.3,490.48,615.6,380.7,661315,324364529.55,15122,ICICIPRULI
2024-01-19,EQ,492,498,488.15,486.2,494.15,494.6,494.79,615.6,380.7,2754392,1362846868.3,50742,ICICIPRULI
2024-01-18,EQ,470,488.9,463.45,514.95,487,486.2,477.03,615.6,380.7,17222774,8215812759.7,191769,ICICIPRULI
2024-01-17,EQ,517.9,520.35,513.5,517.9,516,514.95,517.55,615.6,380.7,2308422,1194734268,32679,ICICIPRULI
2024-01-16,EQ,523.75,524.8,516.95,522.2,519.75,517.9,520.52,615.6,380.7,1391247,724177172.7,36672,ICICIPRULI
2024-01-15,EQ,533,533.9,520,529.95,521.6,522.2,525.11,615.6,380.7,2040505,1071479686.6,30266,ICICIPRULI
2024-01-12,EQ,543,543.4,529.1,541.6,529.9,529.95,536.03,615.6,380.7,2692417,1443219742.45,28437,ICICIPRULI
2024-01-11,EQ,541.75,546.85,538.65,541.25,540.6,541.6,543.14,615.6,380.7,880686,478331656.05,19683,ICICIPRULI
2024-01-10,EQ,544.45,550,538.65,540.85,542,541.25,545.47,615.6,380.7,2156707,1176412592.75,26725,ICICIPRULI
2024-01-09,EQ,545.25,548.9,533.35,541.95,540.4,540.85,539.4,615.6,380.7,5096681,2749174652.95,44350,ICICIPRULI
2024-01-08,EQ,541,550.6,539.65,541,542.3,541.95,544.25,615.6,380.7,1579306,859540114.8,25099,ICICIPRULI
2024-01-05,EQ,538.5,545.55,535.15,539.85,540.6,541,540.43,615.6,380.7,3895158,2105060860.05,16455,ICICIPRULI
2024-01-04,EQ,536,541.1,535,534.9,539,539.85,538.78,615.6,380.7,1718311,925791306.95,19925,ICICIPRULI
2024-01-03,EQ,534.2,539.8,531.8,534.4,535.75,534.9,536.32,615.6,380.7,1334907,715932400.95,19742,ICICIPRULI
2024-01-02,EQ,531.95,536,528.1,531.95,534.15,534.4,532.21,615.6,380.7,1359923,723767793.95,60226,ICICIPRULI
2024-01-01,EQ,534.7,536,530.75,534.85,531.65,531.95,532.56,615.6,380.7,1578322,840552786.5,25370,ICICIPRULI
2023-12-29,EQ,530.2,535.35,528.05,529.9,535.1,534.85,533.17,615.6,380.7,1139518,607555679.95,20218,ICICIPRULI
2023-12-28,EQ,526.9,530.5,525.15,526.6,530.4,529.9,528.05,615.6,380.7,2543683,1343182710.2,31957,ICICIPRULI
2023-12-27,EQ,525,529.55,523.55,523.9,527.2,526.6,526.28,615.6,380.7,1839214,967933069.8,35301,ICICIPRULI
2023-12-26,EQ,524,524.5,516.95,518.95,524,523.9,522.22,615.6,380.7,2194932,1146247808.05,69765,ICICIPRULI
2023-12-22,EQ,521.95,523.95,515,518.95,519.65,518.95,519.66,615.6,380.7,1417103,736412238.6,32157,ICICIPRULI
2023-12-21,EQ,509.3,520.65,505.4,509.3,518.55,518.95,514.48,615.6,380.7,1730872,890496274.6,31264,ICICIPRULI
2023-12-20,EQ,521,526,507.05,519.95,508.95,509.3,518.6,615.6,380.7,2429942,1260161252.15,49376,ICICIPRULI
2023-12-19,EQ,521.75,524.8,517.25,521.2,520.2,519.95,520.88,615.6,380.7,1335907,695845526.7,44199,ICICIPRULI
2023-12-18,EQ,521.8,523.8,515.4,519.2,521.8,521.2,521.03,615.6,380.7,1442950,751816014.1,33986,ICICIPRULI
2023-12-15,EQ,536.6,537.45,516.3,532.35,520.5,519.2,520.5,615.6,380.7,3650011,1899827653.8,60867,ICICIPRULI
2023-12-14,EQ,544,545,530.6,542.4,533,532.35,535.68,615.6,380.7,1826903,978627577.85,42035,ICICIPRULI
2023-12-13,EQ,551.65,554.9,541.05,550.6,542.5,542.4,545.14,615.6,380.7,1337683,729222517.05,31107,ICICIPRULI
2023-12-12,EQ,543.15,553.5,539,537.45,551.2,550.6,546.87,615.6,380.7,2684806,1468246360.2,62102,ICICIPRULI
2023-12-11,EQ,543.55,546,535.7,543.55,538.25,537.45,540.52,615.6,380.7,1590711,859819034.15,34286,ICICIPRULI
2023-12-08,EQ,548.55,549.3,539.65,547.25,543.9,543.55,544.26,615.6,380.7,711798,387402357.55,13919,ICICIPRULI
2023-12-07,EQ,551,556.85,544.75,551.4,548,547.25,549.42,615.6,380.7,1019925,560367280.15,20211,ICICIPRULI
2023-12-06,EQ,548.8,554.45,545.15,544.4,551.65,551.4,550.71,615.6,380.7,1968199,1083899072.25,29424,ICICIPRULI
2023-12-05,EQ,565,565,542.25,563.3,544.7,544.4,546.64,615.6,380.7,4654510,2544353555.65,79751,ICICIPRULI
2023-12-04,EQ,563,564.2,556.7,558.8,562.85,563.3,561.19,615.6,380.7,814733,457219312.4,22092,ICICIPRULI
2023-12-01,EQ,564.95,567.1,553.65,562.6,556.2,558.8,559.11,615.6,380.7,1209880,676456059.1,23714,ICICIPRULI
2023-11-30,EQ,553.95,569.4,552.55,551.7,562,562.6,562.68,615.6,380.7,3217338,1810346897.4,33153,ICICIPRULI
2023-11-29,EQ,554,556.7,548.5,551.55,550.7,551.7,550.66,615.6,380.7,8604983,4738421314.05,33479,ICICIPRULI
2023-11-28,EQ,555.45,557.6,550.5,555.45,551.25,551.55,553.22,615.6,380.7,962469,532459752.8,32854,ICICIPRULI
2023-11-24,EQ,555.95,563.5,554.55,555.95,554.75,555.45,558.6,615.6,380.7,1548879,865205448.75,22720,ICICIPRULI
2023-11-23,EQ,559.4,564.05,553.4,558.05,556,555.95,557.61,615.6,380.7,522266,291220892.75,26280,ICICIPRULI
2023-11-22,EQ,555.75,565.95,550.25,555.75,558,558.05,556.34,615.6,380.7,2492912,1386902814.7,34590,ICICIPRULI
2023-11-21,EQ,550,562.35,547.45,549.8,554,555.75,555.43,615.6,380.7,2545683,1413953838.9,55194,ICICIPRULI
2023-11-20,EQ,559,560.15,547.65,559.85,549.3,549.8,552.31,615.6,380.7,1875745,1036000361.65,30896,ICICIPRULI
2023-11-17,EQ,548.05,572.5,544.8,548.2,561,559.85,565.16,615.6,380.7,4385917,2478748278.05,58397,ICICIPRULI
2023-11-16,EQ,543.2,555.8,537.85,543.25,548,548.2,548.73,615.6,380.7,1427904,783537861.8,37219,ICICIPRULI
2023-11-15,EQ,535.35,547.9,530.7,525.85,543.5,543.25,541.33,615.6,380.7,1701447,921041448.8,50590,ICICIPRULI
2023-11-13,EQ,529.1,532.2,522.95,531.7,526,525.85,525.81,615.6,380.7,442853,232856421.3,24021,ICICIPRULI
2023-11-12,EQ,536.7,536.7,527.2,530.1,527.2,531.7,531.87,615.6,380.7,61373,32642301.3,2744,ICICIPRULI
2023-11-10,EQ,527.9,531.55,523.55,528.2,530,530.1,529,615.6,380.7,500837,264943164.85,12742,ICICIPRULI
2023-11-09,EQ,532.9,533.5,525.6,530.6,528.25,528.2,529.12,615.6,380.7,670063,354540459.95,16950,ICICIPRULI
2023-11-08,EQ,540,540,527.45,537.9,531.55,530.6,531.32,615.6,380.7,774593,411557605.8,16947,ICICIPRULI
2023-11-07,EQ,519.75,539.3,516.7,521.8,539,537.9,528.32,615.6,380.7,1959750,1035382631.85,58324,ICICIPRULI
2023-11-06,EQ,522.15,525.95,521.2,520.15,523.2,521.8,523.07,615.6,380.7,827603,432891739.35,14120,ICICIPRULI
2023-11-03,EQ,527.85,527.85,519.25,524.95,521.1,520.15,523.47,615.6,380.7,1466452,767642090.25,18171,ICICIPRULI
2023-11-02,EQ,518.95,525.8,514.75,515.35,524.05,524.95,521.74,615.6,380.7,657953,343282097.35,19379,ICICIPRULI
2023-11-01,EQ,525.4,529,514.2,525.25,515.9,515.35,518.87,615.6,380.7,686047,355971134.85,23786,ICICIPRULI
2023-10-31,EQ,522,529.95,520.9,520.25,527.35,525.25,525.2,615.6,380.7,1375208,722265197.3,44920,ICICIPRULI
2023-10-30,EQ,518,522.1,512,519,518.5,520.25,518.64,615.6,380.7,765664,397102914.45,14649,ICICIPRULI
2023-10-27,EQ,511.95,522.5,510,510.85,518.65,519,518.68,615.6,380.7,491684,255028800.35,18318,ICICIPRULI
2023-10-26,EQ,517,517,505,518.8,512,510.85,510.97,615.6,380.7,1031823,527227709.55,23643,ICICIPRULI
2023-10-25,EQ,520.95,525.95,515.15,521,520,518.8,520.46,615.6,380.7,950918,494915308.05,23768,ICICIPRULI
2023-10-23,EQ,525,530.4,518.3,526.2,519.65,521,525.51,615.6,380.7,1328934,698374436.35,32512,ICICIPRULI
2023-10-20,EQ,520.5,528.6,516.85,522.2,525.6,526.2,525.16,615.6,380.7,890622,467719653.35,19008,ICICIPRULI
2023-10-19,EQ,521,526.8,516.2,521,521.05,522.2,521.25,615.6,380.7,2867227,1494552746.1,45521,ICICIPRULI
2023-10-18,EQ,523.7,526.75,512.4,533.7,521.6,521,518.12,615.6,380.7,4168928,2160005395.6,80628,ICICIPRULI
2023-10-17,EQ,534.55,535.5,528.6,531.05,533.9,533.7,533.09,615.6,380.7,1459792,778204877.35,35668,ICICIPRULI
2023-10-16,EQ,525,533.45,522.55,522.6,531.15,531.05,529.59,615.6,380.7,1904754,1008730661.8,37837,ICICIPRULI
2023-10-13,EQ,525.5,527.35,519.75,524.85,521.5,522.6,523.41,615.6,380.7,839584,439446133.55,23091,ICICIPRULI
2023-10-12,EQ,526,531.4,519.45,524.9,525.3,524.85,523.97,615.6,380.7,4223708,2213103995.1,40692,ICICIPRULI
2023-10-11,EQ,544,547.75,522,540.15,525.95,524.9,528.27,615.6,380.7,3972020,2098299737.6,69428,ICICIPRULI
2023-10-10,EQ,544.15,548.3,529.75,543.8,541.5,540.15,536.48,615.6,380.7,2910397,1561361737.2,62025,ICICIPRULI
2023-10-09,EQ,559,560.7,541,559.35,542.65,543.8,548.81,615.6,380.7,1180000,647595382.15,24582,ICICIPRULI
2023-10-06,EQ,552.45,560.95,550.75,551.65,558.25,559.35,556.58,615.6,380.7,1059398,589637751.6,20834,ICICIPRULI
2023-10-05,EQ,559.8,561.95,550.6,557.55,552.15,551.65,553.51,615.6,380.7,530790,293799749.3,17662,ICICIPRULI
2023-10-04,EQ,559.05,560,552.25,558.85,558.9,557.55,555.83,615.6,380.7,1391947,773689108.1,19056,ICICIPRULI
2023-10-03,EQ,565,566.9,554.3,566.2,560.95,558.85,560.43,615.6,380.7,1100907,616984210.8,38633,ICICIPRULI
2023-09-29,EQ,568.9,569.9,560.15,566.1,564.05,566.2,565.27,615.6,380.7,1286955,727471330.9,20303,ICICIPRULI
2023-09-28,EQ,579.75,581.5,563.3,579.95,569,566.1,574.06,615.6,380.7,4110901,2359906138.05,41536,ICICIPRULI
2023-09-27,EQ,577,581,573.15,577.05,580.35,579.95,577.76,615.6,380.7,953762,551045554.6,26155,ICICIPRULI
2023-09-26,EQ,578.95,586.65,574.45,577.8,579.55,577.05,580.01,615.6,380.7,1294159,750627860.2,28436,ICICIPRULI
2023-09-25,EQ,580.05,580.05,569.05,578.2,579,577.8,575.55,615.6,380.7,1406289,809391665.95,25818,ICICIPRULI
2023-09-22,EQ,565.05,580,564.45,565.05,576.25,578.2,574.65,615.6,380.7,1299679,746863313.95,28157,ICICIPRULI
2023-09-21,EQ,585.9,588.85,564.25,588.2,567.1,565.05,571.64,615.6,380.7,1520707,869298073.3,31778,ICICIPRULI
2023-09-20,EQ,600.95,600.95,586.15,602.6,586.6,588.2,591.47,615.6,380.7,962698,569407495.8,23511,ICICIPRULI
2023-09-18,EQ,594.95,606.4,590.7,595,601.4,602.6,600.62,615.6,380.7,4325246,2597835923.35,86618,ICICIPRULI
2023-09-15,EQ,570,598.2,569.3,569.5,595,595,587.9,615.6,380.7,4150275,2439956014.75,65476,ICICIPRULI
2023-09-14,EQ,567.9,572,564.35,566.7,568.4,569.5,568.59,615.6,380.7,637421,362429368.75,16829,ICICIPRULI
2023-09-13,EQ,554,567.95,549,554.55,567.25,566.7,559.89,615.6,380.7,1404605,786428747.6,32422,ICICIPRULI
2023-09-12,EQ,580,580.3,552.05,576.55,554.5,554.55,559.19,615.6,380.7,2740114,1532252530.2,55230,ICICIPRULI
2023-09-11,EQ,561.5,579,557.15,556.7,577,576.55,573.97,615.6,380.7,2168706,1244763353.7,41470,ICICIPRULI
2023-09-08,EQ,550,567.85,545.75,547.15,556.1,556.7,560.64,615.6,380.7,2744094,1538455515.5,38503,ICICIPRULI
2023-09-07,EQ,539.65,549.2,521.55,539.65,547,547.15,539.2,615.6,380.7,2932945,1581447073.4,46684,ICICIPRULI
2023-09-06,EQ,536.85,540.45,532,536.85,539.25,539.65,537.21,615.6,380.7,814384,437497932.85,17495,ICICIPRULI
2023-09-05,EQ,554.1,558.1,535.1,553.55,536.55,536.85,541.64,615.6,380.7,2129860,1153609633.5,49964,ICICIPRULI
2023-09-04,EQ,560.45,563.9,551.1,561.8,553.3,553.55,555.7,615.6,380.7,895572,497671442.8,26140,ICICIPRULI
2023-09-01,EQ,565,569.15,557.65,563.9,560,561.8,564.2,615.6,380.7,1107985,625126193.85,24682,ICICIPRULI
2023-08-31,EQ,563.45,568.9,555.95,560.05,561.65,563.9,563.53,615.6,380.7,3649073,2056371037.7,32580,ICICIPRULI
