DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,3064.8,3064.8,3010.5,3028.85,3042,3045.3,3033.23,3300,1810.65,727944,2208021357.3,58075,INDIGO
2024-02-15,EQ,3128.7,3128.7,3021.25,3094.3,3033.25,3028.85,3057.48,3300,1810.65,544154,1663738287.2,46007,INDIGO
2024-02-14,EQ,3049.9,3099.55,3011.7,3041.45,3097,3094.3,3066.01,3300,1810.65,347614,1065788377.05,34914,INDIGO
2024-02-13,EQ,3050,3073.8,3006.05,3063,3047,3041.45,3040.36,3300,1810.65,414063,1258898832.85,45151,INDIGO
2024-02-12,EQ,3123,3130.55,3052.8,3105.95,3060,3063,3082.91,3300,1810.65,410580,1265780977.9,35212,INDIGO
2024-02-09,EQ,3130,3157.5,2984.2,3132.4,3093.95,3105.95,3086.03,3300,1810.65,1667210,5145058190.9,121576,INDIGO
2024-02-08,EQ,3140,3168.55,3115,3114.55,3125.2,3132.4,3142.02,3300,1810.65,762163,2394731282.95,74269,INDIGO
2024-02-07,EQ,3169,3189,3106.5,3137.85,3118,3114.55,3143.25,3300,1810.65,636345,2000193480.1,57786,INDIGO
2024-02-06,EQ,3190.05,3191.1,3070.75,3171.15,3139.95,3137.85,3123.04,3300,1810.65,1007663,3146972406.25,64000,INDIGO
2024-02-05,EQ,3225.05,3300,3154.55,3127.1,3171,3171.15,3230.75,3300,1810.65,3430174,11082026701.65,261231,INDIGO
2024-02-02,EQ,3099.95,3150,3072.4,3066.6,3145,3127.1,3107.26,3150,1810.65,1104594,3432266121.65,85632,INDIGO
2024-02-01,EQ,2982,3081.9,2972.1,2961.35,3065.05,3066.6,3028.61,3132,1810.65,1610034,4876160140.5,109974,INDIGO
2024-01-31,EQ,2940,2969.95,2912,2929,2965,2961.35,2942.21,3132,1810.65,1571722,4624334128.6,114447,INDIGO
2024-01-30,EQ,2919,2966.75,2910,2896,2921.3,2929,2937.42,3132,1810.65,1253067,3680782010.25,89372,INDIGO
2024-01-29,EQ,2889.9,2921.4,2851.75,2863.05,2898,2896,2885.06,3132,1810.65,1539851,4442567615.5,64576,INDIGO
2024-01-25,EQ,2910.55,2922.55,2847,2910.15,2879.55,2863.05,2873.16,3132,1810.65,1096039,3149097315.2,44574,INDIGO
2024-01-24,EQ,2939.95,2949.95,2895.4,2911.8,2913.2,2910.15,2920.48,3132,1810.65,1244427,3634326361.15,68532,INDIGO
2024-01-23,EQ,3068,3068,2900,3044.65,2921.9,2911.8,2955.23,3132,1810.65,1061598,3137266124,102133,INDIGO
2024-01-20,EQ,3050,3064.2,3031,3029.55,3041.6,3044.65,3042.38,3132,1810.65,73015,222139233.7,8768,INDIGO
2024-01-19,EQ,3068.6,3112.15,3017.85,3052.6,3055,3029.55,3052.58,3132,1810.65,586989,1791831325.25,54092,INDIGO
2024-01-18,EQ,3025.8,3072.9,3013.95,3058.75,3055,3052.6,3040.46,3132,1810.65,925829,2814946923.15,62451,INDIGO
2024-01-17,EQ,3000,3083.3,2995.1,3051.6,3058.5,3058.75,3062.58,3132,1810.65,771661,2363276157.7,56748,INDIGO
2024-01-16,EQ,3079,3132,3045,3119.5,3050,3051.6,3074.83,3132,1810.65,568486,1747998081.15,45566,INDIGO
2024-01-15,EQ,3074.1,3128.3,3071.25,3072.6,3114.3,3119.5,3103.96,3128.3,1810.65,638566,1982085756.5,39240,INDIGO
2024-01-12,EQ,3056.05,3086.35,3031,3052,3070.2,3072.6,3063.42,3094.8,1810.65,583998,1789032908.8,54055,INDIGO
2024-01-11,EQ,3094.8,3094.8,3027.25,3082.15,3057,3052,3047.06,3094.8,1810.65,891708,2717092148.8,79723,INDIGO
2024-01-10,EQ,3012.9,3090,2973.45,3012.9,3087.65,3082.15,3045.44,3090,1810.65,839629,2557043364.5,55212,INDIGO
2024-01-09,EQ,2992.95,3042,2975,2952.25,3017,3012.9,3017.01,3049.95,1810.65,831003,2507142970.25,70849,INDIGO
2024-01-08,EQ,2970,2991.95,2942.75,2954.95,2946,2952.25,2960.85,3049.95,1810.65,451446,1336662217.25,34285,INDIGO
2024-01-05,EQ,3008.4,3025,2945.55,2995.85,2956.8,2954.95,2976.86,3049.95,1810.65,715186,2129006763.85,51181,INDIGO
2024-01-04,EQ,2995.05,3005.75,2966,2990.45,2995,2995.85,2989.01,3049.95,1810.65,416938,1246231842.55,33647,INDIGO
2024-01-03,EQ,2933.9,3000,2929.35,2925.7,2985.7,2990.45,2971.71,3049.95,1810.65,655799,1948847425.45,40820,INDIGO
2024-01-02,EQ,2980,2989.9,2918.6,2978.5,2928.9,2925.7,2935.49,3049.95,1810.65,439889,1291287983.8,29991,INDIGO
2024-01-01,EQ,3000,3049.95,2970,2967.1,2971.3,2978.5,2999.21,3049.95,1810.65,615820,1846974861.3,45131,INDIGO
2023-12-29,EQ,2935.1,2975,2925.1,2927,2955,2967.1,2951.97,3009,1810.65,501880,1481533356.35,31840,INDIGO
2023-12-28,EQ,2941,2947.95,2900.6,2927.5,2928,2927,2922.88,3009,1810.65,1094620,3199441787.7,58707,INDIGO
