DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-15,EQ,1677,1687.75,1661.6,1666.2,1680,1676.35,1673.73,1733,1185.3,4834391,8091476059.5,191636,INFY
2024-02-14,EQ,1660.2,1669.45,1635.5,1684.55,1666.8,1666.2,1648.69,1733,1185.3,3768579,6213215180.9,162385,INFY
2024-02-13,EQ,1683,1689.1,1663.5,1680.1,1681.5,1684.55,1676.31,1733,1185.3,2696481,4520135184.85,143586,INFY
2024-02-12,EQ,1670.35,1692.95,1670.35,1669.35,1677.2,1680.1,1684.63,1733,1185.3,3555808,5990236481.55,172951,INFY
2024-02-09,EQ,1684.7,1692.9,1659.8,1692.1,1670,1669.35,1669.56,1733,1185.3,4600004,7680000364.95,228352,INFY
2024-02-08,EQ,1698,1706.35,1682.8,1693.75,1693,1692.1,1692.5,1733,1185.3,5919715,10019145488,237027,INFY
2024-02-07,EQ,1729,1729,1686.85,1729.45,1695,1693.75,1699.46,1733,1185.3,4613877,7841102727.05,273680,INFY
2024-02-06,EQ,1686.75,1733,1673.95,1687.2,1728,1729.45,1717.32,1733,1185.3,7694265,13213481875.4,250855,INFY
2024-02-05,EQ,1694.75,1700.75,1681.85,1693.35,1683.4,1687.2,1690.95,1718.5,1185.3,3634135,6145132559.05,137014,INFY
2024-02-02,EQ,1666.05,1718.5,1665,1657.05,1693.3,1693.35,1697.4,1718.5,1185.3,7858483,13339026486.55,259562,INFY
2024-02-01,EQ,1659.55,1677,1650.35,1660.9,1655,1657.05,1662.81,1690,1185.3,5760011,9577804761.6,169224,INFY
2024-01-31,EQ,1648.25,1667.25,1638.1,1651.45,1656.75,1660.9,1655.75,1690,1185.3,6763779,11199094787.8,181217,INFY
2024-01-30,EQ,1662.45,1690,1648.25,1656.6,1653,1651.45,1667,1690,1185.3,4995943,8328252976.3,171051,INFY
2024-01-29,EQ,1665.15,1679.35,1647.6,1669.1,1651.05,1656.6,1658.53,1680.55,1185.3,4253785,7055050164.1,169843,INFY
2024-01-25,EQ,1672.95,1680.55,1658,1675.4,1666,1669.1,1669.03,1680.55,1185.3,8865304,14796464532.6,238696,INFY
2024-01-24,EQ,1659.9,1680,1645,1642.15,1673,1675.4,1662.71,1680,1185.3,8999681,14963838639.25,288491,INFY
2024-01-23,EQ,1650.1,1674.7,1637.7,1648.85,1642,1642.15,1658.08,1674.7,1185.3,9401255,15588046050.3,241104,INFY
2024-01-20,EQ,1665.55,1669.25,1645,1659.2,1649.45,1648.85,1652.55,1669.25,1185.3,1158144,1913895855.1,41544,INFY
2024-01-19,EQ,1651.6,1665.5,1644.15,1642.6,1657.85,1659.2,1657.08,1665.5,1185.3,4522736,7494549930.5,189909,INFY
2024-01-18,EQ,1642.65,1649,1628.25,1640.2,1646.65,1642.6,1639.29,1664.95,1185.3,6375464,10451208678,227265,INFY
2024-01-17,EQ,1620.25,1647.5,1620.25,1631.55,1641,1640.2,1639.02,1664.95,1185.3,9209876,15095210616.95,295426,INFY
2024-01-16,EQ,1644.8,1648.5,1625,1652.1,1626,1631.55,1637.98,1664.95,1185.3,6500917,10648351664.5,270528,INFY
2024-01-15,EQ,1644.95,1664.95,1636,1612.75,1652,1652.1,1648.8,1664.95,1185.3,13228305,21810781228.5,332165,INFY
2024-01-12,EQ,1562,1618,1555.4,1494.2,1615,1612.75,1597.81,1619.75,1185.3,26754401,42748463414.7,707055,INFY
2024-01-11,EQ,1524.9,1525,1486.6,1519.9,1520.3,1494.2,1499.59,1619.75,1185.3,11296088,16939511689.75,311866,INFY
