DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,190,194.1,186.15,189.85,186.7,187,189.98,196.8,75.75,54056644,10269480768.65,219865,IOC
2024-02-15,EQ,185,191.35,183.5,183.55,189.45,189.85,188.87,196.8,75.75,70678699,13348738749.05,243621,IOC
2024-02-14,EQ,173,184.35,170.9,174.45,183.6,183.55,179.39,196.8,75.75,52764452,9465266629.8,217317,IOC
2024-02-13,EQ,174.95,177.45,172.35,175.4,174.55,174.45,174.72,196.8,75.75,37121416,6485879270.7,142432,IOC
2024-02-12,EQ,182.5,184.35,173.15,182.5,175.3,175.4,177.36,196.8,75.75,54071070,9590075765.2,222478,IOC
2024-02-09,EQ,193.4,193.85,177.75,192.4,182.2,182.5,183.03,196.8,75.75,84137345,15399444979.2,367320,IOC
2024-02-08,EQ,187.9,196.8,186.75,186.45,192.75,192.4,191.68,196.8,75.75,83103687,15929407877.95,320989,IOC
2024-02-07,EQ,188.2,192.65,185.05,184.5,186.6,186.45,187.9,192.65,75.75,82890137,15575458061.45,370387,IOC
2024-02-06,EQ,176.55,186,171.35,173.95,184.95,184.5,180.15,186,75.75,97077698,17488886522.6,396335,IOC
2024-02-05,EQ,167.95,177.2,164.7,162.9,175,173.95,173.16,177.2,75.75,101043319,17496335175.3,425952,IOC
2024-02-02,EQ,151.9,166.8,151.05,149.75,163.25,162.9,159.67,166.8,75.75,94675914,15117314021.8,367734,IOC
2024-02-01,EQ,148.5,150.7,147.05,146.95,149.9,149.75,148.95,152.2,75.75,27883335,4153361366.2,141281,IOC
2024-01-31,EQ,147.8,150.1,146.1,147.7,147.25,146.95,147.61,152.2,75.75,27393172,4043424444.95,103794,IOC
2024-01-30,EQ,148.4,152.2,146.5,146.7,148.1,147.7,149.56,152.2,75.75,41378967,6188506196.4,154907,IOC
2024-01-29,EQ,143.7,148.4,143.5,143.7,147.05,146.7,146.47,151.8,75.75,28420760,4162927770.45,119631,IOC
2024-01-25,EQ,145.9,145.9,142,143.45,143.1,143.7,143.57,151.8,75.75,38252600,5492091149.9,131137,IOC
2024-01-24,EQ,138.95,145.25,138.05,138.95,144.2,143.45,142,151.8,75.75,40122151,5697366180.3,148896,IOC
2024-01-23,EQ,151.5,151.8,137.85,148.05,139.6,138.95,142.64,151.8,75.75,38167576,5444304475.65,154148,IOC
2024-01-20,EQ,149.9,150.4,147.6,148.65,148.45,148.05,149.25,150.4,75.75,16429974,2452174142.9,78321,IOC
2024-01-19,EQ,145.1,149.3,143.8,144.5,148.65,148.65,146.52,149.3,75.75,23970656,3512226677.65,98878,IOC
2024-01-18,EQ,143.8,145.65,139.9,144.1,144.3,144.5,143.73,145.65,75.75,26958686,3874724743.45,100010,IOC
2024-01-17,EQ,143,145.4,141.55,143.6,144.4,144.1,144.17,145.4,75.75,43031636,6204043720.6,142139,IOC
2024-01-16,EQ,138.25,144.35,137.5,137.65,143.3,143.6,142.2,144.35,75.75,54350562,7728722091.75,186774,IOC
2024-01-15,EQ,136.45,138,135.2,135.3,137.5,137.65,136.96,138,75.75,22824583,3125962897.65,108597,IOC
2024-01-12,EQ,133.45,135.85,132.75,133.25,135.35,135.3,134.58,136.1,75.75,24471509,3293358619,91830,IOC
2024-01-11,EQ,131.35,133.9,131.1,130.55,133.25,133.25,132.76,136.1,75.75,21653666,2874847037.7,76245,IOC
2024-01-10,EQ,130.95,131,128.5,131.9,130.75,130.55,129.82,136.1,75.75,17547639,2278030369.3,78003,IOC
