DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,957,959.85,937.1,951.5,940.1,940.65,944.54,1049,557.1,2036667,1923715564.5,64388,IRCTC
2024-02-15,EQ,938.45,968,935.2,929.2,952,951.5,954.94,1049,557.1,4532823,4328580418.2,112281,IRCTC
2024-02-14,EQ,915.5,934,897.3,910.45,933.85,929.2,918.05,1049,557.1,4480920,4113727482.45,119955,IRCTC
2024-02-13,EQ,900.1,914.7,877,900.1,910.5,910.45,899.22,1049,557.1,3906213,3512542095.6,115529,IRCTC
2024-02-12,EQ,941.95,947,894,939.15,901,900.1,915.51,1049,557.1,3029950,2773951147.3,101647,IRCTC
2024-02-09,EQ,949.1,954.4,916,944.35,938.9,939.15,934.16,1049,557.1,2482688,2319237278.6,82409,IRCTC
2024-02-08,EQ,957.6,958.55,941.8,954.75,947.45,944.35,949.74,1049,557.1,1638646,1556292953,53591,IRCTC
2024-02-07,EQ,969,972.6,948.3,965.25,954,954.75,959.23,1049,557.1,1956892,1877107306.2,55281,IRCTC
2024-02-06,EQ,950,968.4,939.5,946.65,964,965.25,957.81,1049,557.1,2521842,2415450085.75,66578,IRCTC
2024-02-05,EQ,971.9,972.8,941.15,967.5,946,946.65,957.22,1049,557.1,3260389,3120917556.65,96798,IRCTC
2024-02-02,EQ,968.95,986.3,963.9,963.3,968.35,967.5,972.71,1049,557.1,2803549,2727037342.4,72873,IRCTC
2024-02-01,EQ,988.5,993.5,958.05,977.2,964.5,963.3,977.24,1049,557.1,5130192,5013419210.05,133602,IRCTC
2024-01-31,EQ,968.9,981.9,965,964.05,980.2,977.2,973.22,1049,557.1,2254800,2194406261.65,63556,IRCTC
2024-01-30,EQ,986.35,986.65,961.15,981.8,965.5,964.05,973.14,1049,557.1,2502690,2435477868.65,70424,IRCTC
2024-01-29,EQ,983.9,989.9,972.65,970.3,981.05,981.8,981.58,1049,557.1,3870322,3799036231.4,84898,IRCTC
2024-01-25,EQ,975.55,989.95,959,970.6,970.6,970.3,973.89,1049,557.1,6428039,6260195702,134450,IRCTC
2024-01-24,EQ,941.5,977,909.1,935.35,977,970.6,951.86,1049,557.1,8909650,8480705787.3,173984,IRCTC
2024-01-23,EQ,1045.05,1046.9,926.65,1027,941.5,935.35,973.22,1049,557.1,15704924,15284301799.6,439019,IRCTC
2024-01-20,EQ,997.85,1049,994,983.8,1025,1027,1029.1,1049,557.1,20724020,21327088595.75,427922,IRCTC
2024-01-19,EQ,935,988.8,934.05,927.25,983.8,983.8,971.84,988.8,557.1,14486659,14078727471.1,268478,IRCTC
2024-01-18,EQ,935.1,944,870.3,934.7,928.5,927.25,916.08,976.45,557.1,6557942,6007630862.4,164584,IRCTC
2024-01-17,EQ,944.9,950.5,932,949.65,937.65,934.7,940.59,976.45,557.1,3782327,3557623125.45,92955,IRCTC
2024-01-16,EQ,970,971.5,935.15,967.4,951.5,949.65,954.72,976.45,557.1,5464749,5217302878.6,131341,IRCTC
2024-01-15,EQ,961,976.45,951.05,951.2,967.25,967.4,965.18,976.45,557.1,6618736,6388303856.4,129771,IRCTC
2024-01-12,EQ,945.6,962,941.35,940.3,950.4,951.2,953.21,962,557.1,6044161,5761348270.8,124310,IRCTC
2024-01-11,EQ,949,951.8,938,941.7,939.75,940.3,944.1,951.8,557.1,6012001,5675908165.95,121447,IRCTC
2024-01-10,EQ,920,944.5,907.4,918.8,944.1,941.7,930.16,944.5,557.1,8474409,7882530999.85,159847,IRCTC
2024-01-09,EQ,925,926.7,912,916.55,919.5,918.8,919.92,929,557.1,4254653,3913948868.55,91026,IRCTC
2024-01-08,EQ,914.2,929,905.85,905.9,916.5,916.55,918.15,929,557.1,9604429,8818273681.75,173330,IRCTC
2024-01-05,EQ,905,923.45,894.05,901.55,905.95,905.9,913.52,923.45,557.1,9811302,8962808269.6,177161,IRCTC
2024-01-04,EQ,903.9,912,895.25,899.25,903.35,901.55,904.11,916.85,557.1,4427039,4002551964.05,91229,IRCTC
2024-01-03,EQ,886.3,910,886.2,886.2,902,899.25,899.67,916.85,557.1,6852189,6164719743.7,134618,IRCTC
2024-01-02,EQ,895.7,903.3,866.8,891.85,886.85,886.2,885.74,916.85,557.1,5242381,4643365518.15,108738,IRCTC
2024-01-01,EQ,892,916.85,888,887.5,890,891.85,904.18,916.85,557.1,9040913,8174598251.45,180401,IRCTC
2023-12-29,EQ,866,895,859.05,864.15,883,887.5,881.86,916.5,557.1,10705182,9440435317.55,172411,IRCTC
2023-12-28,EQ,873.95,875,862.05,867.5,865,864.15,867.57,916.5,557.1,3578585,3104664330.4,71038,IRCTC
2023-12-27,EQ,874.8,884.7,858.95,869.8,866.6,867.5,871.69,916.5,557.1,5028695,4383458717.85,99076,IRCTC
2023-12-26,EQ,865,883.9,859,860.9,870,869.8,871.88,916.5,557.1,6342848,5530220899.55,113303,IRCTC
2023-12-22,EQ,875,886.9,853.9,868.25,858.8,860.9,868.82,916.5,557.1,10046698,8728816529.2,180407,IRCTC
2023-12-21,EQ,807,874.5,801.9,815.15,869,868.25,853.71,916.5,557.1,25159581,21479016222,422744,IRCTC
2023-12-20,EQ,886.7,890,805.25,882.1,815,815.15,848.7,916.5,557.1,17968498,15249926276.8,354125,IRCTC
2023-12-19,EQ,881.2,916.5,852.2,879.15,881.8,882.1,889.56,916.5,557.1,37499776,33358375006.35,651107,IRCTC
2023-12-18,EQ,784.85,889.35,779.1,780.85,874.05,879.15,850.21,889.35,557.1,36365109,30917970859.1,541574,IRCTC
2023-12-15,EQ,797,797,778.65,791.05,782,780.85,787.31,799.95,557.1,2894186,2278623411.1,74812,IRCTC
2023-12-14,EQ,799.95,799.95,785.5,777.95,792,791.05,791.73,799.95,557.1,5071262,4015063479.35,103718,IRCTC
2023-12-13,EQ,774.4,781.55,763.8,770.6,777,777.95,774.15,786.4,557.1,2986173,2311741452.65,67473,IRCTC
2023-12-12,EQ,766.4,786.4,763.35,762.1,770.9,770.6,774.94,786.4,557.1,7248708,5617349524.15,148340,IRCTC
2023-12-11,EQ,750.95,766.55,750,749.55,762.8,762.1,761.44,769.85,557.1,3619579,2756097886.3,80298,IRCTC
2023-12-08,EQ,762.45,769.85,739.2,757.8,748.4,749.55,754.56,769.85,557.1,4842223,3653761095.65,101626,IRCTC
2023-12-07,EQ,742.75,762.25,732,740.5,759.5,757.8,749.97,762.25,557.1,7412553,5559175770.9,128993,IRCTC
2023-12-06,EQ,719.4,749.9,716.6,715.1,741.9,740.5,738.08,758,557.1,10164743,7502434454.6,173595,IRCTC
2023-12-05,EQ,724.75,728.95,709.05,720.85,717.45,715.1,718.87,758,557.1,2826160,2031646463.75,64798,IRCTC
2023-12-04,EQ,708,724,706,701.3,720.6,720.85,718.12,758,557.1,4528427,3251953658.25,92113,IRCTC
2023-12-01,EQ,710,710,700,705.75,700.4,701.3,704.08,758,557.1,1060638,746773645.95,29150,IRCTC
2023-11-30,EQ,700,710,700,700.5,704,705.75,705.7,758,557.1,2128035,1501759809.7,50181,IRCTC
2023-11-29,EQ,696.8,709.5,696.8,696.8,700,700.5,703.86,758,557.1,1575534,1108953304.55,39737,IRCTC
2023-11-28,EQ,697.2,699.2,692.8,692.8,695.45,696.8,695.82,758,557.1,877968,610908385.2,25567,IRCTC
2023-11-24,EQ,703,704.4,691.6,700,692.7,692.8,695.42,758,557.1,896138,623194185.8,27232,IRCTC
2023-11-23,EQ,704,706.45,699,700,699.7,700,702.19,758,557.1,1285720,902820335.45,28604,IRCTC
2023-11-22,EQ,709,711.8,693.05,708.95,701.3,700,700.89,758,557.1,1440191,1009417161.65,35946,IRCTC
2023-11-21,EQ,705.3,719.9,703.5,701.3,709,708.95,713.38,758,557.1,4324116,3084746212.15,82953,IRCTC
2023-11-20,EQ,709.9,712,694.75,707.35,701.05,701.3,702.75,758,557.1,1714181,1204637199.75,46076,IRCTC
2023-11-17,EQ,679.65,711.5,677.2,679.65,706.6,707.35,701.36,765,557.1,4894657,3432938194.25,94971,IRCTC
2023-11-16,EQ,677,683.9,675.7,677.35,680.95,679.65,679.03,765,557.1,1042850,708122621.85,31288,IRCTC
2023-11-15,EQ,677.7,678.95,674,671,677.5,677.35,676.36,765,557.1,736475,498124397.5,22564,IRCTC
2023-11-13,EQ,677,677,669.05,677.15,670.95,671,672.19,765,557.1,517232,347679251.55,16365,IRCTC
2023-11-12,EQ,678,678.85,676,672.45,677,677.15,677.15,774.9,557.1,300530,203505192.75,17623,IRCTC
2023-11-10,EQ,669.9,676.1,665.8,670.55,674,672.45,672.45,774.9,557.1,711757,478619207.35,21887,IRCTC
2023-11-09,EQ,679,679.9,664.4,676.9,671.9,670.55,669.64,774.9,557.1,1785791,1195843619.6,31491,IRCTC
2023-11-08,EQ,690,690,671.55,681.1,677.8,676.9,678.14,774.9,557.1,2294522,1556000362.6,45393,IRCTC
2023-11-07,EQ,673.95,683.3,670,671.5,682.75,681.1,677.85,774.9,557.1,1366389,926201386.7,37296,IRCTC
2023-11-06,EQ,670.5,674.15,666.4,663.6,671.1,671.5,670.94,774.9,557.1,734713,492947945.3,23191,IRCTC
2023-11-03,EQ,660,666.1,658.05,655.3,663.5,663.6,662.9,774.9,557.1,763012,505800947.7,21775,IRCTC
2023-11-02,EQ,657.95,663.55,649.7,652.85,656,655.3,653.92,774.9,557.1,1442254,943114355,35025,IRCTC
2023-11-01,EQ,666.05,670,652,665.35,652.9,652.85,659.72,774.9,557.1,840037,554191550.45,29639,IRCTC
2023-10-31,EQ,664.75,668.9,662.95,663.3,665.75,665.35,665.88,774.9,557.1,603228,401679703.9,21475,IRCTC
2023-10-30,EQ,661.7,665.8,652.5,659.35,662.95,663.3,661.13,774.9,557.1,988891,653784156.25,28174,IRCTC
2023-10-27,EQ,649.9,661.6,648.4,645.05,657.55,659.35,656.77,774.9,557.1,1056784,694061035.55,30616,IRCTC
2023-10-26,EQ,656.4,656.4,635.55,658.05,645.3,645.05,642.75,774.9,557.1,1821947,1171061778.1,60909,IRCTC
2023-10-25,EQ,667.25,673,651.1,666.2,657.4,658.05,662.21,774.9,557.1,1305923,864798934.95,46597,IRCTC
2023-10-23,EQ,692.65,692.65,663,692.1,664.2,666.2,676.85,774.9,557.1,1717013,1162164698.95,56609,IRCTC
2023-10-20,EQ,700,703.5,690,699.65,690.9,692.1,696.3,774.9,557.1,1232956,858507994.75,31497,IRCTC
2023-10-19,EQ,701.4,704.75,690.3,703.85,699,699.65,698.25,774.9,557.1,1100204,768222692.85,34430,IRCTC
2023-10-18,EQ,718.35,718.5,699.1,714.6,704,703.85,706.78,774.9,557.1,1690083,1194520148.2,41822,IRCTC
2023-10-17,EQ,703.8,719.4,703.05,703.35,713.65,714.6,713.98,774.9,557.1,2163042,1544358690.8,44353,IRCTC
2023-10-16,EQ,705,709.05,701.25,704.15,703.5,703.35,703.81,774.9,557.1,799567,562744688.35,25740,IRCTC
2023-10-13,EQ,698.25,706.5,693.2,700.25,704.85,704.15,702.66,774.9,557.1,1018087,715372705.05,27156,IRCTC
2023-10-12,EQ,705,707.7,698.55,704.6,701,700.25,701.88,774.9,557.1,1230285,863510600.95,22923,IRCTC
2023-10-11,EQ,710,711.8,703.45,705.7,704.3,704.6,707.25,774.9,557.1,946589,669471994.3,26984,IRCTC
2023-10-10,EQ,704,711.6,703,702.85,705.95,705.7,706.3,774.9,557.1,1371262,968516448.2,26063,IRCTC
2023-10-09,EQ,709,710,698.25,719.8,701,702.85,703.39,774.9,557.1,1760290,1238177782.3,42662,IRCTC
2023-10-06,EQ,721.95,722.65,714,719.45,719,719.8,717.71,774.9,557.1,1644795,1180483420.8,31437,IRCTC
2023-10-05,EQ,706,726.5,705.65,704.05,718,719.45,720.13,774.9,557.1,5547419,3994875271.25,99395,IRCTC
2023-10-04,EQ,699.95,709.45,697.15,703.55,703.5,704.05,703.18,774.9,557.1,2562621,1801992020.45,66673,IRCTC
2023-10-03,EQ,680.65,707.4,676.8,680.85,703.3,703.55,697.82,774.9,557.1,3635424,2536861673.5,79382,IRCTC
2023-09-29,EQ,676.1,683.35,673.8,672.1,679.05,680.85,679.38,774.9,557.1,846290,574953994.2,23784,IRCTC
2023-09-28,EQ,683.7,688.4,670,682,674.5,672.1,677.5,774.9,557.1,1109275,751532997.7,29732,IRCTC
2023-09-27,EQ,681.55,686.5,674.1,681.55,682.1,682,680.39,774.9,557.1,1155826,786412584.1,31574,IRCTC
2023-09-26,EQ,689.2,691.5,680.05,689.2,681.4,681.55,686.3,774.9,557.1,1055108,724118174.8,29885,IRCTC
2023-09-25,EQ,667,692.2,667,663.35,689,689.2,684.09,774.9,557.1,4487685,3069999987.25,83931,IRCTC
2023-09-22,EQ,673,675.4,661,671.3,663.45,663.35,665.85,774.9,557.1,1386201,923004902.95,45805,IRCTC
2023-09-21,EQ,677.9,683.45,668,678.55,671.1,671.3,676.16,774.9,557.1,1346593,910516522.85,41482,IRCTC
2023-09-20,EQ,688.25,688.65,675.55,689.35,679.05,678.55,681.15,774.9,557.1,1353493,921929347.6,42812,IRCTC
2023-09-18,EQ,696.05,697.85,688,695.65,688.3,689.35,691.89,774.9,557.1,1032981,714711332.45,33333,IRCTC
2023-09-15,EQ,701.95,702.85,694,696.4,695.3,695.65,697.73,774.9,557.1,1614958,1126804231.55,41477,IRCTC
2023-09-14,EQ,698,704.3,691.65,687,696.5,696.4,697.31,774.9,557.1,2678027,1867421684.8,58901,IRCTC
2023-09-13,EQ,688.95,694.7,680.55,688.2,687,687,687.69,774.9,557.1,2241575,1541517107.6,52830,IRCTC
2023-09-12,EQ,720.95,722.3,686,717.4,687,688.2,700.72,774.9,557.1,4330553,3034501307.85,109484,IRCTC
2023-09-11,EQ,733,733.4,716.15,725.55,717,717.4,722.26,774.9,557.1,5096622,3681090908.45,90205,IRCTC
2023-09-08,EQ,710,758,707.3,707.25,724.9,725.55,733.99,774.9,557.1,13572298,9961924555.1,205346,IRCTC
2023-09-07,EQ,707.9,713.55,704.45,708.5,707.25,707.25,709.07,774.9,557.1,1886439,1337608509.3,41657,IRCTC
2023-09-06,EQ,701.9,715.9,696.05,701.9,708.3,708.5,706.7,774.9,557.1,3235426,2286477227.15,62539,IRCTC
2023-09-05,EQ,707.85,711.45,696,703.25,702,701.9,703.92,774.9,557.1,2678643,1885551691.4,53026,IRCTC
2023-09-04,EQ,693.55,708,692.05,688.35,703.5,703.25,700.5,774.9,557.1,6419929,4497144150.35,117387,IRCTC
2023-09-01,EQ,675.75,689.65,672.55,672,688.95,688.35,684.88,774.9,557.1,4146601,2839931615.55,73468,IRCTC
2023-08-31,EQ,677,678.8,668.8,672.55,673.25,672,672.72,774.9,557.1,1663214,1118878107.4,33831,IRCTC
2023-08-30,EQ,678,682.8,671,672.5,671.05,672.55,676.37,774.9,557.1,1632153,1103934392.2,39071,IRCTC
2023-08-29,EQ,684,686,671.25,678.1,672,672.5,677.83,774.9,557.1,2900392,1965962629.9,60554,IRCTC
2023-08-28,EQ,659,684.1,656.15,658.25,676.8,678.1,674.78,774.9,557.1,5261237,3550151505.05,98961,IRCTC
2023-08-25,EQ,660.4,670,651,659.6,656.9,658.25,661.29,774.9,557.1,3014348,1993366448.7,59666,IRCTC
2023-08-24,EQ,652.05,664.5,652,649.65,661,659.6,659.22,774.9,557.1,2183330,1439297502.75,52544,IRCTC
2023-08-23,EQ,653,659.6,648.55,651.7,648.65,649.65,654.33,774.9,557.1,1078844,705922007.5,34676,IRCTC
2023-08-22,EQ,651.1,656.5,647.25,650.5,651.5,651.7,653.05,774.9,557.1,1048022,684413743.9,24969,IRCTC
2023-08-21,EQ,643.4,652,640.4,643.4,650.1,650.5,646.61,774.9,557.1,1495106,966757148.6,34384,IRCTC
2023-08-18,EQ,647.5,656.9,641.05,649.1,642.5,643.4,648.96,774.9,557.1,1353750,878527501.45,38772,IRCTC
2023-08-17,EQ,643.4,652.2,639,641.35,649,649.1,646.59,774.9,557.1,1611226,1041803390.85,39448,IRCTC
2023-08-16,EQ,649.65,649.8,639.1,649.65,640.95,641.35,642.17,774.9,557.1,1177223,755982283.2,35411,IRCTC
2023-08-14,EQ,663.65,663.65,638.55,662.5,649.2,649.65,647.37,774.9,557.1,2976922,1927180605.5,58862,IRCTC
2023-08-11,EQ,647,679.7,645.45,646.45,661.05,662.5,669.09,774.9,557.1,8325028,5570232184.6,139001,IRCTC
2023-08-10,EQ,648.95,648.95,635.1,648.65,646.75,646.45,641.56,774.9,557.1,2510995,1610959018.35,54121,IRCTC
2023-08-09,EQ,645.8,653.3,640.35,642.6,648.3,648.65,648.05,774.9,557.1,1792990,1161954749.75,34645,IRCTC
2023-08-08,EQ,656.8,658.3,640.65,653.8,643.45,642.6,648.17,774.9,557.1,1180459,765138526.85,37921,IRCTC
2023-08-07,EQ,658,658.5,649.15,653.55,655.15,653.8,654.36,774.9,557.1,1052162,688496952.6,29985,IRCTC
2023-08-04,EQ,666.5,668.9,651.6,660.2,652,653.55,660.98,774.9,557.1,2364709,1563023501.3,53314,IRCTC
2023-08-03,EQ,637.95,662.6,635.1,637.75,660.65,660.2,653.78,774.9,557.1,4563922,2983787260.55,86219,IRCTC
2023-08-02,EQ,643,644.25,630.6,642.75,636.3,637.75,638.11,774.9,557.1,1033405,659423373.75,29738,IRCTC
2023-08-01,EQ,642,648.9,635.65,640.65,642.45,642.75,643,774.9,557.1,2000678,1286438614.85,47745,IRCTC
2023-07-31,EQ,632.5,642.65,631.05,630.65,639.85,640.65,638.26,774.9,557.1,2235245,1426668728.75,52439,IRCTC
2023-07-28,EQ,620,631.95,618.2,619.5,630.5,630.65,626.68,774.9,557.1,1464610,917847637.15,35615,IRCTC
2023-07-27,EQ,622.9,624.9,617.05,620,619.95,619.5,620.48,774.9,557.1,904121,560985131.2,29429,IRCTC
2023-07-26,EQ,619.45,624,618.6,619.45,620.05,620,621.5,774.9,557.1,781540,485723281.65,26042,IRCTC
2023-07-25,EQ,621.5,625,615.6,620.3,619,619.45,619.91,774.9,557.1,842704,522401421.05,28195,IRCTC
2023-07-24,EQ,623.2,627,618.35,623.1,619.25,620.3,623.2,774.9,557.1,875139,545387085.95,28910,IRCTC
2023-07-21,EQ,624,630.4,620.4,625.15,623.8,623.1,626.5,774.9,557.1,1112376,696900462.2,30409,IRCTC
2023-07-20,EQ,624.9,626.95,622.2,625.5,625.5,625.15,624.87,774.9,557.1,635393,397035582.95,19169,IRCTC
2023-07-19,EQ,623,627.5,622.8,622.85,625.9,625.5,625.46,774.9,557.1,655382,409912291.25,23605,IRCTC
2023-07-18,EQ,626,628.05,620,625.55,623.55,622.85,624.07,774.9,557.1,763870,476706026.25,25312,IRCTC
2023-07-17,EQ,622.05,629.95,622,622.85,625.9,625.55,626.15,774.9,557.1,1006467,630198325.2,29489,IRCTC
2023-07-14,EQ,619.9,623.7,616.6,617.75,623.05,622.85,621.29,774.9,557.1,757598,470688012.5,28004,IRCTC
2023-07-13,EQ,623,626.6,614.5,620.7,618,617.75,620.46,774.9,557.1,966834,599883214.45,31516,IRCTC
2023-07-12,EQ,619.85,622.45,615.1,619,619.95,620.7,619.03,774.9,557.1,957020,592419899.15,34572,IRCTC
2023-07-11,EQ,616.25,624.55,615,615.9,619.85,619,619.6,774.9,557.1,1079845,669073397.35,32268,IRCTC
2023-07-10,EQ,631.75,632,614.35,630.65,614.95,615.9,619.24,774.9,557.1,1947356,1205885613.6,62543,IRCTC
2023-07-07,EQ,632.3,636.45,627,632.3,629.3,630.65,631.26,774.9,557,1054909,665919353.9,31646,IRCTC
2023-07-06,EQ,628,633.35,627.6,630.6,632.1,632.3,631.14,774.9,557,824834,520588914.65,30292,IRCTC
2023-07-05,EQ,629.7,633,627.1,628.7,631,630.6,630.12,774.9,557,690230,434928326.95,20875,IRCTC
2023-07-04,EQ,634,636.75,627.05,633.1,629.15,628.7,631.84,774.9,557,939181,593414973.05,39981,IRCTC
2023-07-03,EQ,635.8,640.05,632,635.1,633.65,633.1,635.48,774.9,557,782176,497057085.85,27760,IRCTC
2023-06-30,EQ,632.25,641.5,630.25,628.8,633.8,635.1,635.4,774.9,557,1309614,832133146.45,36006,IRCTC
2023-06-28,EQ,633,634.5,626.55,630.6,629.4,628.8,630,774.9,557,1192576,751327067.3,34141,IRCTC
2023-06-27,EQ,635.5,636.5,629.15,632.45,631,630.6,632.77,774.9,557,871962,551754326.8,26224,IRCTC
2023-06-26,EQ,625,633.7,621.65,627.8,632.9,632.45,630.29,774.9,557,914109,576149847.6,26061,IRCTC
2023-06-23,EQ,644.9,646,625.6,644.9,627.9,627.8,631.32,774.9,557,1975633,1247247010.05,58906,IRCTC
2023-06-22,EQ,663.45,666.7,641.8,662.35,645,644.9,652.34,774.9,557,1913224,1248080942.35,54949,IRCTC
2023-06-21,EQ,664.05,667.5,659,664.05,661.3,662.35,663.37,774.9,557,1006572,667733971.15,33171,IRCTC
2023-06-20,EQ,668.5,670.9,660.2,667.85,663.1,664.05,664.63,774.9,557,1519178,1009694165.8,37891,IRCTC
2023-06-19,EQ,662,675,660.2,665,667.2,667.85,668.05,774.9,557,4493884,3002135208.05,83569,IRCTC
2023-06-16,EQ,645,670.65,643.2,643,666,665,661.89,774.9,557,5271115,3488918254.8,103859,IRCTC
