DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,769,779.6,766.15,765.2,766.15,769.5,772.95,804.45,503,1192225,921531913,50419,JINDALSTEL
2024-02-15,EQ,763,773.95,755.5,758.15,765.05,765.2,765.93,804.45,503,2095811,1605237457.55,62724,JINDALSTEL
2024-02-14,EQ,720,760.65,720,736.55,760,758.15,745.99,804.45,503,2320373,1730986067.25,61137,JINDALSTEL
2024-02-13,EQ,743,743,708.7,743.5,736.2,736.55,728.57,804.45,503,2298299,1674467086.05,66609,JINDALSTEL
2024-02-12,EQ,761.45,770.9,737.35,761.45,743.9,743.5,753.63,804.45,503,1413841,1065506403.35,46172,JINDALSTEL
2024-02-09,EQ,775.5,776.95,741.85,776.95,762.5,761.45,757.81,804.45,503,1878921,1423872533,53944,JINDALSTEL
2024-02-08,EQ,784.8,795,770.05,780.65,777.7,776.95,780.72,804.45,503,2204316,1720957116.95,59801,JINDALSTEL
2024-02-07,EQ,789.05,804.45,776.6,781.2,780.7,780.65,788.72,804.45,503,3673374,2897272938.7,95828,JINDALSTEL
2024-02-06,EQ,768,784.85,751.1,763.1,784.2,781.2,769.84,784.85,503,2564978,1974630969.65,78270,JINDALSTEL
2024-02-05,EQ,781.9,781.9,758.05,776,760.1,763.1,770.9,782.2,503,3291771,2537632216.45,63699,JINDALSTEL
2024-02-02,EQ,747,782.2,746.2,742.45,775.3,776,766.21,782.2,503,5419790,4152720848.15,117253,JINDALSTEL
2024-02-01,EQ,766.75,769,732.85,757.15,742.95,742.45,746.95,769,503,3539486,2643823896.95,76557,JINDALSTEL
2024-01-31,EQ,748,763.55,747,746.2,755.35,757.15,757.43,767.9,503,1920453,1454611098.45,55472,JINDALSTEL
2024-01-30,EQ,731.05,760.95,731.05,730.75,748,746.2,748.31,767.9,503,3228263,2415753218.25,88015,JINDALSTEL
2024-01-29,EQ,723,733.85,715,716.3,731.1,730.75,726.33,767.9,503,2034288,1477568628.55,48535,JINDALSTEL
2024-01-25,EQ,712.85,719.5,700.35,706.3,718,716.3,708.49,767.9,503,1861827,1319091142.2,51952,JINDALSTEL
2024-01-24,EQ,696.35,711.55,687.8,694.65,707.5,706.3,700.96,767.9,503,2874944,2015224474.25,102415,JINDALSTEL
2024-01-23,EQ,736,738,692,729.75,695.5,694.65,709.88,767.9,503,1346480,955834358.3,46747,JINDALSTEL
2024-01-20,EQ,735,737.95,726.4,729.25,729,729.75,730.88,767.9,503,876767,640808562.85,23630,JINDALSTEL
2024-01-19,EQ,725,733,721.05,719.7,729.45,729.25,727.45,767.9,503,1551868,1128910673.9,39608,JINDALSTEL
