DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1062,1067.55,1030.1,1056.1,1039.9,1039.85,1041.55,1175,530.05,5404201,5628721403.35,135998,LICI
2024-02-15,EQ,1082,1086.9,1049.05,1070.5,1061,1056.1,1070.54,1175,530.05,5013229,5366874130.65,145998,LICI
2024-02-14,EQ,1000,1078.5,990,1011.45,1077,1070.5,1043.33,1175,530.05,9358003,9763463529.45,196006,LICI
2024-02-13,EQ,1029.75,1043.3,979.95,1022.45,1014,1011.45,1005.31,1175,530.05,8474155,8519160279.95,211094,LICI
2024-02-12,EQ,1112.05,1125,1010.1,1080.85,1024,1022.45,1072.28,1175,530.05,11741691,12590329216.1,293276,LICI
2024-02-09,EQ,1152,1175,1067,1105.25,1084,1080.85,1113.74,1175,530.05,21551992,24003279940.3,467265,LICI
2024-02-08,EQ,1073.9,1145,1071,1044.45,1112,1105.25,1109.23,1145,530.05,22872046,25370359197.15,473663,LICI
2024-02-07,EQ,1031.05,1050,1014.1,1025.85,1049.9,1044.45,1035.36,1050,530.05,7354236,7614272911.6,156696,LICI
2024-02-06,EQ,1014.05,1033,990.25,998.85,1022.65,1025.85,1012.97,1033,530.05,7368232,7463810643.9,158065,LICI
2024-02-05,EQ,956.5,1028,955,945.45,995.75,998.85,996.99,1028,530.05,17219410,17167628616.7,332660,LICI
2024-02-02,EQ,942.85,955.15,937,937,948,945.45,948.34,971.9,530.05,4534536,4300279271.2,98848,LICI
2024-02-01,EQ,956.9,964,926,949.75,936.95,937,944.84,971.9,530.05,3463799,3272747857.85,79372,LICI
2024-01-31,EQ,938.15,971.9,936.75,932.9,949.65,949.75,957.35,971.9,530.05,7726332,7396767704.45,153300,LICI
2024-01-30,EQ,922.5,955,917.55,915.6,933,932.9,943.69,955,530.05,9707445,9160848594.5,174113,LICI
2024-01-29,EQ,910,931.9,903.6,903.5,915,915.6,919.05,950.05,530.05,3792964,3485906735.55,89857,LICI
2024-01-25,EQ,915,923.9,899.1,907.2,906.5,903.5,908.93,950.05,530.05,2629355,2389891397.7,71454,LICI
2024-01-24,EQ,878.2,924,866,875.25,916.4,907.2,891.88,950.05,530.05,3503761,3124933284.75,86441,LICI
2024-01-23,EQ,943.95,950.05,869.2,936.85,874,875.25,905.73,950.05,530.05,5296256,4796987845.85,128620,LICI
2024-01-20,EQ,908,948.45,906.2,901.9,942.5,936.85,929.74,948.45,530.05,7489946,6963695300,159875,LICI
2024-01-19,EQ,909,915,898,901.2,901.85,901.9,906.07,918.45,530.05,3328849,3016164061.7,86332,LICI
2024-01-18,EQ,890,907,867.05,887.5,900,901.2,889.82,918.45,530.05,4546830,4045868186.45,98438,LICI
2024-01-17,EQ,882,918.45,874,892.55,888,887.5,900.5,918.45,530.05,9015612,8118519148.9,180779,LICI
2024-01-16,EQ,856,900,850,854.8,893.5,892.55,887.24,900,530.05,12525303,11112972339.15,214638,LICI
2024-01-15,EQ,847,862.4,841.95,829.3,854.9,854.8,853.45,864,530.05,4450802,3798518182.6,90352,LICI
2024-01-12,EQ,830,838,827,834,828,829.3,830.79,864,530.05,1800261,1495647067.15,36170,LICI
2024-01-11,EQ,841,850,831,838.6,833.55,834,838.95,864,530.05,1576154,1322310462.95,35846,LICI
2024-01-10,EQ,835,850.95,835,832.45,837.5,838.6,842.23,864,530.05,2639631,2223174574.9,54820,LICI
2024-01-09,EQ,829.1,837.85,828.5,823.85,835,832.45,832.27,864,530.05,1408365,1172133874.75,27417,LICI
2024-01-08,EQ,845,848.9,819.3,844.4,824,823.85,832.18,864,530.05,2265484,1885293770.85,52550,LICI
2024-01-05,EQ,836.6,860.95,836.6,835.25,845,844.4,849.66,864,530.05,4193233,3562804690.5,72302,LICI
2024-01-04,EQ,837,845.9,833,838.75,835.1,835.25,839.27,864,530.05,2024609,1699202438.5,52745,LICI
2024-01-03,EQ,837.7,853.3,836.1,837.7,838.2,838.75,843.46,864,530.05,3684845,3108019015.65,78469,LICI
2024-01-02,EQ,853.8,856.9,836,858.75,838,837.7,844.6,864,530.05,3672560,3101836402.45,83790,LICI
2024-01-01,EQ,831.5,864,831,832.5,857,858.75,852.36,864,530.05,6424762,5476194472.1,118300,LICI
2023-12-29,EQ,827.55,843.9,822.6,826.9,828.55,832.5,832.88,843.9,530.05,4195993,3494741538.9,76562,LICI
2023-12-28,EQ,822,836.75,806.6,821.4,831,826.9,824.42,836.75,530.05,7403621,6103688351.2,136075,LICI
2023-12-27,EQ,785,825.95,784.05,781.3,819.8,821.4,810.01,825.95,530.05,10656808,8632089450.9,168225,LICI
2023-12-26,EQ,795,798.6,780,792.8,782.05,781.3,786.6,821,530.05,1907597,1500521478.8,43274,LICI
2023-12-22,EQ,807,821,788.85,764.5,792.2,792.8,804.45,821,530.05,10836454,8717390628.4,167722,LICI
2023-12-21,EQ,752.85,768.85,746.3,761.25,766.8,764.5,759.84,820,530.05,2869747,2180554788.3,69406,LICI
2023-12-20,EQ,798,809.5,755.1,794.05,763,761.25,782.82,820,530.05,2897254,2268042705.75,74766,LICI
2023-12-19,EQ,803.25,806.7,792,801.65,794.7,794.05,797.17,820,530.05,1396214,1113016194.4,33461,LICI
2023-12-18,EQ,798,810.9,793.45,796.15,800.5,801.65,802.71,820,530.05,2171792,1743311502.7,48491,LICI
2023-12-15,EQ,816,818.9,792,815.25,794.5,796.15,801.39,820,530.05,2964146,2375432897.65,64479,LICI
2023-12-14,EQ,811,820,807.2,805.05,812.65,815.25,814.68,820,530.05,4007659,3264958327.85,79873,LICI
2023-12-13,EQ,795.5,810.75,795.5,791.75,804.15,805.05,803.66,810.75,530.05,5973611,4800723049.75,94786,LICI
2023-12-12,EQ,770,799,770,770.95,795.25,791.75,788.64,803.4,530.05,5822501,4591885088.1,102004,LICI
2023-12-11,EQ,775,783.65,768,772.45,769.65,770.95,776.23,803.4,530.05,2160731,1677221320.1,45039,LICI
2023-12-08,EQ,790,803.4,770,785.45,772.8,772.45,787.5,803.4,530.05,6927164,5455164853.3,145152,LICI
2023-12-07,EQ,747.9,800,736.9,746,785.15,785.45,780.03,800,530.05,15595341,12164853357.05,236261,LICI
2023-12-06,EQ,719.95,750.8,714,714.05,746,746,741.12,754.25,530.05,9601936,7116169995.35,152267,LICI
2023-12-05,EQ,720,726.9,702.6,719,713.05,714.05,715.12,754.25,530.05,5078973,3632059169.55,103711,LICI
2023-12-04,EQ,680,727.7,680,670.9,717.05,719,707.08,754.25,530.05,13408726,9481077146.75,197291,LICI
2023-12-01,EQ,685,687.4,667.15,679.5,669.5,670.9,678.58,754.25,530.05,1616633,1097017860.2,35774,LICI
2023-11-30,EQ,682,699,677,680.9,678.5,679.5,687.4,754.25,530.05,4305902,2959891250.55,76395,LICI
2023-11-29,EQ,677,692,672.05,674.3,678,680.9,681.7,754.25,530.05,3497491,2384255017.05,65699,LICI
2023-11-28,EQ,681,694.5,671.1,677.65,672.15,674.3,683.21,754.25,530.05,8034353,5489112469.3,136339,LICI
2023-11-24,EQ,620.95,682,620.55,617.7,677.7,677.65,666.1,754.25,530.05,18997036,12654015449.8,271088,LICI
2023-11-23,EQ,609.25,628,608,608.75,624,617.7,614.19,754.25,530.05,736051,452075915.25,16725,LICI
2023-11-22,EQ,611,613.15,607.7,610.9,607.8,608.75,610.08,754.25,530.05,600947,366626749.3,20450,LICI
2023-11-21,EQ,613,615.7,610,612,610.6,610.9,612.51,754.25,530.05,718571,440134451.45,21096,LICI
2023-11-20,EQ,614.65,615.8,609.95,614.65,612.1,612,612.4,754.25,530.05,502409,307673907.3,16457,LICI
2023-11-17,EQ,609.3,618.8,608.75,609.3,613.7,614.65,614.18,754.25,530.05,1177051,722923581.5,33826,LICI
2023-11-16,EQ,607.85,612.9,604.25,606.8,608.6,609.3,608.87,754.25,530.05,1367472,832617512.15,29154,LICI
2023-11-15,EQ,607.2,611,606.1,605.55,607.5,606.8,607.32,754.25,530.05,840602,510515941.45,21014,LICI
2023-11-13,EQ,605,606.5,598.25,607.85,606,605.55,603.23,754.25,530.05,1079051,650920093.3,27407,LICI
2023-11-12,EQ,609.5,610,607,610.25,608,607.85,608.36,754.25,530.05,455277,276973432.85,17056,LICI
2023-11-10,EQ,614.25,619.6,608.1,614.8,609.8,610.25,613.78,754.25,530.05,671906,412402370.9,21482,LICI
2023-11-09,EQ,614,617.2,613.4,613.35,614.25,614.8,615.52,754.25,530.05,393625,242283701.45,11441,LICI
2023-11-08,EQ,612,615.55,611,610.8,613.4,613.35,613.45,754.25,530.05,744275,456579117.5,15449,LICI
2023-11-07,EQ,612,613.9,610.15,611.4,610.4,610.8,611.58,754.25,530.05,453744,277501776.9,14428,LICI
2023-11-06,EQ,609.9,613.9,609.5,608.05,611.2,611.4,611.89,754.25,530.05,580132,354975941.8,21485,LICI
2023-11-03,EQ,608,610.3,607,606.25,607.3,608.05,608.66,754.25,530.05,418848,254934073.75,13755,LICI
2023-11-02,EQ,603.8,609.05,602.3,600,605.8,606.25,605.57,754.25,530.05,741948,449301429.85,26154,LICI
2023-11-01,EQ,603.85,607.85,599,602.25,599.95,600,602.74,754.25,530.05,549716,331335789.3,19861,LICI
2023-10-31,EQ,606.5,609.55,600.2,604.2,602.65,602.25,603.9,754.25,530.05,536471,323973449.55,22028,LICI
2023-10-30,EQ,606.6,609.15,602.65,606.65,604.5,604.2,605.23,754.25,530.05,465617,281806377.4,18661,LICI
2023-10-27,EQ,608,612.75,606.1,605,606.3,606.65,608.87,754.25,530.05,617526,375992028.05,20310,LICI
2023-10-26,EQ,609.85,612.5,597.35,611.05,605.75,605,604.13,754.25,530.05,1084441,655147698.8,33720,LICI
2023-10-25,EQ,620,623.6,608.55,617.45,613.5,611.05,615.66,754.25,530.05,1094888,674078138.35,34960,LICI
2023-10-23,EQ,634.95,636.7,615.15,634.95,616.55,617.45,622.24,754.25,530.05,1105408,687830885.3,34557,LICI
2023-10-20,EQ,634.45,637.8,633.8,634.7,635.5,634.95,635.22,754.25,530.05,654219,415573745.35,15884,LICI
2023-10-19,EQ,634.5,641,632.6,636.6,635.25,634.7,635.73,754.25,530.05,657460,417969104.05,17628,LICI
2023-10-18,EQ,649.2,651,634.5,649.2,635.45,636.6,640.81,754.25,530.05,875559,561068624.7,25111,LICI
2023-10-17,EQ,639.35,651.85,639.25,637.15,648,649.2,647.62,754.25,530.05,1103994,714970567.45,25975,LICI
2023-10-16,EQ,634.65,640.7,634.65,634.65,639.15,637.15,638.33,754.25,530.05,1139234,727205803.55,27229,LICI
2023-10-13,EQ,636,639,634,637.3,634.4,634.65,636.1,754.25,530.05,615655,391616608.45,20793,LICI
2023-10-12,EQ,638,644.2,636.2,637.35,637,637.3,638.6,754.25,530.05,1325826,846675849.2,20535,LICI
2023-10-11,EQ,638.1,642,636.6,635.5,637,637.35,639.4,754.25,530.05,653919,418113077.45,15827,LICI
2023-10-10,EQ,635.35,640.95,634.7,635.3,634.95,635.5,637.53,754.25,530.05,481417,306920115.35,14088,LICI
2023-10-09,EQ,639.2,639.25,630.1,644.35,635,635.3,634.77,754.25,530.05,718556,456117163.95,20792,LICI
2023-10-06,EQ,638.05,646,638.05,637.75,643.35,644.35,644.09,754.25,530.05,626615,403594403.25,19769,LICI
2023-10-05,EQ,639.1,642,636.5,637.45,637.25,637.75,639.29,754.25,530.05,396155,253257343.3,15706,LICI
2023-10-04,EQ,643,644,634.05,645.35,637.7,637.45,639.05,754.25,530.05,694550,443850186.95,21194,LICI
2023-10-03,EQ,648.1,649.55,644.5,649.75,645,645.35,645.68,754.25,530.05,470219,303609705.95,16988,LICI
2023-09-29,EQ,650.3,652.85,646.85,650.3,650.5,649.75,649.15,754.25,530.05,873339,566924152.85,22919,LICI
2023-09-28,EQ,646,652,643.05,644.95,649.6,650.3,648.34,754.25,530.05,923774,598917773.2,24693,LICI
2023-09-27,EQ,645,649.85,644,644.95,645.2,644.95,645.7,754.25,530.05,531459,343162046.55,13163,LICI
2023-09-26,EQ,647.85,649.85,644,646.65,645,644.95,646.64,754.25,530.05,414742,268188276.95,14280,LICI
2023-09-25,EQ,650,653,645.5,651.3,647,646.65,648.76,754.25,530.05,651991,422983759.45,20739,LICI
2023-09-22,EQ,655.95,659.8,649,654.55,652.5,651.3,653.96,754.25,530.05,695541,454854464.75,17493,LICI
2023-09-21,EQ,655.45,659.55,654,655.65,654.45,654.55,656.66,754.25,530.05,652802,428669876.25,19884,LICI
2023-09-20,EQ,660,665.85,653.1,663.7,655.5,655.65,658.55,754.25,530.05,1074642,707710690.9,30053,LICI
2023-09-18,EQ,667.5,671.8,661.7,667.5,663,663.7,667.18,754.25,530.05,732801,488912610.35,21988,LICI
2023-09-15,EQ,662.55,671.3,658.6,660.8,668.4,667.5,664.91,754.25,530.05,1743786,1159461384.75,32664,LICI
2023-09-14,EQ,662.95,666,659.4,659.3,661,660.8,662.04,754.25,530.05,847932,561368212.25,21374,LICI
2023-09-13,EQ,660.05,666.95,654.55,659.65,659,659.3,659.36,754.25,530.05,890096,586890489.8,20876,LICI
2023-09-12,EQ,683.4,683.4,658.45,679.05,659,659.65,665.48,754.25,530.05,1594449,1061071715.35,37444,LICI
2023-09-11,EQ,677.65,684.9,675.95,674.15,679.55,679.05,680.21,754.25,530.05,1592447,1083195286.85,31398,LICI
2023-09-08,EQ,684,684.8,673.2,676.1,674.5,674.15,677.27,754.25,530.05,1578942,1069372952.95,34379,LICI
2023-09-07,EQ,680.2,686.8,674.6,678,676.2,676.1,679.99,754.25,530.05,1684464,1145410972.4,32656,LICI
2023-09-06,EQ,661.85,691,661.15,660,677.5,678,680.88,754.25,530.05,5680338,3867607880.45,86829,LICI
2023-09-05,EQ,660,669.05,659.1,658.6,660.3,660,664.22,754.25,530.05,1878186,1247527659.5,34287,LICI
2023-09-04,EQ,647,664,647,645.75,657.55,658.6,659.17,754.25,530.05,2492988,1643314270.8,41468,LICI
2023-09-01,EQ,645.3,649.4,645.05,645.3,645.6,645.75,646.8,754.25,530.05,793487,513225110.1,20398,LICI
2023-08-31,EQ,651.35,655.45,643.05,651.05,646.85,645.3,650.51,754.25,530.05,710410,462131573.05,21046,LICI
2023-08-30,EQ,654,655.85,650.25,651.9,651,651.05,653.69,754.25,530.05,574588,375601289,20302,LICI
2023-08-29,EQ,655.2,660.5,650.5,655.2,652,651.9,655.3,754.25,530.05,489634,320856889.75,14351,LICI
2023-08-28,EQ,649.75,657.45,649.15,648.35,655,655.2,653.77,754.25,530.05,731456,478202725.8,17477,LICI
2023-08-25,EQ,654,657.8,645,655.5,648.35,648.35,650.2,754.25,530.05,698906,454431198.65,21384,LICI
2023-08-24,EQ,660.65,666.15,654,658.65,655.3,655.5,660.44,754.25,530.05,606670,400671194.15,17463,LICI
2023-08-23,EQ,665.7,667.9,658,663.9,658.8,658.65,661.76,754.25,530.05,813337,538231735.1,21486,LICI
2023-08-22,EQ,653.8,667.05,652.15,652.15,663.25,663.9,662.28,754.25,530.05,1786271,1183015606.75,34360,LICI
2023-08-21,EQ,651.1,655.85,650.5,650.8,653.2,652.15,652.57,754.25,530.05,566994,370001928.05,15385,LICI
2023-08-18,EQ,659.4,661,650,659.65,650.55,650.8,653.99,754.25,530.05,752476,492110034.3,23645,LICI
2023-08-17,EQ,650.45,662,650,649.25,659.05,659.65,658.16,754.25,530.05,1191732,784350829.4,32461,LICI
2023-08-16,EQ,654.5,654.5,648.35,655.8,648.95,649.25,650.89,754.25,530.05,701542,456628043.65,20711,LICI
2023-08-14,EQ,660,661.35,648.05,659.85,654.75,655.8,654.33,754.25,530.05,1215416,795283626.2,28172,LICI
2023-08-11,EQ,666,679,655.1,641.7,660,659.85,664.14,754.25,530.05,5254644,3489845153.05,83162,LICI
2023-08-10,EQ,645.5,649,639.7,643.95,641.6,641.7,644.42,754.25,530.05,634420,408833985.65,19431,LICI
2023-08-09,EQ,645.3,647,641,643.65,643.8,643.95,644.58,754.25,530.05,672748,433637120.9,21673,LICI
2023-08-08,EQ,655.95,659.15,640.55,655.55,643,643.65,646.75,754.25,530.05,1157301,748484321.45,41104,LICI
