DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,5567,5594.95,5495.35,5522.3,5562.9,5580.4,5549.09,6442,4132.2,319063,1770507766.6,37095,LTIM
2024-02-15,EQ,5575.55,5590,5511.05,5505.15,5515,5522.3,5545.9,6442,4132.2,226420,1255702513.8,38407,LTIM
2024-02-14,EQ,5479.95,5517,5404.65,5557.15,5516.75,5505.15,5467.2,6442,4132.2,332342,1816979521.85,40373,LTIM
2024-02-13,EQ,5515.95,5575,5469.2,5516.5,5570,5557.15,5540.04,6442,4132.2,256808,1422726961.3,41517,LTIM
2024-02-12,EQ,5469.95,5548,5464.55,5453.3,5500.05,5516.5,5521.7,6442,4132.2,421078,2325066974.55,42741,LTIM
2024-02-09,EQ,5470,5470,5362,5420.8,5465,5453.3,5423.19,6442,4132.2,196922,1067944451.3,27063,LTIM
2024-02-08,EQ,5455.95,5490,5401.1,5447.9,5422,5420.8,5438.28,6442,4132.2,380430,2068886569.6,62716,LTIM
2024-02-07,EQ,5500,5518.95,5439,5470.3,5445,5447.9,5452.86,6442,4132.2,354265,1931757485.25,37608,LTIM
2024-02-06,EQ,5430.5,5506.85,5391.35,5438.45,5481,5470.3,5444.89,6442,4132.2,836565,4555001436.95,52732,LTIM
2024-02-05,EQ,5540,5540,5425.65,5485.85,5439.35,5438.45,5474.54,6442,4132.2,301000,1647837745.15,37134,LTIM
2024-02-02,EQ,5375.05,5541,5375.05,5364.65,5495,5485.85,5479.69,6442,4132.2,593677,3253163235.6,62765,LTIM
2024-02-01,EQ,5430,5434,5342,5448.55,5384.55,5364.65,5367.72,6442,4132.2,495519,2659805947.8,100464,LTIM
2024-01-31,EQ,5351,5466.45,5310.3,5352.8,5420,5448.55,5398.31,6442,4132.2,536486,2896116632.8,67439,LTIM
2024-01-30,EQ,5495,5524.7,5345.05,5448.35,5360,5352.8,5408.63,6442,4132.2,830778,4493373695.65,86701,LTIM
2024-01-29,EQ,5497,5514.1,5400,5494.65,5452,5448.35,5453.64,6442,4132.2,772171,4211145368.15,78963,LTIM
2024-01-25,EQ,5650,5650,5457.3,5619.55,5497,5494.65,5542.2,6442,4121,911916,5054024605.8,81498,LTIM
2024-01-24,EQ,5650.35,5718.9,5598.05,5638.5,5615,5619.55,5647.91,6442,4121,729576,4120579360.45,61892,LTIM
2024-01-23,EQ,5630,5724,5580,5656.75,5659,5638.5,5639.7,6442,4121,754748,4256554382.35,75696,LTIM
2024-01-20,EQ,5708,5710,5625,5652.15,5658,5656.75,5654.53,6442,4121,222222,1256560352.55,28589,LTIM
2024-01-19,EQ,5689,5697.2,5582,5603,5673,5652.15,5623.74,6442,4121,974885,5482498098.35,95756,LTIM
2024-01-18,EQ,5700,5790,5411.75,6275.6,5602,5603,5600.1,6442,4121,2798324,15670883172.5,271008,LTIM
2024-01-17,EQ,6195,6324,6150,6235.9,6280,6275.6,6261.43,6442,4121,472635,2959371478.9,52972,LTIM
2024-01-16,EQ,6290,6299.95,6193.9,6315.15,6245.95,6235.9,6234.18,6442,4121,255823,1594847131.65,41371,LTIM
2024-01-15,EQ,6343.95,6442,6250.5,6237.05,6305,6315.15,6350.94,6442,4121,653754,4151953938.25,69106,LTIM
2024-01-12,EQ,6025.6,6245,6015,5959.95,6236,6237.05,6175.89,6356,4121,899942,5557942362.85,101351,LTIM
