DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,522.4,526.4,519.85,522,525.1,523.8,522.13,595,462.7,1673623,873852932.55,31325,MARICO
2024-02-15,EQ,527,527.45,518.85,527,522.35,522,521.55,595,462.7,1143167,596219795.75,40526,MARICO
2024-02-14,EQ,515.5,527.9,515.5,525.15,525.05,527,525.64,595,462.7,1311331,689291871.55,21353,MARICO
2024-02-13,EQ,526,528.55,523,525.2,525.8,525.15,525.35,595,462.7,718699,377567310.15,21885,MARICO
2024-02-12,EQ,520.5,526.4,519.8,520.65,524.95,525.2,523.91,595,462.7,529409,277363300.65,24892,MARICO
2024-02-09,EQ,523.95,523.95,516.65,522.4,520.5,520.65,520.07,595,462.7,583337,303373997.95,22368,MARICO
2024-02-08,EQ,525.95,528.8,520.95,524.9,521,522.4,524.45,595,462.7,1062206,557077427.05,36190,MARICO
2024-02-07,EQ,524,527.85,521.85,520.8,525.15,524.9,525.09,595,462.7,964073,506221898.1,48392,MARICO
2024-02-06,EQ,525,527.95,519.2,523.2,524.2,520.8,523.01,595,462.7,971957,508340636.95,28926,MARICO
2024-02-05,EQ,528,534.35,522.45,529.5,523.45,523.2,526.86,595,462.7,760304,400571917.15,26850,MARICO
2024-02-02,EQ,541,541,528.15,536,530.05,529.5,531.96,595,462.7,1577128,838971778.7,32755,MARICO
2024-02-01,EQ,530.95,554.7,529.2,527.85,539.5,536,542.8,595,462.7,4714744,2559180797.1,96259,MARICO
2024-01-31,EQ,526.5,532.55,523.3,523.15,528.8,527.85,527.2,595,462.7,2177564,1148012476.2,51306,MARICO
2024-01-30,EQ,519.95,527.05,515.4,516.6,524.05,523.15,521.27,595,462.7,1822487,950013093.4,45537,MARICO
2024-01-29,EQ,508.6,523.85,508.6,525.1,516,516.6,516.65,595,462.7,2146422,1108959034.75,47845,MARICO
2024-01-25,EQ,529.5,534.4,521.65,529.65,525.55,525.1,526.73,595,462.7,990062,521494213.75,33956,MARICO
2024-01-24,EQ,518.05,532,515.65,520.95,529.45,529.65,527.88,595,462.7,1303355,688008757.6,27928,MARICO
2024-01-23,EQ,524.95,529.9,517,523.8,520.4,520.95,521.02,595,462.7,1757069,915470049.2,46426,MARICO
2024-01-20,EQ,530,530.9,523,530.25,525.5,523.8,525.9,595,462.7,322899,169813447.15,13694,MARICO
2024-01-19,EQ,526.85,532,523.5,524.5,531.6,530.25,527.91,595,462.7,862529,455340708.35,22997,MARICO
2024-01-18,EQ,527.7,529.8,517.85,527.7,524,524.5,523.11,595,462.7,1188131,621520113.95,27306,MARICO
2024-01-17,EQ,530,533,523.3,531.55,527.95,527.7,527.94,595,462.7,909008,479905594.2,29104,MARICO
2024-01-16,EQ,529.95,533.05,526.1,529.95,532.2,531.55,530.66,595,462.7,579717,307630111.65,16603,MARICO
2024-01-15,EQ,535,535,529.15,532.9,530.7,529.95,530.32,595,462.7,598886,317603625.5,18597,MARICO
2024-01-12,EQ,530.1,534,528.55,530.1,532.95,532.9,531.89,595,462.7,649640,345536652.9,21036,MARICO
2024-01-11,EQ,531.3,535.45,528.25,531.3,530,530.1,531.92,595,462.7,503249,267686550.05,14880,MARICO
2024-01-10,EQ,530,534.55,528.25,530.7,531,531.3,531.29,595,462.7,1138901,605088772.6,34094,MARICO
2024-01-09,EQ,525,532.5,525,523.75,530.9,530.7,529.62,595,462.7,783243,414818417.85,20364,MARICO
2024-01-08,EQ,530,536.9,520,546,524.2,523.75,524.16,595,462.7,5126083,2686884999,92999,MARICO
2024-01-05,EQ,555,557.5,545,553.75,545.8,546,550.47,595,462.7,933806,514029249.6,26262,MARICO
2024-01-04,EQ,544.95,556,544,543.55,554.25,553.75,551.63,595,462.7,1325514,731195279.75,28816,MARICO
2024-01-03,EQ,546.7,551.85,540.05,547,544.45,543.55,544.78,595,462.7,1190743,648694270.65,27499,MARICO
