DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1140,1146,1120.9,1144.05,1127.2,1126.4,1131.3,1148.95,730.55,1186754,1342570197.65,50848,MCDOWELL-N
2024-02-15,EQ,1135,1148.95,1128.35,1129.1,1139.55,1144.05,1137.75,1148.95,730.55,1105029,1257248283.5,52346,MCDOWELL-N
2024-02-14,EQ,1113,1132,1104.1,1113.45,1132,1129.1,1124.47,1146,730.55,965064,1085189352.85,43489,MCDOWELL-N
2024-02-13,EQ,1095,1116,1075,1095.45,1112.1,1113.45,1104.16,1146,730.55,1031556,1139003871.05,39453,MCDOWELL-N
2024-02-12,EQ,1111.5,1119.6,1090,1111.5,1093,1095.45,1102.27,1146,730.55,800005,881817528.25,47902,MCDOWELL-N
2024-02-09,EQ,1075.05,1113,1071.05,1081.05,1112,1111.5,1095.4,1146,730.55,1438336,1575555982.4,55369,MCDOWELL-N
2024-02-08,EQ,1087,1090,1076.05,1081.65,1077.7,1081.05,1081.96,1146,730.55,1155336,1250023013.35,35302,MCDOWELL-N
2024-02-07,EQ,1076.5,1085.15,1065.1,1072,1083.45,1081.65,1078.47,1146,730.55,522858,563888474.75,25790,MCDOWELL-N
2024-02-06,EQ,1074,1076.95,1054.7,1062.9,1076.45,1072,1067.56,1146,730.55,778083,830648135.2,53375,MCDOWELL-N
2024-02-05,EQ,1089.9,1093.95,1058.95,1086.05,1061,1062.9,1077.4,1146,730.55,993598,1070498609.8,75440,MCDOWELL-N
2024-02-02,EQ,1090.95,1097.35,1080.6,1080.05,1086.85,1086.05,1087.44,1146,730.55,510352,554975169.45,53148,MCDOWELL-N
2024-02-01,EQ,1090,1096.35,1077.7,1089.75,1082.25,1080.05,1085.48,1146,730.55,548008,594851256.65,49077,MCDOWELL-N
2024-01-31,EQ,1082,1092.2,1074.15,1080.4,1086.4,1089.75,1083.37,1146,730.55,760259,823639481.1,48034,MCDOWELL-N
2024-01-30,EQ,1098.05,1102.55,1078,1093.9,1082,1080.4,1089.57,1146,730.55,795246,866479422,28246,MCDOWELL-N
2024-01-29,EQ,1100,1120.05,1089.55,1096,1095.5,1093.9,1099.58,1146,730.55,786771,865120217.9,39185,MCDOWELL-N
2024-01-25,EQ,1112.85,1112.95,1077.2,1112.2,1098,1096,1092.76,1146,730.55,928881,1015044884.95,61433,MCDOWELL-N
2024-01-24,EQ,1145.05,1146,1092.25,1108.05,1108.3,1112.2,1114.42,1146,730.55,2174641,2423465390.05,96499,MCDOWELL-N
2024-01-23,EQ,1113,1129,1095.1,1108.75,1096.6,1108.05,1112.9,1132,730.55,1288819,1434324973.35,66628,MCDOWELL-N
2024-01-20,EQ,1080,1112,1080,1082.6,1106.45,1108.75,1101.23,1132,730.55,424326,467279139.95,28858,MCDOWELL-N
2024-01-19,EQ,1080,1088.4,1063.85,1069.45,1081.65,1082.6,1074.37,1132,730.55,843847,906605026.9,48537,MCDOWELL-N
2024-01-18,EQ,1087,1092.3,1061.3,1095.45,1071,1069.45,1072.32,1132,730.55,927129,994176507.4,36630,MCDOWELL-N
2024-01-17,EQ,1101,1114.5,1086.35,1110,1095.5,1095.45,1101.38,1132,730.55,647461,713099820.75,43295,MCDOWELL-N
2024-01-16,EQ,1105,1123.6,1101.1,1105.85,1108.8,1110,1108.68,1132,730.55,1509427,1673476073.2,38789,MCDOWELL-N
2024-01-15,EQ,1112.25,1112.9,1085.2,1111.5,1103.05,1105.85,1102.01,1132,730.55,950039,1046952174.65,46153,MCDOWELL-N
2024-01-12,EQ,1119.5,1119.5,1101.35,1117.9,1111.5,1111.5,1108.36,1132,730.55,1306539,1448115719.05,51546,MCDOWELL-N
2024-01-11,EQ,1119,1132,1108.3,1117.35,1116,1117.9,1117.72,1132,730.55,820469,917050587.7,40942,MCDOWELL-N
2024-01-10,EQ,1102.9,1129.9,1095.8,1096.35,1119.75,1117.35,1113.8,1129.9,730.55,1348846,1502338670.45,59766,MCDOWELL-N
2024-01-09,EQ,1097,1110.35,1080.1,1097.8,1096,1096.35,1095.93,1127.15,730.55,922305,1010783461.45,60397,MCDOWELL-N
2024-01-08,EQ,1110.05,1127.15,1095,1101.05,1097.95,1097.8,1108.99,1127.15,730.55,1238667,1373666642.35,54416,MCDOWELL-N
2024-01-05,EQ,1110,1117.35,1093.2,1108.6,1101.75,1101.05,1104.9,1125,730.55,616100,680727076.6,31709,MCDOWELL-N
2024-01-04,EQ,1102,1114.55,1100.6,1098.2,1108.2,1108.6,1108.73,1125,730.55,512069,567747088.95,28394,MCDOWELL-N
2024-01-03,EQ,1097.2,1105.1,1085.05,1093.9,1099,1098.2,1097.68,1125,730.55,444285,487681149.15,32439,MCDOWELL-N
2024-01-02,EQ,1110.9,1113.85,1078.8,1107.2,1090.75,1093.9,1091.23,1125,730.55,686566,749202958.75,39744,MCDOWELL-N
2024-01-01,EQ,1124,1125,1101.85,1117.75,1104,1107.2,1115,1125,730.55,563368,628154707.95,28309,MCDOWELL-N
2023-12-29,EQ,1093.8,1122,1085.4,1093.8,1116,1117.75,1107.49,1122,730.55,1411353,1563054333.85,49779,MCDOWELL-N
