DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,114.4,116.05,113.65,113.25,114.05,114.05,114.56,123.4,61.8,10467958,1199221417.25,40755,MOTHERSON
2024-02-15,EQ,115.7,115.8,112.75,114.05,113.4,113.25,113.72,123.4,61.8,11307945,1285992700.2,47215,MOTHERSON
2024-02-14,EQ,114.65,114.75,112.2,115.45,114.4,114.05,113.45,123.4,61.8,15949086,1809496413.15,64017,MOTHERSON
2024-02-13,EQ,118.4,118.4,109.9,114.4,115.15,115.45,114.58,123.4,61.8,27350662,3133938387.1,129359,MOTHERSON
2024-02-12,EQ,123.05,123.4,109.45,121.25,115,114.4,117.38,123.4,61.8,20068676,2355624840.3,78418,MOTHERSON
2024-02-09,EQ,120.5,122.4,117.2,119.8,121.45,121.25,120.22,123,61.8,13859592,1666269047.2,54292,MOTHERSON
2024-02-08,EQ,122.9,123,119.35,122.3,120,119.8,121,123,61.8,9369556,1133725612.8,49713,MOTHERSON
2024-02-07,EQ,119.65,122.75,116.9,118.75,122.25,122.3,120.47,122.75,61.8,17031435,2051732715.95,75745,MOTHERSON
2024-02-06,EQ,117.4,119.2,116.3,117.05,118.95,118.75,118.19,119.2,61.8,10048027,1187577856.35,58439,MOTHERSON
2024-02-05,EQ,116.8,119.2,115.9,115.85,117.05,117.05,117.53,119.2,61.8,10091989,1186141381.75,55428,MOTHERSON
2024-02-02,EQ,116.05,117.35,115.25,115.2,115.95,115.85,116.22,118,61.8,9365425,1088457533.35,42332,MOTHERSON
2024-02-01,EQ,114.2,116.3,113.65,113.25,115.35,115.2,115.05,118,61.8,17882319,2057441914.85,83056,MOTHERSON
2024-01-31,EQ,114.5,114.75,112.8,114.25,113.55,113.25,113.62,118,61.8,11293426,1283149587.1,54754,MOTHERSON
2024-01-30,EQ,117.3,117.3,113.75,116.4,114.5,114.25,115.49,118,61.8,10530946,1216239012,45265,MOTHERSON
2024-01-29,EQ,116.25,118,114.6,115.4,116.2,116.4,116.48,118,61.8,22486732,2619266062.7,82218,MOTHERSON
2024-01-25,EQ,110.4,116.15,109.65,110,115.25,115.4,113.32,116.15,61.8,44496421,5042522042.3,97428,MOTHERSON
2024-01-24,EQ,106.05,110.55,104.2,106.35,110,110,108.79,111.3,61.8,20934161,2277402850.75,85789,MOTHERSON
2024-01-23,EQ,108.75,109.3,105.35,107.4,105.95,106.35,107.58,111.3,61.8,29696347,3194767631.8,76844,MOTHERSON
2024-01-20,EQ,110.35,110.35,107,109.55,107.5,107.4,108.37,111.3,61.8,7105249,769970443.45,21527,MOTHERSON
2024-01-19,EQ,108.65,110.95,108.35,107.85,109.45,109.55,109.93,111.3,61.8,11999992,1319180603.85,53840,MOTHERSON
2024-01-18,EQ,108,109.65,104.35,108.1,107.9,107.85,107.54,111.3,61.8,16228778,1745217012.8,64235,MOTHERSON
2024-01-17,EQ,107,109.7,106.55,109.35,107.75,108.1,108.38,111.3,61.8,17383298,1883929479.7,62144,MOTHERSON
2024-01-16,EQ,109.65,110.6,107.7,109.65,109.2,109.35,109.37,111.3,61.8,19019888,2080131487.45,57666,MOTHERSON
2024-01-15,EQ,108,110.5,107.2,107.4,109.5,109.65,109.29,111.3,61.8,24152334,2639594377.55,71968,MOTHERSON
2024-01-12,EQ,110.85,110.85,107,109.9,107.45,107.4,108.1,111.3,61.8,24240598,2620426822,74326,MOTHERSON
2024-01-11,EQ,109.7,111.3,109.2,109.15,109.85,109.9,110.44,111.3,61.8,36114155,3988578202.25,92101,MOTHERSON
2024-01-10,EQ,107,110.1,105.4,107.05,109.1,109.15,108.17,110.1,61.8,25515943,2760020123,73014,MOTHERSON
2024-01-09,EQ,106.75,109.2,106.1,105.7,107,107.05,107.98,109.2,61.8,34488808,3724268201.7,187761,MOTHERSON
2024-01-08,EQ,105.55,107.2,103.9,104.05,106,105.7,105.41,108.9,61.8,32024265,3375752788.6,84585,MOTHERSON
2024-01-05,EQ,104.3,106.65,103.05,103.45,104.05,104.05,104.9,108.9,61.8,24161892,2534559220.9,73787,MOTHERSON
