DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1348.05,1378,1345,1343.35,1362,1357,1361.67,1537.35,911.25,705754,961002465.6,38937,MUTHOOTFIN
2024-02-15,EQ,1404,1445.45,1323.3,1379.25,1345.5,1343.35,1372.8,1537.35,911.25,1814089,2490379540.3,86685,MUTHOOTFIN
2024-02-14,EQ,1365,1387.2,1347,1367.4,1383.65,1379.25,1363.23,1537.35,911.25,152372,207718134.25,12262,MUTHOOTFIN
2024-02-13,EQ,1351.25,1371.4,1345.55,1351.2,1365,1367.4,1362.91,1537.35,911.25,446582,608650367.05,45784,MUTHOOTFIN
2024-02-12,EQ,1373,1378.65,1345.85,1377.7,1354,1351.2,1358.23,1537.35,911.25,159890,217167113.25,13026,MUTHOOTFIN
2024-02-09,EQ,1370,1384,1358.25,1359.75,1379,1377.7,1372.61,1537.35,911.25,309793,425224469.75,20149,MUTHOOTFIN
2024-02-08,EQ,1427,1428.8,1357.05,1425.15,1361.15,1359.75,1377.61,1537.35,911.25,553897,763052046.25,38742,MUTHOOTFIN
2024-02-07,EQ,1390.5,1429.5,1390,1390.5,1423.5,1425.15,1415.99,1537.35,911.25,652247,923574832.2,31591,MUTHOOTFIN
2024-02-06,EQ,1367,1392,1352,1364.4,1386,1390.5,1375.99,1537.35,911.25,384002,528381657.35,48838,MUTHOOTFIN
2024-02-05,EQ,1388.35,1388.35,1359.4,1377.45,1361.65,1364.4,1372.67,1537.35,911.25,387501,531909878.4,21205,MUTHOOTFIN
2024-02-02,EQ,1375,1398.3,1360.05,1360.85,1379.9,1377.45,1381.47,1537.35,911.25,488731,675165752.2,24541,MUTHOOTFIN
2024-02-01,EQ,1407,1407,1350.1,1394.95,1360,1360.85,1364.01,1537.35,911.25,493016,672480507.4,32231,MUTHOOTFIN
2024-01-31,EQ,1393,1397.45,1375.35,1389.85,1391.6,1394.95,1388.87,1537.35,911.25,201126,279336925.75,16858,MUTHOOTFIN
2024-01-30,EQ,1404.5,1421.6,1380.3,1393.95,1382.6,1389.85,1397.58,1537.35,911.25,727506,1016747822.1,61852,MUTHOOTFIN
2024-01-29,EQ,1388,1404.45,1384.1,1388.15,1398,1393.95,1395.5,1537.35,911.25,190949,266469962.15,15721,MUTHOOTFIN
2024-01-25,EQ,1403.75,1406.8,1375.7,1403.75,1396,1388.15,1389.41,1537.35,911.25,151135,209988175.2,10391,MUTHOOTFIN
2024-01-24,EQ,1368.6,1406.5,1361.55,1363.95,1403.4,1403.75,1391.49,1537.35,911.25,459690,639655275.8,20450,MUTHOOTFIN
2024-01-23,EQ,1415,1426,1350.35,1411.35,1360.4,1363.95,1377.96,1537.35,911.25,708076,975700802.6,66936,MUTHOOTFIN
2024-01-20,EQ,1446.3,1446.3,1406,1431.1,1408.3,1411.35,1418.91,1537.35,911.25,89960,127645242.9,7816,MUTHOOTFIN
2024-01-19,EQ,1381,1439.15,1381,1380.3,1432,1431.1,1414.95,1537.35,911.25,371635,525845279.25,32291,MUTHOOTFIN
2024-01-18,EQ,1411.7,1420.55,1372.65,1417,1378,1380.3,1387.48,1537.35,911.25,542033,752058426.95,29256,MUTHOOTFIN
2024-01-17,EQ,1425,1437.8,1412.95,1437,1418,1417,1424.33,1537.35,911.25,149763,213312088.5,13429,MUTHOOTFIN
2024-01-16,EQ,1454.95,1459,1429.85,1452.8,1436.95,1437,1440.31,1537.35,911.25,275059,396169339.9,30612,MUTHOOTFIN
2024-01-15,EQ,1480,1491,1449.95,1474.2,1450.85,1452.8,1463.57,1537.35,911.25,327345,479091872.65,18212,MUTHOOTFIN
2024-01-12,EQ,1492.9,1493.35,1464,1489.35,1473,1474.2,1475.29,1537.35,911.25,143263,211353858.8,11820,MUTHOOTFIN
2024-01-11,EQ,1475.35,1506,1475.15,1475.35,1486,1489.35,1493.31,1537.35,911.25,213714,319141161.55,14705,MUTHOOTFIN
2024-01-10,EQ,1474.95,1487,1452.55,1480.45,1470,1475.35,1467.33,1537.35,911.25,252839,370997935.4,21138,MUTHOOTFIN
2024-01-09,EQ,1490.35,1512.05,1470,1489.1,1471.4,1480.45,1488.07,1537.35,911.25,249633,371471924.05,32248,MUTHOOTFIN
2024-01-08,EQ,1504.15,1504.15,1466.55,1499.5,1485,1489.1,1486.46,1537.35,911.25,179830,267309667.15,20060,MUTHOOTFIN
2024-01-05,EQ,1523.8,1537.35,1492.5,1517.8,1499.95,1499.5,1513.36,1537.35,911.25,336177,508757700.55,25158,MUTHOOTFIN
2024-01-04,EQ,1480,1528.6,1460.1,1475.85,1518.7,1517.8,1511.55,1528.6,911.25,782324,1182524776.45,46791,MUTHOOTFIN
2024-01-03,EQ,1459.85,1493.35,1452.6,1454.7,1476.9,1475.85,1473.1,1507.95,911.25,798316,1175998828.4,37474,MUTHOOTFIN
2024-01-02,EQ,1460,1472.55,1440.6,1466,1458,1454.7,1454.49,1507.95,911.25,385614,560871784.85,40260,MUTHOOTFIN
2024-01-01,EQ,1484.9,1489.6,1460.6,1476.3,1462.05,1466,1470.25,1507.95,911.25,373747,549502531.55,9547,MUTHOOTFIN
2023-12-29,EQ,1492,1500,1468.45,1492,1470,1476.3,1477.5,1507.95,911.25,199370,294568662.7,13188,MUTHOOTFIN
2023-12-28,EQ,1481.4,1501.5,1478.05,1477.2,1490,1492,1491.2,1507.95,911.25,457822,682706287.25,30700,MUTHOOTFIN
2023-12-27,EQ,1455.85,1480,1453.9,1450.8,1480,1477.2,1469.07,1507.95,911.25,181211,266211458.25,13948,MUTHOOTFIN
2023-12-26,EQ,1470,1484.95,1445.7,1475.1,1453.6,1450.8,1460.28,1507.95,911.25,283178,413518531.7,30715,MUTHOOTFIN
2023-12-22,EQ,1457,1479,1455,1453.7,1472.4,1475.1,1468.94,1507.95,911.25,117221,172190702.75,10506,MUTHOOTFIN
2023-12-21,EQ,1425,1458.4,1420,1443.3,1457,1453.7,1444.22,1507.95,911.25,227365,328364380.95,14714,MUTHOOTFIN
2023-12-20,EQ,1490,1500.95,1426.1,1485.7,1445.9,1443.3,1470.19,1507.95,911.25,348870,512903756.55,24601,MUTHOOTFIN
2023-12-19,EQ,1478.6,1492.95,1475.05,1478.6,1491.6,1485.7,1485.83,1507.95,911.25,234878,348988586.65,23109,MUTHOOTFIN
2023-12-18,EQ,1487,1492.75,1474,1488,1475.1,1478.6,1483.59,1507.95,911.25,184684,273994608.1,15643,MUTHOOTFIN
2023-12-15,EQ,1488.05,1497.9,1481,1481,1490.7,1488,1488.21,1507.95,911.25,345092,513569065.45,19938,MUTHOOTFIN
2023-12-14,EQ,1473,1507.95,1466.1,1467.1,1487,1481,1486.02,1507.95,911.25,690315,1025820076.3,40704,MUTHOOTFIN
2023-12-13,EQ,1461.5,1471,1438.3,1453.5,1464.9,1467.1,1457.24,1506.5,911.25,509346,742241145.2,32350,MUTHOOTFIN
2023-12-12,EQ,1445,1469.2,1445,1445,1455,1453.5,1455.63,1506.5,911.25,460685,670586134.7,43940,MUTHOOTFIN
2023-12-11,EQ,1440.65,1449.35,1429,1440.65,1445,1445,1443,1506.5,911.25,630927,910430612.9,20498,MUTHOOTFIN
2023-12-08,EQ,1460,1462,1422.35,1450.55,1441,1440.65,1438.42,1506.5,911.25,274606,394997636.8,18958,MUTHOOTFIN
2023-12-07,EQ,1442.9,1462.2,1435.8,1432.2,1450,1450.55,1451.51,1506.5,911.25,353373,512923882.2,23863,MUTHOOTFIN
2023-12-06,EQ,1434.15,1445,1422.05,1434.1,1439,1432.2,1431,1506.5,911.25,416187,595563535.15,24395,MUTHOOTFIN
2023-12-05,EQ,1458.1,1464.85,1426.8,1464.85,1435,1434.1,1438.4,1506.5,911.25,535244,769896969.15,57864,MUTHOOTFIN
2023-12-04,EQ,1470,1474,1450.75,1450.75,1464.15,1464.85,1463.04,1506.5,911.25,605154,885363914.25,34196,MUTHOOTFIN
2023-12-01,EQ,1488,1488,1446,1481.9,1446,1450.75,1459.88,1506.5,911.25,1186611,1732312678.5,49548,MUTHOOTFIN
2023-11-30,EQ,1418.35,1506.5,1408.35,1415.85,1471.4,1481.9,1449.49,1506.5,911.25,1961530,2843216655.7,70836,MUTHOOTFIN
2023-11-29,EQ,1356.2,1421.4,1351.2,1342.75,1416.45,1415.85,1395.06,1421.4,911.25,1630251,2274298445.45,70731,MUTHOOTFIN
2023-11-28,EQ,1329.95,1345,1324.35,1324.95,1344,1342.75,1334.79,1379.95,911.25,428007,571300871.65,35306,MUTHOOTFIN
2023-11-24,EQ,1335,1340.3,1321,1331.8,1323,1324.95,1331.5,1379.95,911.25,503470,670371468.05,25193,MUTHOOTFIN
2023-11-23,EQ,1335,1354.2,1326,1335.75,1330.45,1331.8,1338.74,1379.95,911.25,260377,348577125.15,16283,MUTHOOTFIN
2023-11-22,EQ,1329.35,1346.3,1322.65,1329.35,1338,1335.75,1336.28,1379.95,911.25,221435,295898480.45,13032,MUTHOOTFIN
2023-11-21,EQ,1326.85,1338,1318.15,1326.85,1328,1329.35,1330.38,1379.95,911.25,352940,469546047.6,39354,MUTHOOTFIN
2023-11-20,EQ,1340.55,1364.5,1322.2,1339.35,1324,1326.85,1345.43,1379.95,911.25,431361,580364755.9,29007,MUTHOOTFIN
2023-11-17,EQ,1325,1361.8,1291.5,1325.85,1341,1339.35,1343.41,1379.95,911.25,475143,638310508.3,29689,MUTHOOTFIN
2023-11-16,EQ,1309.7,1334.95,1301.3,1305.1,1324.9,1325.85,1323.75,1379.95,911.25,402212,532429393.35,23433,MUTHOOTFIN
2023-11-15,EQ,1301.05,1317.25,1290,1290.4,1305,1305.1,1304.72,1379.95,911.25,479683,625852921.6,42057,MUTHOOTFIN
2023-11-13,EQ,1278,1292.95,1266.05,1284.65,1291.8,1290.4,1284.91,1379.95,911.25,414961,533187346.1,36789,MUTHOOTFIN
2023-11-12,EQ,1289.95,1295,1260,1273.25,1275.8,1284.65,1281.76,1379.95,911.25,90629,116164268.4,4324,MUTHOOTFIN
2023-11-10,EQ,1240,1278,1216,1313.25,1270.7,1273.25,1249.4,1379.95,911.25,2873040,3589577739.55,95412,MUTHOOTFIN
2023-11-09,EQ,1323,1337.7,1305.75,1323.05,1309,1313.25,1319.37,1379.95,911.25,284805,375763405.7,17943,MUTHOOTFIN
2023-11-08,EQ,1337.8,1342.2,1316.25,1336.35,1325,1323.05,1324.82,1379.95,911.25,175059,231921641.8,14465,MUTHOOTFIN
2023-11-07,EQ,1338.65,1345,1318,1331.9,1333.8,1336.35,1330.22,1379.95,911.25,298547,397134221.45,48777,MUTHOOTFIN
2023-11-06,EQ,1327.6,1344.5,1325.85,1326.2,1328.8,1331.9,1334.48,1379.95,911.25,197328,263330051.55,16846,MUTHOOTFIN
2023-11-03,EQ,1316.15,1331,1314.9,1312.85,1324,1326.2,1324.93,1379.95,911.25,200014,265004944.4,12267,MUTHOOTFIN
2023-11-02,EQ,1304.5,1321.95,1300.65,1300.6,1310,1312.85,1314.41,1379.95,911.25,204314,268552661,14967,MUTHOOTFIN
2023-11-01,EQ,1305.5,1305.5,1287.35,1298.7,1295,1300.6,1297.83,1379.95,911.25,196065,254459934.05,14400,MUTHOOTFIN
2023-10-31,EQ,1337,1339.35,1285.5,1326.95,1307,1298.7,1305.56,1379.95,911.25,660662,862531269.85,47820,MUTHOOTFIN
2023-10-30,EQ,1298.05,1333.95,1284.3,1290.65,1330.5,1326.95,1313.67,1379.95,911.25,544198,714899035,25102,MUTHOOTFIN
2023-10-27,EQ,1266,1298,1263.4,1262.9,1289,1290.65,1288.83,1379.95,911.25,303443,391086046.8,17456,MUTHOOTFIN
2023-10-26,EQ,1280.65,1280.65,1249.15,1280.65,1269,1262.9,1263.23,1379.95,911.25,1224518,1546851235.8,41171,MUTHOOTFIN
2023-10-25,EQ,1280,1306.55,1266.25,1280.3,1280,1280.65,1289.12,1379.95,911.25,460800,594027133.65,36340,MUTHOOTFIN
2023-10-23,EQ,1272,1308.35,1272,1271.6,1276,1280.3,1291.9,1379.95,911.25,1117037,1443100469.75,57734,MUTHOOTFIN
2023-10-20,EQ,1251.45,1288.5,1251.45,1251.45,1271.95,1271.6,1274.4,1379.95,911.25,842129,1073207005.25,38878,MUTHOOTFIN
2023-10-19,EQ,1246,1255,1238,1250.75,1253,1251.45,1248.98,1379.95,911.25,226176,282489756.9,16557,MUTHOOTFIN
2023-10-18,EQ,1247.2,1256.8,1242.1,1251.7,1250,1250.75,1251.53,1379.95,911.25,199928,250216210,12750,MUTHOOTFIN
2023-10-17,EQ,1254,1254,1239.05,1245.05,1247.75,1251.7,1246.88,1379.95,911.25,166661,207806572.4,17271,MUTHOOTFIN
2023-10-16,EQ,1235,1250.8,1228.85,1233.6,1240.45,1245.05,1239.27,1379.95,911.25,337108,417769345.6,17552,MUTHOOTFIN
2023-10-13,EQ,1225,1240.35,1225,1236.45,1230.25,1233.6,1234.46,1379.95,911.25,124617,153834698.4,13000,MUTHOOTFIN
2023-10-12,EQ,1236.15,1248.95,1232.9,1236.15,1233,1236.45,1238.45,1379.95,911.25,179195,221924030.85,7823,MUTHOOTFIN
2023-10-11,EQ,1229,1246.35,1225.15,1218.05,1234.3,1236.15,1236.67,1379.95,911.25,720110,890537064.1,23916,MUTHOOTFIN
2023-10-10,EQ,1200,1230,1192,1190.1,1219,1218.05,1213,1379.95,911.25,1011311,1226724096.75,45306,MUTHOOTFIN
2023-10-09,EQ,1199.95,1201.4,1182.35,1203.1,1190.5,1190.1,1192.62,1379.95,911.25,660947,788258421.5,24810,MUTHOOTFIN
2023-10-06,EQ,1208,1211.95,1188.65,1198.85,1200,1203.1,1199.38,1379.95,911.25,1348815,1617739874.35,54940,MUTHOOTFIN
2023-10-05,EQ,1222.15,1230.9,1190,1215.85,1200.9,1198.85,1200.46,1379.95,911.25,779667,935958477.9,34108,MUTHOOTFIN
2023-10-04,EQ,1235.15,1235.15,1210.1,1235.15,1217.65,1215.85,1218.61,1379.95,911.25,260664,317647926.65,16338,MUTHOOTFIN
2023-10-03,EQ,1252,1254.95,1232.05,1252,1237,1235.15,1237.99,1379.95,911.25,318752,394612307.4,31014,MUTHOOTFIN
2023-09-29,EQ,1214.75,1257.75,1214.75,1214.75,1253,1252,1246.26,1379.95,911.25,336534,419409474.7,22482,MUTHOOTFIN
2023-09-28,EQ,1264.95,1264.95,1206.35,1259.45,1212,1214.75,1233.28,1379.95,911.25,778316,959880679.8,30212,MUTHOOTFIN
2023-09-27,EQ,1242,1264.95,1227,1236.8,1254.05,1259.45,1248.84,1379.95,911.25,495402,618675908.75,19926,MUTHOOTFIN
2023-09-26,EQ,1257.1,1265.4,1232.1,1261.25,1244,1236.8,1246.6,1379.95,911.25,493170,614785181.35,27657,MUTHOOTFIN
2023-09-25,EQ,1270.15,1272.6,1254.8,1270.2,1257.55,1261.25,1261.96,1379.95,911.25,171606,216559659.3,16601,MUTHOOTFIN
2023-09-22,EQ,1278.45,1288,1263.9,1278.5,1265,1270.2,1274.62,1379.95,911.25,105170,134051534.25,8544,MUTHOOTFIN
2023-09-21,EQ,1300,1302.7,1274.85,1300.05,1280,1278.5,1287.78,1379.95,911.25,154384,198812677.3,9836,MUTHOOTFIN
2023-09-20,EQ,1329,1329.85,1293.15,1331,1302.3,1300.05,1309.11,1379.95,911.25,196736,257548837.05,11460,MUTHOOTFIN
2023-09-18,EQ,1328.95,1339,1314.65,1325.55,1329,1331,1329.84,1379.95,911.25,545406,725304714.5,29617,MUTHOOTFIN
2023-09-15,EQ,1293.75,1336,1288.05,1290.5,1321.1,1325.55,1318.73,1379.95,911.25,538984,710773037.8,26629,MUTHOOTFIN
2023-09-14,EQ,1280.1,1300,1278.65,1281.15,1290.5,1290.5,1291.08,1379.95,911.25,154086,198938072.3,15189,MUTHOOTFIN
2023-09-13,EQ,1269,1285.7,1260.1,1271.6,1280.05,1281.15,1275.45,1379.95,911.25,162656,207459699.45,10263,MUTHOOTFIN
2023-09-12,EQ,1298.05,1310,1263.75,1296.55,1267,1271.6,1280.94,1379.95,911.25,327724,419793247.15,26444,MUTHOOTFIN
