DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,16485.45,16579.95,16343.5,16485.45,16492.4,16464.45,16442.26,19250,13140.1,2810,46202740.65,1603,PGHH
2024-02-15,EQ,16699.85,16699.85,16430,16605.65,16440,16485.45,16550.59,19250,13140.1,1704,28202212,1134,PGHH
2024-02-14,EQ,16388,16680.05,16364.8,16395.5,16602,16605.65,16511.78,19250,13140.1,2423,40008050.15,1294,PGHH
2024-02-13,EQ,16387.2,16443.95,16290.35,16387.2,16400,16395.5,16394.17,19250,13140.1,4343,71199899.75,1578,PGHH
2024-02-12,EQ,16554,16615.95,16301.25,16552.45,16301.25,16387.2,16421.42,19250,13140.1,2916,47884846.55,1634,PGHH
2024-02-09,EQ,16580,16774.9,16299,16581.7,16531.25,16552.45,16495.83,19250,13140.1,3920,64663639.3,2470,PGHH
2024-02-08,EQ,16763.05,16802.1,16556.05,16714.1,16570,16581.7,16673.89,19250,13140.1,17229,287274486.8,2907,PGHH
2024-02-07,EQ,16889.95,16889.95,16530,16754.25,16790,16714.1,16651.92,19250,13140.1,8917,148485128.55,3682,PGHH
2024-02-06,EQ,16823.25,16900,16612.1,16739.25,16700.05,16754.25,16708.86,19250,13140.1,4844,80937698.05,2223,PGHH
2024-02-05,EQ,16900,16993.65,16722.4,16896.7,16728,16739.25,16825.99,19250,13140.1,5148,86620208.65,2753,PGHH
2024-02-02,EQ,17124,17181,16830.3,17024.35,16879.9,16896.7,16966.77,19250,13140.1,6950,117919082.4,3774,PGHH
2024-02-01,EQ,17262,17298,17002,17245.15,17015,17024.35,17088.18,19250,13140.1,2993,51144937.5,1798,PGHH
2024-01-31,EQ,17148,17300,17062.6,17148.4,17198,17245.15,17232.84,19250,13140.1,26730,460633850.25,2761,PGHH
2024-01-30,EQ,17266.95,17266.95,17055,17266.95,17169,17148.4,17146.33,19250,13140.1,3528,60492269.5,1698,PGHH
2024-01-29,EQ,17169,17317,17052.55,17083.5,17279,17266.95,17190.14,19250,13140.1,2747,47221318.3,1288,PGHH
2024-01-25,EQ,17260,17260.05,17040,17265.8,17109,17083.5,17120.77,19250,13140.1,2350,40233821.05,1031,PGHH
2024-01-24,EQ,17048,17280.4,17001.1,17048.15,17280.4,17265.8,17189.92,19250,13140.1,3377,58050365,1825,PGHH
2024-01-23,EQ,17350,17361.1,17003.1,17274.7,17003.1,17048.15,17085.11,19250,13140.1,2706,46232315.7,1528,PGHH
2024-01-20,EQ,17374.4,17374.4,17200,17287.9,17299,17274.7,17269.67,19250,13140.1,742,12814098,391,PGHH
2024-01-19,EQ,17310.4,17420.05,17177.75,17310.4,17300,17287.9,17290.34,19250,13140.1,1948,33681591.05,1152,PGHH
2024-01-18,EQ,17240,17335.85,17076.9,17246.9,17240,17310.4,17238.17,19250,13140.1,2231,38458356.85,1280,PGHH
2024-01-17,EQ,17256,17329.95,17118,17225.75,17200,17246.9,17215.23,19250,13140.1,2957,50905422.1,1307,PGHH
2024-01-16,EQ,17330,17432.9,17115,17268.8,17145.65,17225.75,17261.91,19250,13140.1,2434,42015489.65,1616,PGHH
2024-01-15,EQ,17269.85,17335,17200,17213.25,17283.5,17268.8,17250.77,19250,13140.1,79274,1367537313.55,1963,PGHH
2024-01-12,EQ,17160.65,17250,17110.15,17177.9,17220.05,17213.25,17206.41,19250,13140.1,1947,33500875.45,949,PGHH
