DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,2653.5,2714.95,2653.5,2653.55,2711.6,2711.1,2698.41,2805,2250.05,578979,1562323229.45,40840,PIDILITIND
2024-02-15,EQ,2663.2,2682,2642,2663.2,2650,2653.55,2662.36,2805,2250.05,379711,1010925898,31067,PIDILITIND
2024-02-14,EQ,2660,2679.45,2640.85,2671.3,2664,2663.2,2661.69,2805,2250.05,327593,871952093.6,23140,PIDILITIND
2024-02-13,EQ,2670,2686.9,2650,2670.3,2660.1,2671.3,2669.63,2805,2250.05,182580,487420647.85,18709,PIDILITIND
2024-02-12,EQ,2664.85,2683.8,2650,2657.95,2662.65,2670.3,2669.19,2805,2250.05,364618,973235317.9,23351,PIDILITIND
2024-02-09,EQ,2623,2667,2610.1,2622.5,2656,2657.95,2642.79,2805,2250.05,277561,733534623.8,21518,PIDILITIND
2024-02-08,EQ,2685.1,2724.05,2604,2695.85,2627.25,2622.5,2638.9,2805,2250.05,316600,835477306.35,29646,PIDILITIND
2024-02-07,EQ,2648,2724,2634.05,2614.45,2700,2695.85,2676.29,2805,2250.05,1061071,2839738754.9,54164,PIDILITIND
2024-02-06,EQ,2560,2619,2554.3,2554.2,2616.2,2614.45,2600.28,2805,2250.05,816702,2123650937.8,41018,PIDILITIND
2024-02-05,EQ,2515.4,2566,2511.15,2515.35,2556.65,2554.2,2535.69,2805,2250.05,2227669,5648687156.8,48442,PIDILITIND
2024-02-02,EQ,2527.95,2541.3,2503.25,2510.45,2514,2515.35,2521.71,2805,2250.05,403229,1016826980.95,36790,PIDILITIND
2024-02-01,EQ,2541.95,2554,2506.05,2533.05,2510,2510.45,2528.77,2805,2250.05,356002,900246898.95,38920,PIDILITIND
2024-01-31,EQ,2571.05,2583.15,2520,2567.7,2534,2533.05,2531.8,2805,2250.05,3417736,8653018999.3,59342,PIDILITIND
2024-01-30,EQ,2569.3,2618.75,2556,2569.3,2570,2567.7,2589.29,2805,2250.05,1167215,3022260320.7,29299,PIDILITIND
2024-01-29,EQ,2585,2609.25,2555.25,2590.15,2569,2569.3,2573.37,2805,2250.05,1016146,2614915950.4,37265,PIDILITIND
2024-01-25,EQ,2608,2610,2568.95,2592.05,2590,2590.15,2590.51,2805,2250.05,757628,1962645947.85,35137,PIDILITIND
2024-01-24,EQ,2630,2660.15,2530,2522.6,2590,2592.05,2605.7,2805,2250.05,2141269,5579501556.65,79494,PIDILITIND
2024-01-23,EQ,2674.9,2690.95,2488.1,2677.5,2534.05,2522.6,2577.92,2805,2250.05,1269276,3272094112.35,81265,PIDILITIND
2024-01-20,EQ,2685,2710.4,2675,2687.7,2676,2677.5,2690.42,2805,2250.05,81777,220014514.95,9261,PIDILITIND
2024-01-19,EQ,2705.5,2711.95,2677.1,2698.4,2692,2687.7,2688.23,2805,2250.05,627943,1688057865.5,27085,PIDILITIND
2024-01-18,EQ,2742,2750.25,2675,2757.75,2695.2,2698.4,2700.17,2805,2250.05,468132,1264034947.85,31245,PIDILITIND
2024-01-17,EQ,2789,2789,2720.8,2795.55,2764,2757.75,2742.23,2805,2250.05,761187,2087346578.2,46561,PIDILITIND
2024-01-16,EQ,2751.1,2805,2730,2754.25,2795.75,2795.55,2778.45,2805,2250.05,415738,1155107634.2,34312,PIDILITIND
2024-01-15,EQ,2725,2773.55,2717,2735.1,2757.75,2754.25,2740,2792,2250.05,719264,1970781624.3,25638,PIDILITIND
2024-01-12,EQ,2744.15,2755,2710.05,2740.55,2729.25,2735.1,2734.95,2792,2250.05,185626,507677815.1,21290,PIDILITIND
2024-01-11,EQ,2705,2744.5,2698.2,2709.3,2742,2740.55,2724.2,2792,2250.05,232373,633031179.8,23023,PIDILITIND
2024-01-10,EQ,2712,2731,2697.05,2724.1,2704,2709.3,2714.06,2792,2250.05,274833,745914273.3,33545,PIDILITIND
2024-01-09,EQ,2734.75,2740.95,2711.7,2714.65,2728.85,2724.1,2724.86,2792,2250.05,273223,744494698.55,24369,PIDILITIND
2024-01-08,EQ,2738.95,2738.95,2692.6,2722.6,2720,2714.65,2713.56,2792,2250.05,268950,729811240.45,21616,PIDILITIND
2024-01-05,EQ,2765.55,2769.05,2714.4,2769.05,2720,2722.6,2736.77,2792,2250.05,377109,1032062297.9,30816,PIDILITIND
2024-01-04,EQ,2778,2790.3,2750.3,2772.25,2774,2769.05,2767.61,2792,2250.05,300002,830288681.05,34051,PIDILITIND
2024-01-03,EQ,2749,2792,2728.05,2737.7,2774,2772.25,2766.89,2792,2250.05,347830,962406515.5,36289,PIDILITIND
2024-01-02,EQ,2695,2749,2661.5,2697.5,2728,2737.7,2711.61,2753.6,2250.05,267832,726255191.3,26493,PIDILITIND
2024-01-01,EQ,2737.1,2737.1,2693.45,2715.1,2699,2697.5,2705.64,2753.6,2250.05,130958,354325826.2,20689,PIDILITIND
2023-12-29,EQ,2710,2753.6,2678.55,2708.3,2710.05,2715.1,2720.8,2753.6,2250.05,691045,1880197589.7,48154,PIDILITIND
2023-12-28,EQ,2719.9,2723.45,2696.05,2699.1,2714.95,2708.3,2708.92,2735,2250.05,409640,1109681709,37280,PIDILITIND
2023-12-27,EQ,2673,2717.05,2667.95,2667.95,2700,2699.1,2696.37,2735,2250.05,487539,1314585933.45,35384,PIDILITIND
2023-12-26,EQ,2645,2680,2636,2643.45,2671,2667.95,2661.05,2735,2250.05,213484,568092111.1,19400,PIDILITIND
2023-12-22,EQ,2616.15,2649.85,2612.15,2616.1,2635.65,2643.45,2638.35,2735,2250.05,237427,626416275.65,19507,PIDILITIND
2023-12-21,EQ,2565.1,2622,2547.85,2584.2,2611.95,2616.1,2599.54,2735,2250.05,201946,524967244.9,19197,PIDILITIND
2023-12-20,EQ,2662,2671,2568.85,2648.75,2580,2584.2,2646.16,2735,2250.05,597865,1582044355.1,30763,PIDILITIND
2023-12-19,EQ,2647.5,2661,2618.9,2647.5,2652,2648.75,2641.37,2735,2250.05,389801,1029608583.6,24933,PIDILITIND
