DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,3575,3662.55,3575,3567.6,3650,3645.3,3636.8,4011.15,2868.9,904620,3289925865.95,64990,PIIND
2024-02-15,EQ,3440.55,3610,3440.55,3418.15,3580.5,3567.6,3547.56,4011.15,2868.9,1141777,4050518285,107158,PIIND
2024-02-14,EQ,3418.05,3456.95,3378.65,3423.35,3418.55,3418.15,3418.15,4011.15,2868.9,504758,1725336481.05,32648,PIIND
2024-02-13,EQ,3439.95,3470.95,3364.05,3403.45,3415,3423.35,3420.96,4011.15,2868.9,861084,2945733041.8,56989,PIIND
2024-02-12,EQ,3499,3499,3369.4,3484.35,3391,3403.45,3417.43,4011.15,2868.9,769165,2628567660.35,64812,PIIND
2024-02-09,EQ,3469.45,3510,3426,3455.75,3487.05,3484.35,3467.74,4011.15,2868.9,737224,2556499581.15,54702,PIIND
2024-02-08,EQ,3343,3474.95,3342.8,3329.65,3465,3455.75,3442.04,4011.15,2868.9,871825,3000859955.9,59760,PIIND
2024-02-07,EQ,3335,3357.25,3291,3314.45,3325,3329.65,3332.6,4011.15,2868.9,267012,889844232.5,17615,PIIND
2024-02-06,EQ,3283.05,3337.9,3264,3281.95,3320,3314.45,3309.59,4011.15,2868.9,264320,874791618.45,20151,PIIND
2024-02-05,EQ,3366,3389.85,3264,3376.25,3275,3281.95,3325.15,4011.15,2868.9,408128,1357086781.7,29490,PIIND
2024-02-02,EQ,3446,3446,3368.25,3411.15,3374.3,3376.25,3402.7,4011.15,2868.9,174194,592730613.35,17903,PIIND
2024-02-01,EQ,3372.65,3417.2,3353.05,3372.65,3412,3411.15,3391.64,4011.15,2868.9,287023,973478054.45,17322,PIIND
2024-01-31,EQ,3265.8,3390,3254.55,3265.8,3376.1,3372.65,3350.45,4011.15,2868.9,291997,978321355.75,21588,PIIND
2024-01-30,EQ,3291.05,3318.6,3260.8,3293.15,3269,3265.8,3279.91,4011.15,2868.9,205904,675347524.85,15800,PIIND
2024-01-29,EQ,3252,3308.8,3248,3241.95,3300,3293.15,3273.2,4011.15,2868.9,218314,714584444.25,16765,PIIND
2024-01-25,EQ,3278,3300,3220,3282.7,3249.8,3241.95,3251.72,4011.15,2868.9,241567,785508526.65,27888,PIIND
2024-01-24,EQ,3297,3316.95,3258.85,3278.9,3281.65,3282.7,3285.41,4011.15,2868.9,192710,633130591.85,23279,PIIND
2024-01-23,EQ,3382.4,3395.7,3251.8,3382.4,3280,3278.9,3299.56,4011.15,2868.9,469762,1550006624.9,37125,PIIND
2024-01-20,EQ,3426,3428.55,3380,3405.4,3385,3382.4,3390.85,4011.15,2868.9,117042,396871805.65,7191,PIIND
2024-01-19,EQ,3377.9,3432,3366,3356.3,3398,3405.4,3410.41,4011.15,2868.9,212327,724121401.5,18271,PIIND
2024-01-18,EQ,3413,3420,3330.3,3420.9,3358,3356.3,3375,4011.15,2868.9,458137,1546214331.9,35489,PIIND
2024-01-17,EQ,3469,3469,3401.35,3481.15,3413,3420.9,3442.66,4011.15,2868.9,274487,944964517.65,28721,PIIND
2024-01-16,EQ,3463,3486.3,3448.1,3461.7,3483,3481.15,3468.96,4011.15,2868.9,330164,1145325561.55,22118,PIIND
2024-01-15,EQ,3490,3490,3427.8,3451.3,3465,3461.7,3456.41,4011.15,2868.9,286426,990006832,24451,PIIND
2024-01-12,EQ,3508.4,3508.5,3432,3485.55,3446.2,3451.3,3459.9,4011.15,2868.9,308832,1068528552.45,20850,PIIND
2024-01-11,EQ,3459.4,3507,3446,3459.4,3482,3485.55,3492.44,4011.15,2868.9,310541,1084546600.25,21490,PIIND
2024-01-10,EQ,3440,3470.4,3417,3440.95,3451,3459.4,3447.45,4011.15,2868.9,177985,613594906.5,25821,PIIND
2024-01-09,EQ,3459.75,3459.75,3418.6,3405.2,3437,3440.95,3434.57,4011.15,2868.9,519003,1782550628.6,28911,PIIND
2024-01-08,EQ,3473,3473,3400,3460.5,3405,3405.2,3427.96,4011.15,2868.9,242934,832768819.15,18611,PIIND
2024-01-05,EQ,3458,3472.1,3437,3438.05,3451,3460.5,3451.74,4011.15,2868.9,295652,1020515074.75,29806,PIIND
2024-01-04,EQ,3470,3479.75,3418.85,3463.85,3435.8,3438.05,3435.76,4011.15,2868.9,368739,1266898659.85,33344,PIIND
2024-01-03,EQ,3487,3493.7,3455.25,3486.05,3468.95,3463.85,3477.55,4011.15,2868.9,212693,739649914,19882,PIIND
2024-01-02,EQ,3500,3505,3439.8,3478.65,3485,3486.05,3480.61,4011.15,2868.9,229908,800220827.05,21585,PIIND
2024-01-01,EQ,3529,3543.85,3470,3515.9,3473.2,3478.65,3491.66,4011.15,2868.9,415257,1449935308.15,28419,PIIND
2023-12-29,EQ,3491.95,3521.95,3466.05,3484.8,3511,3515.9,3503.06,4011.15,2868.9,257567,902271884.8,24142,PIIND
2023-12-28,EQ,3479.9,3491,3446.9,3462.8,3485,3484.8,3465.87,4011.15,2868.9,291684,1010938363.6,22861,PIIND
2023-12-27,EQ,3458,3480,3433,3451.85,3457,3462.8,3458.22,4011.15,2868.9,293268,1014184413.35,20493,PIIND
2023-12-26,EQ,3446.95,3466.05,3430,3427.95,3462,3451.85,3449.23,4011.15,2868.9,220989,762242002.45,24751,PIIND
2023-12-22,EQ,3447,3447.8,3403.3,3424.95,3430,3427.95,3430.84,4011.15,2868.9,327130,1122330851.25,28633,PIIND
2023-12-21,EQ,3351,3428,3329.55,3370.55,3420.2,3424.95,3410.05,4011.15,2868.9,487463,1662273560.95,36323,PIIND
2023-12-20,EQ,3412,3463,3353.6,3393.95,3366.25,3370.55,3418.46,4011.15,2868.9,1127059,3852806067.1,72062,PIIND
2023-12-19,EQ,3415,3424.85,3370.85,3414.8,3395,3393.95,3392.61,4011.15,2868.9,580769,1970324897.35,38625,PIIND
2023-12-18,EQ,3401,3424.95,3380.5,3400.7,3414,3414.8,3404.63,4011.15,2868.9,488134,1661915910.6,35667,PIIND
2023-12-15,EQ,3395,3444,3365.3,3364.5,3400,3400.7,3401.75,4011.15,2868.9,1488926,5064950224.7,111130,PIIND
2023-12-14,EQ,3466,3473.95,3316.55,3426.85,3362,3364.5,3375.07,4011.15,2868.9,2557032,8630170155.6,140854,PIIND
2023-12-13,EQ,3545,3575,3347.1,3484,3425,3426.85,3423.51,4011.15,2868.9,3437251,11767477061.8,261177,PIIND
2023-12-12,EQ,3890.45,3893.65,3451,3869.45,3484,3484,3598.98,4011.15,2868.9,1490344,5363723676.7,123864,PIIND
2023-12-11,EQ,3843.5,3899,3832.25,3843.5,3878.9,3869.45,3873.53,4011.15,2868.9,221981,859850847.9,19924,PIIND
2023-12-08,EQ,3865,3887.9,3804.65,3844,3835.1,3843.5,3837.08,4011.15,2868.9,474651,1821271498.3,17590,PIIND
2023-12-07,EQ,3887,3887.25,3822,3862.1,3839,3844,3845.81,4011.15,2868.9,115395,443787390.7,14153,PIIND
2023-12-06,EQ,3816.4,3920,3800,3816.55,3861,3862.1,3870.72,4011.15,2868.9,323837,1253481439.2,30646,PIIND
2023-12-05,EQ,3866,3902.95,3793.8,3864.8,3827.25,3816.55,3832.27,4011.15,2868.9,462196,1771259237.25,30151,PIIND
2023-12-04,EQ,3842.75,3869.95,3816.85,3816.85,3867.8,3864.8,3849.35,4011.15,2868.9,176006,677508372.3,20731,PIIND
2023-12-01,EQ,3788.95,3822,3760.2,3770.9,3821,3816.85,3806.11,4011.15,2868.9,248448,945619282.9,21138,PIIND
2023-11-30,EQ,3780,3794.95,3756.25,3782.15,3775.9,3770.9,3772.77,4011.15,2868.9,422345,1593411163.75,36052,PIIND
2023-11-29,EQ,3764.95,3789.8,3718.5,3740.35,3770,3782.15,3765.44,4011.15,2868.9,184260,693819612.75,21208,PIIND
2023-11-28,EQ,3765.5,3765.5,3680,3765.5,3740,3740.35,3727.1,4011.15,2868.9,301275,1122882704.85,41627,PIIND
2023-11-24,EQ,3780,3805,3741,3758.2,3750,3765.5,3784.22,4011.15,2868.9,447648,1693998920.35,42241,PIIND
2023-11-23,EQ,3651.5,3783,3651.5,3648.85,3753.95,3758.2,3729.84,4011.15,2868.9,695533,2594229086.2,64378,PIIND
2023-11-22,EQ,3680,3712,3640.85,3680,3648,3648.85,3675.63,4011.15,2868.9,134195,493250536.9,14326,PIIND
2023-11-21,EQ,3707.95,3711.45,3665.05,3689.35,3667,3680,3687.37,4011.15,2868.9,120594,444674632.5,15133,PIIND
2023-11-20,EQ,3726.5,3731,3675,3726.5,3682.5,3689.35,3700.2,4011.15,2868.9,136505,505095811.55,16835,PIIND
2023-11-17,EQ,3694,3768,3674,3681.8,3721.4,3726.5,3736.59,4011.15,2868.9,236652,884270395.7,21038,PIIND
2023-11-16,EQ,3715,3725,3670,3716.8,3685,3681.8,3691.2,4011.15,2868.9,249147,919652108,21202,PIIND
2023-11-15,EQ,3694.85,3719.95,3665,3670.7,3709.35,3716.8,3708.8,4011.15,2868.9,215887,800682504.05,29364,PIIND
2023-11-13,EQ,3731.65,3731.65,3640.85,3716.9,3669,3670.7,3667.84,4011.15,2868.9,237635,871607900.25,15934,PIIND
2023-11-12,EQ,3714.45,3734.3,3705,3687.35,3722,3716.9,3720.5,4011.15,2868.9,53137,197696186.2,6150,PIIND
2023-11-10,EQ,3675,3739,3590.3,3647.85,3692,3687.35,3692,4011.15,2868.9,674266,2489388287.8,53534,PIIND
2023-11-09,EQ,3664.95,3737.5,3555,3579.1,3639.85,3647.85,3653.55,4011.15,2868.9,1560879,5702751706.9,101675,PIIND
2023-11-08,EQ,3534,3605,3518.45,3514.5,3577,3579.1,3570.75,4011.15,2868.9,316185,1129016809.6,32846,PIIND
2023-11-07,EQ,3490,3523.35,3471.7,3481.45,3510,3514.5,3501.66,4011.15,2868.9,158696,555698788,20389,PIIND
2023-11-06,EQ,3415.1,3526.95,3381.2,3489.2,3474.85,3481.45,3467.18,4011.15,2868.9,335423,1162971823.95,30678,PIIND
2023-11-03,EQ,3429.9,3503.75,3419.85,3410.75,3473,3489.2,3472.46,4011.15,2868.9,168171,583967853.15,22355,PIIND
2023-11-02,EQ,3402,3420.35,3380.05,3380.55,3405.55,3410.75,3406.19,4011.15,2868.9,123532,420773084.8,19660,PIIND
2023-11-01,EQ,3393,3409.95,3355,3401.25,3378,3380.55,3376.52,4011.15,2868.9,266407,899528982.05,25087,PIIND
2023-10-31,EQ,3373.55,3410.3,3362.25,3351.6,3393,3401.25,3394.86,4011.15,2868.9,154112,523188995.55,20288,PIIND
