DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,716,720.55,711,713.55,718.6,718.05,715.51,933,699,975869,698245358.45,34581,SBICARD
2024-02-15,EQ,723.5,724.35,712.05,719.15,714.3,713.55,717.53,933,699,911905,654319364.75,34262,SBICARD
2024-02-14,EQ,716,721.7,708.65,721,719,719.15,717.12,933,699,1366033,979608435.25,38546,SBICARD
2024-02-13,EQ,718.8,724.5,709.2,712.85,721,721,719.36,933,699,1726759,1242168163.4,86567,SBICARD
2024-02-12,EQ,720,720,709.15,718.4,714.35,712.85,713.04,933,699,1096335,781729795.2,28901,SBICARD
2024-02-09,EQ,724.85,725,710.1,721.45,718,718.4,717.02,933,699,958307,687121301.6,26686,SBICARD
2024-02-08,EQ,729.95,732,718.1,725.15,725,721.45,724.1,933,699,1907311,1381075052.05,43819,SBICARD
2024-02-07,EQ,712,726,711,708.6,725,725.15,720.71,933,699,1490461,1074190838.95,45337,SBICARD
2024-02-06,EQ,705,710,699,703.15,709,708.6,706.73,933,699,1491932,1054391715.5,65660,SBICARD
2024-02-05,EQ,712.8,714.95,700,711.25,703.6,703.15,704.18,933,700,2180351,1535350470.75,72837,SBICARD
2024-02-02,EQ,711,720.65,710.1,711.95,711.8,711.25,715.1,933,695.55,1745972,1248548706.85,56657,SBICARD
2024-02-01,EQ,718.9,720.4,709.6,715.35,711.9,711.95,713.25,933,695.55,1163723,830027811.45,35305,SBICARD
2024-01-31,EQ,714.7,720.5,705.6,712.55,718,715.35,710.45,933,695.55,3886982,2761490502,82134,SBICARD
2024-01-30,EQ,720.05,721.95,711,715.55,715,712.55,715.34,933,695.55,4124185,2950199360.55,139881,SBICARD
2024-01-29,EQ,716.55,734.4,710.1,759.85,716.25,715.55,716.54,933,695.55,8841578,6335324857.55,186927,SBICARD
2024-01-25,EQ,746.75,763,733,746.95,761,759.85,745.27,933,695.55,2201724,1640870849.85,63955,SBICARD
2024-01-24,EQ,735,749.9,726,729.9,746.6,746.95,740.91,933,695.55,1203579,891745341.35,43956,SBICARD
2024-01-23,EQ,746,749.7,723.5,744.75,730.75,729.9,734.19,933,695.55,2495585,1832222949.9,140556,SBICARD
2024-01-20,EQ,751.05,752.65,741.15,749.2,745,744.75,746.89,933,695.55,487882,364396311.75,25724,SBICARD
2024-01-19,EQ,755.5,755.7,747.05,750.25,747.2,749.2,750.27,933,695.55,1284550,963759572,42015,SBICARD
2024-01-18,EQ,752,753.8,738.55,752.2,750.3,750.25,747.38,933,695.55,1465911,1095592664.9,52254,SBICARD
2024-01-17,EQ,764,766.5,750,767.3,753,752.2,758.33,933,695.55,1779825,1349688573.65,43629,SBICARD
2024-01-16,EQ,768.05,774,762.25,768.05,766.5,767.3,767.86,933,695.55,1288356,989279955.15,65884,SBICARD
2024-01-15,EQ,768.95,774.65,762,766.7,768.3,768.05,768.17,933,695.55,1075144,825895646.4,35605,SBICARD
2024-01-12,EQ,767.45,770,763.3,762.35,768.5,766.7,766.16,933,695.55,1173186,898849086.8,48540,SBICARD
2024-01-11,EQ,768,770,758.25,765.45,763,762.35,761.43,933,695.55,2420685,1843188568.45,45589,SBICARD
2024-01-10,EQ,762.2,769.5,756.95,762.05,767,765.45,764.58,933,695.55,1720978,1315828427.55,41170,SBICARD
2024-01-09,EQ,770,773,758,767.65,763,762.05,765.75,933,695.55,2051681,1571064564.1,71455,SBICARD
2024-01-08,EQ,772.95,775.7,764.2,771.6,766.8,767.65,769.47,933,695.55,1183984,911041375.05,34250,SBICARD
2024-01-05,EQ,772.5,779.95,768,770.1,772.95,771.6,774.48,933,695.55,1546574,1197795579.9,81005,SBICARD
2024-01-04,EQ,772.4,776.1,765.4,769.85,770.05,770.1,769.92,933,695.55,1580391,1216779246.4,59691,SBICARD
2024-01-03,EQ,775.65,780.95,768.15,773.15,770.3,769.85,773.21,933,695.55,1390145,1074873207.6,37065,SBICARD
2024-01-02,EQ,766.35,775.9,762,766.35,775,773.15,769.32,933,695.55,1493730,1149148906.1,58248,SBICARD
2024-01-01,EQ,764,771.75,761.25,759.65,766.05,766.35,766.74,933,695.55,1091156,836632105.1,25650,SBICARD
2023-12-29,EQ,763,767.45,757.95,760.25,761,759.65,761.46,933,695.55,1796866,1368235980.7,45315,SBICARD
2023-12-28,EQ,766,767.95,753.05,764.75,761.8,760.25,760.24,933,695.55,2381444,1810461487.55,64898,SBICARD
2023-12-27,EQ,774.8,774.8,762.7,768.1,764,764.75,766.33,933,695.55,1591045,1219271242.8,50532,SBICARD
2023-12-26,EQ,777,777.8,766.35,773.15,769.5,768.1,769.12,933,695.55,1167036,897589105.35,72849,SBICARD
2023-12-22,EQ,769,778,766.65,765.2,773.8,773.15,772.62,933,695.55,1847748,1427602152.8,47859,SBICARD
2023-12-21,EQ,758.45,767.2,751.6,759.8,766.5,765.2,761.39,933,695.55,1240258,944321078.5,47366,SBICARD
2023-12-20,EQ,781,782.35,755.8,776.8,761.5,759.8,769.48,933,695.55,1969218,1515265088.55,63462,SBICARD
2023-12-19,EQ,782,785.45,771.2,781.2,777,776.8,776.11,933,695.55,1297167,1006745450,77039,SBICARD
2023-12-18,EQ,778.4,788.8,775.45,776.35,780,781.2,781.86,933,695.55,1673309,1308293272.7,57725,SBICARD
2023-12-15,EQ,776,779.9,770,767.8,777.2,776.35,775.55,933,695.55,2201691,1707521309.45,49548,SBICARD
2023-12-14,EQ,757,773.75,755.25,749.95,768,767.8,766.48,933,695.55,2641527,2024682705.95,73198,SBICARD
2023-12-13,EQ,760,762,746,755.95,751.75,749.95,750.34,933,695.55,1476097,1107578245.95,54430,SBICARD
2023-12-12,EQ,758.9,762.75,753.85,755.8,757,755.95,757.96,933,695.55,1262660,957044398.45,64521,SBICARD
2023-12-11,EQ,765.1,767,754.2,759.95,756,755.8,759.15,933,695.55,1949464,1479943513.1,51212,SBICARD
2023-12-08,EQ,773.7,779.95,752.55,767.5,759.9,759.95,766.37,933,695.55,2668741,2045255546.4,47166,SBICARD
2023-12-07,EQ,752,782.35,744,748.1,769.75,767.5,765.43,933,695.55,5722975,4380536465.8,82844,SBICARD
