DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,26540,26650,26251.5,26332.9,26290,26298,26412.41,30737.75,22605.6,27371,722934148.4,13128,SHREECEM
2024-02-15,EQ,27144.9,27144.9,26250,26898.45,26399,26332.9,26481.63,30737.75,22605.6,21511,569646252.6,9747,SHREECEM
2024-02-14,EQ,27100,27287.3,26777,27249.65,26870,26898.45,26950.91,30737.75,22605.6,22415,604104751.15,7023,SHREECEM
2024-02-13,EQ,27299.95,27500,26993.85,27265.5,27270.4,27249.65,27214.35,30737.75,22605.6,19098,519739712.4,10376,SHREECEM
2024-02-12,EQ,27630.1,27709.6,27162,27630.1,27200,27265.5,27363.87,30737.75,22605.6,17053,466636052.15,7780,SHREECEM
2024-02-09,EQ,27450,27825,27200,27370.2,27600,27630.1,27563.59,30737.75,22605.6,25267,696449286.4,13071,SHREECEM
2024-02-08,EQ,28125.1,28250,27247.85,28116.3,27450,27370.2,27605.79,30737.75,22605.6,32063,885124360.9,9988,SHREECEM
2024-02-07,EQ,27844.9,28207,27705.05,27569.4,28175,28116.3,27976.48,30737.75,22605.6,19792,553710487.45,8609,SHREECEM
2024-02-06,EQ,27251,27915,27231.45,26954.8,27638,27569.4,27550.51,30737.75,22605.6,58072,1599912935.1,19097,SHREECEM
2024-02-05,EQ,29000,29000.05,26699.2,28453.95,26950,26954.8,27582.25,30737.75,22605.6,71596,1974778811.7,26754,SHREECEM
2024-02-02,EQ,29500,29699.85,28374.3,29613.55,28450,28453.95,28767.13,30737.75,21860,64360,1851452423.95,20529,SHREECEM
2024-02-01,EQ,29500,30737.75,29202.1,28556.25,29500,29613.55,30002.18,30737.75,21860,174274,5228599868.5,56951,SHREECEM
2024-01-31,EQ,28100,28700,28012.35,28077.75,28410,28556.25,28472.55,29250,21860,63061,1795507697.4,21319,SHREECEM
2024-01-30,EQ,28434.95,28700,27999.05,28411.55,28019,28077.75,28242.28,29250,21860,30799,869833993.95,10325,SHREECEM
2024-01-29,EQ,27998.75,28850,27921.95,27948.8,28316,28411.55,28448.12,29250,21860,35863,1020234995.55,12113,SHREECEM
2024-01-25,EQ,27699.95,28249.5,27270.45,27635.15,27949.5,27948.8,27707.04,29250,21410,25490,706252472.1,8929,SHREECEM
2024-01-24,EQ,27454,27859.8,27218.45,27493.75,27540.5,27635.15,27617.3,29250,21410,46946,1296521777.4,14947,SHREECEM
2024-01-23,EQ,27600,28165,27414.8,27593.8,27454.05,27493.75,27759.53,29250,21410,38128,1058415446.1,15164,SHREECEM
2024-01-20,EQ,26799,28000,26558.65,26649.5,27431.8,27593.8,27365.02,29250,21410,36549,1000164134.9,14435,SHREECEM
2024-01-19,EQ,26618.95,26780,26456.15,26477.15,26651,26649.5,26640.88,29250,21410,52520,1399179011.2,19450,SHREECEM
2024-01-18,EQ,26248.9,26598,25650,26137,26450,26477.15,26112.73,29250,21410,28106,733924250.5,10791,SHREECEM
2024-01-17,EQ,26959.95,27087.85,26062,27082.1,26070,26137,26673.64,29250,21410,48405,1291137679.3,18656,SHREECEM
2024-01-16,EQ,26890,27348,26632.9,26813.7,27088.8,27082.1,27034.5,29250,21410,26736,722794484.2,11022,SHREECEM
2024-01-15,EQ,26951,26955.05,26725.65,26874,26800,26813.7,26835.71,29250,21410,11395,305792945.95,4188,SHREECEM
2024-01-12,EQ,27027.3,27050,26751,26909.95,26900,26874,26865.25,29250,21410,14382,386376027.8,5058,SHREECEM
2024-01-11,EQ,26970,27140,26600,26842.15,26794.05,26909.95,26873,29250,21410,19750,530741701.85,7845,SHREECEM
2024-01-10,EQ,27392.95,27392.95,26800,27312.9,26850,26842.15,26946.31,29250,21410,14247,383904097.45,5847,SHREECEM
2024-01-09,EQ,27501,27736.3,27236.3,27329.65,27260.55,27312.9,27506.85,29250,21410,18242,501779915.5,8059,SHREECEM
2024-01-08,EQ,26983.05,27600,26950.05,27023.3,27380,27329.65,27378.3,29250,21410,34058,932450294.5,12431,SHREECEM
2024-01-05,EQ,28200,28250.05,26931.35,28357.9,26970,27023.3,27363.21,29250,21410,78459,2146890103.35,25486,SHREECEM
2024-01-04,EQ,28440,28498,28175,28221.75,28340.05,28357.9,28316.8,29250,21410,14453,409262733.85,5397,SHREECEM
2024-01-03,EQ,28088.55,28435,28020.4,28088.55,28105.05,28221.75,28227.77,29250,21410,9011,254360446.15,3910,SHREECEM
2024-01-02,EQ,28610,28610,27950,28461.6,28054,28088.55,28137.97,29250,21410,16850,474124800.95,8280,SHREECEM
2024-01-01,EQ,28750,28750,28351,28653.3,28370,28461.6,28555.35,29250,21410,5760,164478788.7,2991,SHREECEM
2023-12-29,EQ,28700,28901,28444.05,28601.5,28809.15,28653.3,28596.79,29250,21410,11742,335783512.75,5615,SHREECEM
2023-12-28,EQ,28650,28879.85,28501,28644.9,28600,28601.5,28618.88,29250,21410,9507,272079723.15,5384,SHREECEM
2023-12-27,EQ,28599.8,29250,28429.9,28606.75,28699.9,28644.9,28760.32,29250,21410,27058,778196788.95,10079,SHREECEM
2023-12-26,EQ,28370,28860,28257.2,28186.55,28513.4,28606.75,28596.69,28997.65,21410,15472,442448025.6,7453,SHREECEM
2023-12-22,EQ,28213.8,28372.35,27905.75,28213.8,28184.95,28186.55,28174.72,28997.65,21410,21741,612546623.45,7416,SHREECEM
2023-12-21,EQ,28005,28498,27950,28253,28140,28213.8,28250.08,28997.65,21410,32973,931489983.75,12634,SHREECEM
2023-12-20,EQ,28779.9,28779.9,28108.55,28585.95,28158.2,28253,28423.58,28997.65,21410,15113,429565606.45,6712,SHREECEM
2023-12-19,EQ,28700,28724.65,28407.05,28557,28575,28585.95,28566.44,28997.65,21410,11149,318487199.7,5253,SHREECEM
2023-12-18,EQ,28789,28859.3,28480,28758.9,28500.2,28557,28622.51,28997.65,21410,9633,275720671.25,5070,SHREECEM
2023-12-15,EQ,28799,28997.65,28640,28733.05,28844.85,28758.9,28760.71,28997.65,21410,18437,530261217.7,9588,SHREECEM
2023-12-14,EQ,28550,28892,28465.7,28536.85,28745.95,28733.05,28678.57,28932.45,21410,16406,470500610.5,6901,SHREECEM
2023-12-13,EQ,28507.5,28932.45,28220.05,28606.8,28420.05,28536.85,28524.94,28932.45,21410,16860,480930439.7,7227,SHREECEM
2023-12-12,EQ,28250,28800,28200.05,28302.6,28650,28606.8,28584.43,28800,21410,19543,558625473.05,9008,SHREECEM
