DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,2440,2459.8,2433.85,2437.6,2436.45,2449.4,2450.85,2496.55,1190,919312,2253098292.7,68017,SHRIRAMFIN
2024-02-15,EQ,2437.2,2463.4,2412,2393.3,2438,2437.6,2436.25,2496.55,1190,1144317,2787837374.25,80242,SHRIRAMFIN
2024-02-14,EQ,2285,2404.6,2280.2,2330.65,2403,2393.3,2361.62,2496.55,1190,737277,1741164915.5,71327,SHRIRAMFIN
2024-02-13,EQ,2267,2343.5,2235.25,2262.25,2335,2330.65,2312.59,2496.55,1190,1796922,4155543385.75,140299,SHRIRAMFIN
2024-02-12,EQ,2335,2352.95,2254.85,2334.1,2267,2262.25,2287.67,2496.55,1190,569008,1301703430.25,40439,SHRIRAMFIN
2024-02-09,EQ,2347.95,2354.05,2291.5,2347.95,2336.95,2334.1,2324.18,2496.55,1190,580610,1349439465.9,47658,SHRIRAMFIN
2024-02-08,EQ,2425,2425,2340.8,2413.65,2354.95,2347.95,2379.27,2496.55,1190,886197,2108498406.3,51018,SHRIRAMFIN
2024-02-07,EQ,2397.95,2459.15,2396.45,2396.45,2413.85,2413.65,2427.17,2496.55,1190,1046050,2538940017.4,67054,SHRIRAMFIN
2024-02-06,EQ,2360,2403.9,2323.65,2357.1,2397.95,2396.45,2381.93,2496.55,1190,1502283,3578326479.35,120417,SHRIRAMFIN
2024-02-05,EQ,2419,2432.4,2347.2,2405.5,2356,2357.1,2381.42,2496.55,1190,398680,949425518.6,31070,SHRIRAMFIN
2024-02-02,EQ,2397.5,2421.15,2385.6,2397.2,2398.45,2405.5,2407.65,2496.55,1190,881037,2121233126.7,77973,SHRIRAMFIN
2024-02-01,EQ,2411,2438.95,2388.6,2466.8,2390,2397.2,2407.01,2496.55,1190,2120344,5103697546.6,109715,SHRIRAMFIN
2024-01-31,EQ,2450,2479.6,2400.5,2452.95,2471,2466.8,2441.1,2496.55,1190,1914672,4673909194.15,145726,SHRIRAMFIN
2024-01-30,EQ,2409,2496.55,2409,2409,2450,2452.95,2459.79,2496.55,1190,2847759,7004889335.2,143029,SHRIRAMFIN
2024-01-29,EQ,2432,2442,2302.15,2307.15,2399.6,2409,2374.73,2442,1190,3579015,8499198548.65,187829,SHRIRAMFIN
2024-01-25,EQ,2317.8,2352.95,2292,2302.45,2318,2307.15,2311.59,2352.95,1190,1065564,2463148083.2,57586,SHRIRAMFIN
2024-01-24,EQ,2233.85,2315,2209.55,2279.5,2296.55,2302.45,2276.85,2339.95,1190,1700346,3871427919.1,79831,SHRIRAMFIN
2024-01-23,EQ,2287.05,2313.95,2247.6,2299,2288.75,2279.5,2279.03,2339.95,1190,2199854,5013542097.75,145940,SHRIRAMFIN
2024-01-20,EQ,2330,2339.95,2288,2301.85,2293.85,2299,2304.8,2339.95,1190,100445,231505919.25,8150,SHRIRAMFIN
2024-01-19,EQ,2271,2321.95,2271,2255.4,2291.1,2301.85,2302.81,2334.95,1190,1059357,2439496173.45,85062,SHRIRAMFIN
2024-01-18,EQ,2271,2287.3,2196.55,2288,2261.4,2255.4,2245.37,2334.95,1190,1576710,3540291882.3,85260,SHRIRAMFIN
2024-01-17,EQ,2294,2317.85,2240,2309.7,2290.1,2288,2290.47,2334.95,1190,1061729,2431859816.7,89404,SHRIRAMFIN
2024-01-16,EQ,2325,2334.95,2295.05,2319.55,2309.35,2309.7,2316.68,2334.95,1190,1329590,3080228872.65,70783,SHRIRAMFIN
2024-01-15,EQ,2303.1,2325,2280,2292.8,2316.2,2319.55,2305.11,2325,1190,556738,1283340691.9,41012,SHRIRAMFIN
2024-01-12,EQ,2292.8,2303.1,2260.1,2279.75,2289,2292.8,2288.3,2303.1,1190,1037456,2374011064.25,45838,SHRIRAMFIN
2024-01-11,EQ,2217.95,2289.85,2204,2150,2270.55,2279.75,2256.23,2289.85,1190,2932789,6617042056.15,129475,SHRIRAMFIN
2024-01-10,EQ,2180,2187.85,2135.7,2167.85,2158,2150,2150.73,2225,1190,494145,1062770084.2,42063,SHRIRAMFIN
2024-01-09,EQ,2206.6,2223.05,2150.6,2196.35,2171.25,2167.85,2181.46,2225,1190,1092689,2383654826.25,114114,SHRIRAMFIN
2024-01-08,EQ,2184,2225,2163.55,2172.4,2194.05,2196.35,2200.28,2225,1190,1497595,3295135743.65,116904,SHRIRAMFIN
2024-01-05,EQ,2153,2176.75,2119.45,2148.15,2174,2172.4,2150.95,2176.75,1190,1622887,3490752475.3,79790,SHRIRAMFIN
2024-01-04,EQ,2100,2152.5,2090.2,2090.05,2151,2148.15,2139.62,2152.5,1190,1539021,3292919160.75,72989,SHRIRAMFIN
2024-01-03,EQ,2035,2098,2029,2030.05,2088,2090.05,2073.2,2130,1190,1357534,2814437705.1,76387,SHRIRAMFIN
2024-01-02,EQ,2050,2059.75,2016,2048.85,2034,2030.05,2028.34,2130,1190,1077927,2186397083.1,61111,SHRIRAMFIN
2024-01-01,EQ,2055.55,2060,2041.1,2053.3,2045,2048.85,2051.11,2130,1190,304722,625018481.15,25523,SHRIRAMFIN
