DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,4365.15,4417.55,4337,4346.75,4394.9,4398.65,4389.42,4499.8,3078.3,141679,621888092.25,15193,SIEMENS
2024-02-15,EQ,4400,4405.95,4322.95,4379.4,4331.05,4346.75,4344.6,4499.8,3078.3,101879,442623853.2,16352,SIEMENS
2024-02-14,EQ,4279.45,4448,4279.4,4313.2,4397.95,4379.4,4374.96,4499.8,3078.3,524202,2293361322.75,56658,SIEMENS
2024-02-13,EQ,4218,4499.8,4118,4218.35,4314,4313.2,4321.59,4499.8,3078.3,741449,3204238862.05,73466,SIEMENS
2024-02-12,EQ,4275.8,4359.3,4204,4275.8,4224,4218.35,4282.42,4359.3,3078.3,310740,1330720384.2,27121,SIEMENS
2024-02-09,EQ,4230.7,4301.2,4155.9,4226.55,4301.2,4275.8,4250.97,4335,3019.4,231257,983066758.95,19105,SIEMENS
2024-02-08,EQ,4268,4335,4215,4249.2,4215,4226.55,4263.23,4335,3019.4,234880,1001347247.65,27374,SIEMENS
2024-02-07,EQ,4289.95,4289.95,4162.05,4216.75,4246.85,4249.2,4226.11,4335,3019.4,228370,965116492.45,19501,SIEMENS
2024-02-06,EQ,4169.8,4250,4135.05,4147.95,4240,4216.75,4194.71,4335,3019.4,157896,662327719.95,16770,SIEMENS
2024-02-05,EQ,4175,4250,4123.95,4162.3,4152,4147.95,4194.65,4335,3019.4,307429,1289557748.1,27976,SIEMENS
2024-02-02,EQ,4125,4289.95,4112.1,4104.65,4154.75,4162.3,4207.45,4335,2891.4,541066,2276508655.55,57022,SIEMENS
2024-02-01,EQ,4161,4249.35,4029.45,4140.4,4091,4104.65,4138.7,4335,2891.4,637794,2639638868,73709,SIEMENS
2024-01-31,EQ,4115,4212.85,4086.35,4143.55,4142,4140.4,4152.95,4335,2891.4,489648,2033483450.8,43184,SIEMENS
2024-01-30,EQ,4319,4335,4104.2,4305.55,4159,4143.55,4222.19,4335,2891.4,488753,2063610328.2,53458,SIEMENS
2024-01-29,EQ,4204,4318.95,4196.35,4205.4,4308,4305.55,4292.56,4318.95,2891.4,460409,1976334498.05,43044,SIEMENS
2024-01-25,EQ,4213.95,4221.1,4140,4199,4192,4205.4,4188.42,4245,2891.4,163965,686754283.5,17046,SIEMENS
2024-01-24,EQ,4080,4212,4056,4083.9,4182,4199,4145.39,4245,2891.4,219206,908694560.15,22568,SIEMENS
2024-01-23,EQ,4090,4133.6,4020,4074.3,4095,4083.9,4073.94,4245,2891.4,479654,1954080724,43233,SIEMENS
2024-01-20,EQ,4165,4165,4051.05,4141.5,4078.05,4074.3,4105.43,4245,2891.4,50912,209015620.15,7649,SIEMENS
2024-01-19,EQ,4081,4151,4062.9,4041.8,4140.25,4141.5,4121.78,4245,2891.4,111523,459672813.25,14986,SIEMENS
2024-01-18,EQ,4100,4105.75,3965,4106.8,4049,4041.8,4042.67,4245,2891.4,187562,758251593.8,25965,SIEMENS
2024-01-17,EQ,4092,4132.85,4028.25,4103.45,4102,4106.8,4101.79,4245,2891.4,177690,728847337.75,25511,SIEMENS
2024-01-16,EQ,4176.3,4200,4086.9,4163.55,4095,4103.45,4146.87,4245,2891.4,188669,782386650.5,29149,SIEMENS
2024-01-15,EQ,4163.1,4179.5,4117.2,4154.1,4163,4163.55,4147.95,4245,2891.4,153484,636644520.5,18745,SIEMENS
2024-01-12,EQ,4171.65,4188.8,4112.6,4159.8,4160,4154.1,4149.47,4245,2854.5,160204,664761097.75,20231,SIEMENS
2024-01-11,EQ,4188,4197.9,4131,4180.75,4145,4159.8,4167.84,4245,2854.5,130818,545228175.3,19122,SIEMENS
2024-01-10,EQ,4190.95,4229.25,4147.9,4193.4,4173.05,4180.75,4187.18,4245,2854.5,267109,1118434037.15,35010,SIEMENS
2024-01-09,EQ,4030.85,4218,4030,4015.5,4188.9,4193.4,4171.89,4245,2854.5,653704,2727179959.6,57276,SIEMENS
2024-01-08,EQ,4094,4096.1,4002.05,4077.2,4020,4015.5,4024.55,4245,2854.5,168440,677894452.9,18960,SIEMENS
2024-01-05,EQ,4099.15,4114.55,4057,4088.65,4065.15,4077.2,4080.07,4245,2810,140037,571360674.25,21481,SIEMENS
2024-01-04,EQ,4102,4127.1,4076.55,4085.15,4097,4088.65,4107.16,4245,2810,221232,908636215.9,21895,SIEMENS
2024-01-03,EQ,4055,4110,4054.15,4041.6,4090,4085.15,4084.33,4245,2810,347303,1418500639.75,47056,SIEMENS
2024-01-02,EQ,4045.05,4049,3966.7,4025.55,4025.35,4041.6,4019.45,4245,2810,210466,845956579.05,27260,SIEMENS
2024-01-01,EQ,4029,4058,4009,4024.7,4017,4025.55,4031.69,4245,2810,127992,516023810.6,13481,SIEMENS
2023-12-29,EQ,3973,4030.7,3948.05,3959.85,4016,4024.7,4003.98,4245,2795.8,191945,768544233,19110,SIEMENS
2023-12-28,EQ,4009.45,4031.7,3945.25,3977.65,3970,3959.85,3973.54,4245,2795.8,755352,3001420744.95,49903,SIEMENS
2023-12-27,EQ,4029.95,4052.85,3964.55,4004.35,3976.95,3977.65,4017.71,4245,2795.8,423652,1702109258.75,45053,SIEMENS
2023-12-26,EQ,3985,4017.5,3965.1,3955.55,3991.35,4004.35,3992.22,4245,2795.8,180722,721481571.55,20015,SIEMENS
2023-12-22,EQ,4085,4120,3929.55,3966.95,3956,3955.55,4001.06,4245,2773.6,624973,2500555508.2,53477,SIEMENS
2023-12-21,EQ,3856,3974,3809.15,3909.15,3967,3966.95,3911.46,4245,2773.6,344486,1347441666.25,38808,SIEMENS
2023-12-20,EQ,4054.8,4105.85,3876.4,4019.6,3883.35,3909.15,4003.8,4245,2773.6,431656,1728265532.5,45680,SIEMENS
2023-12-19,EQ,4150,4174.4,4000.05,4139.25,4017.6,4019.6,4041.39,4245,2773.6,517133,2089934853.9,47887,SIEMENS
2023-12-18,EQ,3915.3,4245,3901.1,3907.3,4138.05,4139.25,4117.51,4245,2773.6,1644295,6770400032.75,128033,SIEMENS
2023-12-15,EQ,3935,3955,3864.2,3918.05,3910,3907.3,3909.53,4068.85,2773.6,373182,1458965390.75,33158,SIEMENS
2023-12-14,EQ,3950,3950,3880.8,3934.4,3925,3918.05,3917.37,4068.85,2773.6,213194,835160729.4,22038,SIEMENS
2023-12-13,EQ,3867,3947,3858.15,3856.45,3938,3934.4,3912.69,4068.85,2773.6,260174,1017980165.55,26941,SIEMENS
2023-12-12,EQ,3886.25,3906.3,3833,3886.25,3857.55,3856.45,3866.22,4068.85,2773.6,133309,515401512.75,17345,SIEMENS
2023-12-11,EQ,3830,3895,3830,3827.2,3883.5,3886.25,3867.73,4068.85,2773.6,182945,707581308.3,15672,SIEMENS
2023-12-08,EQ,3856,3882.45,3785.05,3832.25,3827,3827.2,3831.96,4068.85,2741,158838,608660646,17289,SIEMENS
2023-12-07,EQ,3867.95,3868,3813.7,3851.95,3845,3832.25,3830.38,4068.85,2741,140310,537440920.95,17331,SIEMENS
2023-12-06,EQ,3850,3924.5,3835.05,3843.5,3856.95,3851.95,3875.44,4068.85,2741,436674,1692302698.35,36142,SIEMENS
2023-12-05,EQ,3810,3850,3776.05,3807.2,3845,3843.5,3816.82,4068.85,2741,322252,1229977990.5,23374,SIEMENS
2023-12-04,EQ,3799.95,3837.95,3740.6,3753.1,3800,3807.2,3795.34,4068.85,2741,612081,2323053246.85,47701,SIEMENS
2023-12-01,EQ,3670,3779.95,3647.2,3657.6,3750,3753.1,3719.42,4068.85,2725.85,401008,1491517741.75,34829,SIEMENS
2023-11-30,EQ,3639.9,3665.55,3615.7,3635.75,3660,3657.6,3649.15,4068.85,2725.85,504344,1840427948.8,33274,SIEMENS
2023-11-29,EQ,3678,3678,3586.65,3646.5,3632,3635.75,3626.08,4068.85,2725.85,796758,2889108121.3,48770,SIEMENS
2023-11-28,EQ,3640,3657,3575.55,3628.6,3652.45,3646.5,3620.42,4068.85,2725.85,270594,979665273.95,33604,SIEMENS
2023-11-24,EQ,3640,3641.85,3605.05,3619.2,3618,3628.6,3624.85,4068.85,2691.5,230400,835164539.4,24893,SIEMENS
2023-11-23,EQ,3556,3636,3530,3549,3623.05,3619.2,3594.09,4068.85,2691.5,314273,1129524500.75,27304,SIEMENS
2023-11-22,EQ,3589.05,3600,3520,3589.05,3555,3549,3549.22,4068.85,2691.5,163675,580918911.2,15627,SIEMENS
2023-11-21,EQ,3600,3609.6,3561.4,3586.2,3579.05,3589.05,3582.75,4068.85,2691.5,176350,631817580.25,16977,SIEMENS
2023-11-20,EQ,3580,3595,3560,3570.75,3580,3586.2,3581.23,4068.85,2691.5,109320,391499704.95,12975,SIEMENS
2023-11-17,EQ,3530,3581.2,3502.05,3525,3570,3570.75,3552.92,4068.85,2691.5,308682,1096721641.05,32301,SIEMENS
2023-11-16,EQ,3509.8,3540.65,3466.85,3495.5,3521,3525,3515.26,4068.85,2691.5,385606,1355505279.6,31473,SIEMENS
2023-11-15,EQ,3465,3568.8,3413.05,3418,3493.9,3495.5,3489.48,4068.85,2691.5,1195689,4172333149.2,85358,SIEMENS
2023-11-13,EQ,3421,3433.5,3398.25,3425.05,3417.9,3418,3413.63,4068.85,2691.5,96279,328660587.1,10983,SIEMENS
2023-11-12,EQ,3429.9,3429.9,3410,3407.35,3425,3425.05,3424.53,4068.85,2691.5,12735,43611350.95,1748,SIEMENS
2023-11-10,EQ,3385,3419.6,3377.05,3389.35,3408,3407.35,3398.07,4068.85,2691.5,268510,912414826.75,16738,SIEMENS
2023-11-09,EQ,3436,3445,3381,3423.9,3386,3389.35,3401.79,4068.85,2691.5,405330,1378846318.65,23788,SIEMENS
2023-11-08,EQ,3345,3430.15,3345,3347.6,3428.95,3423.9,3402.17,4068.85,2691.5,193004,656631975.5,18591,SIEMENS
2023-11-07,EQ,3300,3365.75,3299.95,3367.2,3357,3347.6,3339.7,4068.85,2691.5,401922,1342299458.6,30349,SIEMENS
2023-11-06,EQ,3375.55,3380.1,3338.65,3367.55,3370,3367.2,3353.43,4068.85,2691.5,449246,1506515357.45,20925,SIEMENS
2023-11-03,EQ,3395,3395,3353.7,3370.9,3368,3367.55,3369.2,4068.85,2691.5,253889,855403342.65,20656,SIEMENS
2023-11-02,EQ,3334.9,3381.8,3329,3325.65,3376,3370.9,3361.92,4068.85,2691.5,119480,401682457.95,12582,SIEMENS
2023-11-01,EQ,3340,3359,3313.8,3330.95,3319,3325.65,3335.95,4068.85,2691.5,351542,1172726421.7,36025,SIEMENS
2023-10-31,EQ,3421,3430,3246,3430.6,3340.95,3330.95,3308.4,4068.85,2691.5,1172326,3878519222.85,91879,SIEMENS
2023-10-30,EQ,3400.15,3463.95,3400,3427,3436,3430.6,3435.57,4068.85,2691.5,127405,437709172.25,12159,SIEMENS
2023-10-27,EQ,3400,3448.95,3384.75,3406.75,3424.8,3427,3425.11,4068.85,2691.5,155625,533032932.1,13935,SIEMENS
2023-10-26,EQ,3420,3432.95,3350,3432.85,3407,3406.75,3394.25,4068.85,2691.5,404993,1374649116.45,33927,SIEMENS
2023-10-25,EQ,3414.75,3441.85,3385,3414.75,3430,3432.85,3421.12,4068.85,2691.5,239914,820774881.45,23136,SIEMENS
2023-10-23,EQ,3441.8,3474.5,3403.05,3441.8,3415.85,3414.75,3441.47,4068.85,2691.5,190279,654839765.7,23523,SIEMENS
2023-10-20,EQ,3449.95,3474.95,3416.05,3463.75,3446,3441.8,3441.02,4068.85,2691.5,249749,859391880.45,26731,SIEMENS
2023-10-19,EQ,3487.95,3487.95,3435.2,3492.35,3455.1,3463.75,3459.54,4068.85,2691.5,414268,1433175067.9,36498,SIEMENS
2023-10-18,EQ,3595,3611,3485,3593.05,3498,3492.35,3539.01,4068.85,2691.5,530718,1878214421.7,41942,SIEMENS
2023-10-17,EQ,3624.8,3624.8,3580,3602.05,3595.1,3593.05,3600.14,4068.85,2691.5,227304,818325589.2,22346,SIEMENS
2023-10-16,EQ,3600,3619,3576.05,3592.2,3608.05,3602.05,3601.99,4068.85,2691.5,288192,1038064796.95,31943,SIEMENS
2023-10-13,EQ,3565,3609.3,3562.3,3601,3588,3592.2,3583.59,4068.85,2691.5,157863,565715735.65,21979,SIEMENS
2023-10-12,EQ,3560.05,3610,3558.5,3558.5,3598,3601,3586.08,4068.85,2691.5,226781,813253943.45,33461,SIEMENS
2023-10-11,EQ,3626,3633.95,3545.55,3591.05,3567.3,3558.5,3586.33,4068.85,2691.5,467975,1678311264.15,35999,SIEMENS
2023-10-10,EQ,3537,3604.1,3537,3541.95,3593,3591.05,3583.48,4068.85,2691.5,235853,845175626,27483,SIEMENS
2023-10-09,EQ,3520,3557.35,3468.65,3533,3537.7,3541.95,3524.97,4068.85,2691.5,272565,960784515.05,23052,SIEMENS
2023-10-06,EQ,3544.7,3575,3502,3519.7,3537.45,3533,3529.4,4068.85,2691.5,438595,1547975468.5,26588,SIEMENS
2023-10-05,EQ,3519,3554.4,3505.3,3501.4,3523.9,3519.7,3531.39,4068.85,2691.5,279328,986416119.3,31862,SIEMENS
2023-10-04,EQ,3570,3602.05,3495.85,3569.65,3513.95,3501.4,3545.71,4068.85,2691.5,778630,2760796444.25,49581,SIEMENS
2023-10-03,EQ,3660,3672,3558.5,3672.5,3581,3569.65,3584.33,4068.85,2691.5,693631,2486199667.1,48730,SIEMENS
2023-09-29,EQ,3629.15,3689.95,3629.15,3626.55,3664.75,3672.5,3666.78,4068.85,2672,179693,658893847.85,19822,SIEMENS
2023-09-28,EQ,3740.95,3740.95,3615,3725.55,3648,3626.55,3659.58,4068.85,2672,265805,972733365.75,26229,SIEMENS
2023-09-27,EQ,3680,3735,3643.15,3680.3,3721.8,3725.55,3695.91,4068.85,2672,220587,815269259.15,20958,SIEMENS
2023-09-26,EQ,3700,3708.3,3668.85,3694.6,3675.55,3680.3,3686.69,4068.85,2672,193606,713766153.9,23969,SIEMENS
