DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,2355.75,2403,2351.75,2350.55,2379,2380.1,2380.67,2636,2040,383890,913914052.9,26747,SRF
2024-02-15,EQ,2370,2375,2346.7,2358.15,2350.9,2350.55,2360.92,2636,2040,211040,498247958.65,19693,SRF
2024-02-14,EQ,2314.05,2364,2297.7,2323.35,2358,2358.15,2335.39,2636,2040,389910,910593797.3,40629,SRF
2024-02-13,EQ,2299,2326.95,2258.25,2286.5,2325,2323.35,2305.54,2636,2040,297034,684824977.35,26301,SRF
2024-02-12,EQ,2303,2322.35,2266.7,2298.55,2283,2286.5,2293.52,2636,2040,163430,374830562.4,15454,SRF
2024-02-09,EQ,2304,2307,2263.9,2295.9,2304.9,2298.55,2290.27,2636,2040,209506,479825146.3,21795,SRF
2024-02-08,EQ,2299.95,2326.2,2283.05,2295.05,2298,2295.9,2297.4,2636,2040,240843,553313012.85,16860,SRF
2024-02-07,EQ,2295.05,2309,2263.05,2283.75,2293.6,2295.05,2269.95,2636,2040,1464373,3324046663.75,30398,SRF
2024-02-06,EQ,2250,2293.2,2249.2,2251.1,2278,2283.75,2281.81,2636,2040,529792,1208882159.05,20254,SRF
2024-02-05,EQ,2315,2315.35,2245,2318.65,2250,2251.1,2277.48,2636,2040,429402,977954110.4,25535,SRF
2024-02-02,EQ,2324.9,2325,2302,2308.45,2318,2318.65,2316.78,2636,2040,701436,1625074864.95,29962,SRF
2024-02-01,EQ,2320,2324.95,2279,2325.1,2306.7,2308.45,2298.66,2636,2040,1374086,3158559129.5,37529,SRF
2024-01-31,EQ,2215,2333.2,2215,2222.35,2319.85,2325.1,2291.05,2636,2040,2855586,6542291124.25,98750,SRF
2024-01-30,EQ,2250,2263.25,2210,2246.6,2227.75,2222.35,2237.93,2636,2040,365829,818701474.3,32634,SRF
2024-01-29,EQ,2270,2282,2230,2268.9,2245.95,2246.6,2248.88,2636,2040,901880,2028218624.7,46805,SRF
2024-01-25,EQ,2296,2302,2263.4,2284.95,2268.95,2268.9,2285.81,2636,2040,432584,988803855.2,25554,SRF
2024-01-24,EQ,2271.9,2299.4,2255.5,2254.05,2290,2284.95,2282.97,2636,2040,485502,1108385134.4,32245,SRF
2024-01-23,EQ,2294.95,2295.95,2235.5,2289.55,2257.5,2254.05,2259.02,2636,2040,463257,1046505301.65,34988,SRF
2024-01-20,EQ,2315,2334.85,2287,2309,2290.5,2289.55,2299.52,2636,2040,152834,351444132.3,17137,SRF
2024-01-19,EQ,2315,2342.8,2297.6,2294.05,2310,2309,2322.58,2636,2040,514147,1194147214.2,27588,SRF
2024-01-18,EQ,2316.6,2317,2261.15,2309.6,2291,2294.05,2291.17,2636,2040,328660,753016792.65,25139,SRF
2024-01-17,EQ,2348.85,2359.9,2305,2358.15,2311.15,2309.6,2326.85,2636,2040,323931,753739918.8,28021,SRF
2024-01-16,EQ,2350,2368.4,2343.75,2347.2,2359.9,2358.15,2357.88,2636,2040,471010,1110584777.45,29738,SRF
2024-01-15,EQ,2351.7,2351.7,2320.7,2343.95,2347.5,2347.2,2338.16,2636,2040,452044,1056953193.95,25383,SRF
2024-01-12,EQ,2340,2370,2331,2325.25,2342,2343.95,2345.79,2636,2040,570104,1337346716.6,22357,SRF
2024-01-11,EQ,2305,2330,2295,2294.9,2326,2325.25,2318.9,2636,2040,310878,720895432.9,21351,SRF
2024-01-10,EQ,2311,2319.45,2281,2311.35,2295,2294.9,2293.35,2636,2040,685064,1571094428.3,34057,SRF
2024-01-09,EQ,2397.8,2420.75,2304.65,2395.7,2311.9,2311.35,2343.54,2636,2040,938885,2200313743.15,69606,SRF
2024-01-08,EQ,2468,2478.95,2385,2480.6,2393.5,2395.7,2420.25,2636,2040,495983,1200404102.8,33272,SRF
2024-01-05,EQ,2511,2522.9,2461,2506.05,2480.9,2480.6,2487.6,2636,2040,644040,1602116230.1,31446,SRF
2024-01-04,EQ,2509,2521.75,2487.15,2506.35,2506,2506.05,2505.7,2636,2040,356989,894507489.65,21733,SRF
2024-01-03,EQ,2488.15,2525,2464.85,2488.3,2507,2506.35,2507.43,2636,2040,527559,1322814656.25,32641,SRF
2024-01-02,EQ,2482.95,2496.9,2424.8,2467.7,2490,2488.3,2461.13,2636,2040,602156,1481984140.85,39819,SRF
2024-01-01,EQ,2488.75,2497.45,2460,2479.25,2462.2,2467.7,2483.01,2636,2040,158733,394136274.6,12008,SRF
2023-12-29,EQ,2470,2503.9,2455.2,2466.8,2478.3,2479.25,2485.75,2636,2040,446931,1110959832.05,23630,SRF
2023-12-28,EQ,2466,2485.45,2460.85,2471.05,2465.95,2466.8,2470.34,2636,2040,277494,685504758.35,18917,SRF
2023-12-27,EQ,2506.6,2511.9,2460.15,2491.05,2468,2471.05,2476.77,2636,2040,358521,887974389.05,25155,SRF
2023-12-26,EQ,2463.9,2529,2461.3,2454.25,2489.95,2491.05,2494.05,2636,2040,923702,2303755008.5,60935,SRF
2023-12-22,EQ,2409.85,2464.95,2395.45,2396,2451,2454.25,2442.56,2636,2040,448639,1095827279.85,30587,SRF
2023-12-21,EQ,2360,2407.85,2344.6,2371.1,2396,2396,2388.39,2636,2040,241109,575861176.55,18664,SRF
2023-12-20,EQ,2442.3,2494.5,2358.7,2430.15,2360.3,2371.1,2443.94,2636,2040,898142,2195007883.1,60854,SRF
2023-12-19,EQ,2445,2448.6,2415,2437.95,2431.9,2430.15,2427.77,2636,2040,249747,606328131.35,13829,SRF
2023-12-18,EQ,2439.75,2462,2431,2439.75,2433.5,2437.95,2446.97,2636,2040,229075,560539123.65,14077,SRF
2023-12-15,EQ,2415,2477,2415,2421.4,2438.9,2439.75,2455.48,2636,2040,621693,1526556912.1,35340,SRF
2023-12-14,EQ,2427,2436.75,2399.25,2411.55,2424.05,2421.4,2414.23,2636,2040,507202,1224499942.65,26192,SRF
2023-12-13,EQ,2395,2416,2378,2378.5,2416,2411.55,2394.63,2636,2040,501631,1201219168.65,32023,SRF
2023-12-12,EQ,2440,2454.25,2359.2,2431.75,2383,2378.5,2410.01,2636,2040,472046,1137635379.2,36638,SRF
2023-12-11,EQ,2425,2455,2415.6,2423.1,2440,2431.75,2431.07,2636,2040,768537,1868367721.3,24189,SRF
2023-12-08,EQ,2450.05,2462.2,2396.25,2442.2,2418,2423.1,2424.13,2636,2040,316577,767424046.45,27475,SRF
2023-12-07,EQ,2460,2460,2435.85,2452.1,2437.1,2442.2,2446.2,2636,2040,651430,1593525485.4,31469,SRF
2023-12-06,EQ,2468.95,2510,2442.8,2455.45,2458.45,2452.1,2476.29,2636,2040,693194,1716551014.1,41267,SRF
2023-12-05,EQ,2427.95,2478.25,2423.35,2427.45,2452,2455.45,2454.91,2636,2040,941927,2312347809.05,60811,SRF
2023-12-04,EQ,2435,2444.4,2412.85,2412.5,2429,2427.45,2428.17,2636,2040,365372,887185018.7,42144,SRF
2023-12-01,EQ,2364.8,2445,2360.8,2367.4,2405,2412.5,2417.77,2636,2040,1117033,2700726375.3,68382,SRF
2023-11-30,EQ,2351.7,2375,2341.1,2351.7,2373.45,2367.4,2359.9,2636,2040,554716,1309075785.5,27949,SRF
2023-11-29,EQ,2365,2365,2345,2351.6,2350,2351.7,2355.36,2636,2040,169254,398653271.45,21363,SRF
2023-11-28,EQ,2365,2365,2331.4,2359.4,2353.25,2351.6,2348.28,2636,2040,262258,615855980.4,39662,SRF
2023-11-24,EQ,2359.05,2383.25,2350.6,2359.6,2354,2359.4,2367.85,2636,2040,272673,645649227.3,25237,SRF
2023-11-23,EQ,2342,2364.1,2329.95,2333.1,2363.85,2359.6,2350.15,2636,2040,138094,324541553.65,13592,SRF
2023-11-22,EQ,2343.55,2368.45,2329,2353.55,2337,2333.1,2345.92,2636,2040,110135,258368359.25,11129,SRF
2023-11-21,EQ,2337.95,2358.6,2333.45,2329.25,2353,2353.55,2347.86,2636,2040,105600,247934106.2,9229,SRF
2023-11-20,EQ,2361.35,2362,2324.05,2361.35,2331,2329.25,2335.52,2636,2040,119747,279671065.15,11559,SRF
2023-11-17,EQ,2354.05,2378.85,2342.65,2354.05,2355.95,2361.35,2366,2636,2040,249581,590509511,20421,SRF
2023-11-16,EQ,2360.8,2365.95,2347.5,2360.8,2349,2354.05,2354.58,2636,2040,179132,421780836.15,11928,SRF
2023-11-15,EQ,2349,2364.5,2338.1,2336.95,2358.15,2360.8,2355.78,2636,2040,256187,603519616,21918,SRF
2023-11-13,EQ,2345.5,2358,2325.5,2348.05,2333.85,2336.95,2340.2,2636,2040,106449,249112076.2,12211,SRF
2023-11-12,EQ,2368,2368,2342,2351.2,2345.5,2348.05,2351.07,2636,2040,35217,82797531.45,4222,SRF
2023-11-10,EQ,2328,2354.95,2315.1,2337.35,2348,2351.2,2343.74,2636,2040,122114,286203254.15,13753,SRF
2023-11-09,EQ,2356.15,2356.5,2330.1,2352.6,2334.9,2337.35,2340.65,2636,2040,110366,258328469.7,11811,SRF
