DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1135,1149.4,1132.4,1131.4,1148.95,1147.45,1143.59,1190.95,686.6,1213292,1387505627.85,48787,TATACONSUM
2024-02-15,EQ,1140.05,1146.75,1127.25,1135.6,1134.35,1131.4,1134.79,1190.95,686.6,1278358,1450670681.55,60290,TATACONSUM
2024-02-14,EQ,1135.05,1139.85,1120,1137.8,1139,1135.6,1129.04,1190.95,686.6,1206706,1362415623.3,49150,TATACONSUM
2024-02-13,EQ,1123,1141.3,1118.2,1122.2,1137,1137.8,1131.33,1190.95,686.6,886148,1002527784.45,54226,TATACONSUM
2024-02-12,EQ,1130.05,1134.4,1075,1129.25,1121.9,1122.2,1123.89,1190.95,686.6,898953,1010325741.2,42725,TATACONSUM
2024-02-09,EQ,1142,1149.4,1119.85,1137.9,1128,1129.25,1132.66,1190.95,686.6,917196,1038871730.45,48645,TATACONSUM
2024-02-08,EQ,1160,1162.9,1125,1166.2,1140.95,1137.9,1140.1,1190.95,686.6,2477973,2825126989.85,136361,TATACONSUM
2024-02-07,EQ,1168.05,1175,1153.05,1163.55,1170.7,1166.2,1164.54,1190.95,686.6,864874,1007184238.25,56908,TATACONSUM
2024-02-06,EQ,1142.1,1166.8,1142.1,1150.75,1160.55,1163.55,1158.74,1190.95,686.6,1219085,1412599356,57085,TATACONSUM
2024-02-05,EQ,1169.9,1177,1146.3,1162.75,1152.5,1150.75,1161.31,1190.95,686.6,1266268,1470526139.6,64374,TATACONSUM
2024-02-02,EQ,1132,1170.7,1132,1129.65,1162.85,1162.75,1147.4,1190.95,686.6,1741322,1998000795.15,60775,TATACONSUM
2024-02-01,EQ,1118,1134.9,1108,1118,1132,1129.65,1119.38,1190.95,686.6,4728358,5292835709.2,100332,TATACONSUM
2024-01-31,EQ,1125,1127.5,1112,1122.9,1119,1118,1117.89,1190.95,686.6,2428738,2715059742.45,91841,TATACONSUM
2024-01-30,EQ,1144.95,1147.2,1120.65,1141.05,1125.55,1122.9,1132.01,1190.95,686.6,798009,903351484.7,42356,TATACONSUM
2024-01-29,EQ,1136.75,1149.2,1135,1136.75,1142,1141.05,1141.98,1190.95,686.6,1588430,1813949162.45,63480,TATACONSUM
2024-01-25,EQ,1160,1163.65,1132.35,1159,1135,1136.75,1144.68,1190.95,686.6,1125321,1288127051.3,54429,TATACONSUM
2024-01-24,EQ,1145.6,1161,1134,1145.65,1160,1159,1150.26,1190.95,686.6,1040096,1196378876.55,41118,TATACONSUM
2024-01-23,EQ,1158.95,1166,1138.25,1150.1,1145.1,1145.65,1151.5,1190.95,686.6,933643,1075090625.1,57704,TATACONSUM
2024-01-20,EQ,1168,1169,1148.1,1161.7,1151,1150.1,1156.27,1190.95,686.6,332777,384781384.25,19120,TATACONSUM
2024-01-19,EQ,1156.75,1165.6,1146.7,1146.8,1159.55,1161.7,1157.28,1190.95,686.6,900162,1041742949.55,50021,TATACONSUM
2024-01-18,EQ,1134.95,1150,1122.5,1138.6,1143.85,1146.8,1138.7,1190.95,686.6,1218211,1387175842.9,86852,TATACONSUM
2024-01-17,EQ,1134,1152.95,1131.9,1143.7,1138,1138.6,1142.18,1190.95,686.6,1272932,1453920474.7,59792,TATACONSUM
2024-01-16,EQ,1152.55,1162.55,1142,1150.8,1146,1143.7,1152.47,1190.95,686.6,1449691,1670718325.7,70087,TATACONSUM
2024-01-15,EQ,1190,1190.95,1134.75,1159,1152.5,1150.8,1152.01,1190.95,686.6,4237485,4881610595.2,133829,TATACONSUM
2024-01-12,EQ,1125.45,1165.55,1123.85,1119.25,1154.1,1159,1153.09,1165.55,686.6,6018282,6939622815.55,139807,TATACONSUM
2024-01-11,EQ,1117,1124.95,1112.05,1113.95,1120,1119.25,1118.51,1131.15,686.6,1084035,1212503027.1,58045,TATACONSUM
2024-01-10,EQ,1112,1117.7,1101,1111.65,1114.9,1113.95,1109.59,1131.15,686.6,933127,1035386977.95,50039,TATACONSUM
2024-01-09,EQ,1106,1120.15,1106,1104.95,1108.7,1111.65,1114.28,1131.15,686.6,998355,1112446404.7,56020,TATACONSUM
2024-01-08,EQ,1125.05,1129,1094.65,1122.95,1102.1,1104.95,1105.43,1131.15,686.6,1722755,1904378530.6,100670,TATACONSUM
2024-01-05,EQ,1125,1131.15,1117.05,1125.55,1120.8,1122.95,1124.24,1131.15,686.6,1207155,1357133128.35,51090,TATACONSUM
2024-01-04,EQ,1088.1,1128.6,1086.15,1084.95,1123.65,1125.55,1117.08,1128.6,686.6,2777186,3102330438.35,125598,TATACONSUM
2024-01-03,EQ,1097.95,1099.1,1082.7,1097.75,1089.8,1084.95,1090.99,1103.05,686.6,1100701,1200848343.3,60395,TATACONSUM
2024-01-02,EQ,1086.35,1103.05,1079.5,1080.1,1097.5,1097.75,1093.86,1103.05,686.6,2635193,2882541417.95,111067,TATACONSUM
2024-01-01,EQ,1093.85,1093.85,1076,1086.8,1079.75,1080.1,1083.11,1094,686.6,936544,1014378482.2,53508,TATACONSUM
2023-12-29,EQ,1053.95,1094,1047.7,1041,1089,1086.8,1076.92,1094,686.6,5017576,5403539953.75,158474,TATACONSUM
2023-12-28,EQ,1030.75,1050,1025.3,1026.75,1048.55,1041,1034.62,1050,686.6,2052402,2123460750.6,105204,TATACONSUM
2023-12-27,EQ,1014.95,1029,1010.1,1007.35,1027,1026.75,1019.9,1029,686.6,1799498,1835303185.45,100036,TATACONSUM
2023-12-26,EQ,993,1017,992.8,992.8,1006.5,1007.35,1008.7,1017,686.6,1804990,1820687823.35,73087,TATACONSUM
2023-12-22,EQ,986,998.3,979.65,979.3,989.85,992.8,991.21,1010,686.6,1491449,1478340078.85,68028,TATACONSUM
2023-12-21,EQ,976,983.9,963.05,976.3,978.65,979.3,977.01,1010,686.6,1588905,1552383265.25,86494,TATACONSUM
2023-12-20,EQ,975,1010,966.15,966.15,976.05,976.3,989.81,1010,686.6,4465789,4420262189.95,149138,TATACONSUM
2023-12-19,EQ,953,978,949.15,949.7,967.85,966.15,969.38,978,686.6,3897491,3778165058.9,130767,TATACONSUM
2023-12-18,EQ,956,958.2,945.3,954.7,947,949.7,952.34,963,686.6,999922,952268930.15,42970,TATACONSUM
2023-12-15,EQ,959.95,959.95,948.9,950.45,952.3,954.7,954.2,963,686.6,1155502,1102581398.55,54170,TATACONSUM
2023-12-14,EQ,960.8,960.8,944.1,957.3,953.5,950.45,950.95,963,686.6,1980762,1883602150.5,79217,TATACONSUM
2023-12-13,EQ,948,959.7,946.5,948.75,956.15,957.3,954.12,963,686.6,899820,858539105,35589,TATACONSUM
2023-12-12,EQ,953.05,961.95,943.6,950.45,949.65,948.75,952.95,963,686.6,732063,697619681.25,41454,TATACONSUM
2023-12-11,EQ,949.9,953,944.05,946.6,951.25,950.45,949.2,963,686.6,476174,451982544.4,25288,TATACONSUM
