DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-15,EQ,923.7,927,916.35,918.3,920.55,920.55,921.13,950,400.45,6430799,5923596433.3,182677,TATAMOTORS
2024-02-14,EQ,900,919.95,894.35,906.9,918.5,918.3,908.86,950,400.45,6570939,5972068977.2,183347,TATAMOTORS
2024-02-13,EQ,911.6,919.1,894,911.6,907.95,906.9,907.32,950,400.45,8574218,7779585680.05,231171,TATAMOTORS
2024-02-12,EQ,916.1,925,908,915,912,911.6,915.51,950,400.45,7286778,6671136318.9,208068,TATAMOTORS
2024-02-09,EQ,926,927.4,906.05,924.3,915.7,915,914.6,950,400.45,7904881,7229833132.7,270899,TATAMOTORS
2024-02-08,EQ,937,939.7,918.8,933.8,925,924.3,926.75,950,400.45,11576253,10728317488.9,305476,TATAMOTORS
2024-02-07,EQ,944,944,928.05,939.55,935,933.8,935.53,950,400.45,7913010,7402835642.1,286625,TATAMOTORS
2024-02-06,EQ,936.4,941.3,928.4,926.8,939.7,939.55,937.35,950,400.45,12714803,11918259367.8,326341,TATAMOTORS
2024-02-05,EQ,934,950,915.35,878.75,929.75,926.8,934.93,950,400.45,38686871,36169670768.7,647208,TATAMOTORS
2024-02-02,EQ,886,895.75,876.85,878.5,882.8,878.75,886.37,900.15,400.45,13003437,11525898374.5,317653,TATAMOTORS
2024-02-01,EQ,900,900.15,876.3,884.2,880,878.5,886.7,900.15,400.45,14505885,12862306257.75,290615,TATAMOTORS
2024-01-31,EQ,865.2,896.5,865.2,858.85,884.8,884.2,882.17,896.5,400.45,24562392,21668138577.05,408702,TATAMOTORS
2024-01-30,EQ,843,885.95,842.85,841,864.9,858.85,863.55,885.95,400.45,19734613,17041884369.1,349849,TATAMOTORS
2024-01-29,EQ,811.85,843.8,811.05,811.85,840.55,841,830.88,843.8,400.45,12823686,10654991884.6,250441,TATAMOTORS
2024-01-25,EQ,814,814.15,800.3,810.9,810.55,811.85,809.73,827.6,400.45,10109720,8186165890.1,182572,TATAMOTORS
2024-01-24,EQ,802.4,812,788.5,800.45,811.65,810.9,803.01,827.6,400.45,7217542,5795767502.25,183775,TATAMOTORS
2024-01-23,EQ,824.9,827.6,796.3,818.9,802.55,800.45,810.46,827.6,400.45,9436209,7647662373.75,224944,TATAMOTORS
2024-01-20,EQ,826,827,817.05,823.55,819.95,818.9,821.45,827,400.1,2837388,2330775194.85,76427,TATAMOTORS
2024-01-19,EQ,823.85,826,819.5,819.05,824,823.55,822.98,827,400.1,5706888,4696652130.95,156090,TATAMOTORS
2024-01-18,EQ,807,822.95,797,805.55,819.6,819.05,812.7,827,400.1,11500495,9346447986.25,280473,TATAMOTORS
2024-01-17,EQ,811,813.7,804,818.85,807.5,805.55,808.24,827,400.1,7895439,6381388279.55,216248,TATAMOTORS
2024-01-16,EQ,812.45,827,812.45,812.45,817.65,818.85,821.11,827,400.1,10159066,8341681993.5,221497,TATAMOTORS
2024-01-15,EQ,820,820.4,810.3,816.45,813.2,812.45,814.14,820.4,400.1,4835856,3937066936.9,197513,TATAMOTORS
2024-01-12,EQ,818.15,818.55,809.15,815.65,817.45,816.45,815.16,818.55,385,7664094,6247447301.25,153071,TATAMOTORS
2024-01-11,EQ,813.5,817.5,808.45,808.45,815.25,815.65,813.62,817.5,385,11075167,9010980254.8,266604,TATAMOTORS
2024-01-10,EQ,800,811,792.65,799.8,808.95,808.45,803.37,811,385,9980044,8017707344.25,182023,TATAMOTORS
2024-01-09,EQ,799.95,809.2,793.15,789.1,801,799.8,802.08,809.2,385,12872757,10324952552.85,264264,TATAMOTORS
2024-01-08,EQ,798.4,800.35,787.5,790.95,789.85,789.1,793.09,805.9,385,7668471,6081779068.55,226261,TATAMOTORS
2024-01-05,EQ,799,805.9,787.1,795.75,792,790.95,795.04,805.9,381,11091198,8817915485.35,267335,TATAMOTORS
2024-01-04,EQ,798,801.8,791.3,781.45,795.7,795.75,796.06,804,381,14298444,11382414604.35,311507,TATAMOTORS
2024-01-03,EQ,786.05,790,776.25,784.4,782.6,781.45,782.06,804,381,8559060,6693735336.4,235425,TATAMOTORS
2024-01-02,EQ,800.5,804,779,790.6,786,784.4,787.89,804,381,13791090,10865894988.45,292570,TATAMOTORS
2024-01-01,EQ,785,798.7,781.05,779.95,792,790.6,791.96,802.9,381,12570717,9955454953.9,280616,TATAMOTORS
2023-12-29,EQ,755,802.9,754,753.9,779.4,779.95,785.47,802.9,375.2,41170191,32337828533.8,593211,TATAMOTORS
2023-12-28,EQ,742.65,757.95,739.05,740.9,754.85,753.9,748.29,757.95,375.2,14906199,11154232289.65,243381,TATAMOTORS
2023-12-27,EQ,728,741.85,725.15,719.55,740.3,740.9,735.95,741.85,375.2,15052800,11078142060.15,288698,TATAMOTORS
2023-12-26,EQ,727.4,727.5,716.6,724.7,720,719.55,721.73,734.75,375.2,7229143,5217510087.8,195383,TATAMOTORS
2023-12-22,EQ,716.8,731,712,708.85,725,724.7,724.5,734.75,375.2,12062238,8739100445.3,288650,TATAMOTORS
2023-12-21,EQ,703,711.9,696.25,705.25,710,708.85,707.01,734.75,375.2,7702232,5445551052.7,208027,TATAMOTORS
2023-12-20,EQ,730.95,733,703.05,728.95,705.95,705.25,717.08,734.75,375.2,8107602,5813826453.4,208549,TATAMOTORS
2023-12-19,EQ,732.6,732.6,726,730.8,730,728.95,729.07,734.75,375.2,4511101,3288905953.1,153400,TATAMOTORS
2023-12-18,EQ,732.9,734.75,728.1,732.4,730.15,730.8,731.89,734.75,375.2,5450397,3989096171.75,183288,TATAMOTORS
2023-12-15,EQ,723.9,734,721.25,719.75,732.2,732.4,729.16,734,375.2,12082079,8809730061.5,220965,TATAMOTORS
2023-12-14,EQ,724,724.7,718.6,720.3,719.95,719.75,720.82,727.6,375.2,6732352,4852807881.05,155479,TATAMOTORS
2023-12-13,EQ,716,721.45,713.5,715.4,720.5,720.3,718.31,727.6,375.2,5807736,4171749157.4,152801,TATAMOTORS
2023-12-12,EQ,724.8,724.8,713,720.8,716,715.4,718.41,727.6,375.2,6461539,4642062987.95,172429,TATAMOTORS
2023-12-11,EQ,717.8,726.5,716.55,714.55,720.75,720.8,721.13,727.6,375.2,6403209,4617537214.85,136631,TATAMOTORS
2023-12-08,EQ,722.05,727.6,707.5,721.95,714.5,714.55,717.12,727.6,375.2,8557203,6136538608.15,229134,TATAMOTORS
2023-12-07,EQ,725,727.5,716,722.45,721.75,721.95,722.07,727.5,375.2,10451801,7546944469.05,197003,TATAMOTORS
2023-12-06,EQ,709.05,724.8,709,708.95,722.5,722.45,715.64,724.8,375.2,12148825,8694226516.95,245889,TATAMOTORS
2023-12-05,EQ,705.9,714.9,705,705.6,708.55,708.95,709.54,717.25,375.2,9601509,6812627274.95,195242,TATAMOTORS
2023-12-04,EQ,716,717,704.8,705.45,706.1,705.6,707.35,717.25,375.2,9348036,6612333178,207134,TATAMOTORS
2023-12-01,EQ,708,711,703,706.4,703.95,705.45,705.97,717.25,375.2,10565415,7458912379.35,220179,TATAMOTORS
2023-11-30,EQ,716.3,717.25,697,712.35,707,706.4,705.84,717.25,375.2,24275245,17134500655.9,392595,TATAMOTORS
2023-11-29,EQ,702.75,714.4,694.35,697.5,711.5,712.35,705.36,714.4,375.2,16122864,11372433940.25,279258,TATAMOTORS
2023-11-28,EQ,677.45,699.45,674.25,673.7,698,697.5,690.87,699.45,375.2,16015860,11064887990.05,288718,TATAMOTORS
2023-11-24,EQ,681.4,681.95,671.25,679.95,673.5,673.7,674.64,687.65,375.2,6951690,4689891526.8,162861,TATAMOTORS
2023-11-23,EQ,683.2,685.9,677.05,681.2,680.4,679.95,680.52,687.65,375.2,5885370,4005097852.4,156976,TATAMOTORS
2023-11-22,EQ,683.95,687.35,676.05,681.7,681.75,681.2,681.31,687.65,375.2,9279642,6322302825.1,249519,TATAMOTORS
2023-11-21,EQ,677,683.3,675,674.3,681,681.7,679.23,687.65,375.2,7291057,4952272141.25,179804,TATAMOTORS
2023-11-20,EQ,682,686.75,670.7,681.55,675,674.3,677.12,687.65,375.2,8324354,5636587207.8,198837,TATAMOTORS
2023-11-17,EQ,682.5,687.65,679.6,680.4,681.25,681.55,684.01,687.65,375.2,9563220,6541372582.1,202852,TATAMOTORS
2023-11-16,EQ,674,685.5,670.9,671.55,679.9,680.4,680.37,685.5,375.2,17501373,11907377470.2,343618,TATAMOTORS
2023-11-15,EQ,660,673.5,656.55,653.25,671.5,671.55,664.2,677.8,375.2,11324434,7521655337.35,227546,TATAMOTORS
2023-11-13,EQ,653,654,649.3,653.55,653.5,653.25,651.93,677.8,375.2,3279829,2138222126.85,109399,TATAMOTORS
2023-11-12,EQ,657.95,657.95,652.4,651.05,653.4,653.55,654.18,677.8,375.2,2245583,1469021511.9,89340,TATAMOTORS
2023-11-10,EQ,649.35,652.95,644,649.35,651.55,651.05,648.99,677.8,375.2,6425792,4170291613.5,127973,TATAMOTORS
2023-11-09,EQ,644,653.65,642.7,642.55,648.5,649.35,650.01,677.8,375.2,10155047,6600844432.3,166691,TATAMOTORS
2023-11-08,EQ,648,649.05,641.9,645,643.95,642.55,645.25,677.8,375.2,6551864,4227610818.6,134297,TATAMOTORS
2023-11-07,EQ,645,649.9,643.3,646.05,644.8,645,646.17,677.8,375.2,6588073,4257044483.85,158780,TATAMOTORS
2023-11-06,EQ,652.85,652.85,643.2,647.5,646.05,646.05,646.7,677.8,375.2,10801301,6985179880.45,218664,TATAMOTORS
2023-11-03,EQ,662,666,646.2,636.45,646.8,647.5,652.41,677.8,375.2,23087856,15062714284.35,366476,TATAMOTORS
2023-11-02,EQ,632,638.2,630.1,627.7,637.5,636.45,633.82,677.8,375.2,9934305,6296555682.9,198160,TATAMOTORS
2023-11-01,EQ,630,633.8,626.3,628.65,627.6,627.7,629.5,677.8,375.2,8785264,5530295098.75,166295,TATAMOTORS
2023-10-31,EQ,642,642,627.3,628.5,629.5,628.65,632.2,677.8,375.2,11395766,7204457704.4,226833,TATAMOTORS
2023-10-30,EQ,643.8,643.8,621.85,641.05,629.2,628.5,628.05,677.8,375.2,12786883,8030803018.35,282270,TATAMOTORS
2023-10-27,EQ,630,643.95,628.45,626.55,640.95,641.05,635.03,677.8,375.2,10232856,6498190078,217169,TATAMOTORS
2023-10-26,EQ,635,635.65,624.15,637.85,625.55,626.55,628.33,677.8,375.2,8889373,5585435011.6,258779,TATAMOTORS
2023-10-25,EQ,650,651.9,636.05,647.35,637.9,637.85,643.25,677.8,375.2,8229559,5293672839.95,240097,TATAMOTORS
2023-10-23,EQ,663.65,667.25,645,663.2,646.45,647.35,654.7,677.8,375.2,8564004,5606834849.65,203812,TATAMOTORS
2023-10-20,EQ,666.65,676.4,660.5,668.8,662.4,663.2,669.28,677.8,375.2,11759568,7870449935.35,222813,TATAMOTORS
2023-10-19,EQ,662.95,672.3,658.6,668.5,667.1,668.8,666.13,677.8,375.2,10633043,7082949540.35,233714,TATAMOTORS
2023-10-18,EQ,658.6,672.25,653.8,655.7,667.25,668.5,664.73,677.8,375.2,14908778,9910278989.95,266210,TATAMOTORS
2023-10-17,EQ,670,670.9,654.65,666.2,656,655.7,661.44,677.8,375.2,10263992,6788980511.6,236638,TATAMOTORS
2023-10-16,EQ,668.55,677.8,661.25,667.1,666.35,666.2,669.55,677.8,375.2,20005816,13394812067.35,398067,TATAMOTORS
2023-10-13,EQ,633.95,669,633,636.95,667.1,667.1,657.36,669,375.2,28011678,18413643893.45,332803,TATAMOTORS
2023-10-12,EQ,637,640.2,635.05,634,637.1,636.95,637.46,665.4,375.2,5928732,3779315590.75,125915,TATAMOTORS
2023-10-11,EQ,633,637.8,632.6,630.55,634.5,634,635.1,665.4,375.2,7701931,4891479943.65,135341,TATAMOTORS
2023-10-10,EQ,620,632.5,617.6,617.35,630.6,630.55,629.02,665.4,375.2,9833429,6185414512.95,206068,TATAMOTORS
2023-10-09,EQ,620.8,622,613.7,622.45,617,617.35,617.82,665.4,375.2,6381189,3942439639.7,172655,TATAMOTORS
2023-10-06,EQ,627,627.35,620,619.6,623.1,622.45,622.95,665.4,375.2,7922379,4935256762.3,227470,TATAMOTORS
2023-10-05,EQ,619,621.35,614.65,613.6,619.4,619.6,618.39,665.4,375.2,7893892,4881507887.3,224347,TATAMOTORS
2023-10-04,EQ,620.8,620.8,608.3,620.45,614.4,613.6,613.73,665.4,375.2,7612709,4672181567.9,224747,TATAMOTORS
2023-10-03,EQ,632.6,632.65,618.6,630.2,621.1,620.45,621.92,665.4,375.2,6894577,4287872037,171925,TATAMOTORS
2023-09-29,EQ,618.7,633,617,614.1,631,630.2,628.64,665.4,375.2,8969405,5638505877.9,151844,TATAMOTORS
2023-09-28,EQ,622.9,623.8,612.25,620.15,615,614.1,617.93,665.4,375.2,6768196,4182292216.3,134821,TATAMOTORS
2023-09-27,EQ,619.95,621.9,616.75,619.8,620.65,620.15,618.76,665.4,375.2,5960490,3688130393.2,149016,TATAMOTORS
2023-09-26,EQ,618.7,625.7,617.95,618.7,620,619.8,621.89,665.4,375.2,6271108,3899941784,124821,TATAMOTORS
2023-09-25,EQ,623.85,625.2,617.9,620.45,619,618.7,620.6,665.4,375.2,6390681,3966082058.55,130903,TATAMOTORS
2023-09-22,EQ,628,630.8,619,627.05,620.95,620.45,625.62,665.4,375.2,6551917,4099025027.3,150697,TATAMOTORS
2023-09-21,EQ,638.5,641.7,624,638.5,628.15,627.05,631.47,665.4,375.2,9266854,5851765688.55,202887,TATAMOTORS
2023-09-20,EQ,640.7,647,637,640.65,640,638.5,642.84,665.4,375.2,11777925,7571271157.35,211433,TATAMOTORS
2023-09-18,EQ,635.9,644.2,633.15,634.25,640.85,640.65,640.37,665.4,375.2,11108349,7113501339.1,177581,TATAMOTORS
2023-09-15,EQ,628.7,636.5,627.15,624.6,634.2,634.25,633.2,665.4,375.2,18917805,11978750794.85,250637,TATAMOTORS
2023-09-14,EQ,628.1,630.8,623.3,625.9,624.7,624.6,626.87,665.4,375.2,5722295,3587128293.1,138280,TATAMOTORS
2023-09-13,EQ,621,628.5,619.55,620.8,626,625.9,625.18,665.4,375.2,6988358,4368976331.95,141594,TATAMOTORS
2023-09-12,EQ,638,639,615.25,634.85,620.9,620.8,624.3,665.4,375.2,12541377,7829599452.25,238844,TATAMOTORS
2023-09-11,EQ,634.65,635.4,630.5,627.25,634.95,634.85,633.71,665.4,375.2,8780510,5564259558.2,201674,TATAMOTORS
2023-09-08,EQ,617.95,628.9,614.2,614.9,626.95,627.25,624.03,665.4,375.2,16190749,10103472512.75,206605,TATAMOTORS
2023-09-07,EQ,610.9,616.5,609.05,610.25,614.25,614.9,613.64,665.4,375.2,6520293,4001137081.85,112863,TATAMOTORS
2023-09-06,EQ,611.15,612.55,605.6,611.15,610.6,610.25,608.59,665.4,375.2,6520064,3968067590.8,142267,TATAMOTORS
2023-09-05,EQ,610,618.9,608.05,609,611.5,611.15,612.62,665.4,375.2,8560651,5244447608.85,131391,TATAMOTORS
2023-09-04,EQ,615.6,615.6,606,611.2,609.7,609,609.08,665.4,375.2,8392665,5111787835.65,173185,TATAMOTORS
2023-09-01,EQ,604.2,614.9,601.9,601,610.4,611.2,609.91,665.4,375.2,10297492,6280525718.1,182015,TATAMOTORS
2023-08-31,EQ,608.8,609.65,599.05,605.55,601.9,601,603.88,665.4,375.2,10544271,6367465563.95,149603,TATAMOTORS
2023-08-30,EQ,611.2,612.9,605,607.15,606.65,605.55,609.24,665.4,375.2,5676055,3458100346.7,110514,TATAMOTORS
2023-08-29,EQ,603.6,610.5,603.6,602.4,607.65,607.15,607.69,665.4,375.2,6956667,4227470423.75,108463,TATAMOTORS
2023-08-28,EQ,605.4,608.5,601.55,605.1,603,602.4,604.74,665.4,375.2,7479254,4523034713.6,136397,TATAMOTORS
2023-08-25,EQ,610.85,616.7,593.3,610.95,601.8,605.1,606.07,665.4,375.2,16075509,9742924758.5,224142,TATAMOTORS
2023-08-24,EQ,618,619,609.65,613.9,611.65,610.95,613.96,665.4,375.2,7096025,4356694947.5,126558,TATAMOTORS
2023-08-23,EQ,622.75,622.75,613.15,620.2,614.5,613.9,615.89,665.4,375.2,8248333,5080104176.5,132089,TATAMOTORS
2023-08-22,EQ,621.8,626.5,618.6,620.5,619.45,620.2,622.7,665.4,375.2,8534395,5314360611.05,119046,TATAMOTORS
2023-08-21,EQ,617,623.3,614.8,615.8,619.5,620.5,620.41,665.4,375.2,9580365,5943723319.55,160367,TATAMOTORS
2023-08-18,EQ,612.8,620.1,610.9,613.75,613.2,615.8,615.76,665.4,375.2,11190760,6890862422.1,191535,TATAMOTORS
2023-08-17,EQ,620,622,611,618.75,613.35,613.75,614.99,665.4,375.2,12119293,7453254415.4,196731,TATAMOTORS
2023-08-16,EQ,606.7,621.35,597.3,607.35,617.8,618.75,610.75,665.4,375.2,14562074,8893746444.75,218419,TATAMOTORS
2023-08-14,EQ,612,612,594.5,611.8,606.8,607.35,602.18,665.4,375.2,14492164,8726874255.65,328524,TATAMOTORS
2023-08-11,EQ,619.75,624.75,610,618.25,611.9,611.8,616.76,665.4,375.2,9347707,5765264757.15,172588,TATAMOTORS
2023-08-10,EQ,623,628.3,598,622.55,617.5,618.25,605.43,665.4,375.2,53116980,32158684030.15,279839,TATAMOTORS
2023-08-09,EQ,610.6,624,605.35,607.3,623.5,622.55,614.69,665.4,375.2,13362350,8213713920.75,190843,TATAMOTORS
2023-08-08,EQ,612.55,614.75,605.25,609.5,607.95,607.3,609.23,665.4,375.2,8863640,5400017786.55,200799,TATAMOTORS
2023-08-07,EQ,619,619,608.5,615,610,609.5,611.74,665.4,375.2,9893466,6052270883.65,184528,TATAMOTORS
2023-08-04,EQ,624.85,625,613.3,618.95,615.8,615,617.24,665.4,375.2,11806739,7287561209.6,203649,TATAMOTORS
2023-08-03,EQ,623,626.45,614.15,622.65,619.8,618.95,620.1,665.4,375.2,11458920,7105732473.2,188647,TATAMOTORS
2023-08-02,EQ,644,644.3,616.45,643.65,623,622.65,626.67,665.4,375.2,15762687,9878076233.55,275002,TATAMOTORS
2023-08-01,EQ,645,652.9,642,644.3,642.9,643.65,647.67,665.4,375.2,8924219,5779968945.75,170823,TATAMOTORS
2023-07-31,EQ,640.2,645.55,635.9,635.3,644.3,644.3,642.98,665.4,375.2,7502361,4823837741.5,172623,TATAMOTORS
2023-07-28,EQ,646,646,631.8,643.7,635.85,635.3,636.11,665.4,375.2,9299530,5915566105.65,168753,TATAMOTORS
2023-07-27,EQ,647,648.45,636.75,641.1,646,643.7,643.67,665.4,375.2,11696851,7528922145.5,219355,TATAMOTORS
2023-07-26,EQ,640,665.4,639,639.45,639,641.1,650.43,665.4,375.2,31673714,20601675207.2,439456,TATAMOTORS
2023-07-25,EQ,636,642.5,633.35,629.25,641.8,639.45,638.97,642.5,375.2,13988137,8937951714.05,240989,TATAMOTORS
