DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,614.8,629.9,613.7,610.25,620.45,620.65,624.18,631.8,202,2518812,1572200283.75,36401,TATAMTRDVR
2024-02-15,EQ,612.4,614.95,607.2,607.6,610.8,610.25,610.71,631.8,202,591081,360977564.95,17307,TATAMTRDVR
2024-02-14,EQ,592.75,608.8,592.45,599.95,608.5,607.6,602.03,631.8,202,1270780,765046871.7,30402,TATAMTRDVR
2024-02-13,EQ,600.4,606.1,590.4,600.35,600,599.95,599.33,631.8,202,1528679,916179104.5,31682,TATAMTRDVR
2024-02-12,EQ,604.95,612.75,594,605,600.4,600.35,602.68,631.8,202,1442956,869638931.25,26244,TATAMTRDVR
2024-02-09,EQ,611.7,612,597.5,611,605.25,605,604.15,631.8,202,1080587,652837643.1,27180,TATAMTRDVR
2024-02-08,EQ,618.55,621,608,618.4,611.7,611,613.14,631.8,202,1120104,686784364.65,33559,TATAMTRDVR
2024-02-07,EQ,623.75,625.15,615,619.35,619.7,618.4,618.99,631.8,202,1156465,715843082.75,35807,TATAMTRDVR
2024-02-06,EQ,619.7,623,614.4,614.95,620.5,619.35,619.59,631.8,202,1934121,1198365668.6,34364,TATAMTRDVR
2024-02-05,EQ,629.4,631.8,602.85,586.75,615.8,614.95,621.2,631.8,202,6541778,4063774831.4,95742,TATAMTRDVR
2024-02-02,EQ,588,594.8,584,582.5,588.8,586.75,589.14,594.8,202,1859105,1095271968.15,43199,TATAMTRDVR
2024-02-01,EQ,591.3,592.75,580.1,584,583.75,582.5,586.05,593.95,202,1743239,1021632357.35,48854,TATAMTRDVR
2024-01-31,EQ,575.95,593.95,575.15,571.4,582.9,584,582.55,593.95,202,4817498,2806416657.6,68553,TATAMTRDVR
2024-01-30,EQ,566.9,589.4,564.7,564.45,572.6,571.4,574.25,589.4,202,4288051,2462420359.3,57153,TATAMTRDVR
