DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,2599,2648.55,2579.05,2577.85,2637.55,2639.45,2620.99,2700,1445.55,179212,469713013.4,20574,TORNTPHARM
2024-02-15,EQ,2614.9,2617.85,2566.45,2604.25,2584.3,2577.85,2585.39,2700,1445.55,110816,286502338.35,15617,TORNTPHARM
2024-02-14,EQ,2614,2619.1,2575,2621.75,2607.25,2604.25,2593.39,2700,1445.55,179312,465025284.9,21331,TORNTPHARM
2024-02-13,EQ,2627.05,2633.35,2609,2619.65,2616.15,2621.75,2623.92,2700,1445.55,137215,360040862.7,16782,TORNTPHARM
2024-02-12,EQ,2650.95,2655.8,2604.6,2657.35,2620,2619.65,2625.49,2700,1445.55,96224,252635528.7,11112,TORNTPHARM
2024-02-09,EQ,2638.8,2673,2615.65,2645.9,2646.7,2657.35,2648.29,2700,1445.55,95974,254166778.2,15167,TORNTPHARM
2024-02-08,EQ,2650.45,2679.15,2635.4,2649.35,2644.95,2645.9,2662.23,2700,1445.55,167199,445122534.1,21727,TORNTPHARM
2024-02-07,EQ,2634.4,2700,2612.05,2610.75,2648,2649.35,2665.63,2700,1445.55,376095,1002529002.5,38940,TORNTPHARM
2024-02-06,EQ,2636,2642,2581,2643.7,2614.25,2610.75,2613.58,2685,1445.55,234980,614138679.45,34839,TORNTPHARM
2024-02-05,EQ,2580,2685,2540.05,2525.65,2638,2643.7,2640.54,2685,1445.55,588737,1554581794.85,56467,TORNTPHARM
2024-02-02,EQ,2520,2576,2480.65,2512.5,2511.8,2525.65,2523.86,2576,1445.55,456411,1151916936.6,47718,TORNTPHARM
2024-02-01,EQ,2537.5,2537.55,2487.15,2531.1,2504.05,2512.5,2505.87,2551.8,1445.55,136887,343020839.3,17193,TORNTPHARM
2024-01-31,EQ,2475.4,2540.25,2463,2473.15,2510.05,2531.1,2519.86,2551.8,1445.55,227428,573086691.3,22302,TORNTPHARM
2024-01-30,EQ,2441.45,2489.8,2441.45,2437.9,2466.5,2473.15,2474.25,2551.8,1445.55,110028,272237259.85,14696,TORNTPHARM
2024-01-29,EQ,2473.4,2484.55,2414,2473.4,2445,2437.9,2439.21,2551.8,1445.55,272821,665467400.25,27861,TORNTPHARM
2024-01-25,EQ,2510.95,2510.95,2458.55,2507.05,2475,2473.4,2474.39,2551.8,1445.55,287050,710274753.45,28748,TORNTPHARM
2024-01-24,EQ,2493.35,2515.9,2475.55,2493.35,2495,2507.05,2500.07,2551.8,1445.55,170599,426509444,33267,TORNTPHARM
2024-01-23,EQ,2540,2551.8,2467.35,2531.85,2496.4,2493.35,2505.86,2551.8,1445.55,306184,767253603.5,30740,TORNTPHARM
2024-01-20,EQ,2469.5,2540,2469.05,2463.85,2521.45,2531.85,2521.18,2540,1445.55,225132,567597230.05,20829,TORNTPHARM
2024-01-19,EQ,2469.8,2478,2446.5,2462.55,2463.55,2463.85,2465.76,2489.9,1445.55,117583,289931508.25,18050,TORNTPHARM
2024-01-18,EQ,2470,2479.15,2407.25,2472.2,2463.05,2462.55,2454.27,2489.9,1445.55,131306,322260037,12978,TORNTPHARM
2024-01-17,EQ,2438.1,2482.95,2416.55,2449.7,2469.95,2472.2,2461.72,2489.9,1445.55,306575,754700466.8,28942,TORNTPHARM
2024-01-16,EQ,2479.9,2479.9,2438,2475.15,2464.95,2449.7,2458.47,2489.9,1445.55,246441,605869012.35,21090,TORNTPHARM
2024-01-15,EQ,2475,2489.9,2452.75,2468.75,2478.9,2475.15,2471.88,2489.9,1445.55,112984,279282534.85,13436,TORNTPHARM
2024-01-12,EQ,2475.85,2475.85,2440.25,2468.95,2475,2468.75,2462.41,2476.5,1445.55,166278,409443794,18030,TORNTPHARM
2024-01-11,EQ,2359.3,2476.5,2359.3,2352.9,2463,2468.95,2450.59,2476.5,1445.55,693516,1699523053.25,47956,TORNTPHARM
2024-01-10,EQ,2339.85,2362.85,2323.05,2337.9,2352,2352.9,2345.47,2385.9,1445.55,221790,520202069.15,12488,TORNTPHARM
2024-01-09,EQ,2327.5,2365,2327.5,2324.6,2342.4,2337.9,2347.32,2385.9,1445.55,235412,552587477.6,18784,TORNTPHARM
2024-01-08,EQ,2375.35,2375.35,2312,2350.1,2312.5,2324.6,2340.54,2385.9,1445.55,249754,584559403.05,18745,TORNTPHARM
2024-01-05,EQ,2381,2381,2333,2371.7,2353.9,2350.1,2348.54,2385.9,1445.55,324466,762022987.2,20426,TORNTPHARM
2024-01-04,EQ,2355,2385.9,2330.85,2351.4,2370.9,2371.7,2364.88,2385.9,1445.55,337858,798994599.85,39231,TORNTPHARM
2024-01-03,EQ,2310.05,2368.2,2301.6,2322.2,2357,2351.4,2343.36,2368.2,1445.55,292829,686203759.05,29225,TORNTPHARM
2024-01-02,EQ,2300.95,2328.25,2291.6,2296.3,2324.75,2322.2,2312.1,2331.7,1445.55,235455,544395005.9,25893,TORNTPHARM
2024-01-01,EQ,2325,2331.7,2288.7,2305.55,2296,2296.3,2302.75,2331.7,1445.55,99208,228451157.15,13603,TORNTPHARM
2023-12-29,EQ,2256.5,2310.15,2249.35,2255.6,2303,2305.55,2293,2310.15,1445.55,194385,445725509.6,20618,TORNTPHARM
2023-12-28,EQ,2268.15,2278.15,2248.05,2263.75,2256.55,2255.6,2254.87,2302.85,1445.55,549145,1238248517.85,66420,TORNTPHARM
2023-12-27,EQ,2279.25,2302.85,2256.75,2282.3,2262.5,2263.75,2272.48,2302.85,1445.55,244967,556683139.2,29359,TORNTPHARM
2023-12-26,EQ,2223.9,2289.65,2223,2222.5,2280,2282.3,2263.8,2289.65,1445.55,277523,628256607.85,27437,TORNTPHARM
2023-12-22,EQ,2197,2235.6,2189.35,2195.2,2219.25,2222.5,2211.76,2235.6,1445.55,288655,638436224.1,22964,TORNTPHARM
2023-12-21,EQ,2135.5,2206.7,2113.8,2147.05,2198,2195.2,2179.02,2206.7,1445.55,272796,594427120.85,25198,TORNTPHARM
2023-12-20,EQ,2185,2200,2131.3,2170.55,2134.2,2147.05,2169.97,2200,1445.55,352547,765016481.45,36413,TORNTPHARM
2023-12-19,EQ,2166.8,2184.5,2147.6,2144.2,2170.95,2170.55,2165.38,2184.5,1445.55,342287,741179993.85,26480,TORNTPHARM
