DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,3970,4036.3,3930.3,3952.65,4000.85,4024.6,3997.73,4036.3,1272,736660,2944970855.9,64701,TRENT
2024-02-15,EQ,3931.1,4006.85,3875.75,3921,3945.6,3952.65,3930.3,4006.85,1272,964837,3792094200.9,96259,TRENT
2024-02-14,EQ,3802.15,3950.5,3792.1,3851.25,3929,3921,3873.43,3950.5,1272,725269,2809278627.6,56679,TRENT
2024-02-13,EQ,3785,3880,3767,3802.05,3850,3851.25,3837.15,3937.4,1272,1288707,4944964478.1,98103,TRENT
2024-02-12,EQ,3767.8,3834.65,3700.1,3759.55,3797,3802.05,3778.57,3937.4,1272,1087518,4109259723.7,83597,TRENT
2024-02-09,EQ,3800,3858,3667.1,3841.95,3752,3759.55,3747.49,3937.4,1206.05,2001715,7501414779.9,150444,TRENT
2024-02-08,EQ,3735.35,3937.4,3619.65,3607.5,3840,3841.95,3811.13,3937.4,1206.05,7374486,28105101429.25,392780,TRENT
2024-02-07,EQ,3080,3634.7,2955,3035,3626.3,3607.5,3410.41,3634.7,1206.05,5846891,19940271012.65,315250,TRENT
2024-02-06,EQ,3025,3121.4,3021.65,3027.15,3040,3035,3055.61,3295,1206.05,718388,2195114298.85,84959,TRENT
2024-02-05,EQ,3175,3180,3006.7,3126.05,3024,3027.15,3065.81,3295,1206.05,808544,2478841598,86979,TRENT
2024-02-02,EQ,3130,3213.15,3108,3102.8,3117,3126.05,3156.88,3295,1161.3,892545,2817654937.2,73642,TRENT
2024-02-01,EQ,3089,3133.8,3061.55,3086.95,3097.95,3102.8,3097.34,3295,1161.3,742113,2298575477.2,69836,TRENT
2024-01-31,EQ,3054,3104.5,2992.3,3054.95,3088.55,3086.95,3067.15,3295,1161.3,986931,3027064662.95,75009,TRENT
2024-01-30,EQ,3263,3275,3029.05,3246.4,3043.6,3054.95,3103.59,3295,1161.3,1206541,3744605289.7,87215,TRENT
2024-01-29,EQ,3248,3295,3225.6,3231.8,3249.9,3246.4,3259.49,3295,1161.3,604096,1969047304.15,50926,TRENT
2024-01-25,EQ,3223.05,3252.5,3180,3222.75,3243,3231.8,3214.18,3252.6,1155,489321,1572765421.1,36143,TRENT
2024-01-24,EQ,3164.1,3241.3,3130,3164.15,3226.5,3222.75,3204.74,3252.6,1155,339968,1089510374.7,45189,TRENT
2024-01-23,EQ,3207,3225.75,3150,3192.6,3160,3164.15,3183.7,3252.6,1155,344687,1097379741.15,36988,TRENT
2024-01-20,EQ,3229,3252.6,3187,3210.05,3187,3192.6,3216.95,3252.6,1155,196720,632837697.65,21404,TRENT
2024-01-19,EQ,3169.95,3218.75,3147.55,3151.75,3209.75,3210.05,3181.16,3240.95,1155,406436,1292939935.15,30863,TRENT
2024-01-18,EQ,3138,3185,3090,3147.85,3155,3151.75,3146.35,3240.95,1155,439730,1383545800,36662,TRENT
2024-01-17,EQ,3153,3183.95,3117.15,3166.1,3156.15,3147.85,3153.56,3240.95,1155,420338,1325563177.95,45434,TRENT
2024-01-16,EQ,3203.55,3224.9,3143.15,3193.3,3168,3166.1,3170.4,3240.95,1155,370700,1175268966.65,39560,TRENT
2024-01-15,EQ,3238,3238,3180.5,3212.15,3200,3193.3,3204.83,3240.95,1155,381958,1224111277.05,37908,TRENT
2024-01-12,EQ,3203,3240.95,3162.1,3175.8,3220,3212.15,3201.9,3240.95,1155,597455,1912989344.1,56049,TRENT
2024-01-11,EQ,3190,3213.2,3168.5,3173.6,3178.9,3175.8,3192.26,3213.2,1155,485141,1548694078.5,53002,TRENT
2024-01-10,EQ,3126.5,3189.95,3112.15,3115.45,3167.05,3173.6,3165.07,3189.95,1155,951897,3012821736.05,63783,TRENT
2024-01-09,EQ,3069,3143,3058.8,3044.55,3117.15,3115.45,3118.03,3143,1155,723237,2255077411.45,68115,TRENT
2024-01-08,EQ,3080.95,3083.2,3037.8,3065.55,3048.4,3044.55,3056.75,3108.45,1155,303947,929090923.9,39150,TRENT
2024-01-05,EQ,3085.45,3096.55,3045,3067.85,3070,3065.55,3067.98,3108.45,1155,258565,793272681.75,21958,TRENT
2024-01-04,EQ,3074,3108.45,3060.85,3058.35,3083.1,3067.85,3081.02,3108.45,1155,299498,922757890.1,33769,TRENT
2024-01-03,EQ,3009,3107.9,2988.35,2995.2,3056,3058.35,3057.5,3107.9,1155,714968,2186016888.4,51322,TRENT
2024-01-02,EQ,3015.45,3017.9,2940.75,3002.1,2996,2995.2,2982.39,3067,1155,408928,1219580968.25,34379,TRENT
2024-01-01,EQ,3061.8,3067,2995.5,3054.95,3005,3002.1,3016.19,3067,1155,421730,1272017952.55,35942,TRENT
2023-12-29,EQ,3030.3,3060.35,3001.4,3026,3050.75,3054.95,3040.42,3060.35,1155,430702,1309512948.45,41054,TRENT
2023-12-28,EQ,3025,3045,3003,3010.75,3025.25,3026,3027.04,3059.7,1155,503705,1524734785.9,59118,TRENT
2023-12-27,EQ,2975.65,3059.7,2975.55,2970,3006.15,3010.75,3016.32,3059.7,1155,584065,1761724898.4,50350,TRENT
2023-12-26,EQ,2986.1,2991.95,2961.65,2965.5,2975.65,2970,2974.99,3025,1155,315645,939039675.5,34009,TRENT
2023-12-22,EQ,2978.8,2981.95,2928.35,2955.2,2968,2965.5,2964.58,3025,1155,518707,1537750730.85,26916,TRENT
2023-12-21,EQ,2909.95,2969.9,2879.5,2948.95,2969.9,2955.2,2934.31,3025,1155,631420,1852781333.15,48351,TRENT
2023-12-20,EQ,3022,3025,2927.7,3000.8,2952.85,2948.95,2971.72,3025,1155,713170,2119344892.05,64199,TRENT
2023-12-19,EQ,2988,3013.6,2957,2971.45,2992.7,3000.8,2987.39,3024.55,1155,533290,1593146383.9,46187,TRENT
2023-12-18,EQ,2998.55,3001.5,2961.2,2989.75,2977.5,2971.45,2978.85,3024.55,1155,646708,1926445417.4,50166,TRENT
2023-12-15,EQ,3000,3024.55,2980.05,2984.75,2993.8,2989.75,2999.24,3024.55,1155,682553,2047141485.75,57824,TRENT
2023-12-14,EQ,2990.2,2995,2944.5,2963.45,2990.35,2984.75,2970.05,2995,1155,425400,1263459264.35,42406,TRENT
2023-12-13,EQ,2895,2973.95,2887.05,2883.55,2963,2963.45,2944.51,2973.95,1155,887243,2612496563.7,73196,TRENT
2023-12-12,EQ,2896.9,2909.9,2849.7,2881.4,2881,2883.55,2883.16,2918,1155,462633,1333843301.25,51713,TRENT
2023-12-11,EQ,2858.95,2907.35,2841.1,2841.3,2885,2881.4,2881.18,2918,1155,577553,1664035918.1,52493,TRENT
2023-12-08,EQ,2857.3,2887.3,2800.2,2845.2,2844.45,2841.3,2837.64,2918,1155,688323,1953213922.1,56890,TRENT
