DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,2098.75,2186,2097.1,2093,2140,2138.75,2157.73,2186,1005,2287490,4935792396.8,102466,TVSMOTOR
2024-02-15,EQ,2105,2118.2,2051.45,2087.95,2087.9,2093,2082.29,2118.2,1005,754820,1571753845.8,59015,TVSMOTOR
2024-02-14,EQ,2031,2105,2021.2,2044.25,2105,2087.95,2065.57,2108.95,1005,597383,1233938230.8,39540,TVSMOTOR
2024-02-13,EQ,2035,2060.2,2021,2035.75,2036.95,2044.25,2042.88,2108.95,1005,436456,891627237.4,37065,TVSMOTOR
2024-02-12,EQ,2044,2054.45,2015.55,2037.6,2033.95,2035.75,2035.22,2108.95,1005,309481,629862030.9,33890,TVSMOTOR
2024-02-09,EQ,2044.8,2046,2005.7,2033.75,2041.45,2037.6,2026.06,2108.95,1005,235265,476662092.5,23294,TVSMOTOR
2024-02-08,EQ,2068,2073.55,2026.5,2063.95,2040,2033.75,2042.4,2108.95,1005,223855,457202227.35,22971,TVSMOTOR
2024-02-07,EQ,2054.1,2074.9,2039.95,2047.5,2058.1,2063.95,2059.85,2108.95,1005,413546,851843642.3,29006,TVSMOTOR
2024-02-06,EQ,2034,2068,2024.15,2024.15,2048,2047.5,2049.32,2108.95,1005,707510,1449915109,50413,TVSMOTOR
2024-02-05,EQ,2049.25,2077.65,2010.2,2045.3,2023.1,2024.15,2044.68,2108.95,1005,829877,1696836284.6,51386,TVSMOTOR
2024-02-02,EQ,1997.55,2048.6,1997.55,1995.25,2040.1,2045.3,2034.17,2108.95,990.05,830770,1689925671.35,43874,TVSMOTOR
2024-02-01,EQ,2017,2024.85,1985,2001.35,1997.1,1995.25,2003.26,2108.95,990.05,588605,1179128625.2,38214,TVSMOTOR
2024-01-31,EQ,1960.05,2006.85,1952.05,1957.6,1996.45,2001.35,1980.71,2108.95,990.05,1064182,2107831994.6,60648,TVSMOTOR
2024-01-30,EQ,1973.1,1996.85,1953.5,1964.7,1968.05,1957.6,1975.99,2108.95,990.05,1011435,1998582063.2,45122,TVSMOTOR
2024-01-29,EQ,1941,1974,1927.95,1941.1,1960,1964.7,1959.3,2108.95,990.05,1563040,3062465858.7,65420,TVSMOTOR
2024-01-25,EQ,2055,2055,1923.05,2000.95,1950,1941.1,1950.45,2108.95,968.55,2078701,4054407278.65,163139,TVSMOTOR
2024-01-24,EQ,1975,2015,1959.8,1987.35,2009,2000.95,1994.28,2108.95,968.55,903005,1800843993.5,62280,TVSMOTOR
2024-01-23,EQ,2015.45,2045.95,1978.6,2011.85,1994,1987.35,2005.09,2108.95,968.55,910575,1825787931.95,52515,TVSMOTOR
2024-01-20,EQ,2047,2053,1997.65,2037,2013.9,2011.85,2017.94,2108.95,967.55,208112,419957496.85,14273,TVSMOTOR
2024-01-19,EQ,2015.8,2045,2011,2011.5,2034.7,2037,2026.93,2108.95,967.55,747716,1515568651.95,43381,TVSMOTOR
2024-01-18,EQ,2016,2026.05,1980,2016.8,2011.6,2011.5,2007.24,2108.95,967.55,815604,1637110365.45,35658,TVSMOTOR
2024-01-17,EQ,2023.65,2047.5,2003.45,2033.65,2012.7,2016.8,2027.56,2108.95,967.55,727553,1475160018,64016,TVSMOTOR
2024-01-16,EQ,2030,2043.9,2013.35,2021.6,2030.1,2033.65,2023.22,2108.95,967.55,1347953,2727206825.95,35668,TVSMOTOR
2024-01-15,EQ,2098.3,2108.95,2011,2085.8,2028,2021.6,2032.31,2108.95,967.55,1349721,2743054353.85,70767,TVSMOTOR
2024-01-12,EQ,2100,2100,2062.8,2087.35,2098.3,2085.8,2075.18,2100,967.55,765951,1589484793.4,45952,TVSMOTOR
2024-01-11,EQ,2024.55,2095.5,2023.3,2020.25,2080,2087.35,2075.3,2095.5,967.55,1305313,2708921990.45,66595,TVSMOTOR
2024-01-10,EQ,2015.1,2022.95,1992.8,2018.9,2021.9,2020.25,2009.2,2062.9,967.55,650058,1306095055.1,39237,TVSMOTOR
2024-01-09,EQ,2039,2049,2005,2037.8,2020,2018.9,2021.6,2062.9,967.55,1424396,2879552107.85,51581,TVSMOTOR
2024-01-08,EQ,1994.8,2062.9,1980,1979.3,2038.8,2037.8,2033.29,2062.9,967.55,2195125,4463323158.25,89575,TVSMOTOR
2024-01-05,EQ,1989.8,2011.25,1969.25,1982.6,1977.55,1979.3,1992.84,2058.5,967.55,2259906,4503629951.95,39178,TVSMOTOR
2024-01-04,EQ,2008,2014.1,1979.3,1997.9,1980,1982.6,1986.56,2058.5,967.55,982876,1952546652.9,46375,TVSMOTOR
2024-01-03,EQ,1977,2015.9,1960.35,1969.15,1996.3,1997.9,1984.59,2058.5,967.55,837553,1662202064.55,40152,TVSMOTOR
2024-01-02,EQ,2025,2039.8,1952.15,2019.05,1974,1969.15,1980.44,2058.5,967.55,1407673,2787809404.25,80824,TVSMOTOR
2024-01-01,EQ,2032,2046.55,2012,2025.8,2012,2019.05,2030.06,2058.5,967.55,474552,963370078.15,34969,TVSMOTOR
2023-12-29,EQ,2013,2030,2000,2004.55,2028,2025.8,2019.14,2058.5,967.55,476136,961385051.95,29768,TVSMOTOR
2023-12-28,EQ,2015.45,2022,1995.35,2013.6,2013,2004.55,2007.01,2058.5,967.55,1261169,2531180809.75,64759,TVSMOTOR
2023-12-27,EQ,2008.7,2026,1990.55,1996.2,2014.05,2013.6,2011.72,2058.5,967.55,477198,959990336.25,35534,TVSMOTOR
2023-12-26,EQ,1967.5,2010.9,1967.5,1967.5,2000,1996.2,1998.63,2058.5,967.55,890867,1780516504.85,54094,TVSMOTOR
2023-12-22,EQ,1950,1988.8,1934.4,1945.7,1960,1967.5,1962.2,2058.5,967.55,1070784,2101089486.5,66673,TVSMOTOR
2023-12-21,EQ,1936,1971.95,1924.7,1949.2,1945,1945.7,1949.6,2058.5,967.55,733570,1430170372.95,51463,TVSMOTOR
2023-12-20,EQ,1984,1998.75,1943.15,1968.7,1946.35,1949.2,1968.47,2058.5,967.55,743248,1463061516.8,46784,TVSMOTOR
2023-12-19,EQ,2005,2009.6,1958.1,1999.65,1980,1968.7,1972.17,2058.5,967.55,1139789,2247854034.8,49869,TVSMOTOR
2023-12-18,EQ,2024,2035.3,1996.55,2018.55,2002.3,1999.65,2008.65,2058.5,967.55,936244,1880584716.5,36741,TVSMOTOR
2023-12-15,EQ,2052,2054.2,2003.8,2048.75,2018,2018.55,2022.13,2058.5,967.55,902030,1824022533.25,43872,TVSMOTOR
2023-12-14,EQ,2026,2058.5,2006.1,2022.3,2040,2048.75,2029.43,2058.5,967.55,1066303,2163985561.4,59671,TVSMOTOR
2023-12-13,EQ,1940,2027,1932.05,1937.8,2025,2022.3,1994.31,2027,967.55,2224533,4436410389.15,102339,TVSMOTOR
2023-12-12,EQ,1936,1951.35,1926.15,1932.4,1932.45,1937.8,1940.69,1958,967.55,716644,1390785342.9,30982,TVSMOTOR
2023-12-11,EQ,1907.15,1940,1903,1902.7,1935.9,1932.4,1919.4,1958,967.55,674733,1295081948.45,23932,TVSMOTOR
2023-12-08,EQ,1924.5,1930,1886.6,1920.2,1903,1902.7,1905.03,1958,967.55,493461,940058288.05,33610,TVSMOTOR
2023-12-07,EQ,1894.35,1929,1893.8,1888.75,1925.8,1920.2,1915.52,1958,967.55,720562,1380252549.85,51105,TVSMOTOR
2023-12-06,EQ,1889.1,1900.55,1871.75,1903,1890,1888.75,1889.15,1958,967.55,1053331,1989895680.15,51857,TVSMOTOR
2023-12-05,EQ,1918,1923.55,1895.25,1903.95,1903,1903,1906.81,1958,967.55,970173,1849933569.9,42243,TVSMOTOR
2023-12-04,EQ,1958,1958,1890,1909.8,1907,1903.95,1906.03,1958,967.55,818769,1560602286.85,53033,TVSMOTOR
2023-12-01,EQ,1883,1924,1867.7,1864.5,1905,1909.8,1904.29,1924,967.55,1269657,2417798990.05,48764,TVSMOTOR
2023-11-30,EQ,1853.25,1898,1850.05,1863.65,1896,1864.5,1861.65,1898,967.55,2171737,4043010531.55,53727,TVSMOTOR
2023-11-29,EQ,1830,1875.7,1822.55,1824.1,1856.4,1863.65,1854.05,1875.7,967.55,1212566,2248158045.65,53269,TVSMOTOR
2023-11-28,EQ,1800,1829.95,1799,1799.95,1822,1824.1,1810.66,1829.95,967.55,957141,1733056471.55,62872,TVSMOTOR
2023-11-24,EQ,1783,1818.4,1778.75,1776.05,1800.05,1799.95,1800.16,1818.4,967.55,1298959,2338328190.9,47752,TVSMOTOR
2023-11-23,EQ,1754,1784.95,1748.55,1739.3,1778,1776.05,1769.59,1784.95,967.55,1599755,2830914870.05,58971,TVSMOTOR
2023-11-22,EQ,1729.9,1744,1724.55,1724.65,1740,1739.3,1736.04,1764.9,967.55,2016499,3500729204,59304,TVSMOTOR
2023-11-21,EQ,1731.9,1738.25,1715.55,1719.25,1724,1724.65,1724.43,1764.9,967.55,521686,899609441.95,29912,TVSMOTOR
2023-11-20,EQ,1754.95,1764.9,1706,1747.6,1722.3,1719.25,1733.68,1764.9,967.55,1110928,1925988674.45,68144,TVSMOTOR
2023-11-17,EQ,1696.8,1754.65,1690,1684.15,1752.75,1747.6,1724.65,1754.65,967.55,1721816,2969536527.1,64568,TVSMOTOR
2023-11-16,EQ,1674.5,1688.5,1668.25,1673.15,1682.1,1684.15,1681.17,1688.5,967.55,468330,787341845.9,27739,TVSMOTOR
2023-11-15,EQ,1653.25,1676.7,1647.05,1648.05,1669.5,1673.15,1667.9,1676.7,967.55,1011532,1687136480.05,42960,TVSMOTOR
