DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,9875.05,9948,9851.1,9814.3,9895.65,9916.2,9915.85,10526,6991,250550,2484416790.85,51698,ULTRACEMCO
2024-02-15,EQ,9835.9,9839.15,9706,9787.8,9811.8,9814.3,9766.76,10526,6991,415090,4054083993.7,90416,ULTRACEMCO
2024-02-14,EQ,9802.05,9824.85,9703.95,9852.4,9809,9787.8,9759.59,10526,6991,417802,4077576719.5,71704,ULTRACEMCO
2024-02-13,EQ,9997.8,10004.7,9830.6,9963.85,9860,9852.4,9907.2,10526,6991,276453,2738874045.95,46896,ULTRACEMCO
2024-02-12,EQ,9951,10017.45,9906.9,9945.75,9960,9963.85,9969.02,10526,6991,191687,1910931183.15,30251,ULTRACEMCO
2024-02-09,EQ,10074.8,10074.8,9852,9997.65,9942,9945.75,9938.38,10526,6991,400823,3983530195.85,78829,ULTRACEMCO
2024-02-08,EQ,10290,10295,9950.5,10226.5,10017.5,9997.65,10078.37,10526,6991,320905,3234199773.85,69104,ULTRACEMCO
2024-02-07,EQ,10114,10287.6,10080.3,10048.75,10231,10226.5,10188.83,10526,6991,250184,2549081464.1,45525,ULTRACEMCO
2024-02-06,EQ,9980,10075,9920.3,9916.35,10066,10048.75,10029.44,10526,6991,250870,2516084466.9,41961,ULTRACEMCO
2024-02-05,EQ,10050,10128.3,9878.45,10098.55,9914.85,9916.35,9997.61,10526,6991,162473,1624341007,30295,ULTRACEMCO
2024-02-02,EQ,10000,10165.9,9992.3,9922.3,10073,10098.55,10074.46,10526,6642.55,334386,3368758877,80884,ULTRACEMCO
2024-02-01,EQ,10169.95,10233.25,9900.05,10167.35,9929.9,9922.3,10031.37,10526,6642.55,401503,4027624799.45,90625,ULTRACEMCO
2024-01-31,EQ,9960,10186.15,9903.15,9963.6,10145,10167.35,10110.33,10526,6642.55,341574,3453426646.05,54223,ULTRACEMCO
2024-01-30,EQ,10289.75,10320,9942,10274.05,9955.05,9963.6,10097.01,10526,6642.55,368827,3724048878.15,51067,ULTRACEMCO
2024-01-29,EQ,10000.1,10300,9989.5,9969.35,10237.6,10274.05,10202.51,10526,6642.55,334463,3412363501.4,57859,ULTRACEMCO
2024-01-25,EQ,9984.6,10048.2,9881.2,9990.5,10029.4,9969.35,9951.09,10526,6604.1,296269,2948199995.7,49415,ULTRACEMCO
2024-01-24,EQ,9865,10032.6,9734.6,9831,9998,9990.5,9935.02,10526,6604.1,272419,2706487335.7,53093,ULTRACEMCO
2024-01-23,EQ,10000,10085,9815,9997.4,9842,9831,9981.48,10526,6604.1,580285,5792101088.85,89883,ULTRACEMCO
2024-01-20,EQ,10200,10200,9906,10093.7,10005,9997.4,10033.95,10526,6604.1,138261,1387304005.45,25618,ULTRACEMCO
2024-01-19,EQ,9999,10128.7,9845,9892.25,10098.75,10093.7,10001.75,10526,6604.1,567616,5677154516.4,108150,ULTRACEMCO
2024-01-18,EQ,9854,9933.05,9770,9854.65,9894.2,9892.25,9866.62,10526,6604.1,278338,2746255362.9,62607,ULTRACEMCO
2024-01-17,EQ,9959,10046.1,9825,9969.6,9860,9854.65,9898.9,10526,6604.1,252817,2502609279.3,44503,ULTRACEMCO
2024-01-16,EQ,9953.95,10046.8,9880.35,9954.55,9969.95,9969.6,9976.31,10526,6604.1,146779,1464313049.7,38153,ULTRACEMCO
2024-01-15,EQ,9879,9996.8,9820,9808.45,9965,9954.55,9931.17,10526,6604.1,273931,2720454905.5,65364,ULTRACEMCO
2024-01-12,EQ,9979.95,9979.95,9794.05,9920.45,9822,9808.45,9844.19,10526,6604.1,376816,3709446888.35,72775,ULTRACEMCO
2024-01-11,EQ,9839.9,9944.95,9719.15,9776.2,9890,9920.45,9845.4,10526,6604.1,375210,3694092834.5,76758,ULTRACEMCO
2024-01-10,EQ,9898.95,9906.75,9730,9899.1,9790,9776.2,9779.81,10526,6604.1,374333,3660907447.4,69091,ULTRACEMCO
2024-01-09,EQ,9989.6,10016.95,9870.2,9934.5,9899.6,9899.1,9936.08,10526,6604.1,242925,2413723054.6,44724,ULTRACEMCO
2024-01-08,EQ,10078,10080,9925.05,10016.05,9934.95,9934.5,9976.51,10526,6604.1,176843,1764276406.65,35273,ULTRACEMCO
