DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,1420,1434,1402,1425.3,1422,1423.05,1417.66,1747,755,1531369,2170959240.5,78287,VBL
2024-02-15,EQ,1440,1456,1420.05,1430.7,1423.95,1425.3,1438.35,1747,755,1957092,2814975643.85,80849,VBL
2024-02-14,EQ,1394.65,1442,1384,1394.5,1434,1430.7,1407.47,1747,755,1372833,1932225831.9,71467,VBL
2024-02-13,EQ,1390.05,1409,1379,1389.35,1398,1394.5,1393.22,1747,755,1277737,1780170345.2,67890,VBL
2024-02-12,EQ,1379,1394.7,1367.05,1370,1389.4,1389.35,1383.66,1747,755,1289333,1783998200.45,81163,VBL
2024-02-09,EQ,1379.05,1409.9,1360.05,1375.35,1374,1370,1375.92,1747,755,2525432,3474779795,88287,VBL
2024-02-08,EQ,1349.5,1413.6,1345,1345.2,1378.9,1375.35,1380.83,1747,755,3303671,4561818493.25,113133,VBL
2024-02-07,EQ,1356,1364.5,1328.55,1347.15,1342,1345.2,1342.91,1747,755,1802321,2420362081.6,101335,VBL
2024-02-06,EQ,1321,1350,1308.2,1302.5,1346,1347.15,1335.84,1747,755,4157457,5553688204.7,179030,VBL
2024-02-05,EQ,1289.5,1320,1260,1285.75,1306.45,1302.5,1293.67,1747,755,4202812,5437070994,178900,VBL
2024-02-02,EQ,1271.1,1303.45,1271,1284.5,1284,1285.75,1288.9,1747,755,2161744,2786264807.3,77654,VBL
2024-02-01,EQ,1282.8,1288.9,1266.4,1280.4,1284.95,1284.5,1281.74,1747,755,1228164,1574188760.2,59328,VBL
2024-01-31,EQ,1231,1285,1231,1251.2,1276,1280.4,1257.35,1747,755,2199936,2766098017.75,104061,VBL
2024-01-30,EQ,1275.05,1283.75,1241.2,1269.55,1254.7,1251.2,1269.31,1747,755,2786643,3537105356.85,56572,VBL
2024-01-29,EQ,1250,1277.85,1249,1257.4,1270,1269.55,1265.62,1747,755,1829987,2316070863.45,85996,VBL
2024-01-25,EQ,1263.55,1265,1221,1266.35,1259.8,1257.4,1243.53,1747,755,3331395,4142691237.55,105207,VBL
2024-01-24,EQ,1261,1274.8,1253,1271.75,1268,1266.35,1264.8,1747,755,3071911,3885364553.15,65504,VBL
2024-01-23,EQ,1261,1279.75,1243.2,1260.4,1267.8,1271.75,1261.11,1747,755,1907173,2405157241.1,66880,VBL
2024-01-20,EQ,1285,1285.4,1258,1267.35,1262,1260.4,1268.45,1747,755,370668,470174962.45,20991,VBL
2024-01-19,EQ,1238.9,1282.4,1228,1230.15,1278.95,1267.35,1242.24,1747,755,2841357,3529636709.45,48665,VBL
2024-01-18,EQ,1244,1249.55,1196.4,1248.5,1229.75,1230.15,1227.71,1747,755,1854390,2276653474.3,79757,VBL
2024-01-17,EQ,1256,1263.6,1230.1,1266.1,1249.25,1248.5,1244.89,1747,755,2159125,2687878025.8,92847,VBL
2024-01-16,EQ,1273.8,1276,1256.05,1271.7,1266,1266.1,1267.45,1747,755,1320740,1673966849.35,47128,VBL
2024-01-15,EQ,1276,1280,1261.4,1265.05,1272,1271.7,1266.97,1747,755,1502401,1903499898.55,49556,VBL
2024-01-12,EQ,1271.1,1277.95,1258.5,1278.1,1266,1265.05,1265.23,1747,755,2631987,3330070416.75,63884,VBL
2024-01-11,EQ,1282.35,1287.25,1267.05,1268.7,1275.5,1278.1,1278.11,1747,755,923775,1180681968.2,28845,VBL
2024-01-10,EQ,1297,1304.95,1260.05,1297.55,1273.8,1268.7,1279.06,1747,755,1530973,1958198841,54146,VBL
2024-01-09,EQ,1272.8,1309.95,1271.05,1269.5,1296.8,1297.55,1295.89,1747,755,1773125,2297781216,77240,VBL
2024-01-08,EQ,1279.15,1293.95,1260,1279.15,1271,1269.5,1277.94,1747,755,1654957,2114942415.15,83725,VBL
2024-01-05,EQ,1260,1283,1244.25,1260,1277,1279.15,1266.52,1747,755,2029763,2570726804.15,62485,VBL
2024-01-04,EQ,1246,1277.4,1234,1225.8,1262,1260,1256.11,1747,755,2387192,2998564424.75,91754,VBL
