DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,269.25,272,265.1,267.95,266,266.8,268.36,317.9,208,16394886,4399677273.7,118590,VEDL
2024-02-15,EQ,282.55,284,267,279.65,268,267.95,274.09,317.9,208,108103036,29629850877.05,302693,VEDL
2024-02-14,EQ,269,282.6,264.55,269.5,282.55,279.65,276.25,317.9,208,11916664,3291984333.55,80667,VEDL
2024-02-13,EQ,267.55,271,260.7,268.15,269.85,269.5,265.82,317.9,208,4469509,1188104960.45,50117,VEDL
2024-02-12,EQ,276.95,281.05,265.05,274.35,267.5,268.15,271.86,317.9,208,6191878,1683320964.9,59983,VEDL
2024-02-09,EQ,279,280.45,268.4,278.6,274.4,274.35,273.21,317.9,208,4627489,1264295010.1,48047,VEDL
2024-02-08,EQ,284,285.5,276.6,282.3,278.95,278.6,281.22,317.9,208,6966850,1959202899.85,56182,VEDL
2024-02-07,EQ,285,285.85,277.6,283,282.4,282.3,281.91,317.9,208,7603119,2143410061.7,65783,VEDL
2024-02-06,EQ,273.7,284.5,269.85,273.6,281.95,283,278.49,317.9,208,11559491,3219209987.15,92611,VEDL
2024-02-05,EQ,272.85,279.85,271.55,272.55,273.95,273.6,275.74,317.9,208,10619393,2928196869,97804,VEDL
2024-02-02,EQ,270.2,276.8,268.75,268.5,271.8,272.55,272.93,338.25,208,9665486,2637965839.4,74171,VEDL
2024-02-01,EQ,275.45,276.5,265.05,273.85,268.6,268.5,270.7,338.25,208,7974578,2158728575.4,71851,VEDL
2024-01-31,EQ,266.8,276.9,265.75,266.25,275.2,273.85,271.62,338.25,208,9537630,2590646735.9,78414,VEDL
2024-01-30,EQ,268.15,271.3,265.25,267.8,265.75,266.25,268.29,338.25,208,6620878,1776311636.35,49221,VEDL
2024-01-29,EQ,263.75,269.15,260.5,263.6,267.4,267.8,265.89,338.25,208,11648515,3097168995.2,75379,VEDL
2024-01-25,EQ,264.35,266.8,260.65,262.55,263.85,263.6,263.33,338.25,208,5195068,1368017633,46100,VEDL
2024-01-24,EQ,254.8,263.3,253.1,252.15,262.95,262.55,259.53,338.25,208,6563186,1703375459.9,61965,VEDL
2024-01-23,EQ,266.85,267,250.65,264.85,252.95,252.15,257.01,338.25,208,8740319,2246317442.3,99874,VEDL
