DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-15,EQ,516.95,522.85,513.05,514.5,517.7,518.5,518.83,529,352,7285388,3779913374.25,139433,WIPRO
2024-02-14,EQ,503.95,517,497.05,511.6,512.75,514.5,507.88,529,352,11297328,5737687587.4,138332,WIPRO
2024-02-13,EQ,503.1,513,491.7,501.45,511.5,511.6,504.28,529,352,11186788,5641264185.9,138027,WIPRO
2024-02-12,EQ,491,510.8,491,490.45,501.15,501.45,504.66,529,352,24436750,12332175483.15,270583,WIPRO
2024-02-09,EQ,490.9,494.75,482.75,488.85,491,490.45,488.69,529,352,3946894,1928809821.3,98190,WIPRO
2024-02-08,EQ,495.9,500.1,485.1,495.2,489,488.85,492.54,529,352,5651920,2783794237.35,132052,WIPRO
2024-02-07,EQ,500.95,501.7,492.55,499.65,495.1,495.2,496.51,529,352,4551767,2260005484.7,98302,WIPRO
2024-02-06,EQ,484.7,501.8,483.1,482.35,499.45,499.65,496.86,529,352,14512019,7210461310.9,206606,WIPRO
2024-02-05,EQ,483,489.5,479.15,483.15,482.5,482.35,484.49,529,352,5783302,2801949885.55,104970,WIPRO
2024-02-02,EQ,475,486.5,475,471.35,483.8,483.15,481.32,529,352,8148111,3921865076.4,143077,WIPRO
2024-02-01,EQ,477.55,477.7,470.6,478.15,471.4,471.35,473.04,529,352,3914060,1851496740.95,94070,WIPRO
2024-01-31,EQ,472.5,479.9,469,472.5,477,478.15,474.77,529,352,5292240,2512600122.9,102548,WIPRO
2024-01-30,EQ,474.4,482.9,471.5,473,472.55,472.5,477.82,529,352,5914007,2825837433.5,113702,WIPRO
2024-01-29,EQ,470,477,470,470,473.05,473,474.11,529,352,5025650,2382701969.55,95169,WIPRO
2024-01-25,EQ,478.05,479.35,468.55,478.05,471.85,470,472.58,529,352,6426490,3037056380.6,132676,WIPRO
2024-01-24,EQ,471,479,468.05,469.9,478.75,478.05,472.97,529,352,5854375,2768938795.8,116149,WIPRO
2024-01-23,EQ,478.05,486,467.05,477.95,471.5,469.9,477.07,529,352,9986168,4764074713.6,142848,WIPRO
2024-01-20,EQ,486.4,488.9,469.05,485.05,478.3,477.95,479.48,529,352,6045801,2898837065.15,114091,WIPRO
2024-01-19,EQ,488,493.35,483.6,482.65,484.9,485.05,487.18,529,352,7749310,3775292896.75,136626,WIPRO
2024-01-18,EQ,482.4,489,468.4,482.4,482.3,482.65,478.52,529,352,13072462,6255499769.45,200207,WIPRO
2024-01-17,EQ,475.15,491.5,472,485,483,482.4,483.21,529,352,14334466,6926540674.7,178223,WIPRO
2024-01-16,EQ,495,495,480.5,494.6,485.75,485,485.37,529,352,12956246,6288565190.3,206078,WIPRO
2024-01-15,EQ,511.95,529,489.15,465.45,495.1,494.6,504.57,529,352,63922132,32253108339.25,561618,WIPRO
2024-01-12,EQ,455,469,455,448.2,466,465.45,465.19,483.5,352,18043367,8393507441.2,418036,WIPRO
2024-01-11,EQ,454.95,456.9,446.7,453.6,448.55,448.2,451.39,483.5,352,4319409,1949738022.65,114196,WIPRO
2024-01-10,EQ,451.45,456,449,450.75,455.65,453.6,452.29,483.5,352,4437338,2006949671.7,91350,WIPRO
2024-01-09,EQ,458,462.5,449.95,450.35,451.5,450.75,456.18,483.5,352,7232524,3299300580.6,135994,WIPRO
2024-01-08,EQ,457.5,460,449.05,456.6,450.6,450.35,453.95,483.5,352,5041443,2288576121.25,122009,WIPRO
2024-01-05,EQ,455.05,463,453.5,452.4,456.05,456.6,458.35,483.5,352,8444565,3870600023.95,177606,WIPRO
2024-01-04,EQ,457,459.85,451.4,455.9,452.45,452.4,454.67,483.5,352,7585168,3448736823.65,152999,WIPRO
2024-01-03,EQ,463.9,463.9,455,469.2,456,455.9,458.42,483.5,352,9767182,4477457367.05,208213,WIPRO
2024-01-02,EQ,478,478,464.3,477.15,469.55,469.2,469.7,483.5,352,7141257,3354229294,124248,WIPRO
2024-01-01,EQ,473,483.5,468.3,471.3,474.8,477.15,477.34,483.5,352,10173639,4856283990.3,139809,WIPRO
2023-12-29,EQ,470.95,475.35,466.1,469.45,470.8,471.3,471.63,477.4,352,7980570,3763868120.8,130529,WIPRO
2023-12-28,EQ,472.55,477.4,467.65,470.95,469,469.45,471.54,477.4,352,8419978,3970370034.45,152805,WIPRO
2023-12-27,EQ,468.5,475.4,464.1,470.1,470,470.95,470.25,475.8,352,12631496,5939928530.5,200199,WIPRO
2023-12-26,EQ,454,475.8,448.35,462.65,469.7,470.1,466.73,475.8,352,27314322,12748299048.1,326049,WIPRO
2023-12-22,EQ,435.3,466.3,434,434,461.9,462.65,455.69,466.3,352,23040407,10499349828.9,317516,WIPRO
2023-12-21,EQ,428.9,436.5,427.2,431.95,434.9,434,433.27,453.5,352,5331504,2310002064.65,145804,WIPRO
2023-12-20,EQ,442,449.5,429.35,438.7,430.5,431.95,441.59,453.5,352,13224971,5840016260.2,241669,WIPRO
2023-12-19,EQ,445.6,447.35,435,445.25,438.2,438.7,439.32,453.5,352,8032347,3528763708,189808,WIPRO
2023-12-18,EQ,446,453.5,442,446.55,444.3,445.25,447.94,453.5,352,10091036,4520140211.05,191284,WIPRO
2023-12-15,EQ,436.05,449.5,433.5,434.4,445.8,446.55,444.43,449.5,352,20783617,9236917892.75,296539,WIPRO
2023-12-14,EQ,423.5,436,423.25,419.65,434,434.4,431.28,443.75,352,12340688,5322308022.95,214863,WIPRO
2023-12-13,EQ,423.55,424.3,415,422.2,419.9,419.65,418.87,443.75,352,4848408,2030865280.15,99654,WIPRO
2023-12-12,EQ,420.7,427.9,420.15,420.6,422,422.2,424.02,443.75,352,5951682,2523631269.95,117032,WIPRO
2023-12-11,EQ,420,422.2,417.25,422.6,420,420.6,420.33,443.75,352,5042121,2119333559.45,101686,WIPRO
2023-12-08,EQ,418.8,424.5,415,418.25,424,422.6,420.5,443.75,352,7739561,3254503888.5,132597,WIPRO
2023-12-07,EQ,420,421.5,416.65,418.75,418.3,418.25,418.75,443.75,352,5625276,2355600588.35,105558,WIPRO
2023-12-06,EQ,406.75,420.4,405.95,404.35,420.3,418.75,414.25,443.75,352,11041035,4573770109.1,155387,WIPRO
2023-12-05,EQ,407.4,409,402.1,407.45,404.65,404.35,404.44,443.75,352,5582684,2257860909.45,94367,WIPRO
2023-12-04,EQ,412.7,413,406.75,407.65,407.3,407.45,408.63,443.75,352,5331236,2178524098.9,92832,WIPRO
2023-12-01,EQ,413.75,413.75,406.5,413.05,407.1,407.65,408.45,443.75,352,4915213,2007634999.6,94634,WIPRO
2023-11-30,EQ,406.95,414.5,404.05,406.25,411.8,413.05,410.05,443.75,352,9912979,4064852962.85,139985,WIPRO
2023-11-29,EQ,398,408.55,398,396.85,406.05,406.25,405.24,443.75,352,7772043,3149535327.95,108955,WIPRO
2023-11-28,EQ,397,398.75,393.1,396,397.2,396.85,395.55,443.75,352,4072657,1610943054.25,93527,WIPRO
2023-11-24,EQ,402.5,403.5,395.55,402.5,396,396,398.14,443.75,352,3125283,1244299168.6,69437,WIPRO
2023-11-23,EQ,400.5,405,400.5,400.25,402.8,402.5,402.65,443.75,352,4838680,1948312363.15,94371,WIPRO
2023-11-22,EQ,402.5,402.6,399.1,400.65,400.5,400.25,400.78,443.75,352,2659291,1065789721.1,65892,WIPRO
2023-11-21,EQ,402.6,402.6,400.05,400.2,400.55,400.65,401.1,443.75,352,2720124,1091038207.5,72441,WIPRO
2023-11-20,EQ,393.2,401.1,393.2,395.4,400.15,400.2,399.28,443.75,352,4305248,1718988192.75,85321,WIPRO
2023-11-17,EQ,398,399,394.5,397.1,394.9,395.4,396.56,443.75,352,3943464,1563830351,84552,WIPRO
2023-11-16,EQ,391.65,399.5,389.3,391.65,396.75,397.1,395.6,443.75,352,6921788,2738242303.6,124565,WIPRO
2023-11-15,EQ,385.55,392.25,384.25,381.65,391.45,391.65,389.52,443.75,352,5396259,2101967980.65,125802,WIPRO
2023-11-13,EQ,382.6,382.9,380,382.45,382.05,381.65,381.07,443.75,352,1792951,683234046.35,63717,WIPRO
2023-11-12,EQ,383.4,383.4,381.45,379.3,383,382.45,382.46,443.75,352,1011662,386919203.35,39907,WIPRO
2023-11-10,EQ,380.3,381.8,377,380.85,379.75,379.3,378.54,443.75,352,5355350,2027215362.3,95452,WIPRO
2023-11-09,EQ,383,384,379.7,382.2,381.2,380.85,381.44,443.75,352,4615563,1760564503.1,85875,WIPRO
2023-11-08,EQ,384.6,385.85,381.5,383.3,382.6,382.2,383.2,443.75,352,3551026,1360752175.85,81593,WIPRO
2023-11-07,EQ,384.9,387,382.85,384.65,384,383.3,384.53,443.75,352,2846089,1094413257.15,73620,WIPRO
2023-11-06,EQ,386,386.45,383,383.55,385.45,384.65,384.95,443.75,352,2469968,950811621.7,64533,WIPRO
2023-11-03,EQ,386,386.7,382.65,383.65,383.75,383.55,384.03,443.75,352,2645764,1016051515.8,66538,WIPRO
2023-11-02,EQ,383.8,385.15,382.1,380.95,384,383.65,383.61,443.75,352,2371365,909680621.95,76797,WIPRO
2023-11-01,EQ,383.85,385.55,380.15,381.8,381,380.95,382.86,443.75,352,2120976,812033838.95,63993,WIPRO
2023-10-31,EQ,383.2,384.1,379.15,382,382.9,381.8,381.65,443.75,352,3076768,1174257250.05,81595,WIPRO
2023-10-30,EQ,384,384.35,380.4,382.35,382.7,382,382.15,443.75,352,2344372,895902136.95,85164,WIPRO
2023-10-27,EQ,379.05,384.35,379.05,378.25,382.9,382.35,382.23,443.75,352,3101406,1185453978.15,102257,WIPRO
2023-10-26,EQ,378.8,380.55,375.05,381.85,378.9,378.25,377.98,443.75,352,5497791,2078044658.85,155825,WIPRO
2023-10-25,EQ,384.4,387.7,381.1,383.15,381.95,381.85,383.88,443.75,352,3339147,1281842932.25,108480,WIPRO
2023-10-23,EQ,390.85,393,382.2,391.85,383,383.15,387.22,443.75,352,4418913,1711082132.75,118406,WIPRO
2023-10-20,EQ,395.05,396.05,391,395.3,392,391.85,393.33,443.75,352,4214668,1657748683.8,117931,WIPRO
2023-10-19,EQ,391.95,396.75,390.1,407.45,395.05,395.3,394.25,443.75,352,12814551,5052135324.35,224639,WIPRO
2023-10-18,EQ,409,413.65,407,411.4,407.5,407.45,409.96,443.75,352,2440533,1000528311.7,78113,WIPRO
2023-10-17,EQ,411.7,413.85,411.05,410.2,411.1,411.4,412.2,443.75,352,2989694,1232352075.6,70496,WIPRO
2023-10-16,EQ,411,411.9,408.15,411.05,410.1,410.2,410,443.75,352,2638826,1081915244.6,65869,WIPRO
2023-10-13,EQ,411.9,414.4,409.05,417.1,411,411.05,410.98,443.75,352,5457027,2242739239.25,98723,WIPRO
2023-10-12,EQ,421.75,421.9,414.7,421.15,416.7,417.1,418.19,443.75,352,5117199,2139978545.05,112919,WIPRO
2023-10-11,EQ,409,423.95,409,407.75,421.1,421.15,419.91,443.75,352,9546114,4008512518.5,126117,WIPRO
2023-10-10,EQ,406.4,408.75,406.2,405.6,407.65,407.75,407.33,443.75,352,2564007,1044394930.05,72323,WIPRO
2023-10-09,EQ,404.2,411,403.4,407.85,404.65,405.6,407.5,443.75,352,3015225,1228709165.5,84648,WIPRO
2023-10-06,EQ,408,409.8,406.95,406.8,407.5,407.85,408.13,443.75,352,3182502,1298872462.55,79780,WIPRO
2023-10-05,EQ,407.95,410.4,405,404.9,407,406.8,407.32,443.75,352,4062652,1654813474.85,98802,WIPRO
2023-10-04,EQ,402.7,405.45,400.65,405.45,405.45,404.9,402.85,443.75,352,3452935,1390999694.7,88104,WIPRO
2023-10-03,EQ,406.45,408.1,403.6,406.05,405.75,405.45,405.49,443.75,352,2864052,1161351096.15,75683,WIPRO
2023-09-29,EQ,405,409.25,401.5,405.35,406.5,406.05,405.07,443.75,352,6390136,2588423523.9,118975,WIPRO
2023-09-28,EQ,416.5,416.5,404,415.65,407,405.35,408.35,443.75,352,8438058,3445701040.7,137144,WIPRO
