DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,156.9,160,155.35,154.85,157,156.7,157.37,160,49,61209337,9632516340.25,220755,ZOMATO
2024-02-15,EQ,157,159.2,154,152.25,155.5,154.85,156.3,159.2,49,77367585,12092564019.05,297454,ZOMATO
2024-02-14,EQ,152.95,153.75,150.1,154.75,152.3,152.25,152.46,158.8,49,38221083,5827166431.65,239211,ZOMATO
2024-02-13,EQ,154.35,157.9,149,153.8,154.9,154.75,153.86,158.8,49,79935680,12298820339.95,362074,ZOMATO
2024-02-12,EQ,151,158.8,149.5,149.45,153.55,153.8,154.9,158.8,49,155848102,24140895292.8,628198,ZOMATO
2024-02-09,EQ,146.9,151.4,142.25,144.1,149.1,149.45,148.02,151.4,47.55,257918995,38178277998.65,641908,ZOMATO
2024-02-08,EQ,142.5,147.5,139,140.4,142,144.1,144.07,147.5,47.55,184839649,26629403633.45,357170,ZOMATO
2024-02-07,EQ,141,142.9,139.65,139.95,140.85,140.4,140.72,145.4,47.55,75083259,10566059322.75,150273,ZOMATO
2024-02-06,EQ,140.4,141.8,138.05,140.25,140,139.95,140.05,145.4,47.55,46782951,6552046798.2,126005,ZOMATO
2024-02-05,EQ,145,145.4,138.25,143.8,140.15,140.25,142.34,145.4,47.55,54189688,7713102059.45,164200,ZOMATO
2024-02-02,EQ,141.8,145,141.45,140.55,143.7,143.8,143.63,145,46.45,78666454,11298872871.45,188193,ZOMATO
2024-02-01,EQ,141,143.5,138.55,139.55,140.3,140.55,140.78,143.5,46.45,70252449,9890125717.4,183379,ZOMATO
2024-01-31,EQ,140,142,138,137.2,139.2,139.55,140.05,142,46.45,89833027,12581458866.35,226655,ZOMATO
2024-01-30,EQ,135.85,138.8,134.65,135.55,137.05,137.2,137.37,141.5,46.45,57612020,7914170908.1,207698,ZOMATO
2024-01-29,EQ,136.9,137.7,132.35,136.15,135.1,135.55,135.3,141.5,46.45,55871017,7559191303,229672,ZOMATO
2024-01-25,EQ,135.9,138.2,132.8,136.2,135.4,136.15,135.31,141.5,44.35,60682540,8210793130.4,178295,ZOMATO
2024-01-24,EQ,131.45,136.9,129.8,130.1,135.2,136.2,133.67,141.5,44.35,54612769,7300057920.15,160459,ZOMATO
