DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,885.65,893.75,880.35,878.95,892,891.9,889.32,893.75,452.2,826132,734694627.2,44240,ZYDUSLIFE
2024-02-15,EQ,872,885,863.45,867.8,882.7,878.95,872.52,885,452.2,622903,543496258.65,27415,ZYDUSLIFE
2024-02-14,EQ,846,872,844.65,857.8,872,867.8,860,872,452.2,884541,760705130.4,39213,ZYDUSLIFE
2024-02-13,EQ,856,866.85,844.85,856.65,859,857.8,856.56,866.85,452.2,1510782,1294082424.8,52327,ZYDUSLIFE
2024-02-12,EQ,809.75,863.35,803.05,805.05,855,856.65,849.95,863.35,452.2,6951210,5908180525.4,180749,ZYDUSLIFE
2024-02-09,EQ,806,820.95,768.8,802.05,804.3,805.05,799.02,820.95,446.95,2721642,2174645251.25,96312,ZYDUSLIFE
2024-02-08,EQ,795.45,808,792.3,791.6,805,802.05,801.65,809.2,446.95,746665,598567292.35,27009,ZYDUSLIFE
2024-02-07,EQ,804.85,804.85,786.55,797.4,792.95,791.6,792.56,809.2,446.95,1103135,874304971.5,40965,ZYDUSLIFE
2024-02-06,EQ,780,809.2,775,760.9,799.85,797.4,796.21,809.2,446.95,3627017,2887861201.45,104370,ZYDUSLIFE
2024-02-05,EQ,761.5,777.95,754.1,761.15,757.5,760.9,765.71,777.95,446.95,1160781,888818476.85,43992,ZYDUSLIFE
2024-02-02,EQ,760,766.9,752,759.55,763,761.15,759.59,766.95,425.7,511333,388404697,21862,ZYDUSLIFE
2024-02-01,EQ,763,766.95,749.2,760.8,756.65,759.55,757.77,766.95,425.7,471177,357045007.7,24760,ZYDUSLIFE
2024-01-31,EQ,755.9,766,745,755.9,761,760.8,759.92,766,425.7,993266,754798804.05,42313,ZYDUSLIFE
2024-01-30,EQ,750.3,764.5,750,748.5,758.35,755.9,757.63,764.5,425.7,1126826,853716201,46998,ZYDUSLIFE
2024-01-29,EQ,739.9,750.45,733.55,736.5,749,748.5,745.67,753.9,425.7,517784,386096594.3,18839,ZYDUSLIFE
2024-01-25,EQ,753.4,753.4,732.9,752.4,736.5,736.5,740.68,753.9,421.3,768082,568899461.65,31625,ZYDUSLIFE
2024-01-24,EQ,733.8,753.9,726.45,729.15,752.05,752.4,744.2,753.9,421.3,2330199,1734126958.75,53853,ZYDUSLIFE
2024-01-23,EQ,706.6,732.5,706.6,703.75,729,729.15,725.63,732.5,421.3,2533646,1838479345.1,79143,ZYDUSLIFE
2024-01-20,EQ,725.25,725.95,701.1,720.55,707.9,703.75,709.61,727.5,421.3,443774,314905469.95,17551,ZYDUSLIFE
2024-01-19,EQ,714.45,727.5,710,708.9,721,720.55,719.04,727.5,421.3,1158529,833025594.1,38331,ZYDUSLIFE
2024-01-18,EQ,711.4,713.65,686,709.7,710.4,708.9,703.29,724.45,421.3,768445,540437461.8,28294,ZYDUSLIFE
2024-01-17,EQ,705.9,711,698.8,706.85,711,709.7,707.05,724.45,421.3,918668,649542061.25,32897,ZYDUSLIFE
2024-01-16,EQ,716.95,717.05,698.9,716.85,706.7,706.85,710.28,724.45,421.3,1115241,792130380.55,32029,ZYDUSLIFE
2024-01-15,EQ,704.35,724.45,700.3,703.95,717.8,716.85,715.7,724.45,421.3,1150461,823380934.45,36253,ZYDUSLIFE
2024-01-12,EQ,708.05,708.25,696.65,704.25,705,703.95,702.24,720.7,421.3,642155,450946927.55,24028,ZYDUSLIFE
2024-01-11,EQ,706.6,711.6,700.9,706.9,706,704.25,705.33,720.7,421.3,535437,377660025.2,18693,ZYDUSLIFE
2024-01-10,EQ,713.65,718,699.1,713,709,706.9,707.08,720.7,421.3,1083582,766184057.95,30910,ZYDUSLIFE
2024-01-09,EQ,714.75,719,711.1,710.7,712,713,715.21,720.7,421.3,689023,492798631.9,33526,ZYDUSLIFE
2024-01-08,EQ,717,720.7,708.6,714.25,711.8,710.7,714.49,720.7,421.3,1499381,1071292406.3,46520,ZYDUSLIFE
2024-01-05,EQ,713,715.35,706,709.15,714.9,714.25,711.43,716,414.15,1041423,740895787.2,30079,ZYDUSLIFE
2024-01-04,EQ,712,715.85,707,710.4,708,709.15,710.26,716,414.15,1116138,792752679.15,36810,ZYDUSLIFE
2024-01-03,EQ,712.4,716,708.95,712.25,710,710.4,712.98,716,414.15,921911,657307239.35,31774,ZYDUSLIFE
2024-01-02,EQ,707.45,715,699.65,699.15,712,712.25,710.5,715,414.15,2433838,1729246979.15,66457,ZYDUSLIFE
