DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,L14,H14,%K,%D,%K_%D_diff,RSI,Higher High,Lower High RSI,Bullish Divergence,ROE%
2022-01-25,EQ,713.45,729.65,694.05,713.45,728.0,727.05,717.12,872.95,675.05,578649,414958285.1,26945,BERGEPAINT,694.05,858.85,20.024271844660184,14.725560261746415,26.461444511036053,43.600797542706246,True,True,True,23.0
2022-08-04,EQ,1519.9,1570.05,1503.3,1512.9,1563.0,1560.7,1544.44,3298.5,1430.0,473526,731334576.2,26274,TORNTPHARM,1430.0,2987.75,8.390306531856847,6.4377039533515275,23.272124458046374,40.232398149108,True,True,True,22.0
2022-10-27,EQ,302.6,306.6,302.55,302.6,305.8,305.6,304.95,448.4,288.05,3384803,1032184555.75,44124,BPCL,288.05,359.8,24.459930313588867,19.24220756667287,21.33171550377336,44.23517169614985,True,True,True,40.0
2023-01-02,EQ,392.5,396.0,391.0,387.95,395.0,394.8,394.17,528.5,366.2,10501357,4139354568.3,142685,TATAMOTORS,375.2,494.4,16.442953020134247,12.03859060402685,26.78571428571434,46.55261411400339,True,True,True,49.0
2023-02-02,EQ,1452.5,1475.85,1447.45,1452.55,1464.0,1461.45,1458.45,1695.95,1388.0,508244,741248035.45,16830,COLPAL,1434.6,1695.95,10.27357949110393,8.067087558191465,21.47734326505289,46.18829953676718,True,True,True,71.0
2023-02-09,EQ,2781.95,2820.35,2766.15,2765.6,2820.0,2814.6,2799.43,3582.9,2560.0,946372,2649305359.2,66431,ASIANPAINT,2685.85,3582.9,14.35260018951006,10.4304851085967,27.326860841423915,40.28259023068314,True,True,True,33.0
2023-02-15,EQ,3203.0,3341.95,3203.0,3175.7,3316.0,3311.15,3293.19,3889.65,2159.55,2093492,6894264668.55,144664,EICHERMOT,3060.0,3889.65,30.271801362020135,22.479358765744593,25.74158869201673,48.753338872064255,True,True,True,24.0
2023-03-01,EQ,2828.0,2853.3,2816.05,2828.8,2844.0,2840.9,2837.61,3582.9,2560.0,816598,2317183671.2,58148,ASIANPAINT,2685.85,3582.9,17.28443230589155,13.453356371811324,22.164893045254193,41.45787473886404,True,True,True,33.0
2023-03-16,EQ,485.0,491.0,482.0,485.6,488.85,488.6,488.53,554.35,468.5,1104680,539664530.7,31955,MARICO,480.2,554.35,11.328388401888105,8.47381434030122,25.19841269841272,44.45659105402205,True,True,True,35.0
2023-04-18,EQ,2375.0,2437.0,2352.0,2369.7,2433.0,2432.5,2411.72,2918.95,1988.55,375635,905926245.75,45515,PIDILITIND,2250.05,2796.0,33.41881124645112,24.559636108312684,26.50954599433643,44.75503088873938,True,True,True,23.0
2023-05-02,EQ,1254.55,1279.75,1254.55,1252.75,1278.1,1277.45,1272.67,1672.6,1185.3,8886401,11309440091.6,278371,INFY,1185.3,1672.6,18.9103221834599,15.086531226486102,20.22065472960749,43.59577265372168,True,True,True,31.0
2023-11-06,EQ,754.8,755.8,747.95,747.2,754.2,753.9,752.51,933.0,695.55,1373751,1033760969.7,39947,SBICARD,731.25,933.0,11.226765799256494,8.492358529533242,24.3561442236939,42.168123892793865,True,True,True,21.0
