DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL,L14,H14,%K,%D,%K_%D_diff
2023-04-11,EQ,873.7,885.6,865.0,868.45,882.9,881.9,879.62,958.2,669.95,39504022,34748690519.1,273420,ICICIBANK,848.0,890.1,80.52256532066498,65.43564733503378,18.736260979205735
2023-04-12,EQ,883.45,892.0,880.3,881.9,891.0,890.15,885.61,958.2,669.95,22686032,20090985489.55,174718,ICICIBANK,858.5,892.0,94.47761194029844,74.52499970456505,21.118878669733625
2023-04-13,EQ,853.65,867.7,845.0,851.05,864.0,864.35,854.42,970.0,618.25,23934570,20450123140.3,176831,AXISBANK,843.95,871.0,75.41589648798525,52.83095141487447,29.947194324884624
2023-04-17,EQ,392.9,402.0,392.9,395.6,399.9,400.15,399.65,402.0,249.15,11041243,4412651379.85,133940,ITC,378.9,402.0,91.9913419913419,85.34065141207994,7.229691876750658
2023-04-18,EQ,1269.95,1269.95,1253.1,1258.3,1259.0,1259.35,1260.58,1672.6,1185.3,12430884,15670147000.65,454051,INFY,1185.3,1434.0,29.774829111379148,23.683513243223757,20.45793729115796
2023-04-19,EQ,761.35,766.85,756.0,759.75,766.0,764.65,762.03,860.55,628.75,3429794,2613595965.7,118984,BHARTIARTL,752.55,789.0,33.196159122085064,22.748353612551142,31.472934778719942
2023-04-20,EQ,764.0,773.75,762.6,764.65,772.75,772.3,768.22,860.55,628.75,2355441,1809507449.7,53120,BHARTIARTL,752.55,789.0,54.18381344307264,35.71101966163696,34.0928270042193
2023-04-21,EQ,3110.0,3164.45,3100.8,3104.8,3159.0,3160.85,3135.53,3644.0,2926.1,1929184,6049023043.65,98768,TCS,3070.25,3260.95,47.50917671735711,24.700065976991123,48.00990527801096
2023-04-24,EQ,3151.1,3180.95,3126.15,3160.85,3172.0,3174.8,3151.83,3623.25,2926.1,1640676,5171132958.3,97265,TCS,3070.25,3230.0,65.44600938967147,43.33336001298259,33.78762064013433
2023-04-25,EQ,1225.95,1235.5,1215.0,1226.3,1227.0,1224.9,1226.05,1672.6,1185.3,6808576,8347624194.35,210989,INFY,1185.3,1269.95,46.78086237448328,27.34071857518563,41.55576193460965
2023-04-26,EQ,779.9,779.9,767.1,772.6,773.3,773.45,772.97,860.55,628.75,5057352,3909177445.6,111856,BHARTIARTL,752.55,779.9,76.41681901279735,50.84950208519863,33.457708993771405
2023-04-27,EQ,1670.5,1685.25,1665.85,1671.8,1680.0,1681.0,1673.65,1720.0,1271.6,23895196,39992303899.7,258905,HDFCBANK,1655.0,1691.45,71.33058984910828,44.56266379841626,37.526573251835586
2023-04-28,EQ,1255.7,1259.0,1244.95,1246.25,1252.95,1252.75,1252.17,1672.6,1185.3,10118277,12669777883.05,240556,INFY,1215.0,1259.0,85.79545454545455,62.68330031547404,26.938669830970653
