DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,1261.95,1281.55,1248.65,1264.8,1268,1267.85,1268.31,1291.25,533.65,3382943,4290628559.15,97164,ADANIPORTS
2024-02-13,EQ,1249.95,1271,1226.65,1249.35,1270.95,1264.8,1250.88,1291.25,533.65,2245009,2808231574.05,73236,ADANIPORTS
2024-02-12,EQ,1278,1279.75,1243.9,1271.5,1249.85,1249.35,1260.39,1291.25,533.65,2204823,2778929991.85,85899,ADANIPORTS
2024-02-09,EQ,1252.6,1275.5,1232.1,1245.2,1272.4,1271.5,1257.33,1291.25,476.7,3538164,4448622470.75,100476,ADANIPORTS
2024-02-08,EQ,1264.05,1264.5,1236.75,1255.65,1247.8,1245.2,1250.42,1291.25,476.7,3354609,4194675869.65,143707,ADANIPORTS
2024-02-07,EQ,1280,1286.35,1252.15,1273.1,1256.25,1255.65,1267.25,1291.25,476.7,3359763,4257651048.1,96611,ADANIPORTS
2024-02-06,EQ,1266,1284.6,1248.85,1258.55,1274,1273.1,1270.91,1291.25,476.7,4408002,5602173026.5,135542,ADANIPORTS
2024-02-05,EQ,1269.5,1291.25,1248.85,1261.45,1262,1258.55,1271.71,1291.25,476.7,5611298,7135917796.1,185622,ADANIPORTS
2024-02-02,EQ,1233.05,1287.5,1231.7,1218.85,1262.5,1261.45,1269.53,1287.5,395.1,10450227,13266896482.4,269789,ADANIPORTS
2024-02-01,EQ,1213.6,1239.5,1200.3,1207.65,1220.75,1218.85,1220.91,1239.5,395.1,7433628,9075785518.3,274275,ADANIPORTS
2024-01-31,EQ,1195.8,1214.25,1191.65,1187.35,1206,1207.65,1205.24,1229.9,395.1,5510242,6641141121.85,149969,ADANIPORTS
2024-01-30,EQ,1200,1217.2,1181,1196.65,1190,1187.35,1201.21,1229.9,395.1,4683729,5626128139.65,205145,ADANIPORTS
2024-01-29,EQ,1155,1204.9,1151,1146.3,1194.4,1196.65,1187.6,1229.9,395.1,6768033,8037699306.8,210651,ADANIPORTS
2024-01-25,EQ,1122.15,1155.75,1111.6,1120.6,1151,1146.3,1131.49,1229.9,395.1,4305042,4871115814.05,121929,ADANIPORTS
2024-01-24,EQ,1138,1146.75,1118.35,1137.1,1123.25,1120.6,1123.24,1229.9,395.1,18373913,20638234493.7,327148,ADANIPORTS
2024-01-23,EQ,1199.15,1207.2,1130.25,1193,1142,1137.1,1171.83,1229.9,395.1,7201014,8438380301.65,157053,ADANIPORTS
2024-01-20,EQ,1158.9,1198.75,1150,1152.45,1190.9,1193,1177.57,1229.9,395.1,2521107,2968792425.95,74669,ADANIPORTS
2024-01-19,EQ,1162.25,1166.8,1150,1154.05,1153,1152.45,1156.65,1229.9,395.1,2732559,3160614748.45,125289,ADANIPORTS
2024-01-18,EQ,1171.05,1184.3,1143.45,1166.85,1155,1154.05,1159.02,1229.9,395.1,5918594,6859750083,146812,ADANIPORTS
2024-01-17,EQ,1180,1204.7,1159.45,1193.35,1169.9,1166.85,1180.1,1229.9,395.1,5268593,6217446859.35,125671,ADANIPORTS
2024-01-16,EQ,1203.6,1212,1186.8,1203.1,1194.5,1193.35,1198.1,1229.9,395.1,3173587,3802282142.75,111688,ADANIPORTS
2024-01-15,EQ,1214,1215.35,1189.1,1207.1,1203.6,1203.1,1203.36,1229.9,395.1,2825654,3400266862.85,97303,ADANIPORTS
2024-01-12,EQ,1210.4,1218.75,1201.05,1202.95,1207,1207.1,1209.7,1229.9,395.1,3912779,4733292436.5,116213,ADANIPORTS
2024-01-11,EQ,1221,1223.6,1200,1214.35,1204,1202.95,1209.03,1229.9,395.1,3721202,4499038845.7,142091,ADANIPORTS
2024-01-10,EQ,1220,1220,1197,1197.1,1215.2,1214.35,1209.01,1229.9,395.1,7036728,8507505783,142375,ADANIPORTS
2024-01-09,EQ,1182,1229.9,1178.5,1168.85,1200.95,1197.1,1205.17,1229.9,395.1,14701104,17717272726.45,333249,ADANIPORTS
2024-01-08,EQ,1160,1182,1152,1154.25,1172.4,1168.85,1169.58,1182,395.1,8760094,10245600240.3,190134,ADANIPORTS
2024-01-05,EQ,1129.1,1160,1125.4,1123.2,1153,1154.25,1146.58,1160,395.1,10622789,12179824453.45,218484,ADANIPORTS
2024-01-04,EQ,1117,1131,1103.55,1094.25,1122,1123.2,1116.97,1144,395.1,9771995,10915025415.55,230197,ADANIPORTS
2024-01-03,EQ,1105,1144,1062.75,1078.4,1095.4,1094.25,1106.85,1144,395.1,33060778,36593478297.45,658513,ADANIPORTS
2024-01-02,EQ,1047.85,1082.9,1031.1,1047.85,1079,1078.4,1062.31,1102.4,395.1,6344621,6739935310.35,163681,ADANIPORTS
2024-01-01,EQ,1026.55,1057.95,1023,1024.35,1041.1,1047.85,1046.35,1102.4,395.1,3989711,4174643148.75,100539,ADANIPORTS
2023-12-29,EQ,1021.8,1034.9,1017.6,1016.95,1023,1024.35,1026.41,1102.4,395.1,2429250,2493397287.15,65509,ADANIPORTS
2023-12-28,EQ,1029.55,1031.2,1014.65,1024.4,1019.95,1016.95,1019.24,1102.4,395.1,4865603,4959202945.2,95099,ADANIPORTS
2023-12-27,EQ,1037,1037.05,1018,1028.75,1025.5,1024.4,1026.87,1102.4,395.1,2803997,2879339103.05,121999,ADANIPORTS
2023-12-26,EQ,1034.1,1041,1026.1,1027.5,1027,1028.75,1031.97,1102.4,395.1,2176775,2246371709.9,88584,ADANIPORTS
2023-12-22,EQ,1034,1050.95,1019,1018.95,1028,1027.5,1033.87,1102.4,395.1,5252106,5429979268.3,127018,ADANIPORTS
2023-12-21,EQ,996.15,1028,989.25,1012.15,1025.45,1018.95,1016.45,1102.4,395.1,5352057,5440073860.6,171620,ADANIPORTS
2023-12-20,EQ,1078,1083.85,1005,1074,1007,1012.15,1049.86,1102.4,395.1,8467564,8889783034.35,182290,ADANIPORTS
2023-12-19,EQ,1095,1099,1068.6,1094.3,1075,1074,1080.85,1102.4,395.1,5993252,6477813788.2,132457,ADANIPORTS
2023-12-18,EQ,1079,1102.4,1072.75,1078.55,1090,1094.3,1090.52,1102.4,395.1,5448342,5941524074.5,114853,ADANIPORTS
2023-12-15,EQ,1079,1086.5,1067.05,1074.7,1078,1078.55,1078.18,1089.9,395.1,11672787,12585331077.3,166848,ADANIPORTS
2023-12-14,EQ,1080,1089.9,1063,1063.5,1073,1074.7,1072.87,1089.9,395.1,8004131,8587361365.3,185156,ADANIPORTS
2023-12-13,EQ,1045,1075,1028.8,1041.95,1074,1063.5,1047.81,1082.5,395.1,8151639,8541389122.65,173343,ADANIPORTS
2023-12-12,EQ,1037.05,1048.45,1023.25,1031.9,1039.55,1041.95,1038.57,1082.5,395.1,4902289,5091382444.55,124557,ADANIPORTS
2023-12-11,EQ,1026.8,1048,1015.65,1022.95,1033.4,1031.9,1032.23,1082.5,395.1,7889666,8143986966.05,179709,ADANIPORTS
2023-12-08,EQ,1048,1055,992.3,1039.65,1021.1,1022.95,1023.19,1082.5,395.1,12202462,12485377517.4,275635,ADANIPORTS
2023-12-07,EQ,1029,1058.75,1021.65,1017.95,1044,1039.65,1041.54,1082.5,395.1,14840081,15456504885.3,312297,ADANIPORTS
2023-12-06,EQ,1045,1082.5,1008.1,1013.1,1020.5,1017.95,1039.65,1082.5,395.1,41008947,42634803598.7,769718,ADANIPORTS
2023-12-05,EQ,884,1024.3,880,878.65,1010,1013.1,967.15,1024.3,395.1,46564412,45034849029.15,687742,ADANIPORTS
2023-12-04,EQ,865,883.35,858.5,827.8,878.7,878.65,872.49,912,395.1,11064795,9653877757.35,195708,ADANIPORTS
2023-12-01,EQ,839.2,839.2,825.5,825.5,827,827.8,829.12,912,395.1,2932775,2431628963.75,52074,ADANIPORTS
2023-11-30,EQ,839,839,823,835.55,827.2,825.5,828.73,912,395.1,5998210,4970918487.9,107634,ADANIPORTS
2023-11-29,EQ,850,850,833.3,837.7,835.15,835.55,838.73,912,395.1,8057644,6758159629.6,136229,ADANIPORTS
2023-11-28,EQ,806,854.4,806,795.55,840.5,837.7,836.47,912,395.1,15929818,13324839266.8,239460,ADANIPORTS
2023-11-24,EQ,795.9,802.95,785,793.1,801,795.55,790.29,912,395.1,4421350,3494159507.65,71988,ADANIPORTS
2023-11-23,EQ,795,804.7,791.45,791.9,793.2,793.1,796.26,912,395.1,3776615,3007153342.85,50591,ADANIPORTS
2023-11-22,EQ,804,804.95,788.55,801.35,792,791.9,793.33,912,395.1,3212329,2548447110,53628,ADANIPORTS
2023-11-21,EQ,805,814.9,799.3,803.6,801,801.35,806.6,912,395.1,3643664,2938981343.3,55240,ADANIPORTS
2023-11-20,EQ,810.05,816,801.1,810.05,802.7,803.6,808.53,912,395.1,3227659,2609663865.2,45735,ADANIPORTS
2023-11-17,EQ,811.7,821.95,809.05,813.6,810,810.05,813.09,916,395.1,3218979,2617328031.2,52220,ADANIPORTS
2023-11-16,EQ,814.4,818.4,808.1,810.75,814,813.6,813.91,916,395.1,1689762,1375310877.75,56941,ADANIPORTS
2023-11-15,EQ,818,818,809.05,809.85,811,810.75,812.3,916,395.1,1694698,1376609092.9,36310,ADANIPORTS
2023-11-13,EQ,810,828,807.5,812.25,810.35,809.85,811.05,916,395.1,1050882,852312736.95,29224,ADANIPORTS
2023-11-12,EQ,816.7,816.7,811,808.6,811.6,812.25,813.44,916,395.1,265239,215756740.15,10052,ADANIPORTS
2023-11-10,EQ,808,818.8,806.2,806.2,809.95,808.6,811.58,916,395.1,3903183,3167742392.35,66315,ADANIPORTS
2023-11-09,EQ,825,827.7,798.1,818.7,806.05,806.2,812.47,916,395.1,4982049,4047767440,103935,ADANIPORTS
2023-11-08,EQ,802,823.8,800.05,797.55,817.2,818.7,816.11,916,395.1,5123208,4181108886.55,89856,ADANIPORTS
2023-11-07,EQ,803,808.4,796,802.5,798.05,797.55,799.94,916,395.1,2394891,1915761347.25,47201,ADANIPORTS
2023-11-06,EQ,801.5,806.25,799.3,795.4,802,802.5,802.96,916,395.1,2270316,1822973332.05,45329,ADANIPORTS
2023-11-03,EQ,780,798.8,777.3,774.3,795,795.4,793.22,916,395.1,4310765,3419371718.8,64474,ADANIPORTS
2023-11-02,EQ,776.9,783.5,772.05,769.1,775.4,774.3,777.07,916,395.1,1741799,1353507705.95,54924,ADANIPORTS
2023-11-01,EQ,784.75,790.5,767.2,784.75,769,769.1,773.7,916,395.1,2693768,2084177819.85,47908,ADANIPORTS
2023-10-31,EQ,789.8,791.1,782.5,785,784.5,784.75,785.96,916,395.1,2825760,2220925232.05,48679,ADANIPORTS
2023-10-30,EQ,785.9,794.4,779.8,782.4,784.7,785,784.65,916,395.1,3522068,2763589530.9,52946,ADANIPORTS
2023-10-27,EQ,774.9,786.4,773.05,770.35,782.35,782.4,780.14,916,395.1,2995404,2336826724.5,43025,ADANIPORTS
