DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-14,EQ,1560,1583,1555,1568,1583,1579.7,1570.71,1741,1215,763689,1199533587.8,49673,BAJAJFINSV
2024-02-13,EQ,1560,1586.45,1552.2,1557.25,1566.95,1568,1573.3,1741,1215,1833289,2884314243.7,123495,BAJAJFINSV
2024-02-12,EQ,1578.75,1579.3,1551.5,1570.95,1560,1557.25,1561.24,1741,1215,803753,1254854966.6,50949,BAJAJFINSV
2024-02-09,EQ,1586.25,1587.3,1562.7,1570.55,1571,1570.95,1570.45,1741,1215,1049368,1647980452.25,87019,BAJAJFINSV
2024-02-08,EQ,1607.95,1607.95,1565,1596.2,1576.95,1570.55,1577.06,1741,1215,1486674,2344567971.5,114317,BAJAJFINSV
2024-02-07,EQ,1609,1623.75,1589.4,1597.05,1594.85,1596.2,1601.22,1741,1215,1477982,2366567880.4,68183,BAJAJFINSV
2024-02-06,EQ,1626.8,1626.8,1578.6,1614.9,1600,1597.05,1597.02,1741,1215,2376798,3795785061.75,176278,BAJAJFINSV
2024-02-05,EQ,1650,1659.9,1608.55,1651.5,1618,1614.9,1624.14,1741,1215,2578535,4187904918.95,139387,BAJAJFINSV
2024-02-02,EQ,1635,1664,1626.7,1622.25,1650,1651.5,1650.78,1741,1215,1514648,2500349587.05,109232,BAJAJFINSV
2024-02-01,EQ,1632,1632,1613,1627.3,1625,1622.25,1621.98,1741,1215,1352416,2193585106.2,135341,BAJAJFINSV
2024-01-31,EQ,1594,1632,1585,1590.55,1623,1627.3,1616.99,1741,1215,1486444,2403567309.2,87780,BAJAJFINSV
2024-01-30,EQ,1629,1629,1585,1636.95,1591.1,1590.55,1601.95,1741,1215,4851835,7772409055.65,235191,BAJAJFINSV
2024-01-29,EQ,1630,1641.6,1618.5,1630.15,1637,1636.95,1630.38,1741,1215,940220,1532915983.6,62714,BAJAJFINSV
2024-01-25,EQ,1621.75,1635,1613.7,1620.85,1630,1630.15,1625.57,1741,1215,1744604,2835979672,83335,BAJAJFINSV
2024-01-24,EQ,1594.7,1622.85,1578.35,1582.5,1621.8,1620.85,1607.93,1741,1215,1393463,2240591641.8,65204,BAJAJFINSV
2024-01-23,EQ,1597.45,1615.25,1575,1581,1581.1,1582.5,1591.37,1741,1215,3028946,4820183887.05,152143,BAJAJFINSV
2024-01-20,EQ,1600.5,1610.95,1577.75,1600.5,1581.95,1581,1592.47,1741,1215,404125,643555716.25,25954,BAJAJFINSV
2024-01-19,EQ,1590.95,1606.35,1581,1581.15,1601.95,1600.5,1596.56,1741,1215,1139473,1819240346.6,129056,BAJAJFINSV
2024-01-18,EQ,1586,1605.35,1559,1586.15,1581.75,1581.15,1575.13,1741,1215,1133236,1784994345.9,96727,BAJAJFINSV
2024-01-17,EQ,1614.95,1622,1578.05,1623.5,1590.05,1586.15,1593.5,1741,1215,1488186,2371426262.55,116025,BAJAJFINSV
2024-01-16,EQ,1634,1646.3,1620,1632.4,1621.2,1623.5,1631.99,1741,1215,1063676,1735903694.55,89460,BAJAJFINSV
2024-01-15,EQ,1655,1664.15,1630.05,1651.9,1632,1632.4,1639,1741,1215,1089891,1786336368.5,76156,BAJAJFINSV
2024-01-12,EQ,1670.25,1674.95,1642,1669.25,1652.3,1651.9,1653.32,1741,1215,1314964,2174054084.2,94927,BAJAJFINSV
2024-01-11,EQ,1679,1702.65,1660.15,1671.85,1668,1669.25,1680.13,1741,1215,861924,1448143375.75,67278,BAJAJFINSV
2024-01-10,EQ,1685,1685,1658.65,1682.45,1673.7,1671.85,1668.9,1741,1215,607010,1013040092.2,42761,BAJAJFINSV
2024-01-09,EQ,1710.45,1715,1674.3,1696.35,1680,1682.45,1696.51,1741,1215,1235008,2095200779.3,72669,BAJAJFINSV
2024-01-08,EQ,1715.95,1723.65,1690.2,1709.5,1695.5,1696.35,1704.24,1741,1215,684254,1166134742.35,58711,BAJAJFINSV
2024-01-05,EQ,1702.95,1717.1,1697.65,1701.95,1707.4,1709.5,1708.4,1741,1215,835592,1427525109.45,89194,BAJAJFINSV
